,Unnamed: 0,ID,earthquake,pga_(g),CorrosionLvl_Long,First_Period_s,Steel_Strain,Conf_Conc_Strain,Unc_Conc_srain,Fy_ksi,fyt_ksi,Ast_in2,st_in,Dprime_in,PCol_kip,DCol_in,barAreaSec_in2,fc_ksi,LimitState_ConcreteCoverCrushing,ConfinementSteelYielding,LongitudinlSteelBuckling,"Effective period, Teff",Force,MaxDisplacement at MaxForce,SD_at_Teff,rhol,rhov,height_of_column,"SD_Teff,xi",LS_collapse,DC_collapse
58571,58571,0,RSN1231_CHICHI_CHY080-E.AT2.g3,0.8092498,5.0,0.3260277611075889,0.0176854,0.00347934,0.00485312,53.7,60.0,0.3067961575771282,2.5,43.6875,452.3893421169303,48.0,1.165825398793087,7.020110894171965,0.004,0.0168756875224497,0.049834061427896,1.0011763589230722,-378.602,-8.20668,47.49125866383658,0.04,0.01,192.0,24.930334243645955,1,0
71980,71980,0,RSN1530_CHICHI_TCU103-E.AT2.g3,0.1288637,5.0,1.9198335621408715,0.0349252,0.00896384,0.0117992,53.7,60.0,0.3067961575771282,2.5,43.6875,1357.1680263507906,48.0,0.5712544454086127,7.020110894171965,0.004,0.0169742592997934,0.0569564560387147,6.893596125153184,-104.7,-35.8658,159.43007791248462,0.01,0.01,384.0,83.09584420003638,1,0
81111,81111,0,RSN1504_CHICHI_TCU067-E.AT2.g3,0.4989563,5.0,0.6625611708698267,0.0184392,0.00794398,0.00965649,53.7,60.0,0.3067961575771282,2.5,43.6875,1809.557368467721,48.0,1.165825398793087,7.020110894171965,0.004,0.0168756875224497,0.0605176533441241,1.720574015848523,426.992,6.83392,43.47811610492976,0.04,0.01,192.0,23.06032829945494,1,0
48723,48723,0,RSN1194_CHICHI_CHY025-E.AT2.g3,0.1616407,5.0,1.5524353455282678,0.0162842,0.00313122,0.0043855,53.7,60.0,0.3067961575771282,2.5,43.6875,904.7786842338604,48.0,0.5712544454086127,7.020110894171965,0.004,0.0169742592997934,0.0533952587333054,4.3560899188687365,-86.9277,-17.8355,96.26685642409984,0.01,0.01,384.0,52.50984864167562,1,0
50423,50423,0,RSN983_NORTHR_JGB022.AT2.g3,0.5712087,5.0,0.6360950906107019,0.0208697,0.00715589,0.00896927,53.7,60.0,0.3067961575771282,2.5,43.6875,1357.1680263507906,48.0,0.7461282552275758,7.020110894171965,0.004,0.0169452676005747,0.0569564560387147,1.8874238727986727,281.879,7.23842,36.78712375533222,0.02,0.01,192.0,19.421953750750585,1,0
46842,46842,0,RSN1193_CHICHI_CHY024-E.AT2.g3,0.28177,5.0,1.009836657170181,0.0224456,0.00414986,0.005868,53.7,60.0,0.3067961575771282,2.5,43.6875,904.7786842338604,48.0,0.5712544454086127,7.020110894171965,0.004,0.0169742592997934,0.0533952587333054,3.100946421974774,117.735,12.2413,45.34736409652224,0.01,0.01,288.0,24.34446904401573,1,0
67724,67724,0,RSN1195_CHICHI_CHY026-E.AT2.g3,0.07767285,5.0,2.5214347696384927,0.0163416,0.00643637,0.00762794,53.7,60.0,0.4417864669110646,2.5,67.625,4071.504079052372,72.0,0.9443185730224009,6.896341131646264,0.004,0.0169993854391163,0.0596387183028392,5.575047201478611,-352.675,-26.3386,126.14532108037108,0.02,0.01,576.0,68.87690973186174,1,0
71001,71001,0,RSN1509_CHICHI_TCU074-E.AT2.g3,0.5964375,5.0,1.4566163399271126,0.0238007,0.00878977,0.0108952,53.7,60.0,0.3067961575771282,2.5,43.6875,1809.557368467721,48.0,0.5712544454086127,7.020110894171965,0.004,0.0169742592997934,0.0605176533441241,4.24779489643462,151.596,14.7883,42.09455136237686,0.01,0.01,288.0,22.30778294982597,1,0
48290,48290,0,RSN982_NORTHR_JEN022.AT2.g3,0.4105302,5.0,1.919833562140872,0.018599,0.00531349,0.00685829,53.7,60.0,0.3067961575771282,2.5,43.6875,1357.1680263507906,48.0,0.5712544454086127,7.020110894171965,0.004,0.0169742592997934,0.0569564560387147,6.63255256949656,-104.669,-33.1911,58.24673971277283,0.01,0.01,384.0,30.464296235021106,1,0
78790,78790,0,RSN1503_CHICHI_TCU065-E.AT2.g3,0.789778,5.0,1.2702027277856598,0.0354237,0.0142398,0.0174584,53.7,60.0,0.3067961575771282,2.5,43.6875,1809.557368467721,48.0,0.9443185730224009,7.020110894171965,0.004,0.0169124103414601,0.0605176533441241,5.430860058717785,-275.917,-43.9966,230.7535544260164,0.03,0.01,288.0,117.619410615824,1,0
47584,47584,0,RSN1193_CHICHI_CHY024-E.AT2.g3,0.28177,5.0,1.456616339927112,0.0447599,0.0160047,0.0199303,53.7,60.0,0.3067961575771282,2.5,43.6875,1809.557368467721,48.0,0.5712544454086127,7.020110894171965,0.004,0.0169742592997934,0.0605176533441241,5.641650398342165,154.975,26.6672,47.359032359290914,0.01,0.01,288.0,24.438456006295574,1,0
