limit_state,ALR,CL,mean,std_dev
serviciability,0.2,0,19.28,0.52
serviciability,0.2,5,16.12,0.56
serviciability,0.2,10,15.84,0.53
serviciability,0.2,15,13.36,0.55
serviciability,0.2,20,11.94,0.56
damage_control,0.2,0,39.21,0.39
damage_control,0.2,5,34.42,0.37
damage_control,0.2,10,27.95,0.34
damage_control,0.2,15,23.91,0.34
damage_control,0.2,20,21.03,0.29
ultimate,0.2,0,44.249,0.32
ultimate,0.2,5,39.185,0.34
ultimate,0.2,10,33.181,0.3
ultimate,0.2,15,31.473,0.28
ultimate,0.2,20,25.95,0.33
serviciability,0.15,0,21.13,0.59
serviciability,0.15,5,18.49,0.56
serviciability,0.15,10,17.4,0.57
serviciability,0.15,15,16.07,0.55
serviciability,0.15,20,14.69,0.56
damage_control,0.15,0,45.96,0.39
damage_control,0.15,5,39,0.37
damage_control,0.15,10,27.95,0.34
damage_control,0.15,15,26.91,0.34
damage_control,0.15,20,25.38,0.29
ultimate,0.15,0,48.36,0.32
ultimate,0.15,5,43.3,0.34
ultimate,0.15,10,40.26,0.3
ultimate,0.15,15,37.34,0.28
ultimate,0.15,20,33.64,0.33
serviciability,0.1,0,22.94,0.57
serviciability,0.1,5,19.7,0.56
serviciability,0.1,10,18.58,0.51
serviciability,0.1,15,17.71,0.55
serviciability,0.1,20,16.5,0.56
damage_control,0.1,0,49.91,0.39
damage_control,0.1,5,44.95,0.41
damage_control,0.1,10,30.81,0.38
damage_control,0.1,15,28.59,0.41
damage_control,0.1,20,29.69,0.38
ultimate,0.1,0,50.78,0.36
ultimate,0.1,5,47.4,0.3
ultimate,0.1,10,44.61,0.29
ultimate,0.1,15,43.16,0.32
ultimate,0.1,20,37.54,0.41
serviciability,0.05,0,27.58,0.58
serviciability,0.05,5,25.58,0.56
serviciability,0.05,10,24.86,0.59
serviciability,0.05,15,23.3,0.6
serviciability,0.05,20,21.75,0.61
damage_control,0.05,0,53.81,0.36
damage_control,0.05,5,52.48,0.32
damage_control,0.05,10,50.78,0.31
damage_control,0.05,15,49.62,0.33
damage_control,0.05,20,42.88,0.27
ultimate,0.05,0,60.47,0.33
ultimate,0.05,5,58.78,0.33
ultimate,0.05,10,57.78,0.34
ultimate,0.05,15,52.5,0.32
ultimate,0.05,20,46.77,0.4
