,SD_teff_xi,Number of Analyses,Collapses_LS,Collapses_DC
0,1.0,4704,0,0
1,3.0,5201,0,0
2,5.0,2738,1,0
3,7.0,1413,4,0
4,9.0,799,19,0
5,11.0,592,48,0
6,13.0,538,48,0
7,15.0,370,37,0
8,17.0,246,41,0
9,19.0,144,20,0
10,21.0,122,32,0
11,23.0,101,42,1
12,25.0,116,52,1
13,27.0,79,28,1
14,29.0,56,26,0
15,31.0,43,16,0
16,33.0,54,35,2
17,35.0,33,22,1
18,37.0,37,31,2
19,39.0,32,21,1
20,41.0,28,20,2
21,43.0,23,17,0
22,45.0,15,13,0
23,47.0,21,15,1
24,49.0,18,10,2
25,51.0,16,15,2
26,53.0,25,22,1
27,55.0,15,14,3
28,57.0,17,16,1
29,59.0,16,12,0
30,61.0,5,5,2
31,63.0,9,9,2
32,65.0,7,6,1
33,67.0,4,4,1
34,69.0,5,5,1
35,71.0,4,4,0
36,73.0,3,2,1
37,75.0,7,6,2
38,77.0,5,3,1
39,79.0,1,1,0
40,81.0,1,1,0
41,83.0,2,2,1
42,85.0,3,3,3
43,87.0,1,1,1
44,89.0,2,2,2
45,91.0,3,3,0
46,93.0,0,0,0
47,95.0,1,1,0
48,97.0,2,2,0
49,99.0,6,6,4
50,101.0,1,1,0
51,103.0,2,2,2
52,105.0,3,3,2
53,107.0,2,2,1
54,109.0,4,4,1
55,111.0,7,7,1
56,113.0,3,3,0
57,115.0,4,4,0
58,117.0,4,4,1
59,119.0,1,1,0
60,121.0,2,2,0
61,123.0,1,1,1
62,125.0,1,1,0
63,127.0,3,3,1
64,129.0,2,2,1
65,131.0,3,3,2
66,133.0,2,2,0
67,135.0,1,1,1
68,137.0,1,1,0
69,139.0,0,0,0
70,141.0,1,1,1
71,143.0,2,2,2
72,145.0,2,2,1
73,147.0,0,0,0
74,149.0,0,0,0
75,151.0,0,0,0
76,153.0,0,0,0
77,155.0,1,1,1
78,157.0,1,1,0
79,159.0,0,0,0
80,161.0,0,0,0
81,163.0,1,1,1
82,165.0,1,1,0
83,167.0,0,0,0
84,169.0,1,1,1
85,171.0,0,0,0
86,173.0,0,0,0
87,175.0,1,1,1
88,177.0,5,5,5
89,179.0,0,0,0
90,181.0,0,0,0
91,183.0,0,0,0
92,185.0,0,0,0
93,187.0,0,0,0
94,189.0,0,0,0
95,191.0,0,0,0
96,193.0,0,0,0
97,195.0,0,0,0
98,197.0,0,0,0
99,199.0,0,0,0
100,201.0,0,0,0
101,203.0,0,0,0
102,205.0,0,0,0
103,207.0,0,0,0
104,209.0,0,0,0
105,211.0,0,0,0
106,213.0,0,0,0
107,215.0,0,0,0
108,217.0,0,0,0
109,219.0,0,0,0
110,221.0,0,0,0
111,223.0,0,0,0
112,225.0,0,0,0
113,227.0,0,0,0
114,229.0,0,0,0
115,231.0,0,0,0
116,233.0,0,0,0
117,235.0,1,1,1
118,237.0,0,0,0
119,239.0,0,0,0
120,241.0,0,0,0
121,243.0,0,0,0
122,245.0,0,0,0
123,247.0,0,0,0
