mainshock_rsn,horizontal_1_filename,Horizontal_file_2,dt_horizontal1,npt_horizontal1
976,RSN976_NORTHR_COM140.AT2.g3,RSN976_NORTHR_COM230.AT2.g3,0.01,3499
981,RSN981_NORTHR_ING000.AT2.g3,RSN981_NORTHR_ING090.AT2.g3,0.02,1800
982,RSN982_NORTHR_JEN022.AT2.g3,RSN982_NORTHR_JEN292.AT2.g3,0.005,5721
983,RSN983_NORTHR_JGB022.AT2.g3,RSN983_NORTHR_JGB292.AT2.g3,0.005,5727
984,RSN984_NORTHR_116090.AT2.g3,RSN984_NORTHR_116360.AT2.g3,0.02,2000
985,RSN985_NORTHR_BLD090.AT2.g3,RSN985_NORTHR_BLD360.AT2.g3,0.02,2000
988,RSN988_NORTHR_CCN090.AT2.g3,RSN988_NORTHR_CCN360.AT2.g3,0.02,2000
990,RSN990_NORTHR_LAC090.AT2.g3,RSN990_NORTHR_LAC180.AT2.g3,0.01,4000
991,RSN991_NORTHR_CYP053.AT2.g3,RSN991_NORTHR_CYP143.AT2.g3,0.01,2955
992,RSN992_NORTHR_VER090.AT2.g3,RSN992_NORTHR_VER180.AT2.g3,0.01,2999
993,RSN993_NORTHR_FLE144.AT2.g3,RSN993_NORTHR_FLE234.AT2.g3,0.01,2999
995,RSN995_NORTHR_PEL090.AT2.g3,RSN995_NORTHR_PEL360.AT2.g3,0.02,2000
997,RSN997_NORTHR_FIG058.AT2.g3,RSN997_NORTHR_FIG328.AT2.g3,0.01,2999
998,RSN998_NORTHR_WST000.AT2.g3,RSN998_NORTHR_WST270.AT2.g3,0.01,2999
999,RSN999_NORTHR_OBR090.AT2.g3,RSN999_NORTHR_OBR360.AT2.g3,0.02,2000
1001,RSN1001_NORTHR_GR2090.AT2.g3,RSN1001_NORTHR_GR2180.AT2.g3,0.01,2999
1003,RSN1003_NORTHR_STN020.AT2.g3,RSN1003_NORTHR_STN110.AT2.g3,0.01,3159
1004,RSN1004_NORTHR_SPV270.AT2.g3,RSN1004_NORTHR_SPV360.AT2.g3,0.005,9557
1006,RSN1006_NORTHR_UCL090.AT2.g3,RSN1006_NORTHR_UCL360.AT2.g3,0.02,3000
1017,RSN1017_NORTHR_BRC000.AT2.g3,RSN1017_NORTHR_BRC090.AT2.g3,0.01,3499
1018,RSN1018_NORTHR_RIM015.AT2.g3,RSN1018_NORTHR_RIM105.AT2.g3,0.01,3499
1024,RSN1024_NORTHR_DEL000.AT2.g3,RSN1024_NORTHR_DEL090.AT2.g3,0.01,3536
1039,RSN1039_NORTHR_MRP090.AT2.g3,RSN1039_NORTHR_MRP180.AT2.g3,0.02,2000
1041,RSN1041_NORTHR_MTW000.AT2.g3,RSN1041_NORTHR_MTW090.AT2.g3,0.02,2000
1044,RSN1044_NORTHR_NWH090.AT2.g3,RSN1044_NORTHR_NWH360.AT2.g3,0.02,2000
1048,RSN1048_NORTHR_STC090.AT2.g3,RSN1048_NORTHR_STC180.AT2.g3,0.01,2999
1052,RSN1052_NORTHR_PKC090.AT2.g3,RSN1052_NORTHR_PKC360.AT2.g3,0.02,2000
1070,RSN1070_NORTHR_GRN180.AT2.g3,RSN1070_NORTHR_GRN270.AT2.g3,0.01,3499
1072,RSN1072_NORTHR_SMA090.AT2.g3,RSN1072_NORTHR_SMA360.AT2.g3,0.02,2000
1076,RSN1076_NORTHR_EJS030.AT2.g3,RSN1076_NORTHR_EJS120.AT2.g3,0.01,3499
1077,RSN1077_NORTHR_STM090.AT2.g3,RSN1077_NORTHR_STM360.AT2.g3,0.02,2000
1082,RSN1082_NORTHR_RO3000.AT2.g3,RSN1082_NORTHR_RO3090.AT2.g3,0.01,3028
1083,RSN1083_NORTHR_GLE170.AT2.g3,RSN1083_NORTHR_GLE260.AT2.g3,0.01,2999
1086,RSN1086_NORTHR_SYL090.AT2.g3,RSN1086_NORTHR_SYL360.AT2.g3,0.02,2000
1087,RSN1087_NORTHR_TAR090.AT2.g3,RSN1087_NORTHR_TAR360.AT2.g3,0.02,2000
1094,RSN1094_NORTHR_SOR225.AT2.g3,RSN1094_NORTHR_SOR315.AT2.g3,0.01,3648
1186,RSN1186_CHICHI_CHY014-N.AT2.g3,RSN1186_CHICHI_CHY014-W.AT2.g3,0.004,37250
1187,RSN1187_CHICHI_CHY015-N.AT2.g3,RSN1187_CHICHI_CHY015-W.AT2.g3,0.004,37500
1193,RSN1193_CHICHI_CHY024-E.AT2.g3,RSN1193_CHICHI_CHY024-N.AT2.g3,0.005,18000
1194,RSN1194_CHICHI_CHY025-E.AT2.g3,RSN1194_CHICHI_CHY025-N.AT2.g3,0.005,18000
1195,RSN1195_CHICHI_CHY026-E.AT2.g3,RSN1195_CHICHI_CHY026-N.AT2.g3,0.005,18000
1197,RSN1197_CHICHI_CHY028-E.AT2.g3,RSN1197_CHICHI_CHY028-N.AT2.g3,0.005,18000
1198,RSN1198_CHICHI_CHY029-E.AT2.g3,RSN1198_CHICHI_CHY029-N.AT2.g3,0.005,18000
1201,RSN1201_CHICHI_CHY034-N.AT2.g3,RSN1201_CHICHI_CHY034-W.AT2.g3,0.004,49250
1202,RSN1202_CHICHI_CHY035-E.AT2.g3,RSN1202_CHICHI_CHY035-N.AT2.g3,0.005,18000
1203,RSN1203_CHICHI_CHY036-E.AT2.g3,RSN1203_CHICHI_CHY036-N.AT2.g3,0.005,18000
1204,RSN1204_CHICHI_CHY039-E.AT2.g3,RSN1204_CHICHI_CHY039-N.AT2.g3,0.005,18000
1205,RSN1205_CHICHI_CHY041-E.AT2.g3,RSN1205_CHICHI_CHY041-N.AT2.g3,0.005,18000
1206,RSN1206_CHICHI_CHY042-E.AT2.g3,RSN1206_CHICHI_CHY042-N.AT2.g3,0.005,18000
1208,RSN1208_CHICHI_CHY046-E.AT2.g3,RSN1208_CHICHI_CHY046-N.AT2.g3,0.005,18000
1209,RSN1209_CHICHI_CHY047-N.AT2.g3,RSN1209_CHICHI_CHY047-W.AT2.g3,0.004,37500
1211,RSN1211_CHICHI_CHY052-N.AT2.g3,RSN1211_CHICHI_CHY052-W.AT2.g3,0.004,29000
1227,RSN1227_CHICHI_CHY074-E.AT2.g3,RSN1227_CHICHI_CHY074-N.AT2.g3,0.005,18000
1231,RSN1231_CHICHI_CHY080-E.AT2.g3,RSN1231_CHICHI_CHY080-N.AT2.g3,0.005,18000
1234,RSN1234_CHICHI_CHY086-E.AT2.g3,RSN1234_CHICHI_CHY086-N.AT2.g3,0.005,18000
1235,RSN1235_CHICHI_CHY087-E.AT2.g3,RSN1235_CHICHI_CHY087-N.AT2.g3,0.005,18000
1236,RSN1236_CHICHI_CHY088-E.AT2.g3,RSN1236_CHICHI_CHY088-N.AT2.g3,0.005,18000
1238,RSN1238_CHICHI_CHY092-N.AT2.g3,RSN1238_CHICHI_CHY092-W.AT2.g3,0.004,37500
1240,RSN1240_CHICHI_CHY094-N.AT2.g3,RSN1240_CHICHI_CHY094-W.AT2.g3,0.004,37500
1244,RSN1244_CHICHI_CHY101-E.AT2.g3,RSN1244_CHICHI_CHY101-N.AT2.g3,0.005,18000
1245,RSN1245_CHICHI_CHY102-E.AT2.g3,RSN1245_CHICHI_CHY102-N.AT2.g3,0.005,18000
1246,RSN1246_CHICHI_CHY104-N.AT2.g3,RSN1246_CHICHI_CHY104-W.AT2.g3,0.004,37500
1258,RSN1258_CHICHI_HWA005-N.AT2.g3,RSN1258_CHICHI_HWA005-W.AT2.g3,0.004,20000
1261,RSN1261_CHICHI_HWA009-E.AT2.g3,RSN1261_CHICHI_HWA009-N.AT2.g3,0.005,18000
1262,RSN1262_CHICHI_HWA011-E.AT2.g3,RSN1262_CHICHI_HWA011-N.AT2.g3,0.005,18000
1264,RSN1264_CHICHI_HWA013-E.AT2.g3,RSN1264_CHICHI_HWA013-N.AT2.g3,0.005,18000
