earthquake,pga_(g),cover_cm,water_cement_ratio,time_yrs,CorrosionLvl_Long,CorrosionLvl_Transv,First_Period_s,Steel_Strain,Conf_Conc_Strain,Unc_Conc_srain,Fy_ksi,fyt_ksi,Ast_in2,st_in,Dprime_in,PCol_kip,DCol_in,barAreaSec_in2,fc_ksi,LimitState_ConcreteCoverCrushing,ConfinementSteelYielding,LongitudinlSteelBuckling,"Effective period, Teff",Force,MaxDisplacement at MaxForce
RSN95_MANAGUA_A-ESO090.AT2.g3,0.3718347,4,0.4,5,1.658948118,3.677540555,0.369502395,0.0115454,0.0030518,0.00434091,57.90972537,55.3662989,0.106797547,2,20.662892,225,24,0.434457915,6.749259023,0.004,0.016157704,0.051183928,0.967403676,54.8317,2.23121
RSN95_MANAGUA_A-ESO090.AT2.g3,0.3718347,4,0.4,25,5.971173759,12.099405,0.363172583,0.0117874,0.00252628,0.00379035,52.47632106,44.7547497,0.097459803,2,20.662892,225,24,0.415407066,6.33047103,0.004,0.014743267,0.048047281,1.017704091,49.9654,2.25012
RSN95_MANAGUA_A-ESO090.AT2.g3,0.3718347,4,0.4,50,9.829996808,19.46383972,0.356191674,0.0116216,0.00228629,0.00351453,47.61420402,35.47556196,0.089294485,2,20.662892,225,24,0.39835929,5.990582477,0.004,0.013506681,0.045703393,1.065352405,47.1398,2.32631
RSN95_MANAGUA_A-ESO090.AT2.g3,0.3718347,4,0.4,75,13.06475663,25.50419091,0.349324954,0.0107253,0.00203286,0.00315957,43.53840664,27.86471945,0.082597244,2,20.662892,225,24,0.384068544,5.733388746,0.004,0.012492631,0.044052023,1.115166945,44.4196,2.40186
RSN210_LIVERMOR_A-A3E146.AT2.g3,0.06489687,4,0.4,5,1.658948118,3.677540555,0.369502395,0.000669204,0.000565302,0.000656688,57.90972537,55.3662989,0.106797547,2,20.662892,225,24,0.434457915,6.749259023,0.004,0.016157704,0.051183928,0.456083452,-21.2557,-0.192246
RSN210_LIVERMOR_A-A3E146.AT2.g3,0.06489687,4,0.4,25,5.971173759,12.099405,0.363172583,0.000662052,0.000557282,0.000650978,52.47632106,44.7547497,0.097459803,2,20.662892,225,24,0.415407066,6.33047103,0.004,0.014743267,0.048047281,0.457774578,-21.5037,-0.195934
RSN210_LIVERMOR_A-A3E146.AT2.g3,0.06489687,4,0.4,50,9.829996808,19.46383972,0.356191674,0.000655229,0.000549275,0.000645556,47.61420402,35.47556196,0.089294485,2,20.662892,225,24,0.39835929,5.990582477,0.004,0.013506681,0.045703393,0.459387393,-21.8035,-0.200068
RSN210_LIVERMOR_A-A3E146.AT2.g3,0.06489687,4,0.4,75,13.06475663,25.50419091,0.349324954,0.000647562,0.000540775,0.000639164,43.53840664,27.86471945,0.082597244,2,20.662892,225,24,0.384068544,5.733388746,0.004,0.012492631,0.044052023,0.460356381,-22.0606,-0.203282
RSN212_LIVERMOR_A-DVD156.AT2.g3,0.1297461,4,0.4,5,1.658948118,3.677540555,0.369502395,0.00251117,0.00128978,0.00162545,57.90972537,55.3662989,0.106797547,2,20.662892,225,24,0.434457915,6.749259023,0.004,0.016157704,0.051183928,0.575108426,43.6733,0.628071
RSN212_LIVERMOR_A-DVD156.AT2.g3,0.1297461,4,0.4,25,5.971173759,12.099405,0.363172583,0.00247138,0.00121776,0.00154355,52.47632106,44.7547497,0.097459803,2,20.662892,225,24,0.415407066,6.33047103,0.004,0.014743267,0.048047281,0.580001745,41.5476,0.607712
