ID,earthquake,pga_(g),CorrosionLvl_Long,First_Period_s,Steel_Strain,Conf_Conc_Strain,Unc_Conc_srain,Fy_ksi,fyt_ksi,Ast_in2,st_in,Dprime_in,PCol_kip,DCol_in,barAreaSec_in2,fc_ksi,LimitState_ConcreteCoverCrushing,ConfinementSteelYielding,LongitudinlSteelBuckling,"Effective period, Teff",Force,MaxDisplacement at MaxForce,SD_at_Teff,rhol,rhov,height_of_column
0,RSN210_LIVERMOR_A-A3E146.AT2.g3,0.06489687,10,0.387732989,0.000331123,0.000305114,0.000340173,47.4,60,0.306796158,2.5,43.6875,452.3893421,48,0.541188422,7.020110894,0.004,0.016979244,0.049834061,0.454878142,35.8113,0.160241,0.454102513,0.01,0.01,192
0,RSN210_LIVERMOR_A-A3E146.AT2.g3,0.06489687,0,0.384702364,0.00033377,0.000302323,0.000336951,60,60,0.306796158,2.5,43.6875,452.3893421,48,0.601320469,7.020110894,0.004,0.016969275,0.049834061,0.44929484,36.3092,0.158505,0.449635872,0.01,0.01,192
0,RSN210_LIVERMOR_A-A3E146.AT2.g3,0.06489687,5,0.386209131,0.000332508,0.000303669,0.000338501,53.7,60,0.306796158,2.5,43.6875,452.3893421,48,0.571254445,7.020110894,0.004,0.016974259,0.049834061,0.452034426,36.0569,0.159329,0.45182754,0.01,0.01,192
0,RSN95_MANAGUA_A-ESO090.AT2.g3,0.3718347,20,0.390833417,0.00865156,0.00120707,0.00184396,34.8,60,0.306796158,2.5,43.6875,452.3893421,48,0.481056375,7.020110894,0.004,0.016989213,0.049834061,1.128262193,92.6031,2.54923,7.675748557,0.01,0.01,192
0,RSN95_MANAGUA_A-ESO090.AT2.g3,0.3718347,15,0.389274295,0.00814561,0.00123203,0.00183785,41.1,60,0.306796158,2.5,43.6875,452.3893421,48,0.511122399,7.020110894,0.004,0.016984228,0.049834061,1.050577889,102.409,2.44432,7.540818198,0.01,0.01,192
0,RSN95_MANAGUA_A-ESO090.AT2.g3,0.3718347,10,0.387732989,0.00796151,0.00126535,0.00186143,47.4,60,0.306796158,2.5,43.6875,452.3893421,48,0.541188422,7.020110894,0.004,0.016979244,0.049834061,0.999298269,112.061,2.41996,8.054926046,0.01,0.01,192
0,RSN95_MANAGUA_A-ESO090.AT2.g3,0.3718347,5,0.386209131,0.00776908,0.00149768,0.00209633,53.7,60,0.306796158,2.5,43.6875,452.3893421,48,0.571254445,7.020110894,0.004,0.016974259,0.049834061,0.941065191,130.183,2.4932,8.291934674,0.01,0.01,192
0,RSN95_MANAGUA_A-ESO090.AT2.g3,0.3718347,0,0.384702364,0.00641906,0.00154511,0.00205961,60,60,0.306796158,2.5,43.6875,452.3893421,48,0.601320469,7.020110894,0.004,0.016969275,0.049834061,0.872599714,-139.213,-2.29231,7.869386105,0.01,0.01,192
0,RSN214_LIVERMOR_A-KOD180.AT2.g3,0.1497026,0,0.384702364,0.00272131,0.00104717,0.00129062,60,60,0.306796158,2.5,43.6875,452.3893421,48,0.601320469,7.020110894,0.004,0.016969275,0.049834061,0.650320054,120.522,1.10226,3.791557756,0.01,0.01,192
0,RSN212_LIVERMOR_A-DVD156.AT2.g3,0.1297461,15,0.389274295,0.00123313,0.000632069,0.000752566,41.1,60,0.306796158,2.5,43.6875,452.3893421,48,0.511122399,7.020110894,0.004,0.016984228,0.049834061,0.596080676,70.5042,0.541737,1.113261314,0.01,0.01,192
0,RSN212_LIVERMOR_A-DVD156.AT2.g3,0.1297461,20,0.390833417,0.00120672,0.000618192,0.000736086,34.8,60,0.306796158,2.5,43.6875,452.3893421,48,0.481056375,7.020110894,0.004,0.016989213,0.049834061,0.603883854,67.4695,0.532081,1.119912692,0.01,0.01,192
0,RSN212_LIVERMOR_A-DVD156.AT2.g3,0.1297461,10,0.387732989,0.00124675,0.000641009,0.000762963,47.4,60,0.306796158,2.5,43.6875,452.3893421,48,0.541188422,7.020110894,0.004,0.016979244,0.049834061,0.58841716,72.9829,0.546456,1.107437041,0.01,0.01,192
0,RSN212_LIVERMOR_A-DVD156.AT2.g3,0.1297461,5,0.386209131,0.001292,0.000659335,0.000785396,53.7,60,0.306796158,2.5,43.6875,452.3893421,48,0.571254445,7.020110894,0.004,0.016974259,0.049834061,0.583846737,76.4793,0.563774,1.10396352,0.01,0.01,192
0,RSN212_LIVERMOR_A-DVD156.AT2.g3,0.1297461,0,0.384702364,0.00135352,0.000683264,0.000814845,60,60,0.306796158,2.5,43.6875,452.3893421,48,0.601320469,7.020110894,0.004,0.016969275,0.049834061,0.580360363,80.7029,0.587825,1.101313876,0.01,0.01,192
0,RSN210_LIVERMOR_A-A3E146.AT2.g3,0.06489687,20,0.390833417,0.000327996,0.000308261,0.000343844,34.8,60,0.306796158,2.5,43.6875,452.3893421,48,0.481056375,7.020110894,0.004,0.016989213,0.049834061,0.460918839,35.33,0.162314,0.458935071,0.01,0.01,192
0,RSN210_LIVERMOR_A-A3E146.AT2.g3,0.06489687,15,0.389274295,0.000329607,0.000306649,0.000341958,41.1,60,0.306796158,2.5,43.6875,452.3893421,48,0.511122399,7.020110894,0.004,0.016984228,0.049834061,0.457835348,35.5699,0.161237,0.456468279,0.01,0.01,192
0,RSN215_LIVERMOR_A-SRM070.AT2.g3,0.05513429,15,0.389274295,0.000414545,0.000360312,0.000408988,41.1,60,0.306796158,2.5,43.6875,452.3893421,48,0.511122399,7.020110894,0.004,0.016984228,0.049834061,0.496152346,-42.0415,-0.223806,0.378411365,0.01,0.01,192
0,RSN214_LIVERMOR_A-KOD180.AT2.g3,0.1497026,20,0.390833417,0.00279849,0.000925234,0.0011658,34.8,60,0.306796158,2.5,43.6875,452.3893421,48,0.481056375,7.020110894,0.004,0.016989213,0.049834061,0.838121046,-88.2443,-1.34049,5.759202383,0.01,0.01,192
0,RSN214_LIVERMOR_A-KOD180.AT2.g3,0.1497026,15,0.389274295,0.00257028,0.00092502,0.00114697,41.1,60,0.306796158,2.5,43.6875,452.3893421,48,0.511122399,7.020110894,0.004,0.016984228,0.049834061,0.773035145,-97.569,-1.26088,5.006300207,0.01,0.01,192
0,RSN215_LIVERMOR_A-SRM070.AT2.g3,0.05513429,5,0.386209131,0.000410013,0.000357386,0.00040537,53.7,60,0.306796158,2.5,43.6875,452.3893421,48,0.571254445,7.020110894,0.004,0.016974259,0.049834061,0.48772487,-42.8075,-0.220208,0.386080368,0.01,0.01,192
0,RSN215_LIVERMOR_A-SRM070.AT2.g3,0.05513429,10,0.387732989,0.000412381,0.000358928,0.000407275,47.4,60,0.306796158,2.5,43.6875,452.3893421,48,0.541188422,7.020110894,0.004,0.016979244,0.049834061,0.491923075,-42.4394,-0.222089,0.382260002,0.01,0.01,192
0,RSN214_LIVERMOR_A-KOD180.AT2.g3,0.1497026,10,0.387732989,0.00265206,0.000929563,0.00116094,47.4,60,0.306796158,2.5,43.6875,452.3893421,48,0.541188422,7.020110894,0.004,0.016979244,0.049834061,0.720701649,-106.333,-1.19438,4.499711965,0.01,0.01,192
0,RSN214_LIVERMOR_A-KOD180.AT2.g3,0.1497026,5,0.386209131,0.00271492,0.000997152,0.00123696,53.7,60,0.306796158,2.5,43.6875,452.3893421,48,0.571254445,7.020110894,0.004,0.016974259,0.049834061,0.681462776,-113.755,-1.1424,4.109524941,0.01,0.01,192
0,RSN215_LIVERMOR_A-SRM070.AT2.g3,0.05513429,0,0.384702364,0.000407324,0.000355581,0.00040314,60,60,0.306796158,2.5,43.6875,452.3893421,48,0.601320469,7.020110894,0.004,0.016969275,0.049834061,0.483499965,-43.1336,-0.218058,0.389925032,0.01,0.01,192
0,RSN231_MAMMOTH.I_I-LUL000.AT2.g3,0.4302934,5,0.386209131,0.00504952,0.00119422,0.00159758,53.7,60,0.306796158,2.5,43.6875,452.3893421,48,0.571254445,7.020110894,0.004,0.016974259,0.049834061,0.812103718,119.971,1.71105,5.481769276,0.01,0.01,192
0,RSN230_MAMMOTH.I_I-CVK090.AT2.g3,0.4194571,10,0.387732989,0.00612118,0.00118303,0.0016549,47.4,60,0.306796158,2.5,43.6875,452.3893421,48,0.541188422,7.020110894,0.004,0.016979244,0.049834061,0.933932855,-108.456,-2.04573,4.578088366,0.01,0.01,192
0,RSN230_MAMMOTH.I_I-CVK090.AT2.g3,0.4194571,5,0.386209131,0.00606191,0.0013037,0.00177953,53.7,60,0.306796158,2.5,43.6875,452.3893421,48,0.571254445,7.020110894,0.004,0.016974259,0.049834061,0.945308264,-126.22,-2.43915,4.537705662,0.01,0.01,192
0,RSN231_MAMMOTH.I_I-LUL000.AT2.g3,0.4302934,0,0.384702364,0.00484816,0.00129073,0.00168732,60,60,0.306796158,2.5,43.6875,452.3893421,48,0.601320469,7.020110894,0.004,0.016969275,0.049834061,0.774857236,131.832,1.7117,5.307176291,0.01,0.01,192
0,RSN230_MAMMOTH.I_I-CVK090.AT2.g3,0.4194571,20,0.390833417,0.00589954,0.00110812,0.00156083,34.8,60,0.306796158,2.5,43.6875,452.3893421,48,0.481056375,7.020110894,0.004,0.016989213,0.049834061,1.000819275,-89.7958,-1.94505,4.340641573,0.01,0.01,192
0,RSN230_MAMMOTH.I_I-CVK090.AT2.g3,0.4194571,0,0.384702364,0.00572848,0.0013937,0.00184726,60,60,0.306796158,2.5,43.6875,452.3893421,48,0.601320469,7.020110894,0.004,0.016969275,0.049834061,0.931467119,-142.471,-2.67316,4.586841728,0.01,0.01,192
0,RSN215_LIVERMOR_A-SRM070.AT2.g3,0.05513429,20,0.390833417,0.000416418,0.000361476,0.000410431,34.8,60,0.306796158,2.5,43.6875,452.3893421,48,0.481056375,7.020110894,0.004,0.016989213,0.049834061,0.500352142,-41.608,-0.225264,0.374589551,0.01,0.01,192
0,RSN230_MAMMOTH.I_I-CVK090.AT2.g3,0.4194571,15,0.389274295,0.00495921,0.00104064,0.00137498,41.1,60,0.306796158,2.5,43.6875,452.3893421,48,0.511122399,7.020110894,0.004,0.016984228,0.049834061,1.007468582,-104.586,-2.29562,4.369237989,0.01,0.01,192
0,RSN232_MAMMOTH.I_I-MLS254.AT2.g3,0.324282,20,0.390833417,0.00171519,0.000695903,0.000851666,34.8,60,0.306796158,2.5,43.6875,452.3893421,48,0.481056375,7.020110894,0.004,0.016989213,0.049834061,0.77772707,-86.7174,-1.13429,1.637865793,0.01,0.01,192
0,RSN232_MAMMOTH.I_I-MLS254.AT2.g3,0.324282,0,0.384702364,0.00237033,0.000980251,0.00119671,60,60,0.306796158,2.5,43.6875,452.3893421,48,0.601320469,7.020110894,0.004,0.016969275,0.049834061,0.631530219,113.87,0.982112,2.152251983,0.01,0.01,192
0,RSN231_MAMMOTH.I_I-LUL000.AT2.g3,0.4302934,20,0.390833417,0.00446029,0.000992395,0.00134126,34.8,60,0.306796158,2.5,43.6875,452.3893421,48,0.481056375,7.020110894,0.004,0.016989213,0.049834061,0.897762589,-85.0905,-1.48309,5.580276977,0.01,0.01,192
