 
PGA:,  0.25 g
PGV:,  25.10 cm/s
PGD:,  3.08 cm
Arias Intensity:,  73.98 cm/s
Significant duration:,  11.15 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.039	, 0.252
0.1010	, 0.115	, 7.136	, 0.453
0.2010	, 0.562	, 17.557	, 0.559
0.3010	, 2.361	, 49.276	, 1.049
0.4010	, 2.565	, 40.183	, 0.642
0.5010	, 4.463	, 55.971	, 0.716
0.6010	, 4.521	, 47.269	, 0.504
0.7010	, 5.125	, 45.937	, 0.420
0.8010	, 3.610	, 28.315	, 0.226
0.9010	, 3.854	, 26.879	, 0.191
1.0010	, 5.698	, 35.765	, 0.229
1.1010	, 5.075	, 28.959	, 0.168
1.2010	, 3.950	, 20.665	, 0.110
1.3010	, 4.171	, 20.146	, 0.099
1.4010	, 4.906	, 22.004	, 0.101
1.5010	, 6.351	, 26.587	, 0.113
1.6010	, 7.730	, 30.338	, 0.121
1.7010	, 9.555	, 35.293	, 0.133
1.8010	, 9.102	, 31.753	, 0.113
1.9010	, 7.912	, 26.150	, 0.088
2.0010	, 6.925	, 21.743	, 0.070
2.1010	, 7.163	, 21.422	, 0.065
2.2010	, 7.637	, 21.802	, 0.063
2.3010	, 7.822	, 21.358	, 0.059
2.4010	, 7.803	, 20.419	, 0.054
2.5010	, 8.208	, 20.622	, 0.053
2.6010	, 7.356	, 17.771	, 0.044
2.7010	, 6.428	, 14.954	, 0.035
2.8010	, 5.598	, 12.558	, 0.029
2.9010	, 5.137	, 11.125	, 0.025
3.0010	, 4.782	, 10.012	, 0.021
3.1010	, 4.700	, 9.523	, 0.020
3.2010	, 4.590	, 9.010	, 0.018
3.3010	, 4.449	, 8.467	, 0.016
3.4010	, 4.279	, 7.904	, 0.015
3.5010	, 4.096	, 7.350	, 0.013
3.6010	, 3.918	, 6.836	, 0.012
3.7010	, 3.762	, 6.386	, 0.011
3.8010	, 3.638	, 6.013	, 0.010
3.9010	, 3.551	, 5.720	, 0.009
4.0010	, 3.501	, 5.499	, 0.009
4.1010	, 3.484	, 5.338	, 0.008
4.2010	, 3.494	, 5.225	, 0.008
4.3010	, 3.520	, 5.142	, 0.008
4.4010	, 3.556	, 5.077	, 0.007
4.5010	, 3.594	, 5.017	, 0.007
4.6010	, 3.629	, 4.956	, 0.007
4.7010	, 3.657	, 4.888	, 0.007
4.8010	, 3.675	, 4.810	, 0.006
4.9010	, 3.682	, 4.721	, 0.006
5.0010	, 3.678	, 4.621	, 0.006
5.1010	, 3.664	, 4.513	, 0.006
5.2010	, 3.641	, 4.398	, 0.005
5.3010	, 3.609	, 4.278	, 0.005
5.4010	, 3.572	, 4.156	, 0.005
5.5010	, 3.531	, 4.033	, 0.005
5.6010	, 3.487	, 3.911	, 0.004
5.7010	, 3.442	, 3.793	, 0.004
5.8010	, 3.397	, 3.680	, 0.004
5.9010	, 3.355	, 3.572	, 0.004
6.0010	, 3.315	, 3.471	, 0.004
6.1010	, 3.278	, 3.376	, 0.004
6.2010	, 3.246	, 3.289	, 0.003
6.3010	, 3.218	, 3.209	, 0.003
6.4010	, 3.194	, 3.135	, 0.003
6.5010	, 3.175	, 3.068	, 0.003
6.6010	, 3.160	, 3.008	, 0.003
6.7010	, 3.150	, 2.954	, 0.003
6.8010	, 3.144	, 2.905	, 0.003
6.9010	, 3.142	, 2.860	, 0.003
7.0010	, 3.143	, 2.821	, 0.003
7.1010	, 3.148	, 2.786	, 0.003
7.2010	, 3.156	, 2.753	, 0.002
7.3010	, 3.166	, 2.724	, 0.002
7.4010	, 3.178	, 2.698	, 0.002
