 
PGA:,  0.47 g
PGV:,  37.37 cm/s
PGD:,  4.99 cm
Arias Intensity:,  113.67 cm/s
Significant duration:,  11.56 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.073	, 0.468
0.1010	, 0.230	, 14.331	, 0.909
0.2010	, 0.657	, 20.536	, 0.654
0.3010	, 1.795	, 37.466	, 0.797
0.4010	, 4.313	, 67.576	, 1.079
0.5010	, 5.428	, 68.070	, 0.870
0.6010	, 6.600	, 68.998	, 0.735
0.7010	, 7.046	, 63.155	, 0.577
0.8010	, 7.958	, 62.424	, 0.499
0.9010	, 8.175	, 57.011	, 0.405
1.0010	, 8.614	, 54.071	, 0.346
1.1010	, 7.699	, 43.934	, 0.256
1.2010	, 5.525	, 28.905	, 0.154
1.3010	, 6.605	, 31.897	, 0.157
1.4010	, 8.872	, 39.788	, 0.182
1.5010	, 10.595	, 44.352	, 0.189
1.6010	, 10.288	, 40.376	, 0.162
1.7010	, 9.238	, 34.124	, 0.128
1.8010	, 7.265	, 25.344	, 0.090
1.9010	, 7.216	, 23.850	, 0.080
2.0010	, 7.358	, 23.104	, 0.074
2.1010	, 9.623	, 28.778	, 0.088
2.2010	, 11.007	, 31.420	, 0.091
2.3010	, 10.854	, 29.640	, 0.083
2.4010	, 11.511	, 30.123	, 0.080
2.5010	, 11.560	, 29.042	, 0.074
2.6010	, 10.912	, 26.361	, 0.065
2.7010	, 9.542	, 22.196	, 0.053
2.8010	, 8.635	, 19.371	, 0.044
2.9010	, 9.026	, 19.549	, 0.043
3.0010	, 8.972	, 18.785	, 0.040
3.1010	, 8.844	, 17.920	, 0.037
3.2010	, 8.326	, 16.343	, 0.033
3.3010	, 7.277	, 13.852	, 0.027
3.4010	, 7.966	, 14.717	, 0.028
3.5010	, 8.373	, 15.027	, 0.027
3.6010	, 8.485	, 14.805	, 0.026
3.7010	, 8.545	, 14.506	, 0.025
3.8010	, 9.370	, 15.489	, 0.026
3.9010	, 10.981	, 17.686	, 0.029
4.0010	, 11.959	, 18.780	, 0.030
4.1010	, 12.316	, 18.869	, 0.029
4.2010	, 12.104	, 18.103	, 0.028
4.3010	, 11.435	, 16.705	, 0.025
4.4010	, 10.903	, 15.566	, 0.023
4.5010	, 10.417	, 14.542	, 0.021
4.6010	, 9.958	, 13.599	, 0.019
4.7010	, 9.293	, 12.421	, 0.017
4.8010	, 8.550	, 11.189	, 0.015
4.9010	, 7.815	, 10.019	, 0.013
5.0010	, 7.159	, 8.994	, 0.012
5.1010	, 6.639	, 8.177	, 0.010
5.2010	, 6.635	, 8.015	, 0.010
5.3010	, 6.734	, 7.981	, 0.010
5.4010	, 6.849	, 7.968	, 0.009
5.5010	, 6.976	, 7.968	, 0.009
5.6010	, 7.109	, 7.975	, 0.009
5.7010	, 7.243	, 7.983	, 0.009
5.8010	, 7.375	, 7.988	, 0.009
5.9010	, 7.500	, 7.985	, 0.009
6.0010	, 7.615	, 7.973	, 0.009
6.1010	, 7.852	, 8.086	, 0.008
6.2010	, 8.122	, 8.230	, 0.009
6.3010	, 8.289	, 8.265	, 0.008
6.4010	, 8.341	, 8.188	, 0.008
6.5010	, 8.276	, 7.999	, 0.008
6.6010	, 8.101	, 7.711	, 0.007
6.7010	, 8.120	, 7.614	, 0.007
6.8010	, 8.296	, 7.664	, 0.007
