 
PGA:,  0.28 g
PGV:,  21.69 cm/s
PGD:,  12.55 cm
Arias Intensity:,  87.41 cm/s
Significant duration:,  11.30 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.043	, 0.278
0.1010	, 0.170	, 10.592	, 0.672
0.2010	, 0.679	, 21.221	, 0.676
0.3010	, 1.140	, 23.789	, 0.506
0.4010	, 1.290	, 20.216	, 0.323
0.5010	, 2.707	, 33.948	, 0.434
0.6010	, 3.242	, 33.891	, 0.361
0.7010	, 6.189	, 55.472	, 0.507
0.8010	, 5.131	, 40.251	, 0.322
0.9010	, 5.539	, 38.624	, 0.275
1.0010	, 5.346	, 33.557	, 0.215
1.1010	, 4.847	, 27.662	, 0.161
1.2010	, 3.548	, 18.563	, 0.099
1.3010	, 4.568	, 22.061	, 0.109
1.4010	, 5.781	, 25.928	, 0.119
1.5010	, 7.504	, 31.414	, 0.134
1.6010	, 8.050	, 31.594	, 0.126
1.7010	, 6.979	, 25.780	, 0.097
1.8010	, 6.622	, 23.104	, 0.082
1.9010	, 5.969	, 19.728	, 0.066
2.0010	, 5.906	, 18.545	, 0.059
2.1010	, 6.459	, 19.317	, 0.059
2.2010	, 6.850	, 19.554	, 0.057
2.3010	, 6.124	, 16.723	, 0.047
2.4010	, 6.728	, 17.606	, 0.047
2.5010	, 7.647	, 19.212	, 0.049
2.6010	, 8.738	, 21.107	, 0.052
2.7010	, 9.230	, 21.472	, 0.051
2.8010	, 9.600	, 21.534	, 0.049
2.9010	, 10.011	, 21.683	, 0.048
3.0010	, 10.077	, 21.098	, 0.045
3.1010	, 9.929	, 20.118	, 0.042
3.2010	, 9.585	, 18.815	, 0.038
3.3010	, 9.951	, 18.942	, 0.037
3.4010	, 11.099	, 20.505	, 0.039
3.5010	, 11.530	, 20.692	, 0.038
3.6010	, 11.249	, 19.628	, 0.035
3.7010	, 10.918	, 18.536	, 0.032
3.8010	, 10.546	, 17.433	, 0.029
3.9010	, 9.901	, 15.948	, 0.026
4.0010	, 8.936	, 14.032	, 0.022
4.1010	, 7.978	, 12.223	, 0.019
