 
PGA:,  0.11 g
PGV:,  8.35 cm/s
PGD:,  1.32 cm
Arias Intensity:,  17.69 cm/s
Significant duration:,  13.81 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.017	, 0.107
0.1010	, 0.037	, 2.294	, 0.145
0.2010	, 0.331	, 10.350	, 0.330
0.3010	, 0.752	, 15.705	, 0.334
0.4010	, 1.835	, 28.754	, 0.459
0.5010	, 1.371	, 17.190	, 0.220
0.6010	, 2.382	, 24.903	, 0.265
0.7010	, 3.405	, 30.516	, 0.279
0.8010	, 2.009	, 15.758	, 0.126
0.9010	, 2.450	, 17.085	, 0.121
1.0010	, 1.582	, 9.930	, 0.064
1.1010	, 1.940	, 11.074	, 0.064
1.2010	, 1.798	, 9.406	, 0.050
1.3010	, 1.828	, 8.830	, 0.043
1.4010	, 2.265	, 10.157	, 0.046
1.5010	, 2.656	, 11.117	, 0.047
1.6010	, 2.317	, 9.093	, 0.036
1.7010	, 2.399	, 8.862	, 0.033
1.8010	, 2.416	, 8.428	, 0.030
1.9010	, 2.846	, 9.406	, 0.032
2.0010	, 2.572	, 8.075	, 0.026
2.1010	, 2.347	, 7.019	, 0.021
2.2010	, 2.396	, 6.839	, 0.020
2.3010	, 2.288	, 6.248	, 0.017
2.4010	, 2.281	, 5.970	, 0.016
2.5010	, 2.290	, 5.754	, 0.015
2.6010	, 2.260	, 5.459	, 0.013
2.7010	, 2.264	, 5.268	, 0.012
2.8010	, 2.232	, 5.006	, 0.011
2.9010	, 2.306	, 4.995	, 0.011
3.0010	, 2.565	, 5.370	, 0.011
3.1010	, 2.744	, 5.559	, 0.011
3.2010	, 2.989	, 5.868	, 0.012
3.3010	, 2.973	, 5.658	, 0.011
3.4010	, 2.725	, 5.034	, 0.009
3.5010	, 2.856	, 5.125	, 0.009
3.6010	, 2.971	, 5.183	, 0.009
3.7010	, 3.019	, 5.126	, 0.009
3.8010	, 3.017	, 4.988	, 0.008
3.9010	, 2.972	, 4.788	, 0.008
4.0010	, 2.790	, 4.381	, 0.007
4.1010	, 2.506	, 3.840	, 0.006
4.2010	, 2.188	, 3.272	, 0.005
4.3010	, 2.186	, 3.193	, 0.005
4.4010	, 2.152	, 3.072	, 0.004
4.5010	, 2.077	, 2.900	, 0.004
