 
PGA:,  0.10 g
PGV:,  7.93 cm/s
PGD:,  0.97 cm
Arias Intensity:,  21.39 cm/s
Significant duration:,  13.12 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.015	, 0.096
0.1010	, 0.034	, 2.128	, 0.135
0.2010	, 0.301	, 9.403	, 0.300
0.3010	, 0.693	, 14.474	, 0.308
0.4010	, 1.782	, 27.915	, 0.446
0.5010	, 2.014	, 25.253	, 0.323
0.6010	, 2.264	, 23.669	, 0.252
0.7010	, 2.442	, 21.888	, 0.200
0.8010	, 1.527	, 11.980	, 0.096
0.9010	, 1.291	, 9.005	, 0.064
1.0010	, 1.053	, 6.612	, 0.042
1.1010	, 1.343	, 7.663	, 0.045
1.2010	, 1.942	, 10.158	, 0.054
1.3010	, 1.720	, 8.308	, 0.041
1.4010	, 1.235	, 5.538	, 0.025
1.5010	, 1.413	, 5.915	, 0.025
1.6010	, 1.551	, 6.088	, 0.024
1.7010	, 1.774	, 6.551	, 0.025
1.8010	, 1.743	, 6.081	, 0.022
1.9010	, 1.834	, 6.062	, 0.020
2.0010	, 1.541	, 4.838	, 0.015
2.1010	, 1.474	, 4.408	, 0.013
2.2010	, 1.326	, 3.785	, 0.011
2.3010	, 1.275	, 3.480	, 0.010
2.4010	, 1.318	, 3.448	, 0.009
2.5010	, 1.346	, 3.380	, 0.009
2.6010	, 1.380	, 3.334	, 0.008
2.7010	, 1.340	, 3.116	, 0.007
2.8010	, 1.206	, 2.705	, 0.006
2.9010	, 1.223	, 2.649	, 0.006
3.0010	, 1.242	, 2.601	, 0.006
3.1010	, 1.304	, 2.642	, 0.005
3.2010	, 1.311	, 2.574	, 0.005
3.3010	, 1.216	, 2.314	, 0.004
3.4010	, 1.072	, 1.980	, 0.004
3.5010	, 0.974	, 1.748	, 0.003
3.6010	, 1.016	, 1.772	, 0.003
3.7010	, 1.039	, 1.764	, 0.003
3.8010	, 1.024	, 1.692	, 0.003
3.9010	, 0.980	, 1.578	, 0.003
4.0010	, 0.923	, 1.450	, 0.002
4.1010	, 0.890	, 1.364	, 0.002
4.2010	, 0.884	, 1.322	, 0.002
4.3010	, 0.864	, 1.262	, 0.002
