 
PGA:,  0.13 g
PGV:,  10.20 cm/s
PGD:,  3.97 cm
Arias Intensity:,  34.59 cm/s
Significant duration:,  20.40 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.021	, 0.133
0.1010	, 0.063	, 3.890	, 0.247
0.2010	, 0.401	, 12.523	, 0.399
0.3010	, 0.681	, 14.212	, 0.302
0.4010	, 1.572	, 24.636	, 0.393
0.5010	, 1.372	, 17.202	, 0.220
0.6010	, 1.990	, 20.803	, 0.222
0.7010	, 3.236	, 29.009	, 0.265
0.8010	, 3.001	, 23.542	, 0.188
0.9010	, 3.354	, 23.392	, 0.166
1.0010	, 3.391	, 21.288	, 0.136
1.1010	, 3.043	, 17.364	, 0.101
1.2010	, 3.034	, 15.874	, 0.085
1.3010	, 3.373	, 16.291	, 0.080
1.4010	, 3.195	, 14.328	, 0.066
1.5010	, 3.946	, 16.518	, 0.070
1.6010	, 4.831	, 18.958	, 0.076
1.7010	, 4.846	, 17.899	, 0.067
1.8010	, 5.197	, 18.131	, 0.064
1.9010	, 4.315	, 14.261	, 0.048
2.0010	, 4.436	, 13.930	, 0.045
2.1010	, 4.960	, 14.834	, 0.045
2.2010	, 5.171	, 14.760	, 0.043
2.3010	, 5.398	, 14.741	, 0.041
2.4010	, 5.700	, 14.916	, 0.040
2.5010	, 5.703	, 14.329	, 0.037
2.6010	, 5.151	, 12.442	, 0.031
2.7010	, 4.593	, 10.684	, 0.025
2.8010	, 4.679	, 10.495	, 0.024
2.9010	, 4.864	, 10.535	, 0.023
3.0010	, 4.813	, 10.077	, 0.022
3.1010	, 4.557	, 9.234	, 0.019
3.2010	, 4.155	, 8.156	, 0.016
3.3010	, 3.669	, 6.984	, 0.014
3.4010	, 3.605	, 6.660	, 0.013
3.5010	, 3.602	, 6.465	, 0.012
3.6010	, 3.782	, 6.599	, 0.012
3.7010	, 4.498	, 7.636	, 0.013
3.8010	, 5.252	, 8.683	, 0.015
3.9010	, 5.818	, 9.371	, 0.015
4.0010	, 6.449	, 10.127	, 0.016
4.1010	, 6.682	, 10.237	, 0.016
4.2010	, 6.651	, 9.947	, 0.015
4.3010	, 6.564	, 9.589	, 0.014
4.4010	, 6.572	, 9.382	, 0.014
4.5010	, 6.703	, 9.357	, 0.013
4.6010	, 6.862	, 9.371	, 0.013
4.7010	, 6.929	, 9.261	, 0.013
4.8010	, 6.873	, 8.994	, 0.012
4.9010	, 6.907	, 8.854	, 0.012
5.0010	, 6.840	, 8.594	, 0.011
5.1010	, 6.573	, 8.097	, 0.010
5.2010	, 6.186	, 7.473	, 0.009
5.3010	, 5.780	, 6.851	, 0.008
5.4010	, 5.442	, 6.331	, 0.008
5.5010	, 5.225	, 5.968	, 0.007
5.6010	, 5.136	, 5.761	, 0.007
5.7010	, 5.143	, 5.668	, 0.006
5.8010	, 5.195	, 5.627	, 0.006
5.9010	, 5.236	, 5.575	, 0.006
6.0010	, 5.225	, 5.470	, 0.006
6.1010	, 5.137	, 5.290	, 0.006
6.2010	, 4.968	, 5.034	, 0.005
6.3010	, 4.731	, 4.718	, 0.005
6.4010	, 4.449	, 4.367	, 0.004
6.5010	, 4.152	, 4.013	, 0.004
6.6010	, 3.869	, 3.682	, 0.004
6.7010	, 3.625	, 3.399	, 0.003
6.8010	, 3.439	, 3.178	, 0.003
6.9010	, 3.318	, 3.021	, 0.003
7.0010	, 3.258	, 2.924	, 0.003
7.1010	, 3.250	, 2.876	, 0.003
7.2010	, 3.278	, 2.860	, 0.003
7.3010	, 3.322	, 2.859	, 0.003
7.4010	, 3.364	, 2.856	, 0.002
7.5010	, 3.388	, 2.838	, 0.002
7.6010	, 3.380	, 2.794	, 0.002
7.7010	, 3.469	, 2.830	, 0.002
7.8010	, 3.636	, 2.929	, 0.002
7.9010	, 3.799	, 3.021	, 0.002
8.0010	, 3.946	, 3.098	, 0.002
8.1010	, 4.068	, 3.155	, 0.002
8.2010	, 4.159	, 3.186	, 0.002
8.3010	, 4.214	, 3.190	, 0.002
8.4010	, 4.315	, 3.227	, 0.002
