 
PGA:,  0.19 g
PGV:,  20.22 cm/s
PGD:,  5.33 cm
Arias Intensity:,  77.37 cm/s
Significant duration:,  16.12 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.030	, 0.193
0.1010	, 0.059	, 3.682	, 0.233
0.2010	, 0.518	, 16.181	, 0.516
0.3010	, 1.260	, 26.292	, 0.559
0.4010	, 2.488	, 38.983	, 0.623
0.5010	, 2.004	, 25.129	, 0.321
0.6010	, 3.643	, 38.088	, 0.406
0.7010	, 5.906	, 52.938	, 0.484
0.8010	, 5.859	, 45.956	, 0.367
0.9010	, 5.026	, 35.046	, 0.249
1.0010	, 5.638	, 35.392	, 0.226
1.1010	, 6.866	, 39.185	, 0.228
1.2010	, 11.395	, 59.615	, 0.318
1.3010	, 12.581	, 60.760	, 0.299
1.4010	, 10.418	, 46.721	, 0.214
1.5010	, 8.754	, 36.644	, 0.156
1.6010	, 9.016	, 35.383	, 0.142
1.7010	, 9.536	, 35.225	, 0.133
1.8010	, 9.145	, 31.904	, 0.113
1.9010	, 9.053	, 29.923	, 0.101
2.0010	, 8.560	, 26.878	, 0.086
2.1010	, 7.951	, 23.778	, 0.072
2.2010	, 7.454	, 21.278	, 0.062
2.3010	, 8.463	, 23.110	, 0.064
2.4010	, 8.834	, 23.118	, 0.062
2.5010	, 8.095	, 20.336	, 0.052
2.6010	, 8.575	, 20.713	, 0.051
2.7010	, 9.125	, 21.227	, 0.050
2.8010	, 8.919	, 20.007	, 0.046
2.9010	, 9.344	, 20.238	, 0.045
3.0010	, 9.608	, 20.115	, 0.043
3.1010	, 10.229	, 20.727	, 0.043
3.2010	, 11.110	, 21.807	, 0.044
3.3010	, 11.719	, 22.306	, 0.043
3.4010	, 11.547	, 21.332	, 0.040
3.5010	, 11.372	, 20.409	, 0.037
3.6010	, 11.129	, 19.418	, 0.035
3.7010	, 10.890	, 18.488	, 0.032
3.8010	, 10.208	, 16.874	, 0.028
3.9010	, 9.211	, 14.836	, 0.024
4.0010	, 8.184	, 12.852	, 0.021
4.1010	, 7.427	, 11.378	, 0.018
4.2010	, 7.462	, 11.161	, 0.017
4.3010	, 7.770	, 11.351	, 0.017
4.4010	, 7.987	, 11.404	, 0.017
4.5010	, 8.505	, 11.872	, 0.017
4.6010	, 9.125	, 12.462	, 0.017
4.7010	, 9.567	, 12.787	, 0.017
