 
PGA:,  0.23 g
PGV:,  7.26 cm/s
PGD:,  0.72 cm
Arias Intensity:,  30.44 cm/s
Significant duration:,   8.82 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.037	, 0.234
0.1010	, 0.086	, 5.372	, 0.341
0.2010	, 0.832	, 26.017	, 0.829
0.3010	, 0.693	, 14.473	, 0.308
0.4010	, 0.666	, 10.431	, 0.167
0.5010	, 0.724	, 9.076	, 0.116
0.6010	, 0.780	, 8.155	, 0.087
0.7010	, 1.480	, 13.270	, 0.121
0.8010	, 1.073	, 8.415	, 0.067
0.9010	, 1.008	, 7.029	, 0.050
1.0010	, 1.422	, 8.928	, 0.057
1.1010	, 1.872	, 10.682	, 0.062
1.2010	, 1.562	, 8.174	, 0.044
1.3010	, 1.314	, 6.346	, 0.031
1.4010	, 1.944	, 8.718	, 0.040
1.5010	, 1.920	, 8.039	, 0.034
1.6010	, 2.027	, 7.955	, 0.032
1.7010	, 1.779	, 6.573	, 0.025
1.8010	, 1.531	, 5.340	, 0.019
1.9010	, 1.341	, 4.431	, 0.015
2.0010	, 1.341	, 4.212	, 0.013
2.1010	, 1.486	, 4.445	, 0.014
2.2010	, 1.395	, 3.982	, 0.012
2.3010	, 1.355	, 3.699	, 0.010
2.4010	, 1.444	, 3.779	, 0.010
2.5010	, 1.719	, 4.318	, 0.011
2.6010	, 1.825	, 4.410	, 0.011
2.7010	, 1.806	, 4.202	, 0.010
2.8010	, 1.718	, 3.854	, 0.009
2.9010	, 1.584	, 3.431	, 0.008
3.0010	, 1.514	, 3.169	, 0.007
3.1010	, 1.479	, 2.997	, 0.006
3.2010	, 1.405	, 2.759	, 0.006
3.3010	, 1.217	, 2.317	, 0.004
3.4010	, 1.353	, 2.500	, 0.005
3.5010	, 1.364	, 2.448	, 0.004
3.6010	, 1.296	, 2.261	, 0.004
3.7010	, 1.268	, 2.153	, 0.004
3.8010	, 1.258	, 2.080	, 0.004
3.9010	, 1.190	, 1.917	, 0.003
4.0010	, 1.174	, 1.843	, 0.003
4.1010	, 1.146	, 1.756	, 0.003
4.2010	, 1.083	, 1.619	, 0.002
4.3010	, 1.011	, 1.477	, 0.002
4.4010	, 0.941	, 1.343	, 0.002
4.5010	, 0.871	, 1.216	, 0.002
4.6010	, 0.835	, 1.140	, 0.002
4.7010	, 0.804	, 1.075	, 0.001
4.8010	, 0.777	, 1.017	, 0.001
4.9010	, 0.755	, 0.968	, 0.001
