 
PGA:,  0.58 g
PGV:,  74.92 cm/s
PGD:,  17.34 cm
Arias Intensity:,  435.98 cm/s
Significant duration:,   5.88 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.091	, 0.583
0.1010	, 0.242	, 15.070	, 0.956
0.2010	, 1.215	, 37.966	, 1.210
0.3010	, 5.359	, 111.862	, 2.380
0.4010	, 5.195	, 81.401	, 1.300
0.5010	, 7.513	, 94.221	, 1.205
0.6010	, 11.394	, 119.119	, 1.269
0.7010	, 10.058	, 90.151	, 0.824
0.8010	, 12.713	, 99.722	, 0.797
0.9010	, 16.841	, 117.441	, 0.835
1.0010	, 18.231	, 114.435	, 0.732
1.1010	, 19.736	, 112.628	, 0.655
1.2010	, 26.977	, 141.132	, 0.753
1.3010	, 30.935	, 149.399	, 0.735
1.4010	, 30.446	, 136.546	, 0.624
1.5010	, 28.937	, 121.131	, 0.517
1.6010	, 26.859	, 105.409	, 0.422
1.7010	, 25.009	, 92.380	, 0.348
1.8010	, 23.964	, 83.604	, 0.297
1.9010	, 24.125	, 79.737	, 0.269
2.0010	, 25.767	, 80.908	, 0.259
2.1010	, 28.023	, 83.804	, 0.255
2.2010	, 29.055	, 82.944	, 0.241
2.3010	, 30.456	, 83.163	, 0.231
2.4010	, 31.629	, 82.770	, 0.221
2.5010	, 32.099	, 80.641	, 0.207
2.6010	, 31.810	, 76.843	, 0.189
2.7010	, 32.622	, 75.886	, 0.180
2.8010	, 33.323	, 74.750	, 0.171
2.9010	, 33.957	, 73.547	, 0.162
3.0010	, 34.502	, 72.236	, 0.154
3.1010	, 34.929	, 70.771	, 0.146
3.2010	, 35.166	, 69.028	, 0.138
3.3010	, 35.096	, 66.802	, 0.130
3.4010	, 34.817	, 64.324	, 0.121
3.5010	, 35.823	, 64.290	, 0.118
3.6010	, 36.649	, 63.947	, 0.114
3.7010	, 37.281	, 63.292	, 0.110
3.8010	, 37.703	, 62.324	, 0.105
3.9010	, 37.932	, 61.096	, 0.100
4.0010	, 38.415	, 60.328	, 0.097
4.1010	, 38.789	, 59.430	, 0.093
4.2010	, 38.910	, 58.195	, 0.089
4.3010	, 38.779	, 56.651	, 0.084
4.4010	, 38.410	, 54.837	, 0.080
4.5010	, 37.821	, 52.797	, 0.075
4.6010	, 37.040	, 50.582	, 0.070
4.7010	, 36.094	, 48.243	, 0.066
4.8010	, 35.012	, 45.821	, 0.061
4.9010	, 33.821	, 43.359	, 0.057
5.0010	, 32.551	, 40.897	, 0.052
5.1010	, 32.177	, 39.634	, 0.050
5.2010	, 32.574	, 39.351	, 0.048
5.3010	, 32.881	, 38.974	, 0.047
5.4010	, 33.112	, 38.521	, 0.046
5.5010	, 33.289	, 38.022	, 0.044
5.6010	, 33.395	, 37.462	, 0.043
5.7010	, 33.447	, 36.863	, 0.041
5.8010	, 33.456	, 36.237	, 0.040
5.9010	, 33.413	, 35.577	, 0.039
6.0010	, 33.334	, 34.901	, 0.037
6.1010	, 33.223	, 34.215	, 0.036
6.2010	, 33.076	, 33.514	, 0.035
6.3010	, 32.911	, 32.818	, 0.033
6.4010	, 32.725	, 32.123	, 0.032
6.5010	, 32.533	, 31.443	, 0.031
6.6010	, 32.336	, 30.780	, 0.030
6.7010	, 32.127	, 30.124	, 0.029
6.8010	, 31.905	, 29.476	, 0.028
6.9010	, 31.668	, 28.833	, 0.027
7.0010	, 31.419	, 28.198	, 0.026
7.1010	, 31.168	, 27.578	, 0.025
7.2010	, 30.907	, 26.967	, 0.024
7.3010	, 30.638	, 26.367	, 0.023
7.4010	, 30.363	, 25.777	, 0.022
7.5010	, 30.085	, 25.200	, 0.022
7.6010	, 29.803	, 24.636	, 0.021
7.7010	, 29.520	, 24.085	, 0.020
7.8010	, 29.236	, 23.547	, 0.019
7.9010	, 28.958	, 23.028	, 0.019
8.0010	, 28.681	, 22.523	, 0.018
8.1010	, 28.405	, 22.031	, 0.017
8.2010	, 28.132	, 21.554	, 0.017
8.3010	, 27.862	, 21.089	, 0.016
8.4010	, 27.595	, 20.639	, 0.016
8.5010	, 27.332	, 20.202	, 0.015
8.6010	, 27.073	, 19.777	, 0.015
8.7010	, 26.819	, 19.366	, 0.014
8.8010	, 26.569	, 18.968	, 0.014
8.9010	, 26.323	, 18.582	, 0.013
9.0010	, 26.083	, 18.208	, 0.013
9.1010	, 25.848	, 17.845	, 0.013
9.2010	, 25.618	, 17.494	, 0.012
9.3010	, 25.394	, 17.155	, 0.012
9.4010	, 25.175	, 16.826	, 0.011
9.5010	, 24.961	, 16.507	, 0.011
9.6010	, 24.752	, 16.198	, 0.011
9.7010	, 24.549	, 15.900	, 0.010
9.8010	, 24.350	, 15.610	, 0.010
9.9010	, 24.157	, 15.330	, 0.010
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	-0.0044942	0.0000000	0.0000000	0.0000000
0.020	0.0013120	-0.0312176	-0.0003122	0.0000008
0.040	0.0100528	0.0802711	0.0001784	0.0000044
0.060	0.0086262	0.2635120	0.0036162	0.0000106
0.080	-0.0001057	0.3470986	0.0097223	0.0000132
0.100	-0.0058132	0.2890344	0.0160836	0.0000144
0.120	-0.0193758	0.0419298	0.0193933	0.0000289
0.140	-0.0309168	-0.4514410	0.0152982	0.0000760
0.160	-0.0078349	-0.8315956	0.0024678	0.0001119
0.180	0.0281683	-0.6321254	-0.0121694	0.0001421
0.200	0.0308185	-0.0534648	-0.0190253	0.0002037
0.220	0.0148874	0.3949102	-0.0156109	0.0002451
0.240	-0.0069332	0.4729405	-0.0069324	0.0002547
0.260	-0.0182152	0.2262339	0.0000594	0.0002681
0.280	-0.0232661	-0.1806977	0.0005147	0.0002990
0.300	-0.0006515	-0.4153288	-0.0054455	0.0003181
0.320	0.0173548	-0.2514695	-0.0121135	0.0003288
0.340	0.0055321	-0.0269495	-0.0148977	0.0003405
