 
PGA:,  0.34 g
PGV:,  31.53 cm/s
PGD:,  10.82 cm
Arias Intensity:,  199.58 cm/s
Significant duration:,  15.69 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.053	, 0.341
0.1010	, 0.199	, 12.383	, 0.785
0.2010	, 1.030	, 32.196	, 1.026
0.3010	, 2.236	, 46.665	, 0.993
0.4010	, 3.275	, 51.309	, 0.820
0.5010	, 4.298	, 53.900	, 0.689
0.6010	, 4.975	, 52.015	, 0.554
0.7010	, 5.948	, 53.311	, 0.487
0.8010	, 6.259	, 49.097	, 0.393
0.9010	, 6.925	, 48.291	, 0.343
1.0010	, 7.663	, 48.099	, 0.308
1.1010	, 12.426	, 70.910	, 0.413
1.2010	, 15.152	, 79.270	, 0.423
1.3010	, 19.232	, 92.883	, 0.457
1.4010	, 21.690	, 97.276	, 0.445
1.5010	, 19.606	, 82.070	, 0.350
1.6010	, 18.198	, 71.419	, 0.286
1.7010	, 17.594	, 64.989	, 0.245
1.8010	, 16.882	, 58.897	, 0.209
1.9010	, 17.745	, 58.651	, 0.198
2.0010	, 18.017	, 56.574	, 0.181
2.1010	, 19.148	, 57.262	, 0.175
2.2010	, 18.353	, 52.392	, 0.152
2.3010	, 19.481	, 53.195	, 0.148
2.4010	, 23.829	, 62.358	, 0.166
2.5010	, 27.983	, 70.302	, 0.180
2.6010	, 26.084	, 63.011	, 0.155
2.7010	, 22.664	, 52.722	, 0.125
2.8010	, 21.900	, 49.126	, 0.112
2.9010	, 22.249	, 48.189	, 0.106
3.0010	, 24.075	, 50.406	, 0.108
3.1010	, 24.744	, 50.137	, 0.104
3.2010	, 21.370	, 41.947	, 0.084
3.3010	, 22.326	, 42.496	, 0.082
3.4010	, 22.433	, 41.444	, 0.078
3.5010	, 21.167	, 37.987	, 0.069
3.6010	, 21.171	, 36.940	, 0.066
3.7010	, 20.581	, 34.940	, 0.060
3.8010	, 19.497	, 32.229	, 0.054
3.9010	, 18.032	, 29.043	, 0.048
4.0010	, 16.953	, 26.624	, 0.043
4.1010	, 16.839	, 25.799	, 0.040
4.2010	, 16.667	, 24.927	, 0.038
4.3010	, 16.442	, 24.020	, 0.036
4.4010	, 16.677	, 23.809	, 0.035
4.5010	, 18.905	, 26.391	, 0.038
4.6010	, 21.779	, 29.742	, 0.041
4.7010	, 24.536	, 32.794	, 0.045
4.8010	, 26.610	, 34.825	, 0.046
4.9010	, 27.608	, 35.394	, 0.046
5.0010	, 28.405	, 35.687	, 0.046
5.1010	, 28.537	, 35.150	, 0.044
5.2010	, 28.455	, 34.376	, 0.042
5.3010	, 28.601	, 33.901	, 0.041
5.4010	, 27.825	, 32.370	, 0.038
5.5010	, 27.338	, 31.225	, 0.036
5.6010	, 27.095	, 30.395	, 0.035
5.7010	, 26.268	, 28.950	, 0.033
5.8010	, 24.964	, 27.039	, 0.030
5.9010	, 23.297	, 24.806	, 0.027
6.0010	, 21.386	, 22.392	, 0.024
6.1010	, 19.347	, 19.925	, 0.021
6.2010	, 17.647	, 17.881	, 0.018
6.3010	, 16.570	, 16.523	, 0.017
6.4010	, 16.328	, 16.027	, 0.016
6.5010	, 16.375	, 15.826	, 0.016
6.6010	, 16.370	, 15.582	, 0.015
6.7010	, 16.321	, 15.304	, 0.015
6.8010	, 16.231	, 14.995	, 0.014
6.9010	, 16.110	, 14.668	, 0.014
7.0010	, 15.959	, 14.323	, 0.013
7.1010	, 15.783	, 13.965	, 0.013
7.2010	, 15.590	, 13.603	, 0.012
7.3010	, 15.380	, 13.236	, 0.012
7.4010	, 15.157	, 12.868	, 0.011
7.5010	, 14.925	, 12.502	, 0.011
7.6010	, 14.688	, 12.141	, 0.010
7.7010	, 14.445	, 11.786	, 0.010
7.8010	, 14.200	, 11.437	, 0.009
7.9010	, 13.955	, 11.097	, 0.009
8.0010	, 13.711	, 10.767	, 0.009
8.1010	, 13.469	, 10.447	, 0.008
8.2010	, 13.231	, 10.137	, 0.008
8.3010	, 12.997	, 9.838	, 0.008
8.4010	, 12.769	, 9.550	, 0.007
8.5010	, 12.545	, 9.273	, 0.007
8.6010	, 12.329	, 9.007	, 0.007
8.7010	, 12.119	, 8.751	, 0.006
8.8010	, 11.916	, 8.507	, 0.006
8.9010	, 11.966	, 8.447	, 0.006
9.0010	, 11.992	, 8.371	, 0.006
9.1010	, 11.992	, 8.279	, 0.006
9.2010	, 11.970	, 8.174	, 0.006
9.3010	, 11.929	, 8.059	, 0.006
9.4010	, 11.873	, 7.935	, 0.005
9.5010	, 11.804	, 7.806	, 0.005
9.6010	, 11.725	, 7.673	, 0.005
