 
PGA:,  0.30 g
PGV:,  30.78 cm/s
PGD:,  10.64 cm
Arias Intensity:,  160.62 cm/s
Significant duration:,  10.08 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.047	, 0.301
0.1010	, 0.092	, 5.715	, 0.362
0.2010	, 0.613	, 19.177	, 0.611
0.3010	, 2.180	, 45.502	, 0.968
0.4010	, 2.513	, 39.369	, 0.629
0.5010	, 4.888	, 61.300	, 0.784
0.6010	, 6.976	, 72.930	, 0.777
0.7010	, 8.273	, 74.150	, 0.677
0.8010	, 10.963	, 85.997	, 0.688
0.9010	, 14.029	, 97.835	, 0.695
1.0010	, 12.346	, 77.493	, 0.496
1.1010	, 8.506	, 48.541	, 0.282
1.2010	, 12.772	, 66.819	, 0.356
1.3010	, 16.550	, 79.926	, 0.393
1.4010	, 17.052	, 76.475	, 0.350
1.5010	, 14.956	, 62.605	, 0.267
1.6010	, 11.593	, 45.498	, 0.182
1.7010	, 9.996	, 36.924	, 0.139
1.8010	, 9.134	, 31.865	, 0.113
1.9010	, 8.903	, 29.427	, 0.099
2.0010	, 10.549	, 33.125	, 0.106
2.1010	, 12.876	, 38.508	, 0.117
2.2010	, 14.912	, 42.569	, 0.124
2.3010	, 15.945	, 43.539	, 0.121
2.4010	, 15.998	, 41.866	, 0.112
2.5010	, 15.654	, 39.328	, 0.101
2.6010	, 15.753	, 38.054	, 0.094
2.7010	, 16.855	, 39.209	, 0.093
2.8010	, 18.951	, 42.511	, 0.097
2.9010	, 21.556	, 46.688	, 0.103
3.0010	, 24.379	, 51.043	, 0.109
3.1010	, 27.436	, 55.590	, 0.115
3.2010	, 30.420	, 59.711	, 0.119
3.3010	, 33.202	, 63.198	, 0.123
3.4010	, 34.936	, 64.543	, 0.122
3.5010	, 35.442	, 63.608	, 0.116
3.6010	, 38.411	, 67.021	, 0.119
3.7010	, 40.959	, 69.537	, 0.120
3.8010	, 42.667	, 70.531	, 0.119
3.9010	, 43.524	, 70.103	, 0.115
4.0010	, 43.549	, 68.390	, 0.109
4.1010	, 42.800	, 65.574	, 0.102
4.2010	, 41.376	, 61.884	, 0.094
4.3010	, 39.368	, 57.511	, 0.086
4.4010	, 36.889	, 52.666	, 0.077
4.5010	, 34.076	, 47.569	, 0.068
4.6010	, 32.467	, 44.338	, 0.062
4.7010	, 32.429	, 43.343	, 0.059
4.8010	, 32.101	, 42.011	, 0.056
4.9010	, 31.519	, 40.408	, 0.053
5.0010	, 30.721	, 38.597	, 0.049
5.1010	, 29.764	, 36.662	, 0.046
5.2010	, 28.658	, 34.621	, 0.043
5.3010	, 27.439	, 32.523	, 0.039
5.4010	, 26.156	, 30.428	, 0.036
5.5010	, 25.409	, 29.021	, 0.034
5.6010	, 25.405	, 28.500	, 0.033
5.7010	, 25.333	, 27.920	, 0.031
5.8010	, 25.213	, 27.309	, 0.030
5.9010	, 25.038	, 26.660	, 0.029
6.0010	, 24.821	, 25.988	, 0.028
6.1010	, 24.563	, 25.297	, 0.027
6.2010	, 24.273	, 24.594	, 0.025
6.3010	, 23.950	, 23.883	, 0.024
6.4010	, 23.608	, 23.174	, 0.023
6.5010	, 23.248	, 22.469	, 0.022
6.6010	, 22.884	, 21.783	, 0.021
6.7010	, 22.552	, 21.146	, 0.020
6.8010	, 22.214	, 20.522	, 0.019
6.9010	, 21.861	, 19.904	, 0.018
7.0010	, 21.500	, 19.296	, 0.018
7.1010	, 21.133	, 18.699	, 0.017
7.2010	, 20.756	, 18.110	, 0.016
7.3010	, 20.373	, 17.533	, 0.015
7.4010	, 19.991	, 16.972	, 0.015
7.5010	, 19.609	, 16.425	, 0.014
7.6010	, 19.226	, 15.893	, 0.013
7.7010	, 18.844	, 15.375	, 0.013
7.8010	, 18.627	, 15.003	, 0.012
7.9010	, 18.583	, 14.778	, 0.012
8.0010	, 18.536	, 14.556	, 0.012
8.1010	, 18.488	, 14.340	, 0.011
8.2010	, 18.438	, 14.126	, 0.011
8.3010	, 18.384	, 13.915	, 0.011
8.4010	, 18.328	, 13.707	, 0.010
8.5010	, 18.269	, 13.503	, 0.010
8.6010	, 18.209	, 13.302	, 0.010
8.7010	, 18.147	, 13.104	, 0.010
8.8010	, 18.083	, 12.910	, 0.009
8.9010	, 18.018	, 12.719	, 0.009
9.0010	, 17.952	, 12.531	, 0.009
9.1010	, 17.885	, 12.348	, 0.009
9.2010	, 17.817	, 12.167	, 0.008
9.3010	, 17.749	, 11.990	, 0.008
9.4010	, 17.680	, 11.817	, 0.008
9.5010	, 17.611	, 11.646	, 0.008
9.6010	, 17.542	, 11.480	, 0.008
9.7010	, 17.472	, 11.316	, 0.007
9.8010	, 17.402	, 11.156	, 0.007
9.9010	, 17.333	, 10.999	, 0.007
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	-0.0061538	0.0000000	0.0000000	0.0000000
0.020	-0.0121022	-0.1790907	-0.0017909	0.0000177
0.040	-0.0109280	-0.4050161	-0.0076320	0.0000432
0.060	-0.0018448	-0.5303171	-0.0169853	0.0000550
0.080	0.0060408	-0.4891546	-0.0271800	0.0000588
0.100	-0.0031322	-0.4606217	-0.0366778	0.0000632
0.120	-0.0012944	-0.5040470	-0.0463245	0.0000643
0.140	0.0032677	-0.4846891	-0.0562118	0.0000655
0.160	0.0051675	-0.4019394	-0.0650781	0.0000691
0.180	0.0104434	-0.2487957	-0.0715855	0.0000821
0.200	0.0111160	-0.0372972	-0.0744464	0.0001045
0.220	0.0080686	0.1509036	-0.0733103	0.0001226
0.240	-0.0024944	0.2055865	-0.0697454	0.0001294
0.260	-0.0166284	0.0179922	-0.0675096	0.0001565
0.280	-0.0194324	-0.3357641	-0.0706874	0.0002193
0.300	-0.0116080	-0.6402707	-0.0804477	0.0002684
0.320	-0.0014235	-0.7681105	-0.0945315	0.0002816
0.340	0.0039404	-0.7434203	-0.1096468	0.0002832
0.360	0.0031454	-0.6739088	-0.1238201	0.0002857
0.380	0.0118782	-0.5265271	-0.1358245	0.0003002
0.400	0.0198132	-0.2156341	-0.1432461	0.0003514
0.420	0.0263783	0.2375050	-0.1430274	0.0004558
0.440	0.0208125	0.7004465	-0.1336479	0.0005641
0.460	0.0014061	0.9184109	-0.1174593	0.0006058
0.480	-0.0095037	0.8389740	-0.0998854	0.0006147
0.500	-0.0193640	0.5557819	-0.0859379	0.0006593
0.520	-0.0255973	0.1147113	-0.0792330	0.0007582
0.540	-0.0206892	-0.3393600	-0.0814794	0.0008621
0.560	-0.0162576	-0.7018087	-0.0918911	0.0009285
0.580	-0.0085111	-0.9447892	-0.1083571	0.0009608
0.600	0.0034725	-0.9942175	-0.1277472	0.0009689
0.620	0.0218309	-0.7459907	-0.1451493	0.0010158
0.640	0.0369998	-0.1688611	-0.1542978	0.0011928
0.660	0.0344277	0.5318422	-0.1506680	0.0014379
0.680	0.0149143	1.0158870	-0.1351907	0.0015729
0.700	-0.0055478	1.1077726	-0.1139541	0.0015972
