 
PGA:,  0.14 g
PGV:,  8.09 cm/s
PGD:,  2.09 cm
Arias Intensity:,  43.51 cm/s
Significant duration:,  14.36 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.022	, 0.142
0.1010	, 0.110	, 6.816	, 0.432
0.2010	, 0.556	, 17.371	, 0.554
0.3010	, 0.834	, 17.407	, 0.370
0.4010	, 1.983	, 31.078	, 0.496
0.5010	, 1.873	, 23.485	, 0.300
0.6010	, 1.718	, 17.959	, 0.191
0.7010	, 2.009	, 18.011	, 0.165
0.8010	, 1.953	, 15.322	, 0.123
0.9010	, 2.240	, 15.618	, 0.111
1.0010	, 3.405	, 21.372	, 0.137
1.1010	, 2.548	, 14.543	, 0.085
1.2010	, 2.279	, 11.921	, 0.064
1.3010	, 2.361	, 11.400	, 0.056
1.4010	, 3.021	, 13.551	, 0.062
1.5010	, 3.624	, 15.170	, 0.065
1.6010	, 3.050	, 11.970	, 0.048
1.7010	, 2.901	, 10.716	, 0.040
1.8010	, 2.925	, 10.204	, 0.036
1.9010	, 2.464	, 8.142	, 0.027
2.0010	, 2.080	, 6.532	, 0.021
2.1010	, 1.957	, 5.854	, 0.018
2.2010	, 1.989	, 5.677	, 0.017
2.3010	, 2.212	, 6.040	, 0.017
2.4010	, 2.362	, 6.181	, 0.016
2.5010	, 2.751	, 6.912	, 0.018
2.6010	, 3.212	, 7.759	, 0.019
2.7010	, 3.334	, 7.756	, 0.018
2.8010	, 3.600	, 8.075	, 0.018
2.9010	, 3.729	, 8.077	, 0.018
3.0010	, 4.023	, 8.422	, 0.018
3.1010	, 4.521	, 9.161	, 0.019
3.2010	, 5.046	, 9.905	, 0.020
3.3010	, 5.930	, 11.288	, 0.022
3.4010	, 6.568	, 12.134	, 0.023
3.5010	, 6.942	, 12.459	, 0.023
3.6010	, 7.318	, 12.769	, 0.023
3.7010	, 7.656	, 12.998	, 0.022
3.8010	, 7.757	, 12.822	, 0.022
3.9010	, 7.563	, 12.181	, 0.020
4.0010	, 7.155	, 11.237	, 0.018
4.1010	, 6.578	, 10.079	, 0.016
4.2010	, 6.040	, 9.034	, 0.014
4.3010	, 5.578	, 8.149	, 0.012
4.4010	, 5.174	, 7.387	, 0.011
4.5010	, 5.154	, 7.195	, 0.010
4.6010	, 5.115	, 6.985	, 0.010
4.7010	, 5.278	, 7.054	, 0.010
4.8010	, 5.329	, 6.974	, 0.009
4.9010	, 5.259	, 6.742	, 0.009
5.0010	, 5.073	, 6.374	, 0.008
5.1010	, 4.819	, 5.936	, 0.007
5.2010	, 4.503	, 5.440	, 0.007
5.3010	, 4.442	, 5.265	, 0.006
5.4010	, 4.674	, 5.437	, 0.006
5.5010	, 4.760	, 5.437	, 0.006
5.6010	, 4.654	, 5.221	, 0.006
5.7010	, 4.535	, 4.998	, 0.006
5.8010	, 4.480	, 4.852	, 0.005
5.9010	, 4.305	, 4.584	, 0.005
6.0010	, 4.048	, 4.238	, 0.005
6.1010	, 4.024	, 4.144	, 0.004
6.2010	, 4.022	, 4.076	, 0.004
6.3010	, 3.999	, 3.988	, 0.004
6.4010	, 3.959	, 3.886	, 0.004
6.5010	, 3.902	, 3.771	, 0.004
6.6010	, 3.830	, 3.646	, 0.004
6.7010	, 3.746	, 3.512	, 0.003
6.8010	, 3.652	, 3.374	, 0.003
6.9010	, 3.550	, 3.232	, 0.003
7.0010	, 3.539	, 3.176	, 0.003
7.1010	, 3.827	, 3.386	, 0.003
7.2010	, 4.121	, 3.596	, 0.003
7.3010	, 4.406	, 3.792	, 0.003
7.4010	, 4.669	, 3.964	, 0.003
7.5010	, 4.899	, 4.103	, 0.004
7.6010	, 5.089	, 4.207	, 0.004
7.7010	, 5.235	, 4.271	, 0.004
7.8010	, 5.334	, 4.296	, 0.004
7.9010	, 5.385	, 4.283	, 0.003
8.0010	, 5.390	, 4.233	, 0.003
8.1010	, 5.351	, 4.150	, 0.003
8.2010	, 5.273	, 4.040	, 0.003
8.3010	, 5.175	, 3.917	, 0.003
8.4010	, 5.054	, 3.780	, 0.003
8.5010	, 4.913	, 3.631	, 0.003
8.6010	, 4.751	, 3.471	, 0.003
8.7010	, 4.571	, 3.301	, 0.002
8.8010	, 4.375	, 3.123	, 0.002
8.9010	, 4.247	, 2.998	, 0.002
9.0010	, 4.298	, 3.000	, 0.002
9.1010	, 4.329	, 2.988	, 0.002
9.2010	, 4.339	, 2.963	, 0.002
9.3010	, 4.331	, 2.926	, 0.002
9.4010	, 4.308	, 2.879	, 0.002
9.5010	, 4.270	, 2.824	, 0.002
9.6010	, 4.220	, 2.762	, 0.002
9.7010	, 4.159	, 2.694	, 0.002
9.8010	, 4.090	, 2.622	, 0.002
9.9010	, 4.014	, 2.548	, 0.002
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	-0.0000136	0.0000000	0.0000000	0.0000000
0.010	-0.0000488	-0.0003064	-0.0000015	0.0000000
0.020	-0.0000666	-0.0008725	-0.0000074	0.0000000
0.030	-0.0000643	-0.0015145	-0.0000194	0.0000000
0.040	-0.0000563	-0.0021061	-0.0000375	0.0000000
0.050	-0.0000816	-0.0027821	-0.0000619	0.0000000
0.060	-0.0001060	-0.0037024	-0.0000943	0.0000000
0.070	-0.0001117	-0.0047702	-0.0001367	0.0000000
0.080	-0.0000589	-0.0056069	-0.0001886	0.0000000
0.090	0.0000385	-0.0057070	-0.0002451	0.0000000
0.100	0.0000429	-0.0053077	-0.0003002	0.0000000
0.110	-0.0000388	-0.0052876	-0.0003532	0.0000000
0.120	-0.0000715	-0.0058285	-0.0004088	0.0000000
0.130	-0.0000876	-0.0066088	-0.0004710	0.0000000
0.140	-0.0002243	-0.0081387	-0.0005447	0.0000000
0.150	-0.0002038	-0.0102387	-0.0006366	0.0000000
0.160	0.0000196	-0.0111424	-0.0007435	0.0000001
0.170	0.0000395	-0.0108525	-0.0008535	0.0000001
0.180	-0.0002446	-0.0118583	-0.0009670	0.0000001
0.190	-0.0004378	-0.0152052	-0.0011023	0.0000001
0.200	-0.0004258	-0.0194412	-0.0012756	0.0000002
0.210	-0.0003087	-0.0230437	-0.0014880	0.0000002
0.220	-0.0002157	-0.0256154	-0.0017313	0.0000003
0.230	-0.0002609	-0.0279528	-0.0019991	0.0000003
0.240	-0.0002072	-0.0302487	-0.0022901	0.0000003
0.250	-0.0000368	-0.0314456	-0.0025986	0.0000003
