 
PGA:,  0.12 g
PGV:,  7.33 cm/s
PGD:,  5.19 cm
Arias Intensity:,  23.00 cm/s
Significant duration:,  11.84 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.018	, 0.116
0.1010	, 0.049	, 3.062	, 0.194
0.2010	, 0.519	, 16.223	, 0.517
0.3010	, 0.675	, 14.093	, 0.300
0.4010	, 1.011	, 15.834	, 0.253
0.5010	, 1.610	, 20.194	, 0.258
0.6010	, 1.203	, 12.575	, 0.134
0.7010	, 1.868	, 16.740	, 0.153
0.8010	, 1.495	, 11.725	, 0.094
0.9010	, 2.061	, 14.371	, 0.102
1.0010	, 2.950	, 18.514	, 0.118
1.1010	, 2.459	, 14.033	, 0.082
1.2010	, 2.378	, 12.441	, 0.066
1.3010	, 2.222	, 10.731	, 0.053
1.4010	, 2.514	, 11.276	, 0.052
1.5010	, 2.572	, 10.768	, 0.046
1.6010	, 2.782	, 10.920	, 0.044
1.7010	, 3.512	, 12.971	, 0.049
1.8010	, 2.951	, 10.296	, 0.037
1.9010	, 2.571	, 8.498	, 0.029
2.0010	, 2.178	, 6.840	, 0.022
2.1010	, 1.866	, 5.582	, 0.017
2.2010	, 1.823	, 5.205	, 0.015
2.3010	, 1.831	, 5.001	, 0.014
2.4010	, 1.985	, 5.194	, 0.014
2.5010	, 2.329	, 5.851	, 0.015
2.6010	, 2.598	, 6.276	, 0.015
2.7010	, 2.631	, 6.120	, 0.015
2.8010	, 2.498	, 5.604	, 0.013
2.9010	, 2.486	, 5.385	, 0.012
3.0010	, 2.264	, 4.741	, 0.010
3.1010	, 2.161	, 4.379	, 0.009
3.2010	, 1.938	, 3.805	, 0.008
3.3010	, 1.758	, 3.346	, 0.006
3.4010	, 1.733	, 3.202	, 0.006
3.5010	, 1.766	, 3.169	, 0.006
3.6010	, 1.833	, 3.198	, 0.006
3.7010	, 1.900	, 3.226	, 0.006
3.8010	, 1.940	, 3.206	, 0.005
3.9010	, 1.937	, 3.121	, 0.005
4.0010	, 1.901	, 2.986	, 0.005
4.1010	, 1.843	, 2.824	, 0.004
4.2010	, 1.779	, 2.661	, 0.004
4.3010	, 1.721	, 2.514	, 0.004
4.4010	, 1.676	, 2.393	, 0.003
4.5010	, 1.644	, 2.295	, 0.003
4.6010	, 1.621	, 2.214	, 0.003
4.7010	, 1.602	, 2.141	, 0.003
4.8010	, 1.581	, 2.070	, 0.003
4.9010	, 1.556	, 1.995	, 0.003
5.0010	, 1.525	, 1.916	, 0.002
5.1010	, 1.490	, 1.835	, 0.002
5.2010	, 1.452	, 1.755	, 0.002
5.3010	, 1.415	, 1.678	, 0.002
5.4010	, 1.382	, 1.607	, 0.002
5.5010	, 1.353	, 1.546	, 0.002
5.6010	, 1.332	, 1.494	, 0.002
5.7010	, 1.317	, 1.452	, 0.002
5.8010	, 1.310	, 1.419	, 0.002
5.9010	, 1.308	, 1.393	, 0.002
6.0010	, 1.311	, 1.372	, 0.001
6.1010	, 1.316	, 1.355	, 0.001
6.2010	, 1.322	, 1.340	, 0.001
6.3010	, 1.328	, 1.324	, 0.001
6.4010	, 1.332	, 1.307	, 0.001
