 
PGA:,  0.14 g
PGV:,  8.89 cm/s
PGD:,  3.16 cm
Arias Intensity:,  35.34 cm/s
Significant duration:,  14.78 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.022	, 0.139
0.1010	, 0.064	, 3.961	, 0.251
0.2010	, 0.407	, 12.713	, 0.405
0.3010	, 1.028	, 21.465	, 0.457
0.4010	, 1.556	, 24.387	, 0.390
0.5010	, 1.393	, 17.472	, 0.223
0.6010	, 2.060	, 21.532	, 0.229
0.7010	, 2.222	, 19.913	, 0.182
0.8010	, 2.072	, 16.250	, 0.130
0.9010	, 1.630	, 11.368	, 0.081
1.0010	, 1.450	, 9.102	, 0.058
1.1010	, 1.753	, 10.003	, 0.058
1.2010	, 1.474	, 7.709	, 0.041
1.3010	, 1.599	, 7.721	, 0.038
1.4010	, 2.149	, 9.636	, 0.044
1.5010	, 2.324	, 9.730	, 0.042
1.6010	, 2.844	, 11.163	, 0.045
1.7010	, 2.980	, 11.006	, 0.041
1.8010	, 3.400	, 11.861	, 0.042
1.9010	, 3.729	, 12.324	, 0.042
2.0010	, 3.602	, 11.309	, 0.036
2.1010	, 3.688	, 11.028	, 0.034
2.2010	, 3.564	, 10.174	, 0.030
2.3010	, 3.116	, 8.510	, 0.024
2.4010	, 2.795	, 7.313	, 0.020
2.5010	, 2.935	, 7.374	, 0.019
2.6010	, 3.458	, 8.354	, 0.021
2.7010	, 3.927	, 9.136	, 0.022
2.8010	, 4.016	, 9.008	, 0.021
2.9010	, 3.780	, 8.187	, 0.018
3.0010	, 3.717	, 7.782	, 0.017
3.1010	, 3.951	, 8.006	, 0.017
3.2010	, 4.330	, 8.499	, 0.017
3.3010	, 4.532	, 8.626	, 0.017
3.4010	, 4.460	, 8.240	, 0.016
3.5010	, 4.562	, 8.188	, 0.015
3.6010	, 4.875	, 8.505	, 0.015
3.7010	, 5.270	, 8.947	, 0.015
3.8010	, 5.654	, 9.347	, 0.016
3.9010	, 6.153	, 9.911	, 0.016
4.0010	, 6.442	, 10.117	, 0.016
4.1010	, 6.561	, 10.052	, 0.016
4.2010	, 6.527	, 9.762	, 0.015
4.3010	, 6.469	, 9.450	, 0.014
4.4010	, 6.639	, 9.478	, 0.014
4.5010	, 6.905	, 9.638	, 0.014
4.6010	, 7.235	, 9.880	, 0.014
4.7010	, 7.576	, 10.125	, 0.014
4.8010	, 8.257	, 10.807	, 0.014
4.9010	, 8.942	, 11.464	, 0.015
5.0010	, 9.508	, 11.946	, 0.015
5.1010	, 10.107	, 12.450	, 0.016
5.2010	, 10.651	, 12.867	, 0.016
5.3010	, 10.941	, 12.968	, 0.016
5.4010	, 11.002	, 12.799	, 0.015
5.5010	, 10.902	, 12.452	, 0.014
5.6010	, 10.878	, 12.203	, 0.014
5.7010	, 10.766	, 11.866	, 0.013
5.8010	, 10.601	, 11.483	, 0.013
5.9010	, 10.443	, 11.119	, 0.012
6.0010	, 10.310	, 10.795	, 0.012
6.1010	, 10.192	, 10.496	, 0.011
6.2010	, 10.086	, 10.219	, 0.011
