 
PGA:,  0.88 g
PGV:,  41.41 cm/s
PGD:,  17.90 cm
Arias Intensity:,  284.56 cm/s
Significant duration:,   8.76 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.138	, 0.883
0.1010	, 0.366	, 22.760	, 1.443
0.2010	, 2.690	, 84.079	, 2.679
0.3010	, 3.598	, 75.112	, 1.598
0.4010	, 3.792	, 59.415	, 0.949
0.5010	, 4.346	, 54.508	, 0.697
0.6010	, 3.831	, 40.046	, 0.427
0.7010	, 6.454	, 57.848	, 0.529
0.8010	, 7.678	, 60.229	, 0.482
0.9010	, 7.877	, 54.932	, 0.390
1.0010	, 8.120	, 50.967	, 0.326
1.1010	, 8.693	, 49.609	, 0.289
1.2010	, 10.489	, 54.875	, 0.293
1.3010	, 12.406	, 59.916	, 0.295
1.4010	, 14.605	, 65.500	, 0.299
1.5010	, 18.953	, 79.338	, 0.339
1.6010	, 20.812	, 81.678	, 0.327
1.7010	, 20.055	, 74.080	, 0.279
1.8010	, 19.420	, 67.750	, 0.241
1.9010	, 21.217	, 70.126	, 0.236
2.0010	, 25.758	, 80.882	, 0.259
2.1010	, 31.547	, 94.344	, 0.288
2.2010	, 35.780	, 102.142	, 0.297
2.3010	, 37.317	, 101.898	, 0.284
2.4010	, 36.471	, 95.440	, 0.255
2.5010	, 34.896	, 87.669	, 0.225
2.6010	, 33.938	, 81.982	, 0.202
2.7010	, 32.246	, 75.013	, 0.178
2.8010	, 30.485	, 68.383	, 0.156
2.9010	, 29.073	, 62.968	, 0.139
3.0010	, 28.166	, 58.970	, 0.126
3.1010	, 27.613	, 55.949	, 0.116
3.2010	, 27.234	, 53.457	, 0.107
3.3010	, 26.790	, 50.992	, 0.099
3.4010	, 26.217	, 48.434	, 0.091
3.5010	, 25.467	, 45.705	, 0.084
3.6010	, 24.644	, 43.000	, 0.076
3.7010	, 23.834	, 40.462	, 0.070
3.8010	, 23.141	, 38.252	, 0.064
3.9010	, 22.646	, 36.476	, 0.060
4.0010	, 22.389	, 35.160	, 0.056
4.1010	, 22.367	, 34.269	, 0.054
4.2010	, 22.546	, 33.721	, 0.051
4.3010	, 22.872	, 33.412	, 0.050
4.4010	, 23.282	, 33.239	, 0.048
4.5010	, 23.730	, 33.126	, 0.047
4.6010	, 24.152	, 32.983	, 0.046
4.7010	, 24.505	, 32.753	, 0.045
4.8010	, 24.770	, 32.417	, 0.043
4.9010	, 24.928	, 31.959	, 0.042
5.0010	, 24.967	, 31.368	, 0.040
5.1010	, 24.894	, 30.663	, 0.039
5.2010	, 24.707	, 29.848	, 0.037
5.3010	, 24.418	, 28.942	, 0.035
5.4010	, 24.038	, 27.964	, 0.033
5.5010	, 23.575	, 26.927	, 0.031
5.6010	, 23.048	, 25.855	, 0.030
5.7010	, 22.460	, 24.753	, 0.028
5.8010	, 21.833	, 23.648	, 0.026
5.9010	, 21.659	, 23.062	, 0.025
6.0010	, 21.539	, 22.552	, 0.024
6.1010	, 21.278	, 21.913	, 0.023
6.2010	, 20.879	, 21.155	, 0.022
6.3010	, 20.366	, 20.308	, 0.021
6.4010	, 20.093	, 19.724	, 0.020
6.5010	, 20.392	, 19.709	, 0.019
6.6010	, 20.668	, 19.673	, 0.019
6.7010	, 20.920	, 19.616	, 0.019
6.8010	, 21.151	, 19.540	, 0.018
6.9010	, 21.363	, 19.450	, 0.018
7.0010	, 21.553	, 19.343	, 0.018
7.1010	, 21.731	, 19.228	, 0.017
7.2010	, 21.889	, 19.099	, 0.017
7.3010	, 22.028	, 18.957	, 0.017
7.4010	, 22.156	, 18.810	, 0.016
7.5010	, 22.270	, 18.654	, 0.016
7.6010	, 22.368	, 18.490	, 0.016
7.7010	, 22.452	, 18.318	, 0.015
7.8010	, 22.522	, 18.140	, 0.015
7.9010	, 22.585	, 17.961	, 0.015
8.0010	, 22.636	, 17.776	, 0.014
8.1010	, 22.676	, 17.587	, 0.014
8.2010	, 22.704	, 17.394	, 0.014
8.3010	, 22.721	, 17.198	, 0.013
8.4010	, 22.729	, 16.999	, 0.013
8.5010	, 22.731	, 16.801	, 0.013
8.6010	, 22.725	, 16.601	, 0.012
8.7010	, 22.711	, 16.400	, 0.012
8.8010	, 22.689	, 16.198	, 0.012
8.9010	, 22.659	, 15.995	, 0.012
9.0010	, 22.621	, 15.791	, 0.011
9.1010	, 22.578	, 15.587	, 0.011
9.2010	, 22.527	, 15.384	, 0.011
9.3010	, 22.475	, 15.183	, 0.010
9.4010	, 22.417	, 14.983	, 0.010
9.5010	, 22.354	, 14.783	, 0.010
9.6010	, 22.287	, 14.585	, 0.010
9.7010	, 22.214	, 14.388	, 0.009
9.8010	, 22.138	, 14.192	, 0.009
9.9010	, 22.058	, 13.998	, 0.009
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	0.0017864	0.0000000	0.0000000	0.0000000
0.020	0.0014136	0.0313920	0.0003139	0.0000003
0.040	-0.0012469	0.0330279	0.0009581	0.0000005
0.060	-0.0016277	0.0048279	0.0013367	0.0000007
0.080	-0.0004632	-0.0156842	0.0012281	0.0000009
0.100	0.0033920	0.0130475	0.0012017	0.0000015
0.120	0.0048381	0.0937851	0.0022701	0.0000034
0.140	-0.0000205	0.1410460	0.0046184	0.0000046
0.160	-0.0021474	0.1197788	0.0072266	0.0000049
0.180	0.0000667	0.0993668	0.0094181	0.0000051
0.200	0.0024726	0.1242779	0.0116545	0.0000055
0.220	0.0040483	0.1882486	0.0147798	0.0000067
0.240	0.0033045	0.2603801	0.0192661	0.0000082
0.260	-0.0018997	0.2741614	0.0246115	0.0000090
0.280	-0.0048538	0.2079094	0.0294322	0.0000104
0.300	-0.0003405	0.1569537	0.0330808	0.0000117
0.320	0.0050909	0.2035553	0.0366859	0.0000131
0.340	0.0028590	0.2815437	0.0415369	0.0000150
0.360	-0.0007591	0.3021441	0.0473738	0.0000154
0.380	-0.0019485	0.2755832	0.0531511	0.0000157
0.400	-0.0039141	0.2180714	0.0580876	0.0000167
0.420	-0.0015233	0.1647308	0.0619156	0.0000177
0.440	0.0004891	0.1545857	0.0651088	0.0000178
0.460	-0.0007553	0.1519745	0.0681744	0.0000179
0.480	-0.0034491	0.1107288	0.0708014	0.0000185
0.500	-0.0014826	0.0623484	0.0725322	0.0000193
0.520	0.0054840	0.1016024	0.0741717	0.0000210
