 
PGA:,  0.28 g
PGV:,  25.22 cm/s
PGD:,  10.63 cm
Arias Intensity:,  144.38 cm/s
Significant duration:,  12.22 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.043	, 0.277
0.1010	, 0.147	, 9.147	, 0.580
0.2010	, 1.015	, 31.735	, 1.011
0.3010	, 1.439	, 30.030	, 0.639
0.4010	, 2.455	, 38.463	, 0.614
0.5010	, 4.531	, 56.820	, 0.726
0.6010	, 5.285	, 55.251	, 0.589
0.7010	, 6.728	, 60.307	, 0.551
0.8010	, 7.064	, 55.412	, 0.443
0.9010	, 8.489	, 59.196	, 0.421
1.0010	, 9.076	, 56.971	, 0.365
1.1010	, 11.950	, 68.197	, 0.397
1.2010	, 10.281	, 53.786	, 0.287
1.3010	, 9.871	, 47.672	, 0.235
1.4010	, 10.505	, 47.112	, 0.215
1.5010	, 8.943	, 37.436	, 0.160
1.6010	, 9.955	, 39.067	, 0.156
1.7010	, 10.618	, 39.221	, 0.148
1.8010	, 10.601	, 36.985	, 0.132
1.9010	, 10.610	, 35.069	, 0.118
2.0010	, 11.077	, 34.783	, 0.111
2.1010	, 11.874	, 35.511	, 0.108
2.2010	, 12.640	, 36.083	, 0.105
2.3010	, 13.028	, 35.574	, 0.099
2.4010	, 12.937	, 33.854	, 0.090
2.5010	, 15.152	, 38.067	, 0.097
2.6010	, 15.598	, 37.681	, 0.093
2.7010	, 15.235	, 35.440	, 0.084
2.8010	, 16.548	, 37.121	, 0.085
2.9010	, 17.576	, 38.068	, 0.084
3.0010	, 18.674	, 39.097	, 0.083
3.1010	, 19.229	, 38.961	, 0.080
3.2010	, 19.075	, 37.441	, 0.075
3.3010	, 19.874	, 37.829	, 0.073
3.4010	, 21.582	, 39.872	, 0.075
3.5010	, 20.756	, 37.250	, 0.068
3.6010	, 19.488	, 34.003	, 0.060
3.7010	, 19.145	, 32.503	, 0.056
3.8010	, 18.504	, 30.587	, 0.052
3.9010	, 17.579	, 28.313	, 0.046
4.0010	, 16.650	, 26.148	, 0.042
4.1010	, 16.980	, 26.015	, 0.041
4.2010	, 17.182	, 25.698	, 0.039
4.3010	, 17.456	, 25.501	, 0.038
4.4010	, 17.937	, 25.609	, 0.037
4.5010	, 18.439	, 25.740	, 0.037
4.6010	, 18.822	, 25.704	, 0.036
4.7010	, 19.080	, 25.502	, 0.035
4.8010	, 19.223	, 25.157	, 0.034
4.9010	, 19.262	, 24.694	, 0.032
5.0010	, 19.253	, 24.189	, 0.031
5.1010	, 19.182	, 23.627	, 0.030
5.2010	, 19.030	, 22.990	, 0.028
5.3010	, 18.807	, 22.292	, 0.027
5.4010	, 18.519	, 21.544	, 0.026
5.5010	, 18.177	, 20.762	, 0.024
5.6010	, 17.788	, 19.954	, 0.023
5.7010	, 17.354	, 19.126	, 0.021
5.8010	, 16.880	, 18.283	, 0.020
5.9010	, 16.773	, 17.859	, 0.019
6.0010	, 17.321	, 18.135	, 0.019
6.1010	, 17.768	, 18.299	, 0.019
6.2010	, 17.977	, 18.215	, 0.019
6.3010	, 17.701	, 17.651	, 0.018
6.4010	, 16.977	, 16.665	, 0.017
6.5010	, 17.554	, 16.966	, 0.017
6.6010	, 17.875	, 17.015	, 0.017
6.7010	, 17.836	, 16.724	, 0.016
6.8010	, 17.467	, 16.137	, 0.015
6.9010	, 17.322	, 15.771	, 0.015
7.0010	, 17.334	, 15.557	, 0.014
7.1010	, 17.231	, 15.246	, 0.014
7.2010	, 17.021	, 14.851	, 0.013
7.3010	, 16.714	, 14.384	, 0.013
7.4010	, 16.369	, 13.897	, 0.012
7.5010	, 16.356	, 13.701	, 0.012
7.6010	, 16.334	, 13.502	, 0.011
7.7010	, 16.304	, 13.302	, 0.011
7.8010	, 16.266	, 13.101	, 0.011
7.9010	, 16.229	, 12.906	, 0.010
8.0010	, 16.259	, 12.768	, 0.010
8.1010	, 16.252	, 12.605	, 0.010
8.2010	, 16.209	, 12.419	, 0.010
8.3010	, 16.137	, 12.214	, 0.009
8.4010	, 16.036	, 11.993	, 0.009
8.5010	, 16.036	, 11.853	, 0.009
8.6010	, 16.071	, 11.740	, 0.009
8.7010	, 16.076	, 11.609	, 0.009
8.8010	, 16.054	, 11.461	, 0.008
8.9010	, 16.006	, 11.299	, 0.008
9.0010	, 15.934	, 11.123	, 0.008
9.1010	, 15.842	, 10.937	, 0.008
9.2010	, 15.730	, 10.742	, 0.007
9.3010	, 15.601	, 10.539	, 0.007
9.4010	, 15.455	, 10.330	, 0.007
9.5010	, 15.296	, 10.116	, 0.007
9.6010	, 15.124	, 9.897	, 0.007
9.7010	, 14.941	, 9.677	, 0.006
9.8010	, 14.747	, 9.454	, 0.006
9.9010	, 14.643	, 9.293	, 0.006
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	0.0009048	0.0000000	0.0000000	0.0000000
0.010	0.0009266	0.0089831	0.0000449	0.0000001
0.020	0.0009218	0.0180495	0.0001801	0.0000002
