 
PGA:,  0.13 g
PGV:,  15.67 cm/s
PGD:,  4.31 cm
Arias Intensity:,  35.65 cm/s
Significant duration:,  15.85 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.021	, 0.133
0.1010	, 0.060	, 3.754	, 0.238
0.2010	, 0.260	, 8.127	, 0.259
0.3010	, 0.786	, 16.415	, 0.349
0.4010	, 1.303	, 20.415	, 0.326
0.5010	, 2.075	, 26.027	, 0.333
0.6010	, 2.801	, 29.286	, 0.312
0.7010	, 2.826	, 25.333	, 0.231
0.8010	, 2.609	, 20.462	, 0.164
0.9010	, 3.714	, 25.898	, 0.184
1.0010	, 5.130	, 32.198	, 0.206
1.1010	, 5.437	, 31.027	, 0.180
1.2010	, 5.274	, 27.593	, 0.147
1.3010	, 5.290	, 25.550	, 0.126
1.4010	, 5.876	, 26.352	, 0.120
1.5010	, 5.810	, 24.322	, 0.104
1.6010	, 6.121	, 24.024	, 0.096
1.7010	, 7.956	, 29.387	, 0.111
1.8010	, 8.378	, 29.227	, 0.104
1.9010	, 7.309	, 24.159	, 0.081
2.0010	, 7.343	, 23.056	, 0.074
2.1010	, 7.025	, 21.008	, 0.064
2.2010	, 6.598	, 18.835	, 0.055
2.3010	, 6.317	, 17.249	, 0.048
2.4010	, 6.710	, 17.561	, 0.047
2.5010	, 6.781	, 17.036	, 0.044
2.6010	, 7.502	, 18.122	, 0.045
2.7010	, 7.821	, 18.194	, 0.043
2.8010	, 7.984	, 17.910	, 0.041
2.9010	, 8.184	, 17.725	, 0.039
3.0010	, 8.471	, 17.735	, 0.038
3.1010	, 8.761	, 17.752	, 0.037
3.2010	, 8.914	, 17.498	, 0.035
3.3010	, 9.637	, 18.343	, 0.036
3.4010	, 11.269	, 20.818	, 0.039
3.5010	, 12.574	, 22.566	, 0.041
3.6010	, 13.339	, 23.274	, 0.041
3.7010	, 13.510	, 22.936	, 0.040
3.8010	, 13.205	, 21.829	, 0.037
3.9010	, 12.586	, 20.272	, 0.033
4.0010	, 11.964	, 18.789	, 0.030
4.1010	, 11.837	, 18.136	, 0.028
4.2010	, 11.675	, 17.462	, 0.027
4.3010	, 11.480	, 16.770	, 0.025
4.4010	, 11.249	, 16.060	, 0.023
4.5010	, 10.914	, 15.235	, 0.022
4.6010	, 10.575	, 14.441	, 0.020
4.7010	, 10.225	, 13.667	, 0.019
4.8010	, 9.876	, 12.925	, 0.017
4.9010	, 9.535	, 12.224	, 0.016
5.0010	, 9.207	, 11.568	, 0.015
5.1010	, 8.893	, 10.954	, 0.014
5.2010	, 8.592	, 10.380	, 0.013
5.3010	, 8.436	, 9.999	, 0.012
5.4010	, 8.487	, 9.873	, 0.012
5.5010	, 8.545	, 9.760	, 0.011
5.6010	, 8.610	, 9.658	, 0.011
5.7010	, 8.682	, 9.569	, 0.011
5.8010	, 8.759	, 9.487	, 0.010
5.9010	, 8.838	, 9.411	, 0.010
6.0010	, 8.920	, 9.340	, 0.010
6.1010	, 9.002	, 9.271	, 0.010
6.2010	, 9.082	, 9.203	, 0.010
6.3010	, 9.159	, 9.134	, 0.009
6.4010	, 9.233	, 9.063	, 0.009
6.5010	, 9.300	, 8.988	, 0.009
6.6010	, 9.360	, 8.910	, 0.009
6.7010	, 9.414	, 8.827	, 0.008
6.8010	, 9.460	, 8.739	, 0.008
6.9010	, 9.496	, 8.646	, 0.008
7.0010	, 9.525	, 8.549	, 0.008
7.1010	, 9.545	, 8.445	, 0.008
7.2010	, 9.555	, 8.337	, 0.007
7.3010	, 9.557	, 8.225	, 0.007
7.4010	, 9.550	, 8.108	, 0.007
7.5010	, 9.534	, 7.986	, 0.007
7.6010	, 9.510	, 7.861	, 0.007
7.7010	, 9.478	, 7.733	, 0.006
7.8010	, 9.439	, 7.602	, 0.006
7.9010	, 9.392	, 7.469	, 0.006
8.0010	, 9.339	, 7.334	, 0.006
8.1010	, 9.280	, 7.197	, 0.006
8.2010	, 9.214	, 7.060	, 0.006
8.3010	, 9.143	, 6.921	, 0.005
8.4010	, 9.067	, 6.782	, 0.005
8.5010	, 8.988	, 6.643	, 0.005
8.6010	, 8.904	, 6.505	, 0.005
8.7010	, 8.817	, 6.367	, 0.005
8.8010	, 8.726	, 6.229	, 0.005
8.9010	, 8.632	, 6.093	, 0.004
9.0010	, 8.536	, 5.959	, 0.004
9.1010	, 8.439	, 5.826	, 0.004
9.2010	, 8.339	, 5.695	, 0.004
9.3010	, 8.238	, 5.565	, 0.004
9.4010	, 8.136	, 5.438	, 0.004
9.5010	, 8.033	, 5.313	, 0.004
9.6010	, 7.930	, 5.190	, 0.003
9.7010	, 7.827	, 5.069	, 0.003
9.8010	, 7.723	, 4.951	, 0.003
9.9010	, 7.619	, 4.835	, 0.003
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	0.0000767	0.0000000	0.0000000	0.0000000
0.010	0.0001451	0.0010877	0.0000054	0.0000000
0.020	0.0002141	0.0028495	0.0000251	0.0000000
0.030	0.0002091	0.0049258	0.0000640	0.0000000
0.040	0.0002133	0.0069977	0.0001236	0.0000001
0.050	0.0002979	0.0095049	0.0002061	0.0000001
0.060	0.0004201	0.0130265	0.0003188	0.0000001
0.070	0.0005379	0.0177254	0.0004725	0.0000002
0.080	0.0006546	0.0235746	0.0006790	0.0000004
0.090	0.0006953	0.0301962	0.0009479	0.0000006
0.100	0.0007034	0.0370571	0.0012842	0.0000008
0.110	0.0007243	0.0440601	0.0016898	0.0000010
0.120	0.0006674	0.0508865	0.0021645	0.0000012
0.130	0.0006441	0.0573192	0.0027055	0.0000014
0.140	0.0008174	0.0644875	0.0033146	0.0000017
0.150	0.0011149	0.0739653	0.0040068	0.0000021
0.160	0.0014569	0.0865801	0.0048095	0.0000028
0.170	0.0015905	0.1015280	0.0057501	0.0000038
0.180	0.0013124	0.1157669	0.0068366	0.0000047
0.190	0.0008895	0.1265673	0.0080482	0.0000053
0.200	0.0006712	0.1342228	0.0093522	0.0000055
0.210	0.0005991	0.1404536	0.0107256	0.0000057
0.220	0.0004778	0.1457355	0.0121565	0.0000058
0.230	0.0000211	0.1481826	0.0136261	0.0000059
0.240	-0.0005944	0.1453708	0.0150939	0.0000060
0.250	-0.0011470	0.1368295	0.0165049	0.0000063
0.260	-0.0014866	0.1239119	0.0178086	0.0000071
0.270	-0.0015429	0.1090523	0.0189734	0.0000081
0.280	-0.0010386	0.0963903	0.0200006	0.0000088
0.290	-0.0003464	0.0895969	0.0209305	0.0000091
0.300	0.0002903	0.0893219	0.0218251	0.0000091
0.310	0.0011079	0.0961802	0.0227526	0.0000094
0.320	0.0020936	0.1118836	0.0237930	0.0000106
0.330	0.0027241	0.1355147	0.0250300	0.0000132
0.340	0.0028378	0.1627957	0.0265215	0.0000165
0.350	0.0028475	0.1906817	0.0282889	0.0000200
0.360	0.0029403	0.2190707	0.0303377	0.0000236
0.370	0.0030374	0.2483915	0.0326750	0.0000275
0.380	0.0030832	0.2784130	0.0353090	0.0000315
0.390	0.0025155	0.3058744	0.0382304	0.0000350
0.400	0.0016004	0.3260627	0.0413901	0.0000369
0.410	0.0009488	0.3385666	0.0447133	0.0000376
0.420	0.0002786	0.3445870	0.0481290	0.0000378
0.430	-0.0000033	0.3459373	0.0515817	0.0000379
0.440	-0.0003172	0.3443651	0.0550332	0.0000379
0.450	-0.0012761	0.3365498	0.0584377	0.0000383
0.460	-0.0019221	0.3208629	0.0617248	0.0000394
0.470	-0.0022844	0.3002303	0.0648303	0.0000413
0.480	-0.0035209	0.2717554	0.0676902	0.0000451
0.490	-0.0042097	0.2338371	0.0702182	0.0000517
0.500	-0.0040662	0.1932442	0.0723536	0.0000591
0.510	-0.0035009	0.1561280	0.0741004	0.0000653
0.520	-0.0029468	0.1245022	0.0755036	0.0000698
0.530	-0.0023571	0.0984867	0.0766185	0.0000729
0.540	-0.0021341	0.0764578	0.0774932	0.0000751
0.550	-0.0022544	0.0549322	0.0781502	0.0000771
0.560	-0.0022097	0.0330357	0.0785900	0.0000793
0.570	-0.0010927	0.0168374	0.0788394	0.0000806
0.580	0.0011651	0.0171922	0.0790095	0.0000812
0.590	0.0034856	0.0400038	0.0792955	0.0000841
0.600	0.0056220	0.0846766	0.0799189	0.0000935
0.610	0.0065076	0.1441720	0.0810632	0.0001095
0.620	0.0055284	0.2032085	0.0828001	0.0001253
0.630	0.0034920	0.2474537	0.0850534	0.0001345
0.640	0.0010936	0.2699461	0.0876404	0.0001374
