 
PGA:,  0.60 g
PGV:,  76.69 cm/s
PGD:,  34.25 cm
Arias Intensity:,  260.45 cm/s
Significant duration:,   6.80 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.094	, 0.605
0.1010	, 0.242	, 15.049	, 0.954
0.2010	, 0.917	, 28.676	, 0.914
0.3010	, 2.426	, 50.651	, 1.078
0.4010	, 4.547	, 71.248	, 1.138
0.5010	, 8.377	, 105.055	, 1.343
0.6010	, 10.925	, 114.212	, 1.217
0.7010	, 10.106	, 90.578	, 0.828
0.8010	, 18.302	, 143.565	, 1.148
0.9010	, 21.066	, 146.902	, 1.044
1.0010	, 15.244	, 95.685	, 0.612
1.1010	, 12.601	, 71.911	, 0.418
1.2010	, 17.587	, 92.008	, 0.491
1.3010	, 22.826	, 110.237	, 0.543
1.4010	, 24.885	, 111.603	, 0.510
1.5010	, 24.719	, 103.474	, 0.442
1.6010	, 24.340	, 95.523	, 0.382
1.7010	, 27.537	, 101.718	, 0.383
1.8010	, 33.146	, 115.636	, 0.411
1.9010	, 39.452	, 130.398	, 0.439
2.0010	, 44.744	, 140.497	, 0.450
2.1010	, 50.519	, 151.081	, 0.461
2.2010	, 54.586	, 155.827	, 0.453
2.3010	, 57.845	, 157.953	, 0.440
2.4010	, 58.691	, 153.590	, 0.410
2.5010	, 59.972	, 150.666	, 0.386
2.6010	, 60.534	, 146.230	, 0.360
2.7010	, 59.421	, 138.228	, 0.328
2.8010	, 56.865	, 127.559	, 0.292
2.9010	, 58.224	, 126.105	, 0.278
3.0010	, 58.617	, 122.726	, 0.262
3.1010	, 58.169	, 117.860	, 0.243
3.2010	, 57.054	, 111.989	, 0.224
3.3010	, 55.372	, 105.396	, 0.204
3.4010	, 53.244	, 98.366	, 0.185
3.5010	, 50.784	, 91.140	, 0.167
3.6010	, 48.092	, 83.913	, 0.149
3.7010	, 45.268	, 76.851	, 0.133
3.8010	, 42.375	, 70.048	, 0.118
3.9010	, 39.460	, 63.557	, 0.104
4.0010	, 36.597	, 57.472	, 0.092
4.1010	, 34.499	, 52.857	, 0.083
4.2010	, 33.752	, 50.481	, 0.077
4.3010	, 33.020	, 48.238	, 0.072
4.4010	, 32.266	, 46.066	, 0.067
4.5010	, 31.481	, 43.946	, 0.063
4.6010	, 30.666	, 41.877	, 0.058
4.7010	, 29.834	, 39.875	, 0.054
4.8010	, 29.005	, 37.959	, 0.051
4.9010	, 28.195	, 36.146	, 0.047
5.0010	, 27.402	, 34.428	, 0.044
5.1010	, 26.615	, 32.783	, 0.041
5.2010	, 25.835	, 31.210	, 0.038
5.3010	, 25.058	, 29.701	, 0.036
5.4010	, 24.430	, 28.421	, 0.034
5.5010	, 24.237	, 27.683	, 0.032
5.6010	, 24.038	, 26.966	, 0.031
5.7010	, 23.835	, 26.269	, 0.030
5.8010	, 23.628	, 25.592	, 0.028
5.9010	, 23.419	, 24.936	, 0.027
6.0010	, 23.208	, 24.300	, 0.026
6.1010	, 22.997	, 23.683	, 0.025
6.2010	, 22.785	, 23.087	, 0.024
6.3010	, 22.573	, 22.509	, 0.023
6.4010	, 22.361	, 21.950	, 0.022
6.5010	, 22.151	, 21.409	, 0.021
6.6010	, 21.943	, 20.887	, 0.020
6.7010	, 21.739	, 20.384	, 0.019
6.8010	, 21.537	, 19.897	, 0.019
6.9010	, 21.336	, 19.426	, 0.018
7.0010	, 21.138	, 18.971	, 0.017
7.1010	, 20.942	, 18.530	, 0.017
7.2010	, 20.749	, 18.104	, 0.016
7.3010	, 20.558	, 17.692	, 0.016
7.4010	, 20.370	, 17.294	, 0.015
7.5010	, 20.185	, 16.908	, 0.014
7.6010	, 20.003	, 16.535	, 0.014
7.7010	, 19.824	, 16.174	, 0.013
7.8010	, 19.648	, 15.825	, 0.013
7.9010	, 19.474	, 15.487	, 0.013
8.0010	, 19.304	, 15.160	, 0.012
8.1010	, 19.137	, 14.843	, 0.012
8.2010	, 18.973	, 14.536	, 0.011
8.3010	, 18.812	, 14.239	, 0.011
8.4010	, 18.660	, 13.956	, 0.011
8.5010	, 18.822	, 13.912	, 0.010
8.6010	, 18.976	, 13.862	, 0.010
8.7010	, 19.120	, 13.807	, 0.010
8.8010	, 19.255	, 13.747	, 0.010
8.9010	, 19.382	, 13.682	, 0.010
9.0010	, 19.500	, 13.612	, 0.010
9.1010	, 19.611	, 13.539	, 0.010
9.2010	, 19.713	, 13.462	, 0.009
9.3010	, 19.808	, 13.381	, 0.009
9.4010	, 19.895	, 13.297	, 0.009
9.5010	, 19.975	, 13.210	, 0.009
9.6010	, 20.048	, 13.120	, 0.009
9.7010	, 20.114	, 13.028	, 0.009
9.8010	, 20.174	, 12.933	, 0.008
9.9010	, 20.227	, 12.836	, 0.008
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	0.0053547	0.0000000	0.0000000	0.0000000
0.020	0.0012129	0.0644287	0.0006443	0.0000018
0.040	-0.0071468	0.0062172	0.0013507	0.0000049
0.060	0.0087724	0.0221645	0.0016346	0.0000125
0.080	0.0323741	0.4258118	0.0061143	0.0000790
0.100	0.0227991	0.9670611	0.0200431	0.0001718
0.120	-0.0170486	1.0234738	0.0399484	0.0002197
0.140	-0.0165575	0.6937980	0.0571211	0.0002532
0.160	0.0077494	0.6073909	0.0701330	0.0002729
0.180	0.0027383	0.7102760	0.0833097	0.0002769
