 
PGA:,  1.78 g
PGV:,  108.78 cm/s
PGD:,  39.63 cm
Arias Intensity:,  2274.75 cm/s
Significant duration:,  10.54 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.278	, 1.779
0.1010	, 0.995	, 61.910	, 3.926
0.2010	, 2.751	, 86.006	, 2.741
0.3010	, 8.236	, 171.928	, 3.658
0.4010	, 15.223	, 238.531	, 3.810
0.5010	, 18.763	, 235.318	, 3.008
0.6010	, 23.719	, 247.976	, 2.643
0.7010	, 22.621	, 202.754	, 1.853
0.8010	, 26.958	, 211.462	, 1.691
0.9010	, 26.102	, 182.026	, 1.294
1.0010	, 19.548	, 122.701	, 0.785
1.1010	, 22.885	, 130.601	, 0.760
1.2010	, 22.783	, 119.190	, 0.636
1.3010	, 24.725	, 119.408	, 0.588
1.4010	, 27.935	, 125.284	, 0.573
1.5010	, 29.704	, 124.342	, 0.531
1.6010	, 30.541	, 119.861	, 0.480
1.7010	, 30.161	, 111.408	, 0.419
1.8010	, 32.131	, 112.096	, 0.399
1.9010	, 32.864	, 108.621	, 0.366
2.0010	, 37.254	, 116.977	, 0.374
2.1010	, 40.803	, 122.024	, 0.372
2.2010	, 41.373	, 118.108	, 0.344
2.3010	, 39.559	, 108.022	, 0.301
2.4010	, 36.419	, 95.304	, 0.254
2.5010	, 32.877	, 82.596	, 0.212
2.6010	, 29.817	, 72.028	, 0.177
2.7010	, 27.656	, 64.334	, 0.153
2.8010	, 26.535	, 59.524	, 0.136
2.9010	, 26.343	, 57.056	, 0.126
3.0010	, 26.788	, 56.085	, 0.120
3.1010	, 27.593	, 55.908	, 0.115
3.2010	, 28.525	, 55.991	, 0.112
3.3010	, 29.416	, 55.991	, 0.109
3.4010	, 30.165	, 55.729	, 0.105
3.5010	, 30.727	, 55.145	, 0.101
3.6010	, 31.129	, 54.315	, 0.097
3.7010	, 31.362	, 53.244	, 0.092
3.8010	, 31.456	, 51.998	, 0.088
3.9010	, 32.189	, 51.846	, 0.085
4.0010	, 33.794	, 53.070	, 0.085
4.1010	, 34.999	, 53.623	, 0.084
4.2010	, 35.893	, 53.684	, 0.082
4.3010	, 36.498	, 53.319	, 0.079
4.4010	, 36.823	, 52.571	, 0.077
4.5010	, 36.963	, 51.599	, 0.073
4.6010	, 36.873	, 50.355	, 0.070
4.7010	, 37.423	, 50.019	, 0.068
4.8010	, 38.272	, 50.087	, 0.067
4.9010	, 38.872	, 49.834	, 0.065
5.0010	, 39.230	, 49.288	, 0.063
5.1010	, 39.353	, 48.473	, 0.061
5.2010	, 39.245	, 47.411	, 0.058
5.3010	, 38.976	, 46.198	, 0.056
5.4010	, 38.485	, 44.771	, 0.053
5.5010	, 37.781	, 43.153	, 0.050
5.6010	, 36.874	, 41.365	, 0.047
5.7010	, 35.775	, 39.428	, 0.044
5.8010	, 34.536	, 37.407	, 0.041
5.9010	, 34.226	, 36.443	, 0.040
6.0010	, 35.321	, 36.982	, 0.039
6.1010	, 36.340	, 37.425	, 0.039
6.2010	, 37.279	, 37.773	, 0.039
6.3010	, 38.163	, 38.055	, 0.039
6.4010	, 38.968	, 38.250	, 0.038
6.5010	, 39.688	, 38.358	, 0.038
6.6010	, 40.323	, 38.382	, 0.037
6.7010	, 40.898	, 38.348	, 0.037
6.8010	, 41.638	, 38.467	, 0.036
6.9010	, 42.372	, 38.579	, 0.036
7.0010	, 43.021	, 38.610	, 0.035
7.1010	, 43.584	, 38.565	, 0.035
7.2010	, 44.086	, 38.467	, 0.034
7.3010	, 44.515	, 38.309	, 0.034
7.4010	, 44.865	, 38.089	, 0.033
7.5010	, 45.141	, 37.812	, 0.032
7.6010	, 45.345	, 37.483	, 0.032
7.7010	, 45.481	, 37.107	, 0.031
7.8010	, 45.552	, 36.689	, 0.030
7.9010	, 45.562	, 36.233	, 0.029
8.0010	, 45.521	, 35.747	, 0.029
8.1010	, 45.440	, 35.243	, 0.028
8.2010	, 45.308	, 34.712	, 0.027
8.3010	, 45.128	, 34.158	, 0.026
8.4010	, 44.904	, 33.584	, 0.026
8.5010	, 44.639	, 32.993	, 0.025
8.6010	, 44.335	, 32.388	, 0.024
8.7010	, 43.997	, 31.772	, 0.023
8.8010	, 43.628	, 31.147	, 0.023
8.9010	, 43.229	, 30.515	, 0.022
9.0010	, 42.804	, 29.880	, 0.021
9.1010	, 42.356	, 29.242	, 0.021
9.2010	, 41.886	, 28.603	, 0.020
9.3010	, 41.397	, 27.965	, 0.019
9.4010	, 40.901	, 27.336	, 0.019
9.5010	, 40.390	, 26.711	, 0.018
9.6010	, 39.866	, 26.089	, 0.017
9.7010	, 39.330	, 25.473	, 0.017
9.8010	, 38.784	, 24.863	, 0.016
9.9010	, 38.229	, 24.260	, 0.016
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	-0.0054394	0.0000000	0.0000000	0.0000000
0.020	-0.0123401	-0.1744167	-0.0017442	0.0000012
0.040	-0.0135980	-0.4288691	-0.0077770	0.0000035
0.060	0.0010295	-0.5521657	-0.0175874	0.0000048
0.080	-0.0161464	-0.7004625	-0.0301137	0.0000065
0.100	0.0191831	-0.6706727	-0.0438250	0.0000108
0.120	0.0015237	-0.4675382	-0.0552071	0.0000133
0.140	-0.0195383	-0.6442612	-0.0663251	0.0000159
0.160	-0.0225066	-1.0567215	-0.0833349	0.0000219
0.180	-0.0008509	-1.2858585	-0.1067607	0.0000254
0.200	0.0573024	-0.7320698	-0.1269400	0.0000476
0.220	0.0131130	-0.0412949	-0.1346737	0.0000710
0.240	-0.0086302	0.0026812	-0.1350598	0.0000727
0.260	-0.0348236	-0.4236011	-0.1392690	0.0000814
0.280	-0.0170479	-0.9324608	-0.1528296	0.0000916
0.300	0.0055005	-1.0457410	-0.1726116	0.0000938
0.320	0.0179988	-0.8152129	-0.1912212	0.0000962
0.340	0.0037181	-0.6021695	-0.2053950	0.0000985
0.360	-0.0008338	-0.5738738	-0.2171554	0.0000986
0.380	-0.0145054	-0.7243510	-0.2301377	0.0001000
0.400	-0.0444920	-1.3031153	-0.2504123	0.0001148
0.420	-0.0168801	-1.9051750	-0.2824953	0.0001302
0.440	0.0033603	-2.0378037	-0.3219250	0.0001322
0.460	0.0779882	-1.2397751	-0.3547008	0.0001735
0.480	0.0772126	0.2827438	-0.3642711	0.0002550
0.500	-0.0346829	0.6999602	-0.3544441	0.0003036
0.520	-0.0963952	-0.5859159	-0.3533037	0.0003747
0.540	-0.0662627	-2.1815902	-0.3809787	0.0004674
0.560	0.0438664	-2.4012975	-0.4268076	0.0005101
0.580	0.1317239	-0.6787563	-0.4576081	0.0006407
0.600	0.0358978	0.9656123	-0.4547396	0.0007670
0.620	-0.0101421	1.2182754	-0.4329007	0.0007764
0.640	-0.0845227	0.2896136	-0.4178218	0.0008255
