 
PGA:,  0.06 g
PGV:,  7.14 cm/s
PGD:,  3.76 cm
Arias Intensity:,   8.05 cm/s
Significant duration:,  19.34 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.010	, 0.064
0.1010	, 0.026	, 1.609	, 0.102
0.2010	, 0.202	, 6.300	, 0.201
0.3010	, 0.314	, 6.552	, 0.139
0.4010	, 0.633	, 9.915	, 0.158
0.5010	, 0.801	, 10.050	, 0.128
0.6010	, 1.213	, 12.686	, 0.135
0.7010	, 1.165	, 10.443	, 0.095
0.8010	, 2.017	, 15.822	, 0.127
0.9010	, 2.433	, 16.969	, 0.121
1.0010	, 2.382	, 14.953	, 0.096
1.1010	, 2.770	, 15.808	, 0.092
1.2010	, 2.108	, 11.031	, 0.059
1.3010	, 2.020	, 9.754	, 0.048
1.4010	, 1.845	, 8.273	, 0.038
1.5010	, 2.067	, 8.654	, 0.037
1.6010	, 2.755	, 10.812	, 0.043
1.7010	, 3.688	, 13.622	, 0.051
1.8010	, 4.170	, 14.546	, 0.052
1.9010	, 4.378	, 14.471	, 0.049
2.0010	, 4.433	, 13.918	, 0.045
2.1010	, 4.164	, 12.452	, 0.038
2.2010	, 3.895	, 11.120	, 0.032
2.3010	, 3.646	, 9.956	, 0.028
2.4010	, 3.290	, 8.610	, 0.023
2.5010	, 3.862	, 9.702	, 0.025
2.6010	, 3.927	, 9.487	, 0.023
2.7010	, 3.945	, 9.178	, 0.022
2.8010	, 3.979	, 8.926	, 0.020
2.9010	, 4.125	, 8.934	, 0.020
3.0010	, 4.298	, 9.000	, 0.019
3.1010	, 4.120	, 8.348	, 0.017
3.2010	, 3.729	, 7.319	, 0.015
3.3010	, 3.475	, 6.615	, 0.013
3.4010	, 3.337	, 6.164	, 0.012
3.5010	, 3.350	, 6.012	, 0.011
3.6010	, 3.385	, 5.906	, 0.011
3.7010	, 3.364	, 5.712	, 0.010
3.8010	, 3.277	, 5.418	, 0.009
3.9010	, 3.173	, 5.110	, 0.008
4.0010	, 3.102	, 4.872	, 0.008
4.1010	, 3.086	, 4.728	, 0.007
4.2010	, 3.113	, 4.656	, 0.007
4.3010	, 3.169	, 4.630	, 0.007
4.4010	, 3.249	, 4.639	, 0.007
