 
PGA:,  0.10 g
PGV:,  14.72 cm/s
PGD:,  6.91 cm
Arias Intensity:,  31.66 cm/s
Significant duration:,  30.77 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.016	, 0.100
0.1010	, 0.031	, 1.956	, 0.124
0.2010	, 0.158	, 4.946	, 0.158
0.3010	, 0.607	, 12.663	, 0.269
0.4010	, 0.786	, 12.319	, 0.197
0.5010	, 1.411	, 17.698	, 0.226
0.6010	, 2.445	, 25.565	, 0.272
0.7010	, 3.558	, 31.893	, 0.291
0.8010	, 7.039	, 55.217	, 0.442
0.9010	, 6.010	, 41.910	, 0.298
1.0010	, 4.824	, 30.279	, 0.194
1.1010	, 5.854	, 33.406	, 0.194
1.2010	, 7.935	, 41.514	, 0.221
1.3010	, 8.538	, 41.235	, 0.203
1.4010	, 8.997	, 40.349	, 0.184
1.5010	, 7.977	, 33.390	, 0.142
1.6010	, 6.516	, 25.574	, 0.102
1.7010	, 7.777	, 28.725	, 0.108
1.8010	, 7.922	, 27.637	, 0.098
1.9010	, 7.580	, 25.055	, 0.084
2.0010	, 8.163	, 25.631	, 0.082
2.1010	, 8.468	, 25.325	, 0.077
2.2010	, 9.545	, 27.249	, 0.079
2.3010	, 9.325	, 25.463	, 0.071
2.4010	, 7.498	, 19.620	, 0.052
2.5010	, 7.339	, 18.436	, 0.047
2.6010	, 7.897	, 19.077	, 0.047
2.7010	, 8.188	, 19.047	, 0.045
2.8010	, 9.655	, 21.659	, 0.050
2.9010	, 9.807	, 21.242	, 0.047
3.0010	, 8.599	, 18.004	, 0.038
3.1010	, 8.237	, 16.690	, 0.034
3.2010	, 8.530	, 16.743	, 0.034
3.3010	, 8.243	, 15.689	, 0.030
3.4010	, 7.691	, 14.208	, 0.027
3.5010	, 7.472	, 13.411	, 0.025
3.6010	, 8.311	, 14.502	, 0.026
3.7010	, 8.687	, 14.749	, 0.026
3.8010	, 9.470	, 15.654	, 0.026
3.9010	, 10.445	, 16.823	, 0.028
4.0010	, 11.319	, 17.775	, 0.028
4.1010	, 12.082	, 18.510	, 0.029
4.2010	, 12.107	, 18.108	, 0.028
4.3010	, 11.599	, 16.945	, 0.025
4.4010	, 10.829	, 15.460	, 0.022
4.5010	, 10.103	, 14.104	, 0.020
4.6010	, 10.683	, 14.589	, 0.020
4.7010	, 11.218	, 14.993	, 0.020
4.8010	, 11.960	, 15.652	, 0.021
4.9010	, 13.035	, 16.711	, 0.022
5.0010	, 14.325	, 17.998	, 0.023
5.1010	, 15.521	, 19.118	, 0.024
5.2010	, 16.821	, 20.321	, 0.025
5.3010	, 18.425	, 21.839	, 0.026
5.4010	, 20.027	, 23.298	, 0.028
5.5010	, 21.493	, 24.549	, 0.029
5.6010	, 22.619	, 25.373	, 0.029
5.7010	, 23.635	, 26.048	, 0.029
5.8010	, 24.461	, 26.495	, 0.029
5.9010	, 25.059	, 26.682	, 0.029
6.0010	, 25.435	, 26.631	, 0.028
6.1010	, 25.639	, 26.405	, 0.028
6.2010	, 25.865	, 26.208	, 0.027
6.3010	, 26.031	, 25.958	, 0.026
6.4010	, 26.013	, 25.534	, 0.026
6.5010	, 25.787	, 24.923	, 0.025
6.6010	, 25.405	, 24.182	, 0.023
6.7010	, 25.177	, 23.607	, 0.023
6.8010	, 24.927	, 23.029	, 0.022
6.9010	, 24.561	, 22.362	, 0.021
7.0010	, 24.145	, 21.670	, 0.020
7.1010	, 23.688	, 20.960	, 0.019
7.2010	, 23.167	, 20.214	, 0.018
7.3010	, 22.582	, 19.434	, 0.017
7.4010	, 21.945	, 18.631	, 0.016
7.5010	, 21.268	, 17.815	, 0.015
7.6010	, 20.560	, 16.996	, 0.014
7.7010	, 20.043	, 16.353	, 0.014
7.8010	, 19.811	, 15.956	, 0.013
7.9010	, 19.580	, 15.571	, 0.013
8.0010	, 19.347	, 15.193	, 0.012
8.1010	, 19.109	, 14.821	, 0.012
8.2010	, 18.865	, 14.454	, 0.011
8.3010	, 18.617	, 14.091	, 0.011
8.4010	, 18.363	, 13.734	, 0.010
8.5010	, 18.141	, 13.408	, 0.010
8.6010	, 18.255	, 13.336	, 0.010
8.7010	, 18.038	, 13.026	, 0.010
8.8010	, 17.521	, 12.509	, 0.009
8.9010	, 16.988	, 11.992	, 0.009
9.0010	, 16.688	, 11.649	, 0.008
9.1010	, 16.379	, 11.308	, 0.008
9.2010	, 16.061	, 10.968	, 0.008
9.3010	, 15.736	, 10.630	, 0.007
9.4010	, 15.527	, 10.378	, 0.007
