 
PGA:,  0.04 g
PGV:,  6.98 cm/s
PGD:,  4.98 cm
Arias Intensity:,   7.96 cm/s
Significant duration:,  36.19 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.006	, 0.041
0.1010	, 0.032	, 1.980	, 0.126
0.2010	, 0.085	, 2.668	, 0.085
0.3010	, 0.282	, 5.886	, 0.125
0.4010	, 0.318	, 4.980	, 0.080
0.5010	, 0.805	, 10.101	, 0.129
0.6010	, 0.852	, 8.905	, 0.095
0.7010	, 0.936	, 8.385	, 0.077
0.8010	, 1.036	, 8.128	, 0.065
0.9010	, 1.100	, 7.668	, 0.055
1.0010	, 1.695	, 10.641	, 0.068
1.1010	, 1.356	, 7.739	, 0.045
1.2010	, 1.192	, 6.234	, 0.033
1.3010	, 1.018	, 4.918	, 0.024
1.4010	, 1.381	, 6.196	, 0.028
1.5010	, 1.565	, 6.549	, 0.028
1.6010	, 2.633	, 10.332	, 0.041
1.7010	, 2.919	, 10.782	, 0.041
1.8010	, 2.720	, 9.489	, 0.034
1.9010	, 2.356	, 7.786	, 0.026
2.0010	, 2.651	, 8.323	, 0.027
2.1010	, 2.527	, 7.557	, 0.023
2.2010	, 2.617	, 7.472	, 0.022
2.3010	, 2.722	, 7.431	, 0.021
2.4010	, 2.749	, 7.194	, 0.019
2.5010	, 3.178	, 7.983	, 0.020
2.6010	, 3.091	, 7.468	, 0.018
2.7010	, 3.108	, 7.230	, 0.017
2.8010	, 3.780	, 8.480	, 0.019
2.9010	, 4.496	, 9.738	, 0.021
3.0010	, 4.877	, 10.210	, 0.022
3.1010	, 5.885	, 11.925	, 0.025
3.2010	, 6.607	, 12.968	, 0.026
3.3010	, 7.422	, 14.126	, 0.027
3.4010	, 8.769	, 16.201	, 0.031
3.5010	, 10.132	, 18.183	, 0.033
3.6010	, 10.876	, 18.976	, 0.034
3.7010	, 10.923	, 18.544	, 0.032
3.8010	, 10.289	, 17.008	, 0.029
3.9010	, 9.683	, 15.595	, 0.026
4.0010	, 9.191	, 14.433	, 0.023
4.1010	, 9.139	, 14.002	, 0.022
4.2010	, 9.302	, 13.913	, 0.021
4.3010	, 9.480	, 13.848	, 0.021
4.4010	, 9.531	, 13.606	, 0.020
4.5010	, 9.920	, 13.848	, 0.020
4.6010	, 10.278	, 14.035	, 0.020
4.7010	, 11.161	, 14.918	, 0.020
4.8010	, 11.981	, 15.680	, 0.021
4.9010	, 12.669	, 16.242	, 0.021
5.0010	, 13.199	, 16.584	, 0.021
5.1010	, 13.548	, 16.688	, 0.021
5.2010	, 13.718	, 16.573	, 0.020
5.3010	, 13.752	, 16.300	, 0.020
5.4010	, 13.883	, 16.151	, 0.019
5.5010	, 14.165	, 16.180	, 0.019
5.6010	, 14.455	, 16.215	, 0.019
5.7010	, 14.769	, 16.278	, 0.018
5.8010	, 15.055	, 16.306	, 0.018
5.9010	, 15.265	, 16.253	, 0.018
6.0010	, 15.395	, 16.119	, 0.017
6.1010	, 15.424	, 15.885	, 0.017
6.2010	, 15.357	, 15.561	, 0.016
6.3010	, 15.213	, 15.170	, 0.015
6.4010	, 14.999	, 14.723	, 0.015
6.5010	, 14.722	, 14.229	, 0.014
6.6010	, 14.433	, 13.738	, 0.013
6.7010	, 14.111	, 13.231	, 0.013
6.8010	, 13.803	, 12.752	, 0.012
6.9010	, 13.532	, 12.321	, 0.011
7.0010	, 13.250	, 11.892	, 0.011
7.1010	, 13.002	, 11.505	, 0.010
7.2010	, 12.961	, 11.309	, 0.010
7.3010	, 12.918	, 11.117	, 0.010
7.4010	, 12.878	, 10.933	, 0.009
7.5010	, 12.860	, 10.772	, 0.009
7.6010	, 12.852	, 10.624	, 0.009
7.7010	, 12.852	, 10.486	, 0.009
7.8010	, 12.866	, 10.363	, 0.009
7.9010	, 12.878	, 10.241	, 0.008
8.0010	, 12.890	, 10.122	, 0.008
8.1010	, 12.905	, 10.009	, 0.008
8.2010	, 12.917	, 9.896	, 0.008
8.3010	, 12.923	, 9.782	, 0.008
8.4010	, 12.927	, 9.668	, 0.007
8.5010	, 12.937	, 9.562	, 0.007
8.6010	, 12.939	, 9.452	, 0.007
8.7010	, 12.934	, 9.340	, 0.007
8.8010	, 12.922	, 9.225	, 0.007
