 
PGA:,  0.08 g
PGV:,  10.18 cm/s
PGD:,  15.44 cm
Arias Intensity:,   8.69 cm/s
Significant duration:,  18.90 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.012	, 0.079
0.1010	, 0.041	, 2.524	, 0.160
0.2010	, 0.181	, 5.659	, 0.180
0.3010	, 0.495	, 10.323	, 0.220
0.4010	, 0.637	, 9.987	, 0.160
0.5010	, 0.508	, 6.375	, 0.082
0.6010	, 0.739	, 7.723	, 0.082
0.7010	, 0.796	, 7.139	, 0.065
0.8010	, 0.774	, 6.071	, 0.049
0.9010	, 0.777	, 5.419	, 0.039
1.0010	, 1.554	, 9.757	, 0.062
1.1010	, 1.548	, 8.834	, 0.051
1.2010	, 1.366	, 7.148	, 0.038
1.3010	, 1.398	, 6.753	, 0.033
1.4010	, 1.686	, 7.559	, 0.035
1.5010	, 2.306	, 9.652	, 0.041
1.6010	, 2.023	, 7.939	, 0.032
1.7010	, 1.533	, 5.662	, 0.021
1.8010	, 1.467	, 5.116	, 0.018
1.9010	, 1.507	, 4.981	, 0.017
2.0010	, 1.543	, 4.846	, 0.016
2.1010	, 1.789	, 5.350	, 0.016
2.2010	, 2.337	, 6.673	, 0.019
2.3010	, 2.691	, 7.348	, 0.020
2.4010	, 2.537	, 6.640	, 0.018
2.5010	, 2.116	, 5.315	, 0.014
2.6010	, 2.215	, 5.350	, 0.013
2.7010	, 2.256	, 5.247	, 0.012
2.8010	, 2.409	, 5.405	, 0.012
2.9010	, 2.667	, 5.776	, 0.013
3.0010	, 2.750	, 5.757	, 0.012
3.1010	, 2.983	, 6.044	, 0.012
3.2010	, 3.334	, 6.545	, 0.013
3.3010	, 3.486	, 6.635	, 0.013
3.4010	, 3.558	, 6.573	, 0.012
3.5010	, 4.171	, 7.486	, 0.014
3.6010	, 4.494	, 7.841	, 0.014
3.7010	, 4.498	, 7.637	, 0.013
3.8010	, 4.439	, 7.337	, 0.012
3.9010	, 4.510	, 7.264	, 0.012
4.0010	, 4.885	, 7.671	, 0.012
4.1010	, 5.434	, 8.325	, 0.013
4.2010	, 5.973	, 8.933	, 0.014
4.3010	, 6.362	, 9.293	, 0.014
4.4010	, 6.442	, 9.196	, 0.013
4.5010	, 6.427	, 8.972	, 0.013
4.6010	, 7.010	, 9.573	, 0.013
4.7010	, 7.622	, 10.188	, 0.014
4.8010	, 8.179	, 10.704	, 0.014
4.9010	, 8.592	, 11.015	, 0.014
5.0010	, 8.917	, 11.203	, 0.014
5.1010	, 9.108	, 11.219	, 0.014
5.2010	, 9.209	, 11.125	, 0.014
5.3010	, 9.216	, 10.924	, 0.013
5.4010	, 9.197	, 10.699	, 0.013
5.5010	, 9.164	, 10.467	, 0.012
5.6010	, 9.147	, 10.261	, 0.012
5.7010	, 9.189	, 10.128	, 0.011
5.8010	, 9.313	, 10.087	, 0.011
5.9010	, 9.462	, 10.075	, 0.011
6.0010	, 9.594	, 10.045	, 0.011
6.1010	, 9.697	, 9.987	, 0.010
6.2010	, 9.724	, 9.853	, 0.010
6.3010	, 9.649	, 9.622	, 0.010
6.4010	, 9.648	, 9.471	, 0.009
6.5010	, 9.944	, 9.611	, 0.009
6.6010	, 10.034	, 9.551	, 0.009
6.7010	, 9.881	, 9.265	, 0.009
6.8010	, 9.675	, 8.938	, 0.008
6.9010	, 10.218	, 9.303	, 0.009
7.0010	, 10.707	, 9.609	, 0.009
