 
PGA:,  0.59 g
PGV:,  70.54 cm/s
PGD:,  7.47 cm
Arias Intensity:,  770.82 cm/s
Significant duration:,  24.24 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.092	, 0.592
0.1010	, 0.220	, 13.691	, 0.868
0.2010	, 1.958	, 61.212	, 1.951
0.3010	, 2.924	, 61.039	, 1.299
0.4010	, 5.553	, 87.008	, 1.390
0.5010	, 7.469	, 93.671	, 1.198
0.6010	, 16.216	, 169.528	, 1.807
0.7010	, 17.577	, 157.542	, 1.439
0.8010	, 20.592	, 161.526	, 1.292
0.9010	, 18.422	, 128.466	, 0.913
1.0010	, 16.547	, 103.863	, 0.665
1.1010	, 20.678	, 118.003	, 0.686
1.2010	, 25.282	, 132.265	, 0.705
1.3010	, 21.417	, 103.431	, 0.509
1.4010	, 25.191	, 112.975	, 0.516
1.5010	, 24.890	, 104.191	, 0.445
1.6010	, 28.047	, 110.072	, 0.440
1.7010	, 25.514	, 94.245	, 0.355
1.8010	, 23.455	, 81.829	, 0.291
1.9010	, 22.946	, 75.841	, 0.256
2.0010	, 20.644	, 64.824	, 0.207
2.1010	, 16.381	, 48.990	, 0.149
2.2010	, 14.077	, 40.184	, 0.117
2.3010	, 14.481	, 39.543	, 0.110
2.4010	, 17.422	, 45.592	, 0.122
2.5010	, 21.087	, 52.976	, 0.136
2.6010	, 24.507	, 59.202	, 0.146
2.7010	, 25.519	, 59.363	, 0.141
2.8010	, 24.274	, 54.452	, 0.125
2.9010	, 21.956	, 47.553	, 0.105
3.0010	, 20.006	, 41.887	, 0.089
3.1010	, 19.436	, 39.381	, 0.081
3.2010	, 20.374	, 39.992	, 0.080
3.3010	, 22.155	, 42.170	, 0.082
3.4010	, 23.801	, 43.970	, 0.083
3.5010	, 24.488	, 43.948	, 0.080
3.6010	, 23.778	, 41.489	, 0.074
3.7010	, 22.204	, 37.696	, 0.065
3.8010	, 24.010	, 39.689	, 0.067
3.9010	, 24.897	, 40.100	, 0.066
4.0010	, 24.887	, 39.083	, 0.063
4.1010	, 24.226	, 37.117	, 0.058
4.2010	, 22.947	, 34.321	, 0.052
4.3010	, 21.146	, 30.892	, 0.046
4.4010	, 19.049	, 27.196	, 0.040
4.5010	, 16.895	, 23.585	, 0.034
4.6010	, 14.893	, 20.338	, 0.028
4.7010	, 13.785	, 18.425	, 0.025
4.8010	, 13.523	, 17.698	, 0.024
4.9010	, 12.924	, 16.569	, 0.022
5.0010	, 12.254	, 15.396	, 0.020
5.1010	, 11.713	, 14.428	, 0.018
5.2010	, 11.414	, 13.789	, 0.017
5.3010	, 11.382	, 13.491	, 0.016
5.4010	, 11.566	, 13.455	, 0.016
5.5010	, 11.883	, 13.573	, 0.016
5.6010	, 12.235	, 13.725	, 0.016
5.7010	, 12.483	, 13.758	, 0.015
5.8010	, 12.611	, 13.659	, 0.015
5.9010	, 12.620	, 13.438	, 0.015
