 
PGA:,  0.09 g
PGV:,  28.14 cm/s
PGD:,  22.76 cm
Arias Intensity:,  50.47 cm/s
Significant duration:,  51.76 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.014	, 0.090
0.1010	, 0.025	, 1.558	, 0.099
0.2010	, 0.162	, 5.065	, 0.161
0.3010	, 0.397	, 8.279	, 0.176
0.4010	, 0.657	, 10.289	, 0.164
0.5010	, 1.036	, 12.999	, 0.166
0.6010	, 1.548	, 16.187	, 0.173
0.7010	, 1.701	, 15.244	, 0.139
0.8010	, 2.278	, 17.866	, 0.143
0.9010	, 2.996	, 20.892	, 0.149
1.0010	, 3.243	, 20.355	, 0.130
1.1010	, 4.173	, 23.815	, 0.139
1.2010	, 4.584	, 23.983	, 0.128
1.3010	, 8.385	, 40.496	, 0.199
1.4010	, 10.761	, 48.262	, 0.221
1.5010	, 9.889	, 41.395	, 0.177
1.6010	, 12.874	, 50.524	, 0.202
1.7010	, 17.714	, 65.434	, 0.246
1.8010	, 21.496	, 74.994	, 0.267
1.9010	, 21.204	, 70.085	, 0.236
2.0010	, 21.962	, 68.960	, 0.221
2.1010	, 22.805	, 68.201	, 0.208
2.2010	, 21.750	, 62.088	, 0.181
2.3010	, 20.699	, 56.520	, 0.157
2.4010	, 20.419	, 53.434	, 0.143
2.5010	, 26.810	, 67.355	, 0.172
2.6010	, 30.855	, 74.537	, 0.184
2.7010	, 28.612	, 66.558	, 0.158
2.8010	, 26.646	, 59.772	, 0.137
2.9010	, 26.045	, 56.411	, 0.125
3.0010	, 25.908	, 54.243	, 0.116
3.1010	, 24.921	, 50.494	, 0.104
3.2010	, 29.326	, 57.563	, 0.115
3.3010	, 33.552	, 63.864	, 0.124
3.4010	, 35.783	, 66.108	, 0.124
3.5010	, 38.536	, 69.159	, 0.127
3.6010	, 40.229	, 70.193	, 0.125
3.7010	, 43.549	, 73.933	, 0.128
3.8010	, 48.741	, 80.571	, 0.136
3.9010	, 52.485	, 84.535	, 0.139
4.0010	, 54.914	, 86.237	, 0.138
4.1010	, 56.309	, 86.271	, 0.135
4.2010	, 58.031	, 86.793	, 0.132
4.3010	, 58.778	, 85.867	, 0.128
4.4010	, 59.134	, 84.425	, 0.123
4.5010	, 59.226	, 82.677	, 0.118
4.6010	, 61.248	, 83.642	, 0.116
4.7010	, 64.085	, 85.654	, 0.117
4.8010	, 66.132	, 86.549	, 0.115
4.9010	, 67.094	, 86.016	, 0.112
5.0010	, 66.658	, 83.748	, 0.107
5.1010	, 65.997	, 81.293	, 0.102
5.2010	, 66.592	, 80.448	, 0.099
5.3010	, 66.597	, 78.936	, 0.095
5.4010	, 66.052	, 76.841	, 0.091
5.5010	, 65.108	, 74.365	, 0.087
5.6010	, 63.915	, 71.700	, 0.082
5.7010	, 62.609	, 69.003	, 0.078
5.8010	, 61.273	, 66.366	, 0.073
5.9010	, 66.804	, 71.130	, 0.077
6.0010	, 75.429	, 78.976	, 0.084
6.1010	, 82.373	, 84.832	, 0.089
6.2010	, 87.081	, 88.235	, 0.091
6.3010	, 89.343	, 89.090	, 0.091
6.4010	, 89.170	, 87.528	, 0.088
6.5010	, 86.801	, 83.892	, 0.083
6.6010	, 82.717	, 78.735	, 0.076
6.7010	, 77.437	, 72.609	, 0.069
6.8010	, 74.826	, 69.129	, 0.065
6.9010	, 71.940	, 65.500	, 0.061
7.0010	, 68.244	, 61.247	, 0.056
7.1010	, 64.145	, 56.758	, 0.051
7.2010	, 62.365	, 54.416	, 0.048
7.3010	, 60.989	, 52.486	, 0.046
7.4010	, 59.637	, 50.630	, 0.044
7.5010	, 58.444	, 48.956	, 0.042
7.6010	, 57.264	, 47.336	, 0.040
7.7010	, 56.140	, 45.804	, 0.038
7.8010	, 56.662	, 45.637	, 0.037
7.9010	, 59.856	, 47.600	, 0.039
8.0010	, 63.360	, 49.756	, 0.040
8.1010	, 66.794	, 51.806	, 0.041
8.2010	, 69.836	, 53.505	, 0.042
8.3010	, 72.239	, 54.679	, 0.042
8.4010	, 73.837	, 55.223	, 0.042
8.5010	, 74.547	, 55.099	, 0.042
8.6010	, 74.360	, 54.321	, 0.040
8.7010	, 73.337	, 52.958	, 0.039
8.8010	, 71.604	, 51.119	, 0.037
8.9010	, 69.321	, 48.934	, 0.035
9.0010	, 66.668	, 46.538	, 0.033
9.1010	, 63.832	, 44.069	, 0.031
9.2010	, 60.997	, 41.653	, 0.029
9.3010	, 58.324	, 39.400	, 0.027
9.4010	, 55.943	, 37.390	, 0.025
9.5010	, 53.938	, 35.670	, 0.024
9.6010	, 52.343	, 34.255	, 0.023
9.7010	, 51.144	, 33.125	, 0.022
9.8010	, 50.285	, 32.236	, 0.021
9.9010	, 49.677	, 31.525	, 0.020
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	0.0000242	0.0000000	0.0000000	0.0000000
0.004	0.0000241	0.0000947	0.0000002	0.0000000
0.008	0.0000243	0.0001896	0.0000008	0.0000000
0.012	0.0000242	0.0002847	0.0000017	0.0000000
0.016	0.0000244	0.0003799	0.0000030	0.0000000
0.020	0.0000243	0.0004754	0.0000047	0.0000000
0.024	0.0000245	0.0005711	0.0000068	0.0000000
0.028	0.0000243	0.0006669	0.0000093	0.0000000
0.032	0.0000246	0.0007629	0.0000122	0.0000000
0.036	0.0000245	0.0008591	0.0000154	0.0000000
0.040	0.0000247	0.0009555	0.0000190	0.0000000
0.044	0.0000246	0.0010521	0.0000231	0.0000000
0.048	0.0000248	0.0011489	0.0000275	0.0000000
0.052	0.0000247	0.0012459	0.0000323	0.0000000
0.056	0.0000249	0.0013432	0.0000374	0.0000000
0.060	0.0000247	0.0014405	0.0000430	0.0000000
0.064	0.0000249	0.0015380	0.0000490	0.0000000
0.068	0.0000248	0.0016356	0.0000553	0.0000000
0.072	0.0000250	0.0017334	0.0000620	0.0000000
0.076	0.0000249	0.0018315	0.0000692	0.0000000
0.080	0.0000251	0.0019296	0.0000767	0.0000000
0.084	0.0000250	0.0020278	0.0000846	0.0000000
0.088	0.0000252	0.0021263	0.0000929	0.0000000
0.092	0.0000251	0.0022249	0.0001016	0.0000000
0.096	0.0000252	0.0023236	0.0001107	0.0000000
0.100	0.0000251	0.0024225	0.0001202	0.0000000
0.104	0.0000253	0.0025214	0.0001301	0.0000000
0.108	0.0000253	0.0026206	0.0001404	0.0000000
0.112	0.0000255	0.0027202	0.0001511	0.0000000
0.116	0.0000254	0.0028199	0.0001621	0.0000000
0.120	0.0000255	0.0029196	0.0001736	0.0000000
0.124	0.0000254	0.0030194	0.0001855	0.0000000
0.128	0.0000256	0.0031196	0.0001978	0.0000000
0.132	0.0000256	0.0032201	0.0002105	0.0000000
0.136	0.0000258	0.0033210	0.0002235	0.0000000
0.140	0.0000257	0.0034220	0.0002370	0.0000000
0.144	0.0000258	0.0035230	0.0002509	0.0000000
0.148	0.0000256	0.0036238	0.0002652	0.0000000
0.152	0.0000258	0.0037247	0.0002799	0.0000000
0.156	0.0000258	0.0038259	0.0002950	0.0000000
0.160	0.0000259	0.0039273	0.0003105	0.0000000
0.164	0.0000258	0.0040287	0.0003264	0.0000000
0.168	0.0000260	0.0041304	0.0003427	0.0000000
0.172	0.0000261	0.0042325	0.0003595	0.0000000
0.176	0.0000262	0.0043350	0.0003766	0.0000000
0.180	0.0000260	0.0044375	0.0003941	0.0000000
0.184	0.0000260	0.0045396	0.0004121	0.0000000
0.188	0.0000260	0.0046416	0.0004305	0.0000000
0.192	0.0000263	0.0047443	0.0004492	0.0000000
0.196	0.0000265	0.0048479	0.0004684	0.0000000
0.200	0.0000266	0.0049521	0.0004880	0.0000000
0.204	0.0000266	0.0050565	0.0005080	0.0000000
0.208	0.0000266	0.0051607	0.0005285	0.0000000
0.212	0.0000264	0.0052647	0.0005493	0.0000000
0.216	0.0000265	0.0053687	0.0005706	0.0000000
0.220	0.0000266	0.0054729	0.0005923	0.0000000
0.224	0.0000268	0.0055776	0.0006144	0.0000000
0.228	0.0000267	0.0056825	0.0006369	0.0000000
0.232	0.0000267	0.0057873	0.0006598	0.0000000
0.236	0.0000267	0.0058921	0.0006832	0.0000000
0.240	0.0000268	0.0059972	0.0007070	0.0000000
0.244	0.0000268	0.0061024	0.0007312	0.0000000
0.248	0.0000268	0.0062076	0.0007558	0.0000000
0.252	0.0000268	0.0063129	0.0007808	0.0000000
0.256	0.0000269	0.0064183	0.0008063	0.0000000
0.260	0.0000270	0.0065240	0.0008322	0.0000000
0.264	0.0000271	0.0066300	0.0008585	0.0000000
0.268	0.0000271	0.0067363	0.0008852	0.0000000
0.272	0.0000272	0.0068428	0.0009124	0.0000000
0.276	0.0000271	0.0069495	0.0009400	0.0000000
0.280	0.0000273	0.0070562	0.0009680	0.0000000
0.284	0.0000273	0.0071633	0.0009964	0.0000000
0.288	0.0000273	0.0072705	0.0010253	0.0000000
0.292	0.0000272	0.0073775	0.0010546	0.0000000
0.296	0.0000272	0.0074842	0.0010843	0.0000000
0.300	0.0000272	0.0075909	0.0011145	0.0000000
0.304	0.0000274	0.0076980	0.0011450	0.0000000
0.308	0.0000274	0.0078056	0.0011760	0.0000000
0.312	0.0000273	0.0079130	0.0012075	0.0000000
0.316	0.0000269	0.0080195	0.0012393	0.0000000
0.320	0.0000269	0.0081251	0.0012716	0.0000000
0.324	0.0000272	0.0082312	0.0013043	0.0000000
0.328	0.0000277	0.0083388	0.0013375	0.0000000
0.332	0.0000277	0.0084474	0.0013711	0.0000000
0.336	0.0000276	0.0085559	0.0014051	0.0000000
0.340	0.0000276	0.0086642	0.0014395	0.0000000
0.344	0.0000278	0.0087728	0.0014744	0.0000000
0.348	0.0000279	0.0088820	0.0015097	0.0000000
0.352	0.0000281	0.0089920	0.0015454	0.0000000
0.356	0.0000278	0.0091017	0.0015816	0.0000000
0.360	0.0000276	0.0092106	0.0016182	0.0000000
0.364	0.0000275	0.0093189	0.0016553	0.0000000
0.368	0.0000277	0.0094273	0.0016928	0.0000000
0.372	0.0000279	0.0095363	0.0017307	0.0000000
0.376	0.0000281	0.0096460	0.0017691	0.0000000
0.380	0.0000280	0.0097560	0.0018079	0.0000000
0.384	0.0000281	0.0098661	0.0018471	0.0000000
0.388	0.0000282	0.0099765	0.0018868	0.0000000
0.392	0.0000286	0.0100878	0.0019269	0.0000000
0.396	0.0000286	0.0102000	0.0019675	0.0000000
0.400	0.0000283	0.0103116	0.0020085	0.0000000
0.404	0.0000279	0.0104219	0.0020500	0.0000000
0.408	0.0000282	0.0105319	0.0020919	0.0000000
0.412	0.0000286	0.0106434	0.0021343	0.0000000
0.416	0.0000289	0.0107562	0.0021771	0.0000000
0.420	0.0000287	0.0108691	0.0022203	0.0000000
0.424	0.0000288	0.0109821	0.0022640	0.0000000
0.428	0.0000290	0.0110956	0.0023082	0.0000000
0.432	0.0000292	0.0112098	0.0023528	0.0000000
0.436	0.0000292	0.0113242	0.0023979	0.0000000
0.440	0.0000293	0.0114389	0.0024434	0.0000000
0.444	0.0000292	0.0115536	0.0024894	0.0000000
0.448	0.0000291	0.0116680	0.0025358	0.0000000
0.452	0.0000291	0.0117822	0.0025827	0.0000000
0.456	0.0000290	0.0118962	0.0026301	0.0000000
0.460	0.0000287	0.0120095	0.0026779	0.0000000
0.464	0.0000283	0.0121213	0.0027261	0.0000000
0.468	0.0000280	0.0122318	0.0027748	0.0000000
0.472	0.0000287	0.0123431	0.0028240	0.0000000
0.476	0.0000294	0.0124569	0.0028736	0.0000000
0.480	0.0000296	0.0125726	0.0029237	0.0000000
0.484	0.0000295	0.0126885	0.0029742	0.0000000
0.488	0.0000292	0.0128037	0.0030252	0.0000000
0.492	0.0000284	0.0129169	0.0030766	0.0000000
0.496	0.0000281	0.0130278	0.0031285	0.0000000
0.500	0.0000285	0.0131389	0.0031808	0.0000000
0.504	0.0000293	0.0132524	0.0032336	0.0000000
0.508	0.0000294	0.0133676	0.0032869	0.0000000
0.512	0.0000294	0.0134831	0.0033406	0.0000000
0.516	0.0000296	0.0135989	0.0033947	0.0000000
0.520	0.0000296	0.0137149	0.0034493	0.0000000
0.524	0.0000289	0.0138297	0.0035044	0.0000000
0.528	0.0000285	0.0139425	0.0035600	0.0000000
0.532	0.0000291	0.0140555	0.0036160	0.0000000
0.536	0.0000296	0.0141706	0.0036724	0.0000000
0.540	0.0000293	0.0142860	0.0037293	0.0000000
0.544	0.0000287	0.0143998	0.0037867	0.0000000
0.548	0.0000286	0.0145123	0.0038445	0.0000000
0.552	0.0000292	0.0146257	0.0039028	0.0000000
0.556	0.0000296	0.0147410	0.0039615	0.0000000
0.560	0.0000297	0.0148572	0.0040207	0.0000000
0.564	0.0000296	0.0149737	0.0040804	0.0000000
0.568	0.0000297	0.0150900	0.0041405	0.0000000
0.572	0.0000298	0.0152069	0.0042011	0.0000000
0.576	0.0000300	0.0153242	0.0042622	0.0000000
0.580	0.0000301	0.0154422	0.0043237	0.0000000
0.584	0.0000305	0.0155612	0.0043857	0.0000000
0.588	0.0000304	0.0156807	0.0044482	0.0000000
0.592	0.0000300	0.0157993	0.0045112	0.0000000
0.596	0.0000294	0.0159160	0.0045746	0.0000000
0.600	0.0000299	0.0160324	0.0046385	0.0000000
0.604	0.0000309	0.0161517	0.0047029	0.0000000
0.608	0.0000317	0.0162747	0.0047677	0.0000000
0.612	0.0000311	0.0163980	0.0048331	0.0000000
0.616	0.0000298	0.0165175	0.0048989	0.0000000
0.620	0.0000287	0.0166324	0.0049652	0.0000000
0.624	0.0000286	0.0167448	0.0050319	0.0000000
0.628	0.0000294	0.0168585	0.0050992	0.0000000
0.632	0.0000305	0.0169761	0.0051668	0.0000000
0.636	0.0000311	0.0170970	0.0052350	0.0000000
0.640	0.0000310	0.0172189	0.0053036	0.0000000
0.644	0.0000305	0.0173395	0.0053727	0.0000000
0.648	0.0000301	0.0174583	0.0054423	0.0000000
0.652	0.0000305	0.0175772	0.0055124	0.0000000
0.656	0.0000316	0.0176990	0.0055829	0.0000000
0.660	0.0000325	0.0178247	0.0056540	0.0000000
0.664	0.0000323	0.0179518	0.0057255	0.0000000
0.668	0.0000307	0.0180753	0.0057976	0.0000000
0.672	0.0000293	0.0181931	0.0058701	0.0000000
0.676	0.0000295	0.0183085	0.0059431	0.0000000
0.680	0.0000304	0.0184260	0.0060166	0.0000000
0.684	0.0000306	0.0185457	0.0060905	0.0000000
0.688	0.0000303	0.0186651	0.0061650	0.0000000
0.692	0.0000301	0.0187835	0.0062399	0.0000000
0.696	0.0000306	0.0189026	0.0063152	0.0000000
0.700	0.0000311	0.0190236	0.0063911	0.0000000
0.704	0.0000311	0.0191456	0.0064674	0.0000000
0.708	0.0000304	0.0192664	0.0065443	0.0000000
0.712	0.0000301	0.0193852	0.0066216	0.0000000
0.716	0.0000301	0.0195033	0.0066993	0.0000000
0.720	0.0000305	0.0196223	0.0067776	0.0000000
0.724	0.0000312	0.0197434	0.0068563	0.0000000
0.728	0.0000314	0.0198661	0.0069355	0.0000000
0.732	0.0000307	0.0199878	0.0070152	0.0000000
0.736	0.0000299	0.0201068	0.0070954	0.0000000
0.740	0.0000289	0.0202223	0.0071761	0.0000000
