 
PGA:,  0.07 g
PGV:,  5.87 cm/s
PGD:,  3.31 cm
Arias Intensity:,  17.48 cm/s
Significant duration:,  35.90 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.010	, 0.066
0.1010	, 0.032	, 1.973	, 0.125
0.2010	, 0.152	, 4.764	, 0.152
0.3010	, 0.451	, 9.419	, 0.200
0.4010	, 0.761	, 11.923	, 0.190
0.5010	, 1.021	, 12.804	, 0.164
0.6010	, 1.211	, 12.662	, 0.135
0.7010	, 1.278	, 11.456	, 0.105
0.8010	, 1.672	, 13.116	, 0.105
0.9010	, 1.822	, 12.706	, 0.090
1.0010	, 1.553	, 9.751	, 0.062
1.1010	, 1.308	, 7.462	, 0.043
1.2010	, 1.619	, 8.471	, 0.045
1.3010	, 1.700	, 8.209	, 0.040
1.4010	, 1.580	, 7.087	, 0.032
1.5010	, 1.397	, 5.847	, 0.025
1.6010	, 1.262	, 4.954	, 0.020
1.7010	, 1.183	, 4.371	, 0.016
1.8010	, 1.277	, 4.455	, 0.016
1.9010	, 1.432	, 4.734	, 0.016
2.0010	, 1.259	, 3.953	, 0.013
2.1010	, 1.157	, 3.460	, 0.011
2.2010	, 1.243	, 3.547	, 0.010
2.3010	, 1.450	, 3.960	, 0.011
2.4010	, 1.847	, 4.834	, 0.013
2.5010	, 2.229	, 5.601	, 0.014
2.6010	, 2.179	, 5.263	, 0.013
2.7010	, 2.032	, 4.727	, 0.011
2.8010	, 2.085	, 4.678	, 0.011
2.9010	, 2.389	, 5.174	, 0.011
3.0010	, 2.571	, 5.382	, 0.011
3.1010	, 2.733	, 5.538	, 0.011
3.2010	, 2.734	, 5.366	, 0.011
3.3010	, 2.563	, 4.878	, 0.009
3.4010	, 2.479	, 4.579	, 0.009
3.5010	, 2.882	, 5.173	, 0.009
3.6010	, 3.313	, 5.781	, 0.010
3.7010	, 3.900	, 6.621	, 0.011
3.8010	, 4.408	, 7.287	, 0.012
3.9010	, 4.803	, 7.736	, 0.013
4.0010	, 5.050	, 7.931	, 0.013
4.1010	, 5.114	, 7.835	, 0.012
4.2010	, 4.990	, 7.463	, 0.011
4.3010	, 5.099	, 7.449	, 0.011
4.4010	, 5.284	, 7.544	, 0.011
4.5010	, 5.403	, 7.543	, 0.011
4.6010	, 5.965	, 8.146	, 0.011
4.7010	, 6.185	, 8.267	, 0.011
4.8010	, 6.704	, 8.774	, 0.012
4.9010	, 6.945	, 8.904	, 0.012
5.0010	, 6.794	, 8.536	, 0.011
5.1010	, 7.030	, 8.659	, 0.011
5.2010	, 7.300	, 8.818	, 0.011
5.3010	, 7.442	, 8.821	, 0.011
5.4010	, 7.721	, 8.982	, 0.011
5.5010	, 7.911	, 9.036	, 0.011
5.6010	, 7.968	, 8.939	, 0.010
5.7010	, 7.899	, 8.705	, 0.010
5.8010	, 7.718	, 8.359	, 0.009
5.9010	, 7.449	, 7.931	, 0.009
6.0010	, 7.212	, 7.551	, 0.008
6.1010	, 7.032	, 7.242	, 0.008
6.2010	, 6.797	, 6.887	, 0.007
6.3010	, 6.524	, 6.506	, 0.007
6.4010	, 6.231	, 6.117	, 0.006
6.5010	, 5.932	, 5.733	, 0.006
6.6010	, 5.637	, 5.366	, 0.005
6.7010	, 5.753	, 5.394	, 0.005
6.8010	, 5.965	, 5.511	, 0.005
6.9010	, 5.989	, 5.453	, 0.005
7.0010	, 5.913	, 5.307	, 0.005
7.1010	, 5.949	, 5.263	, 0.005
7.2010	, 6.022	, 5.254	, 0.005
7.3010	, 6.137	, 5.282	, 0.005
7.4010	, 6.252	, 5.307	, 0.005
7.5010	, 6.341	, 5.311	, 0.005
7.6010	, 6.416	, 5.304	, 0.004
7.7010	, 6.499	, 5.302	, 0.004
7.8010	, 6.613	, 5.327	, 0.004
7.9010	, 6.713	, 5.339	, 0.004
8.0010	, 6.922	, 5.436	, 0.004
8.1010	, 7.184	, 5.572	, 0.004
8.2010	, 7.409	, 5.676	, 0.004
8.3010	, 7.592	, 5.747	, 0.004
8.4010	, 7.729	, 5.780	, 0.004
8.5010	, 7.915	, 5.850	, 0.004
8.6010	, 8.059	, 5.887	, 0.004
8.7010	, 8.217	, 5.934	, 0.004
8.8010	, 8.316	, 5.937	, 0.004
8.9010	, 8.349	, 5.893	, 0.004
9.0010	, 8.332	, 5.816	, 0.004
9.1010	, 8.396	, 5.797	, 0.004
9.2010	, 8.535	, 5.829	, 0.004
9.3010	, 8.666	, 5.854	, 0.004
9.4010	, 8.730	, 5.835	, 0.004
9.5010	, 8.654	, 5.723	, 0.004
9.6010	, 8.448	, 5.529	, 0.004
9.7010	, 8.184	, 5.300	, 0.003
9.8010	, 7.821	, 5.014	, 0.003
9.9010	, 7.662	, 4.862	, 0.003
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	0.0000067	0.0000000	0.0000000	0.0000000
0.004	0.0000066	0.0000261	0.0000001	0.0000000
0.008	0.0000066	0.0000521	0.0000002	0.0000000
0.012	0.0000066	0.0000780	0.0000005	0.0000000
0.016	0.0000066	0.0001038	0.0000008	0.0000000
0.020	0.0000065	0.0001295	0.0000013	0.0000000
0.024	0.0000065	0.0001551	0.0000019	0.0000000
0.028	0.0000065	0.0001808	0.0000025	0.0000000
0.032	0.0000066	0.0002066	0.0000033	0.0000000
0.036	0.0000065	0.0002323	0.0000042	0.0000000
0.040	0.0000065	0.0002578	0.0000052	0.0000000
0.044	0.0000065	0.0002832	0.0000063	0.0000000
0.048	0.0000065	0.0003087	0.0000074	0.0000000
0.052	0.0000065	0.0003342	0.0000087	0.0000000
0.056	0.0000065	0.0003595	0.0000101	0.0000000
0.060	0.0000064	0.0003847	0.0000116	0.0000000
0.064	0.0000064	0.0004099	0.0000132	0.0000000
0.068	0.0000064	0.0004350	0.0000149	0.0000000
0.072	0.0000065	0.0004602	0.0000167	0.0000000
0.076	0.0000065	0.0004856	0.0000186	0.0000000
0.080	0.0000065	0.0005112	0.0000206	0.0000000
0.084	0.0000065	0.0005368	0.0000227	0.0000000
0.088	0.0000064	0.0005622	0.0000248	0.0000000
0.092	0.0000064	0.0005873	0.0000271	0.0000000
0.096	0.0000064	0.0006123	0.0000295	0.0000000
0.100	0.0000064	0.0006374	0.0000320	0.0000000
0.104	0.0000064	0.0006624	0.0000346	0.0000000
0.108	0.0000063	0.0006874	0.0000373	0.0000000
0.112	0.0000064	0.0007123	0.0000401	0.0000000
0.116	0.0000064	0.0007374	0.0000430	0.0000000
0.120	0.0000065	0.0007628	0.0000460	0.0000000
0.124	0.0000066	0.0007885	0.0000491	0.0000000
0.128	0.0000066	0.0008143	0.0000524	0.0000000
0.132	0.0000066	0.0008401	0.0000557	0.0000000
0.136	0.0000066	0.0008659	0.0000591	0.0000000
0.140	0.0000066	0.0008917	0.0000626	0.0000000
0.144	0.0000065	0.0009174	0.0000662	0.0000000
0.148	0.0000063	0.0009424	0.0000699	0.0000000
0.152	0.0000062	0.0009668	0.0000737	0.0000000
0.156	0.0000063	0.0009912	0.0000777	0.0000000
0.160	0.0000066	0.0010164	0.0000817	0.0000000
0.164	0.0000067	0.0010423	0.0000858	0.0000000
0.168	0.0000065	0.0010681	0.0000900	0.0000000
0.172	0.0000062	0.0010929	0.0000943	0.0000000
0.176	0.0000059	0.0011167	0.0000988	0.0000000
0.180	0.0000059	0.0011399	0.0001033	0.0000000
0.184	0.0000059	0.0011632	0.0001079	0.0000000
0.188	0.0000059	0.0011864	0.0001126	0.0000000
0.192	0.0000059	0.0012095	0.0001174	0.0000000
