 
PGA:,  0.06 g
PGV:,  3.92 cm/s
PGD:,  0.85 cm
Arias Intensity:,   3.32 cm/s
Significant duration:,   8.84 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.010	, 0.065
0.1010	, 0.025	, 1.527	, 0.097
0.2010	, 0.250	, 7.800	, 0.249
0.3010	, 0.333	, 6.961	, 0.148
0.4010	, 0.411	, 6.435	, 0.103
0.5010	, 0.491	, 6.158	, 0.079
0.6010	, 0.691	, 7.227	, 0.077
0.7010	, 0.774	, 6.934	, 0.063
0.8010	, 0.751	, 5.892	, 0.047
0.9010	, 0.719	, 5.013	, 0.036
1.0010	, 0.728	, 4.571	, 0.029
1.1010	, 1.036	, 5.913	, 0.034
1.2010	, 1.442	, 7.543	, 0.040
1.3010	, 1.479	, 7.141	, 0.035
1.4010	, 1.781	, 7.988	, 0.037
1.5010	, 2.040	, 8.541	, 0.036
1.6010	, 1.904	, 7.474	, 0.030
1.7010	, 1.532	, 5.658	, 0.021
1.8010	, 1.428	, 4.984	, 0.018
1.9010	, 1.471	, 4.861	, 0.016
2.0010	, 1.571	, 4.934	, 0.016
2.1010	, 1.945	, 5.816	, 0.018
2.2010	, 2.346	, 6.696	, 0.019
2.3010	, 2.610	, 7.127	, 0.020
2.4010	, 2.702	, 7.072	, 0.019
2.5010	, 2.648	, 6.652	, 0.017
2.6010	, 2.462	, 5.947	, 0.015
2.7010	, 2.197	, 5.112	, 0.012
2.8010	, 1.968	, 4.414	, 0.010
2.9010	, 1.830	, 3.963	, 0.009
3.0010	, 1.670	, 3.497	, 0.007
3.1010	, 1.498	, 3.036	, 0.006
3.2010	, 1.327	, 2.605	, 0.005
3.3010	, 1.318	, 2.508	, 0.005
3.4010	, 1.308	, 2.416	, 0.005
3.5010	, 1.287	, 2.310	, 0.004
3.6010	, 1.257	, 2.193	, 0.004
3.7010	, 1.216	, 2.065	, 0.004
3.8010	, 1.175	, 1.943	, 0.003
