 
PGA:,  0.13 g
PGV:,  11.64 cm/s
PGD:,  2.70 cm
Arias Intensity:,   9.70 cm/s
Significant duration:,  12.11 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.020	, 0.130
0.1010	, 0.053	, 3.314	, 0.210
0.2010	, 0.374	, 11.690	, 0.372
0.3010	, 0.587	, 12.258	, 0.261
0.4010	, 0.509	, 7.971	, 0.127
0.5010	, 1.041	, 13.058	, 0.167
0.6010	, 1.117	, 11.679	, 0.124
0.7010	, 1.218	, 10.921	, 0.100
0.8010	, 1.974	, 15.486	, 0.124
0.9010	, 2.645	, 18.447	, 0.131
1.0010	, 2.883	, 18.098	, 0.116
1.1010	, 3.124	, 17.830	, 0.104
1.2010	, 4.683	, 24.499	, 0.131
1.3010	, 5.666	, 27.363	, 0.135
1.4010	, 4.676	, 20.971	, 0.096
1.5010	, 5.554	, 23.250	, 0.099
1.6010	, 6.657	, 26.125	, 0.105
1.7010	, 6.435	, 23.771	, 0.090
1.8010	, 5.409	, 18.871	, 0.067
1.9010	, 5.149	, 17.017	, 0.057
2.0010	, 4.935	, 15.495	, 0.050
2.1010	, 4.723	, 14.125	, 0.043
2.2010	, 4.920	, 14.045	, 0.041
2.3010	, 4.968	, 13.567	, 0.038
2.4010	, 4.578	, 11.981	, 0.032
2.5010	, 4.497	, 11.299	, 0.029
2.6010	, 4.382	, 10.586	, 0.026
2.7010	, 4.248	, 9.882	, 0.023
2.8010	, 4.135	, 9.276	, 0.021
2.9010	, 4.160	, 9.011	, 0.020
3.0010	, 4.247	, 8.893	, 0.019
3.1010	, 4.328	, 8.770	, 0.018
3.2010	, 4.402	, 8.640	, 0.017
3.3010	, 4.468	, 8.504	, 0.016
3.4010	, 4.526	, 8.361	, 0.016
3.5010	, 4.576	, 8.213	, 0.015
3.6010	, 4.619	, 8.060	, 0.014
3.7010	, 4.655	, 7.903	, 0.014
3.8010	, 4.683	, 7.742	, 0.013
3.9010	, 4.705	, 7.579	, 0.012
4.0010	, 4.721	, 7.414	, 0.012
4.1010	, 4.731	, 7.248	, 0.011
4.2010	, 4.735	, 7.082	, 0.011
4.3010	, 4.735	, 6.917	, 0.010
4.4010	, 4.730	, 6.752	, 0.010
4.5010	, 4.720	, 6.589	, 0.009
4.6010	, 4.708	, 6.429	, 0.009
