 
PGA:,  0.06 g
PGV:,  3.14 cm/s
PGD:,  0.79 cm
Arias Intensity:,   4.09 cm/s
Significant duration:,  25.24 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.009	, 0.055
0.1010	, 0.037	, 2.329	, 0.148
0.2010	, 0.119	, 3.707	, 0.118
0.3010	, 0.266	, 5.555	, 0.118
0.4010	, 0.465	, 7.285	, 0.116
0.5010	, 0.374	, 4.691	, 0.060
0.6010	, 0.863	, 9.021	, 0.096
0.7010	, 0.935	, 8.381	, 0.077
0.8010	, 1.216	, 9.536	, 0.076
0.9010	, 1.795	, 12.518	, 0.089
1.0010	, 1.949	, 12.236	, 0.078
1.1010	, 1.529	, 8.727	, 0.051
1.2010	, 1.738	, 9.091	, 0.048
1.3010	, 1.921	, 9.277	, 0.046
1.4010	, 1.690	, 7.579	, 0.035
1.5010	, 1.560	, 6.531	, 0.028
1.6010	, 1.692	, 6.641	, 0.027
1.7010	, 2.115	, 7.811	, 0.029
1.8010	, 2.360	, 8.234	, 0.029
1.9010	, 2.171	, 7.177	, 0.024
2.0010	, 2.340	, 7.346	, 0.024
2.1010	, 1.977	, 5.912	, 0.018
2.2010	, 1.971	, 5.628	, 0.016
2.3010	, 2.107	, 5.755	, 0.016
2.4010	, 2.054	, 5.375	, 0.014
2.5010	, 2.218	, 5.572	, 0.014
2.6010	, 2.282	, 5.513	, 0.014
2.7010	, 2.168	, 5.044	, 0.012
2.8010	, 2.142	, 4.805	, 0.011
2.9010	, 2.114	, 4.578	, 0.010
3.0010	, 2.002	, 4.192	, 0.009
3.1010	, 2.088	, 4.232	, 0.009
3.2010	, 2.418	, 4.746	, 0.009
3.3010	, 2.563	, 4.879	, 0.009
3.4010	, 2.499	, 4.617	, 0.009
3.5010	, 2.235	, 4.011	, 0.007
3.6010	, 1.932	, 3.371	, 0.006
3.7010	, 1.706	, 2.896	, 0.005
3.8010	, 1.552	, 2.566	, 0.004
3.9010	, 1.456	, 2.346	, 0.004
4.0010	, 1.382	, 2.171	, 0.003
4.1010	, 1.489	, 2.281	, 0.004
4.2010	, 1.760	, 2.633	, 0.004
4.3010	, 1.970	, 2.878	, 0.004
4.4010	, 2.142	, 3.058	, 0.004
4.5010	, 2.335	, 3.260	, 0.005
4.6010	, 2.538	, 3.466	, 0.005
4.7010	, 2.575	, 3.442	, 0.005
4.8010	, 2.445	, 3.199	, 0.004
4.9010	, 2.600	, 3.334	, 0.004
5.0010	, 2.621	, 3.292	, 0.004
5.1010	, 2.530	, 3.117	, 0.004
5.2010	, 2.368	, 2.860	, 0.004
5.3010	, 2.173	, 2.575	, 0.003
5.4010	, 1.982	, 2.306	, 0.003
5.5010	, 1.820	, 2.079	, 0.002
5.6010	, 1.701	, 1.908	, 0.002
5.7010	, 1.627	, 1.793	, 0.002
5.8010	, 1.589	, 1.721	, 0.002
5.9010	, 1.577	, 1.679	, 0.002
6.0010	, 1.577	, 1.651	, 0.002
6.1010	, 1.579	, 1.626	, 0.002
6.2010	, 1.573	, 1.594	, 0.002
6.3010	, 1.555	, 1.551	, 0.002
6.4010	, 1.525	, 1.497	, 0.001
6.5010	, 1.482	, 1.433	, 0.001
6.6010	, 1.430	, 1.362	, 0.001
6.7010	, 1.373	, 1.287	, 0.001
6.8010	, 1.314	, 1.213	, 0.001
6.9010	, 1.256	, 1.144	, 0.001
7.0010	, 1.203	, 1.080	, 0.001
7.1010	, 1.157	, 1.024	, 0.001
7.2010	, 1.120	, 0.977	, 0.001
7.3010	, 1.090	, 0.938	, 0.001
7.4010	, 1.069	, 0.907	, 0.001
7.5010	, 1.054	, 0.883	, 0.001
7.6010	, 1.046	, 0.864	, 0.001
7.7010	, 1.041	, 0.850	, 0.001
7.8010	, 1.039	, 0.837	, 0.001
7.9010	, 1.039	, 0.826	, 0.001
8.0010	, 1.038	, 0.815	, 0.001
8.1010	, 1.036	, 0.803	, 0.001
8.2010	, 1.031	, 0.790	, 0.001
8.3010	, 1.024	, 0.775	, 0.001
8.4010	, 1.015	, 0.759	, 0.001
8.5010	, 1.002	, 0.741	, 0.001
8.6010	, 0.987	, 0.721	, 0.001
8.7010	, 0.968	, 0.699	, 0.001
8.8010	, 0.948	, 0.677	, 0.000
8.9010	, 0.947	, 0.668	, 0.000
9.0010	, 0.947	, 0.661	, 0.000
9.1010	, 0.947	, 0.654	, 0.000
9.2010	, 0.945	, 0.646	, 0.000
9.3010	, 0.943	, 0.637	, 0.000
9.4010	, 0.940	, 0.628	, 0.000
9.5010	, 0.935	, 0.619	, 0.000
9.6010	, 0.930	, 0.609	, 0.000
9.7010	, 0.925	, 0.599	, 0.000
9.8010	, 0.919	, 0.589	, 0.000
9.9010	, 0.914	, 0.580	, 0.000
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	0.0000662	0.0000000	0.0000000	0.0000000
0.005	0.0000720	0.0003390	0.0000008	0.0000000
0.010	0.0000783	0.0007077	0.0000035	0.0000000
0.015	0.0000841	0.0011060	0.0000080	0.0000000
0.020	0.0000895	0.0015316	0.0000146	0.0000000
0.025	0.0000946	0.0019830	0.0000234	0.0000001
0.030	0.0001000	0.0024602	0.0000345	0.0000001
0.035	0.0001052	0.0029635	0.0000480	0.0000001
0.040	0.0001105	0.0034924	0.0000642	0.0000001
0.045	0.0001159	0.0040476	0.0000830	0.0000001
0.050	0.0001213	0.0046293	0.0001047	0.0000002
0.055	0.0001259	0.0052354	0.0001294	0.0000002
0.060	0.0001288	0.0058600	0.0001571	0.0000002
0.065	0.0001287	0.0064915	0.0001880	0.0000003
0.070	0.0001242	0.0071119	0.0002220	0.0000003
0.075	0.0001142	0.0076967	0.0002590	0.0000003
0.080	0.0000983	0.0082178	0.0002988	0.0000003
0.085	0.0000773	0.0086484	0.0003410	0.0000004
0.090	0.0000516	0.0089646	0.0003850	0.0000004
0.095	0.0000240	0.0091499	0.0004303	0.0000004
0.100	-0.0000031	0.0092011	0.0004762	0.0000004
0.105	-0.0000272	0.0091269	0.0005220	0.0000004
0.110	-0.0000468	0.0089456	0.0005672	0.0000004
0.115	-0.0000625	0.0086774	0.0006112	0.0000004
0.120	-0.0000768	0.0083358	0.0006538	0.0000004
