 
PGA:,  0.32 g
PGV:,  16.30 cm/s
PGD:,  2.01 cm
Arias Intensity:,  68.73 cm/s
Significant duration:,   7.71 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.051	, 0.324
0.1010	, 0.200	, 12.414	, 0.787
0.2010	, 0.636	, 19.885	, 0.634
0.3010	, 1.718	, 35.858	, 0.763
0.4010	, 2.111	, 33.074	, 0.528
0.5010	, 2.120	, 26.589	, 0.340
0.6010	, 2.322	, 24.271	, 0.259
0.7010	, 1.766	, 15.829	, 0.145
0.8010	, 1.599	, 12.539	, 0.100
0.9010	, 2.065	, 14.402	, 0.102
1.0010	, 2.074	, 13.021	, 0.083
1.1010	, 2.153	, 12.288	, 0.071
1.2010	, 2.708	, 14.169	, 0.076
1.3010	, 3.622	, 17.491	, 0.086
1.4010	, 2.925	, 13.119	, 0.060
1.5010	, 2.771	, 11.598	, 0.049
1.6010	, 2.589	, 10.159	, 0.041
1.7010	, 2.801	, 10.345	, 0.039
1.8010	, 3.325	, 11.601	, 0.041
1.9010	, 3.544	, 11.713	, 0.039
2.0010	, 4.176	, 13.114	, 0.042
2.1010	, 4.513	, 13.495	, 0.041
2.2010	, 3.969	, 11.330	, 0.033
2.3010	, 3.569	, 9.746	, 0.027
2.4010	, 3.266	, 8.546	, 0.023
2.5010	, 3.429	, 8.616	, 0.022
2.6010	, 4.119	, 9.951	, 0.025
2.7010	, 5.097	, 11.856	, 0.028
2.8010	, 6.107	, 13.699	, 0.031
2.9010	, 6.970	, 15.095	, 0.033
3.0010	, 7.606	, 15.925	, 0.034
3.1010	, 7.994	, 16.197	, 0.033
3.2010	, 8.382	, 16.453	, 0.033
3.3010	, 8.599	, 16.368	, 0.032
3.4010	, 8.651	, 15.982	, 0.030
3.5010	, 8.489	, 15.235	, 0.028
3.6010	, 7.969	, 13.905	, 0.025
3.7010	, 7.938	, 13.477	, 0.023
3.8010	, 7.816	, 12.920	, 0.022
3.9010	, 7.612	, 12.261	, 0.020
4.0010	, 7.300	, 11.464	, 0.018
4.1010	, 6.899	, 10.570	, 0.017
4.2010	, 6.448	, 9.644	, 0.015
4.3010	, 6.188	, 9.040	, 0.013
4.4010	, 5.959	, 8.508	, 0.012
4.5010	, 5.675	, 7.922	, 0.011
4.6010	, 5.345	, 7.299	, 0.010
4.7010	, 4.982	, 6.658	, 0.009
4.8010	, 4.611	, 6.034	, 0.008
4.9010	, 4.282	, 5.490	, 0.007
5.0010	, 4.165	, 5.232	, 0.007
5.1010	, 4.025	, 4.958	, 0.006
5.2010	, 3.868	, 4.673	, 0.006
5.3010	, 3.703	, 4.389	, 0.005
5.4010	, 3.569	, 4.151	, 0.005
5.5010	, 3.422	, 3.908	, 0.005
5.6010	, 3.368	, 3.778	, 0.004
5.7010	, 3.342	, 3.684	, 0.004
5.8010	, 3.306	, 3.580	, 0.004
5.9010	, 3.260	, 3.471	, 0.004
6.0010	, 3.207	, 3.357	, 0.004
6.1010	, 3.147	, 3.241	, 0.003
6.2010	, 3.083	, 3.124	, 0.003
6.3010	, 3.018	, 3.009	, 0.003
6.4010	, 3.032	, 2.977	, 0.003
6.5010	, 3.043	, 2.941	, 0.003
6.6010	, 3.050	, 2.903	, 0.003
6.7010	, 3.053	, 2.863	, 0.003
6.8010	, 3.053	, 2.821	, 0.003
6.9010	, 3.051	, 2.778	, 0.003
7.0010	, 3.046	, 2.733	, 0.003
7.1010	, 3.038	, 2.688	, 0.002
7.2010	, 3.029	, 2.643	, 0.002
7.3010	, 3.017	, 2.596	, 0.002
7.4010	, 3.004	, 2.550	, 0.002
7.5010	, 2.990	, 2.504	, 0.002
7.6010	, 2.974	, 2.458	, 0.002
7.7010	, 2.957	, 2.413	, 0.002
7.8010	, 2.939	, 2.367	, 0.002
7.9010	, 2.921	, 2.323	, 0.002
8.0010	, 2.901	, 2.278	, 0.002
8.1010	, 2.882	, 2.235	, 0.002
8.2010	, 2.861	, 2.192	, 0.002
8.3010	, 2.841	, 2.150	, 0.002
8.4010	, 2.820	, 2.109	, 0.002
8.5010	, 2.799	, 2.069	, 0.002
8.6010	, 2.778	, 2.029	, 0.002
8.7010	, 2.757	, 1.991	, 0.001
8.8010	, 2.736	, 1.953	, 0.001
8.9010	, 2.715	, 1.917	, 0.001
9.0010	, 2.694	, 1.881	, 0.001
9.1010	, 2.674	, 1.846	, 0.001
9.2010	, 2.654	, 1.812	, 0.001
9.3010	, 2.633	, 1.779	, 0.001
9.4010	, 2.614	, 1.747	, 0.001
9.5010	, 2.594	, 1.715	, 0.001
9.6010	, 2.575	, 1.685	, 0.001
9.7010	, 2.556	, 1.655	, 0.001
9.8010	, 2.537	, 1.627	, 0.001
9.9010	, 2.519	, 1.599	, 0.001
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	0.0002076	0.0000000	0.0000000	0.0000000
0.005	0.0002099	0.0010238	0.0000026	0.0000000
0.010	0.0002120	0.0020585	0.0000103	0.0000000
0.015	0.0002139	0.0031031	0.0000232	0.0000000
0.020	0.0002154	0.0041557	0.0000413	0.0000000
0.025	0.0002168	0.0052156	0.0000647	0.0000000
0.030	0.0002182	0.0062824	0.0000935	0.0000000
0.035	0.0002199	0.0073569	0.0001276	0.0000000
0.040	0.0002218	0.0084401	0.0001671	0.0000000
0.045	0.0002240	0.0095335	0.0002120	0.0000000
0.050	0.0002265	0.0106384	0.0002624	0.0000001
0.055	0.0002291	0.0117558	0.0003184	0.0000001
0.060	0.0002315	0.0128856	0.0003800	0.0000001
0.065	0.0002336	0.0140264	0.0004473	0.0000001
0.070	0.0002361	0.0151785	0.0005203	0.0000001
0.075	0.0002397	0.0163456	0.0005991	0.0000001
0.080	0.0002443	0.0175327	0.0006838	0.0000001
0.085	0.0002485	0.0187414	0.0007745	0.0000001
0.090	0.0002510	0.0199665	0.0008713	0.0000001
0.095	0.0002510	0.0211977	0.0009742	0.0000001
0.100	0.0002493	0.0224247	0.0010833	0.0000001
0.105	0.0002467	0.0236411	0.0011984	0.0000001
0.110	0.0002442	0.0248451	0.0013196	0.0000001
0.115	0.0002442	0.0260430	0.0014469	0.0000001
0.120	0.0002488	0.0272522	0.0015801	0.0000001
0.125	0.0002576	0.0284942	0.0017195	0.0000002
0.130	0.0002717	0.0297924	0.0018652	0.0000002
0.135	0.0002897	0.0311692	0.0020176	0.0000002
0.140	0.0003054	0.0326286	0.0021771	0.0000002
0.145	0.0003152	0.0341507	0.0023440	0.0000002
0.150	0.0003160	0.0356987	0.0025186	0.0000002
0.155	0.0003079	0.0372289	0.0027010	0.0000002
0.160	0.0002928	0.0387023	0.0028908	0.0000002
0.165	0.0002734	0.0400910	0.0030878	0.0000002
0.170	0.0002557	0.0413888	0.0032915	0.0000002
0.175	0.0002489	0.0426264	0.0035015	0.0000002
0.180	0.0002568	0.0438666	0.0037177	0.0000003
0.185	0.0002698	0.0451582	0.0039403	0.0000003
0.190	0.0002829	0.0465138	0.0041695	0.0000003
0.195	0.0002953	0.0479321	0.0044056	0.0000003
0.200	0.0003114	0.0494201	0.0046490	0.0000003
0.205	0.0003249	0.0509806	0.0049000	0.0000003
0.210	0.0003268	0.0525789	0.0051589	0.0000003
0.215	0.0003099	0.0541403	0.0054257	0.0000003
0.220	0.0002783	0.0555828	0.0057000	0.0000003
0.225	0.0002466	0.0568702	0.0059811	0.0000003
0.230	0.0002372	0.0580567	0.0062684	0.0000003
0.235	0.0002552	0.0592643	0.0065617	0.0000004
0.240	0.0002802	0.0605774	0.0068613	0.0000004
0.245	0.0002964	0.0619914	0.0071678	0.0000004
0.250	0.0002875	0.0634235	0.0074813	0.0000004
0.255	0.0002710	0.0647932	0.0078018	0.0000004
0.260	0.0002736	0.0661289	0.0081291	0.0000004
0.265	0.0003112	0.0675633	0.0084634	0.0000004
0.270	0.0003640	0.0692193	0.0088053	0.0000004
0.275	0.0003896	0.0710674	0.0091561	0.0000004
0.280	0.0003632	0.0729137	0.0095160	0.0000005
0.285	0.0002833	0.0744991	0.0098845	0.0000005
0.290	0.0001839	0.0756447	0.0102599	0.0000005
0.295	0.0001166	0.0763816	0.0106400	0.0000005
0.300	0.0001087	0.0769341	0.0110233	0.0000005
0.305	0.0001538	0.0775777	0.0114095	0.0000005
0.310	0.0002099	0.0784696	0.0117996	0.0000005
0.315	0.0002460	0.0795878	0.0121948	0.0000005
0.320	0.0002544	0.0808152	0.0125958	0.0000005
0.325	0.0002486	0.0820489	0.0130030	0.0000005
0.330	0.0002426	0.0832535	0.0134162	0.0000005
0.335	0.0002570	0.0844789	0.0138355	0.0000005
0.340	0.0003090	0.0858671	0.0142614	0.0000005
0.345	0.0003725	0.0875385	0.0146949	0.0000005
0.350	0.0004414	0.0895346	0.0151376	0.0000006
0.355	0.0005052	0.0918561	0.0155911	0.0000006
0.360	0.0005882	0.0945377	0.0160571	0.0000006
0.365	0.0006635	0.0976075	0.0165374	0.0000007
0.370	0.0006683	0.1008737	0.0170336	0.0000007
0.375	0.0005833	0.1039434	0.0175457	0.0000008
0.380	0.0004416	0.1064571	0.0180717	0.0000008
0.385	0.0003286	0.1083461	0.0186087	0.0000008
0.390	0.0002460	0.1097554	0.0191539	0.0000008
0.395	0.0002015	0.1108529	0.0197055	0.0000008
0.400	0.0001740	0.1117738	0.0202620	0.0000008
0.405	0.0001484	0.1125646	0.0208229	0.0000008
0.410	0.0001592	0.1133190	0.0213876	0.0000008
0.415	0.0002061	0.1142149	0.0219564	0.0000008
0.420	0.0002844	0.1154179	0.0225305	0.0000008
0.425	0.0003592	0.1169964	0.0231115	0.0000008
0.430	0.0003916	0.1188378	0.0237011	0.0000009
0.435	0.0003917	0.1207587	0.0243001	0.0000009
0.440	0.0003860	0.1226660	0.0249087	0.0000009
0.445	0.0003622	0.1245008	0.0255266	0.0000009
0.450	0.0003053	0.1261378	0.0261532	0.0000009
0.455	0.0002352	0.1274635	0.0267872	0.0000009
0.460	0.0001600	0.1284327	0.0274269	0.0000009
0.465	0.0000548	0.1289594	0.0280704	0.0000009
0.470	-0.0001600	0.1287015	0.0287146	0.0000009
0.475	-0.0004687	0.1271596	0.0293542	0.0000010
0.480	-0.0007426	0.1241890	0.0299826	0.0000010
0.485	-0.0008575	0.1202650	0.0305937	0.0000011
0.490	-0.0007566	0.1163064	0.0311852	0.0000011
0.495	-0.0003691	0.1135456	0.0317598	0.0000012
0.500	0.0002188	0.1131769	0.0323266	0.0000012
0.505	0.0007765	0.1156180	0.0328986	0.0000012
0.510	0.0011120	0.1202496	0.0334882	0.0000013
0.515	0.0011991	0.1259175	0.0341037	0.0000015
0.520	0.0011830	0.1317597	0.0347479	0.0000016
0.525	0.0011392	0.1374549	0.0354209	0.0000018
0.530	0.0008972	0.1424491	0.0361207	0.0000019
0.535	0.0002721	0.1453168	0.0368401	0.0000020
0.540	-0.0006183	0.1444678	0.0375645	0.0000020
0.545	-0.0015067	0.1392562	0.0382738	0.0000021
0.550	-0.0020153	0.1306185	0.0389485	0.0000025
0.555	-0.0017943	0.1212755	0.0395783	0.0000029
0.560	-0.0008683	0.1147456	0.0401683	0.0000031
0.565	0.0003766	0.1135398	0.0407390	0.0000032
0.570	0.0014146	0.1179328	0.0413177	0.0000033
0.575	0.0019462	0.1261751	0.0419280	0.0000036
0.580	0.0019744	0.1357903	0.0425829	0.0000040
0.585	0.0017532	0.1449323	0.0432847	0.0000044
0.590	0.0015733	0.1530906	0.0440298	0.0000047
0.595	0.0014702	0.1605549	0.0448139	0.0000050
0.600	0.0012987	0.1673456	0.0456336	0.0000052
0.605	0.0010159	0.1730220	0.0464845	0.0000054
0.610	0.0006178	0.1770288	0.0473597	0.0000055
0.615	0.0001757	0.1789750	0.0482497	0.0000055
0.620	-0.0000833	0.1792017	0.0491451	0.0000055
0.625	0.0001713	0.1794174	0.0500417	0.0000055
0.630	0.0009942	0.1822756	0.0509459	0.0000055
0.635	0.0019576	0.1895149	0.0518754	0.0000058
0.640	0.0024180	0.2002460	0.0528498	0.0000064
0.645	0.0019307	0.2109112	0.0538777	0.0000069
0.650	0.0007633	0.2175183	0.0549487	0.0000071
0.655	-0.0003353	0.2185681	0.0560390	0.0000072
0.660	-0.0005713	0.2163445	0.0571262	0.0000072
0.665	0.0001597	0.2153350	0.0582054	0.0000072
0.670	0.0012596	0.2188158	0.0592908	0.0000073
0.675	0.0019107	0.2265910	0.0604043	0.0000076
0.680	0.0015296	0.2350283	0.0615584	0.0000079
0.685	0.0002447	0.2393796	0.0627444	0.0000081
0.690	-0.0011922	0.2370559	0.0639355	0.0000082
0.695	-0.0020024	0.2292211	0.0651012	0.0000085
0.700	-0.0021092	0.2191374	0.0662221	0.0000089
0.705	-0.0018703	0.2093776	0.0672934	0.0000094
0.710	-0.0015064	0.2010962	0.0683196	0.0000097
0.715	-0.0012505	0.1943350	0.0693081	0.0000099
0.720	-0.0012112	0.1882978	0.0702647	0.0000101
0.725	-0.0012805	0.1821869	0.0711909	0.0000103
0.730	-0.0013351	0.1757721	0.0720858	0.0000104
0.735	-0.0013518	0.1691824	0.0729482	0.0000107
0.740	-0.0013349	0.1625932	0.0737776	0.0000109
0.745	-0.0011523	0.1564933	0.0745754	0.0000110
0.750	-0.0007497	0.1518287	0.0753462	0.0000111
0.755	-0.0004114	0.1489811	0.0760982	0.0000112
0.760	-0.0003246	0.1471760	0.0768386	0.0000112
0.765	-0.0003810	0.1454455	0.0775701	0.0000112
0.770	-0.0004019	0.1435255	0.0782926	0.0000112
0.775	-0.0001694	0.1421244	0.0790067	0.0000112
0.780	0.0002692	0.1423691	0.0797179	0.0000112
0.785	0.0001508	0.1433992	0.0804323	0.0000112
0.790	-0.0010328	0.1412362	0.0811439	0.0000113
0.795	-0.0026869	0.1321137	0.0818273	0.0000118
0.800	-0.0037888	0.1162320	0.0824482	0.0000130
0.805	-0.0033564	0.0987082	0.0829855	0.0000144
0.810	-0.0011781	0.0875873	0.0834513	0.0000151
0.815	0.0015619	0.0885286	0.0838916	0.0000153
0.820	0.0037929	0.1016612	0.0843670	0.0000163
0.825	0.0052525	0.1238451	0.0849308	0.0000186
0.830	0.0054911	0.1501939	0.0856159	0.0000219
0.835	0.0046936	0.1751719	0.0864293	0.0000248
0.840	0.0037947	0.1959893	0.0873572	0.0000268
0.845	0.0033442	0.2134975	0.0883809	0.0000283
0.850	0.0027596	0.2284671	0.0894858	0.0000293
0.855	0.0013447	0.2385326	0.0906533	0.0000299
0.860	-0.0012732	0.2387079	0.0918464	0.0000300
0.865	-0.0044709	0.2246206	0.0930048	0.0000313
0.870	-0.0070867	0.1962755	0.0940570	0.0000352
0.875	-0.0079482	0.1594023	0.0949462	0.0000415
0.880	-0.0063590	0.1243137	0.0956555	0.0000474
0.885	-0.0031263	0.1010509	0.0962189	0.0000502
0.890	-0.0003241	0.0925887	0.0967030	0.0000507
0.895	0.0007813	0.0937102	0.0971687	0.0000508
0.900	0.0000661	0.0957884	0.0976425	0.0000508
0.905	-0.0016206	0.0919759	0.0981119	0.0000509
0.910	-0.0032505	0.0800295	0.0985419	0.0000517
0.915	-0.0040474	0.0621317	0.0988973	0.0000532
0.920	-0.0041065	0.0421344	0.0991580	0.0000551
0.925	-0.0037501	0.0228662	0.0993205	0.0000568
0.930	-0.0024459	0.0076706	0.0993968	0.0000579
0.935	-0.0001443	0.0013181	0.0994193	0.0000583
0.940	0.0021664	0.0062772	0.0994383	0.0000585
0.945	0.0036378	0.0205119	0.0995053	0.0000595
0.950	0.0044586	0.0403683	0.0996575	0.0000614
0.955	0.0050699	0.0637369	0.0999177	0.0000639
0.960	0.0052000	0.0889239	0.1002994	0.0000669
0.965	0.0046972	0.1131968	0.1008047	0.0000696
0.970	0.0032480	0.1326824	0.1014194	0.0000715
0.975	0.0009554	0.1429914	0.1021086	0.0000721
0.980	-0.0012437	0.1422843	0.1028217	0.0000723
0.985	-0.0021865	0.1338718	0.1035121	0.0000726
0.990	-0.0015475	0.1247143	0.1041586	0.0000730
0.995	-0.0008450	0.1188467	0.1047675	0.0000732
1.000	-0.0012562	0.1136937	0.1053489	0.0000733
1.005	-0.0023067	0.1049557	0.1058955	0.0000737
1.010	-0.0026088	0.0929003	0.1063901	0.0000744
1.015	-0.0013559	0.0831767	0.1068303	0.0000749
1.020	0.0008579	0.0819552	0.1072431	0.0000750
1.025	0.0028069	0.0909429	0.1076754	0.0000755
1.030	0.0035880	0.1066264	0.1081693	0.0000767
1.035	0.0038407	0.1248453	0.1087480	0.0000782
1.040	0.0046629	0.1457002	0.1094244	0.0000802
1.045	0.0058717	0.1715363	0.1102174	0.0000834
1.050	0.0068663	0.2027764	0.1111532	0.0000880
1.055	0.0062775	0.2350116	0.1122477	0.0000928
1.060	0.0039798	0.2601675	0.1134856	0.0000959
1.065	0.0005881	0.2713702	0.1148145	0.0000968
1.070	-0.0029762	0.2655134	0.1161567	0.0000973
1.075	-0.0048877	0.2462271	0.1174360	0.0000992
1.080	-0.0037754	0.2249807	0.1186141	0.0001013
1.085	-0.0006471	0.2141343	0.1197119	0.0001021
1.090	0.0015413	0.2163274	0.1207880	0.0001023
1.095	0.0010480	0.2226777	0.1218855	0.0001025
1.100	-0.0016592	0.2211787	0.1229952	0.0001027
1.105	-0.0043857	0.2063534	0.1240640	0.0001039
1.110	-0.0056505	0.1817396	0.1250342	0.0001068
1.115	-0.0051551	0.1552389	0.1258767	0.0001101
1.120	-0.0032592	0.1346027	0.1266013	0.0001122
1.125	-0.0013125	0.1233906	0.1272463	0.0001129
1.130	-0.0005876	0.1187306	0.1278516	0.0001130
1.135	-0.0013097	0.1140775	0.1284336	0.0001131
1.140	-0.0027589	0.1040993	0.1289790	0.0001136
1.145	-0.0038314	0.0879365	0.1294591	0.0001149
1.150	-0.0046546	0.0671244	0.1298468	0.0001169
1.155	-0.0051270	0.0431349	0.1301224	0.0001196
1.160	-0.0045165	0.0194842	0.1302790	0.0001222
1.165	-0.0024218	0.0024681	0.1303338	0.0001237
1.170	0.0003265	-0.0026706	0.1303333	0.0001240
1.175	0.0027109	0.0047785	0.1303386	0.0001244
1.180	0.0048338	0.0232819	0.1304088	0.0001262
1.185	0.0063777	0.0507783	0.1305939	0.0001297
1.190	0.0061980	0.0816202	0.1309249	0.0001342
1.195	0.0044269	0.1076777	0.1313981	0.0001374
1.200	0.0022115	0.1239584	0.1319772	0.0001388
1.205	0.0006874	0.1310679	0.1326148	0.0001391
1.210	0.0006653	0.1343854	0.1332784	0.0001392
1.215	0.0015281	0.1397649	0.1339638	0.0001393
1.220	0.0024483	0.1495170	0.1346870	0.0001398
1.225	0.0033893	0.1638338	0.1354704	0.0001408
1.230	0.0032231	0.1800508	0.1363301	0.0001420
1.235	0.0015877	0.1918493	0.1372599	0.0001427
1.240	-0.0012788	0.1926068	0.1382210	0.0001429
1.245	-0.0045074	0.1784162	0.1391486	0.0001442
1.250	-0.0068003	0.1506841	0.1399713	0.0001479
1.255	-0.0070502	0.1167159	0.1406398	0.0001533
1.260	-0.0052043	0.0866617	0.1411482	0.0001576
1.265	-0.0023266	0.0681923	0.1415354	0.0001594
1.270	0.0005609	0.0638619	0.1418655	0.0001597
1.275	0.0031210	0.0728916	0.1422074	0.0001603
1.280	0.0047815	0.0922725	0.1426203	0.0001621
1.285	0.0061101	0.1189843	0.1431485	0.0001655
1.290	0.0072176	0.1516706	0.1438251	0.0001705
1.295	0.0075525	0.1878943	0.1446740	0.0001766
1.300	0.0064173	0.2221553	0.1456991	0.0001821
1.305	0.0042007	0.2481959	0.1468750	0.0001854
1.310	0.0015973	0.2624153	0.1481515	0.0001866
1.315	-0.0011019	0.2636303	0.1494666	0.0001868
1.320	-0.0038670	0.2514442	0.1507543	0.0001877
1.325	-0.0062636	0.2265988	0.1519494	0.0001907
1.330	-0.0066329	0.1949701	0.1530034	0.0001954
1.335	-0.0041233	0.1685904	0.1539123	0.0001988
1.340	-0.0003887	0.1575247	0.1547276	0.0001998
1.345	0.0027269	0.1632589	0.1555295	0.0002002
1.350	0.0044885	0.1809546	0.1563900	0.0002017
1.355	0.0047492	0.2036100	0.1573515	0.0002041
1.360	0.0035516	0.2239677	0.1584204	0.0002061
1.365	0.0022913	0.2382974	0.1595761	0.0002071
1.370	0.0022240	0.2493711	0.1607952	0.0002077
1.375	0.0037688	0.2640684	0.1620788	0.0002087
1.380	0.0059024	0.2877869	0.1634585	0.0002115
1.385	0.0071202	0.3197249	0.1649773	0.0002163
1.390	0.0057347	0.3512517	0.1666547	0.0002210
1.395	0.0020768	0.3704095	0.1684588	0.0002231
1.400	-0.0021633	0.3701975	0.1703104	0.0002236
1.405	-0.0066361	0.3486170	0.1721074	0.0002263
1.410	-0.0109116	0.3055812	0.1737429	0.0002354
1.415	-0.0137475	0.2451046	0.1751196	0.0002527
1.420	-0.0135001	0.1782797	0.1761781	0.0002735
1.425	-0.0101231	0.1203437	0.1769246	0.0002895
1.430	-0.0054271	0.0822068	0.1774310	0.0002969
1.435	-0.0011508	0.0660744	0.1778017	0.0002986
1.440	0.0016177	0.0672195	0.1781349	0.0002988
1.445	0.0022900	0.0768032	0.1784950	0.0002993
1.450	0.0014872	0.0860668	0.1789022	0.0002997
1.455	0.0010001	0.0921670	0.1793478	0.0002998
1.460	0.0020634	0.0996803	0.1798274	0.0003001
1.465	0.0046284	0.1160920	0.1803668	0.0003016
1.470	0.0069311	0.1444418	0.1810181	0.0003055
1.475	0.0069916	0.1785871	0.1818257	0.0003109
1.480	0.0056425	0.2095722	0.1827961	0.0003154
1.485	0.0042378	0.2338037	0.1839046	0.0003182
1.490	0.0029374	0.2514009	0.1851176	0.0003197
1.495	0.0016358	0.2626167	0.1864026	0.0003203
1.500	-0.0001395	0.2662864	0.1877249	0.0003205
1.505	-0.0016498	0.2618981	0.1890453	0.0003207
1.510	-0.0015328	0.2540926	0.1903353	0.0003209
1.515	0.0009859	0.2527512	0.1916024	0.0003211
1.520	0.0054399	0.2685103	0.1929056	0.0003228
1.525	0.0103271	0.3071789	0.1943448	0.0003305
1.530	0.0139889	0.3668139	0.1960298	0.0003474
1.535	0.0150505	0.4380329	0.1980419	0.0003711
1.540	0.0127604	0.5062391	0.2004026	0.0003929
1.545	0.0075583	0.5560707	0.2030583	0.0004052
1.550	0.0008250	0.5766307	0.2058901	0.0004085
1.555	-0.0048733	0.5667022	0.2087484	0.0004099
1.560	-0.0090745	0.5324951	0.2114964	0.0004158
1.565	-0.0125191	0.4795368	0.2140265	0.0004292
1.570	-0.0159532	0.4097085	0.2162496	0.0004522
1.575	-0.0190199	0.3239368	0.2180837	0.0004868
1.580	-0.0205701	0.2268423	0.2194607	0.0005308
1.585	-0.0202468	0.1267390	0.2203446	0.0005775
1.590	-0.0183182	0.0321584	0.2207419	0.0006193
1.595	-0.0147391	-0.0489148	0.2207000	0.0006503
1.600	-0.0100169	-0.1096290	0.2203036	0.0006681
1.605	-0.0053012	-0.1471965	0.2196616	0.0006753
