 
PGA:,  0.13 g
PGV:,  23.67 cm/s
PGD:,  13.56 cm
Arias Intensity:,  33.14 cm/s
Significant duration:,  19.60 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.020	, 0.130
0.1010	, 0.095	, 5.930	, 0.376
0.2010	, 0.398	, 12.455	, 0.397
0.3010	, 0.475	, 9.924	, 0.211
0.4010	, 1.019	, 15.966	, 0.255
0.5010	, 1.492	, 18.715	, 0.239
0.6010	, 2.302	, 24.068	, 0.256
0.7010	, 3.495	, 31.324	, 0.286
0.8010	, 4.226	, 33.152	, 0.265
0.9010	, 4.881	, 34.038	, 0.242
1.0010	, 5.718	, 35.892	, 0.230
1.1010	, 6.912	, 39.443	, 0.229
1.2010	, 10.555	, 55.221	, 0.294
1.3010	, 11.505	, 55.563	, 0.274
1.4010	, 10.199	, 45.739	, 0.209
1.5010	, 9.934	, 41.582	, 0.177
1.6010	, 10.061	, 39.484	, 0.158
1.7010	, 10.325	, 38.137	, 0.144
1.8010	, 10.651	, 37.158	, 0.132
1.9010	, 10.820	, 35.762	, 0.120
2.0010	, 10.784	, 33.861	, 0.108
2.1010	, 12.110	, 36.217	, 0.110
2.2010	, 13.254	, 37.836	, 0.110
2.3010	, 13.672	, 37.334	, 0.104
2.4010	, 13.489	, 35.300	, 0.094
2.5010	, 12.637	, 31.749	, 0.081
2.6010	, 11.518	, 27.823	, 0.069
2.7010	, 10.457	, 24.325	, 0.058
2.8010	, 10.591	, 23.757	, 0.054
2.9010	, 10.716	, 23.209	, 0.051
3.0010	, 10.834	, 22.683	, 0.048
3.1010	, 10.948	, 22.183	, 0.046
3.2010	, 11.059	, 21.707	, 0.043
3.3010	, 11.165	, 21.252	, 0.041
3.4010	, 11.266	, 20.814	, 0.039
3.5010	, 11.361	, 20.390	, 0.037
3.6010	, 11.449	, 19.977	, 0.036
3.7010	, 11.530	, 19.574	, 0.034
3.8010	, 11.606	, 19.184	, 0.032
3.9010	, 11.679	, 18.810	, 0.031
4.0010	, 11.744	, 18.443	, 0.030
4.1010	, 11.799	, 18.077	, 0.028
4.2010	, 11.841	, 17.710	, 0.027
4.3010	, 12.975	, 18.954	, 0.028
4.4010	, 14.267	, 20.368	, 0.030
4.5010	, 15.472	, 21.599	, 0.031
4.6010	, 16.544	, 22.593	, 0.031
4.7010	, 17.472	, 23.352	, 0.032
4.8010	, 18.265	, 23.904	, 0.032
4.9010	, 18.883	, 24.209	, 0.032
5.0010	, 19.377	, 24.345	, 0.031
5.1010	, 19.978	, 24.608	, 0.031
5.2010	, 20.821	, 25.154	, 0.031
5.3010	, 21.375	, 25.336	, 0.031
5.4010	, 22.024	, 25.621	, 0.030
5.5010	, 22.649	, 25.870	, 0.030
5.6010	, 23.136	, 25.954	, 0.030
5.7010	, 23.707	, 26.128	, 0.029
5.8010	, 24.348	, 26.372	, 0.029
5.9010	, 24.934	, 26.548	, 0.029
6.0010	, 25.502	, 26.702	, 0.028
6.1010	, 25.931	, 26.706	, 0.028
6.2010	, 26.407	, 26.757	, 0.028
6.3010	, 26.845	, 26.769	, 0.027
6.4010	, 27.156	, 26.657	, 0.027
6.5010	, 27.336	, 26.420	, 0.026
6.6010	, 27.412	, 26.092	, 0.025
6.7010	, 27.403	, 25.694	, 0.025
6.8010	, 27.302	, 25.224	, 0.024
6.9010	, 27.100	, 24.674	, 0.023
7.0010	, 26.812	, 24.063	, 0.022
7.1010	, 26.448	, 23.402	, 0.021
7.2010	, 26.007	, 22.692	, 0.020
7.3010	, 25.519	, 21.961	, 0.019
7.4010	, 25.135	, 21.339	, 0.018
7.5010	, 24.844	, 20.811	, 0.018
7.6010	, 24.582	, 20.320	, 0.017
7.7010	, 24.369	, 19.882	, 0.017
7.8010	, 24.193	, 19.486	, 0.016
7.9010	, 23.991	, 19.078	, 0.015
8.0010	, 23.859	, 18.737	, 0.015
8.1010	, 23.855	, 18.502	, 0.015
8.2010	, 23.826	, 18.254	, 0.014
8.3010	, 23.775	, 17.995	, 0.014
8.4010	, 23.700	, 17.725	, 0.014
8.5010	, 23.603	, 17.445	, 0.013
8.6010	, 23.485	, 17.156	, 0.013
8.7010	, 23.349	, 16.861	, 0.012
8.8010	, 23.196	, 16.560	, 0.012
8.9010	, 23.029	, 16.256	, 0.012
9.0010	, 22.848	, 15.949	, 0.011
9.1010	, 22.656	, 15.641	, 0.011
9.2010	, 22.453	, 15.333	, 0.011
9.3010	, 22.240	, 15.024	, 0.010
9.4010	, 22.018	, 14.716	, 0.010
9.5010	, 21.789	, 14.409	, 0.010
9.6010	, 21.553	, 14.105	, 0.009
9.7010	, 21.312	, 13.803	, 0.009
9.8010	, 21.067	, 13.506	, 0.009
9.9010	, 20.820	, 13.212	, 0.009
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	-0.0011302	0.0000000	0.0000000	0.0000000
0.003	-0.0011286	-0.0032131	-0.0000047	0.0000002
0.006	-0.0011277	-0.0064226	-0.0000186	0.0000003
0.009	-0.0011269	-0.0096297	-0.0000419	0.0000005
0.012	-0.0011262	-0.0128346	-0.0000745	0.0000007
0.014	-0.0011264	-0.0160388	-0.0001163	0.0000009
0.017	-0.0011273	-0.0192446	-0.0001675	0.0000010
0.020	-0.0011275	-0.0224519	-0.0002280	0.0000012
0.023	-0.0011270	-0.0256588	-0.0002977	0.0000014
0.026	-0.0011274	-0.0288656	-0.0003768	0.0000015
0.029	-0.0011275	-0.0320730	-0.0004651	0.0000017
0.032	-0.0011267	-0.0352795	-0.0005628	0.0000019
0.035	-0.0011252	-0.0384826	-0.0006698	0.0000021
0.038	-0.0011254	-0.0416839	-0.0007860	0.0000022
0.041	-0.0011262	-0.0448867	-0.0009115	0.0000024
0.043	-0.0011277	-0.0480929	-0.0010464	0.0000026
0.046	-0.0011301	-0.0513045	-0.0011905	0.0000027
0.049	-0.0011331	-0.0545237	-0.0013439	0.0000029
0.052	-0.0011358	-0.0577511	-0.0015067	0.0000031
0.055	-0.0011375	-0.0609848	-0.0016789	0.0000033
0.058	-0.0011392	-0.0642233	-0.0018604	0.0000034
0.061	-0.0011369	-0.0674610	-0.0020514	0.0000036
0.064	-0.0011314	-0.0706875	-0.0022517	0.0000038
0.067	-0.0011224	-0.0738933	-0.0024613	0.0000040
0.070	-0.0011108	-0.0770700	-0.0026802	0.0000041
0.072	-0.0010991	-0.0802134	-0.0029083	0.0000043
0.075	-0.0010872	-0.0833234	-0.0031454	0.0000044
0.078	-0.0010754	-0.0863996	-0.0033915	0.0000046
0.081	-0.0010639	-0.0894426	-0.0036465	0.0000048
0.084	-0.0010540	-0.0924552	-0.0039103	0.0000049
0.087	-0.0010462	-0.0954426	-0.0041827	0.0000051
0.090	-0.0010412	-0.0984119	-0.0044638	0.0000052
0.093	-0.0010384	-0.1013701	-0.0047535	0.0000054
0.096	-0.0010348	-0.1043191	-0.0050517	0.0000055
0.099	-0.0010302	-0.1072564	-0.0053585	0.0000056
0.101	-0.0010216	-0.1101751	-0.0056738	0.0000058
0.104	-0.0010134	-0.1130699	-0.0059975	0.0000059
0.107	-0.0010028	-0.1159379	-0.0063296	0.0000061
0.110	-0.0009898	-0.1187723	-0.0066699	0.0000062
0.113	-0.0009776	-0.1215709	-0.0070184	0.0000063
0.116	-0.0009692	-0.1243401	-0.0073750	0.0000065
0.119	-0.0009611	-0.1270859	-0.0077395	0.0000066
0.122	-0.0009546	-0.1298110	-0.0081120	0.0000067
0.125	-0.0009463	-0.1325149	-0.0084924	0.0000068
0.128	-0.0009372	-0.1351941	-0.0088806	0.0000069
0.131	-0.0009317	-0.1378526	-0.0092765	0.0000071
0.133	-0.0009323	-0.1405042	-0.0096801	0.0000072
0.136	-0.0009348	-0.1431600	-0.0100914	0.0000073
0.139	-0.0009463	-0.1458357	-0.0105105	0.0000074
0.142	-0.0009596	-0.1485467	-0.0109373	0.0000075
0.145	-0.0009782	-0.1513032	-0.0113721	0.0000077
0.148	-0.0009975	-0.1541137	-0.0118150	0.0000078
0.151	-0.0010182	-0.1569810	-0.0122660	0.0000079
0.154	-0.0010414	-0.1599107	-0.0127255	0.0000081
0.157	-0.0010588	-0.1628981	-0.0131936	0.0000082
0.159	-0.0010767	-0.1659358	-0.0136704	0.0000084
0.162	-0.0010876	-0.1690143	-0.0141561	0.0000085
0.165	-0.0011003	-0.1721265	-0.0146508	0.0000087
0.168	-0.0011255	-0.1752926	-0.0151545	0.0000089
0.171	-0.0011679	-0.1785547	-0.0156676	0.0000090
0.174	-0.0012096	-0.1819366	-0.0161903	0.0000092
0.177	-0.0012582	-0.1854469	-0.0167230	0.0000094
0.180	-0.0013153	-0.1891075	-0.0172661	0.0000097
0.183	-0.0013747	-0.1929339	-0.0178201	0.0000099
0.186	-0.0014275	-0.1969198	-0.0183854	0.0000102
0.189	-0.0014704	-0.2010418	-0.0189624	0.0000105
0.191	-0.0014926	-0.2052566	-0.0195515	0.0000107
0.194	-0.0014975	-0.2095099	-0.0201529	0.0000111
0.197	-0.0014930	-0.2137638	-0.0207667	0.0000114
0.200	-0.0014680	-0.2179756	-0.0213927	0.0000116
0.203	-0.0014273	-0.2220940	-0.0220308	0.0000119
0.206	-0.0013747	-0.2260797	-0.0226807	0.0000122
0.209	-0.0013219	-0.2299154	-0.0233419	0.0000124
0.212	-0.0012717	-0.2336046	-0.0240140	0.0000127
0.215	-0.0012163	-0.2371436	-0.0246966	0.0000129
0.217	-0.0011557	-0.2405177	-0.0253892	0.0000131
0.220	-0.0010834	-0.2437027	-0.0260913	0.0000132
0.223	-0.0010093	-0.2466795	-0.0268023	0.0000134
0.226	-0.0009349	-0.2494449	-0.0275217	0.0000135
0.229	-0.0008734	-0.2520171	-0.0282488	0.0000136
0.232	-0.0008012	-0.2543992	-0.0289831	0.0000137
0.235	-0.0007043	-0.2565407	-0.0297240	0.0000138
0.238	-0.0006139	-0.2584157	-0.0304707	0.0000139
0.241	-0.0005312	-0.2600446	-0.0312225	0.0000139
0.244	-0.0004353	-0.2614193	-0.0319786	0.0000139
0.246	-0.0003350	-0.2625150	-0.0327383	0.0000139
0.249	-0.0002382	-0.2633304	-0.0335008	0.0000140
0.252	-0.0001953	-0.2639471	-0.0342653	0.0000140
0.255	-0.0001960	-0.2645037	-0.0350316	0.0000140
0.258	-0.0002135	-0.2650862	-0.0357995	0.0000140
0.261	-0.0002885	-0.2658002	-0.0365693	0.0000140
0.264	-0.0004279	-0.2668192	-0.0373416	0.0000140
0.267	-0.0006289	-0.2683224	-0.0381175	0.0000140
0.270	-0.0008795	-0.2704679	-0.0388988	0.0000141
0.273	-0.0011381	-0.2733378	-0.0396873	0.0000143
0.275	-0.0013807	-0.2769207	-0.0404851	0.0000145
0.278	-0.0015923	-0.2811495	-0.0412944	0.0000148
