 
PGA:,  0.10 g
PGV:,  23.29 cm/s
PGD:,  17.63 cm
Arias Intensity:,  18.76 cm/s
Significant duration:,  24.32 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.015	, 0.096
0.1010	, 0.027	, 1.668	, 0.106
0.2010	, 0.164	, 5.130	, 0.163
0.3010	, 0.553	, 11.546	, 0.246
0.4010	, 0.667	, 10.446	, 0.167
0.5010	, 1.442	, 18.084	, 0.231
0.6010	, 1.386	, 14.495	, 0.154
0.7010	, 1.276	, 11.440	, 0.105
0.8010	, 2.215	, 17.373	, 0.139
0.9010	, 2.122	, 14.800	, 0.105
1.0010	, 3.088	, 19.381	, 0.124
1.1010	, 3.153	, 17.994	, 0.105
1.2010	, 5.316	, 27.813	, 0.148
1.3010	, 7.000	, 33.808	, 0.166
1.4010	, 8.820	, 39.557	, 0.181
1.5010	, 9.289	, 38.885	, 0.166
1.6010	, 9.111	, 35.757	, 0.143
1.7010	, 11.915	, 44.014	, 0.166
1.8010	, 13.943	, 48.642	, 0.173
1.9010	, 16.133	, 53.322	, 0.180
2.0010	, 17.951	, 56.367	, 0.180
2.1010	, 18.792	, 56.197	, 0.171
2.2010	, 18.672	, 53.303	, 0.155
2.3010	, 17.450	, 47.650	, 0.133
2.4010	, 15.851	, 41.481	, 0.111
2.5010	, 16.368	, 41.120	, 0.105
2.6010	, 16.229	, 39.204	, 0.097
2.7010	, 15.476	, 36.001	, 0.085
2.8010	, 14.408	, 32.319	, 0.074
2.9010	, 13.495	, 29.227	, 0.065
3.0010	, 13.210	, 27.657	, 0.059
3.1010	, 13.380	, 27.111	, 0.056
3.2010	, 14.203	, 27.878	, 0.056
3.3010	, 15.379	, 29.272	, 0.057
3.4010	, 16.729	, 30.905	, 0.058
3.5010	, 18.130	, 32.537	, 0.060
3.6010	, 19.504	, 34.032	, 0.061
3.7010	, 20.799	, 35.311	, 0.061
3.8010	, 21.977	, 36.329	, 0.061
3.9010	, 23.022	, 37.081	, 0.061
4.0010	, 24.224	, 38.041	, 0.061
4.1010	, 26.680	, 40.877	, 0.064
4.2010	, 28.916	, 43.248	, 0.066
4.3010	, 30.789	, 44.978	, 0.067
4.4010	, 32.176	, 45.937	, 0.067
4.5010	, 33.041	, 46.124	, 0.066
4.6010	, 33.386	, 45.592	, 0.063
4.7010	, 33.308	, 44.519	, 0.061
4.8010	, 32.888	, 43.041	, 0.057
4.9010	, 32.146	, 41.211	, 0.054
5.0010	, 32.467	, 40.791	, 0.052
5.1010	, 32.667	, 40.238	, 0.051
5.2010	, 32.518	, 39.284	, 0.048
5.3010	, 31.999	, 37.928	, 0.046
5.4010	, 31.188	, 36.282	, 0.043
5.5010	, 30.225	, 34.523	, 0.040
5.6010	, 29.215	, 32.774	, 0.037
5.7010	, 28.110	, 30.981	, 0.035
5.8010	, 26.948	, 29.188	, 0.032
5.9010	, 25.823	, 27.495	, 0.030
6.0010	, 24.800	, 25.966	, 0.028
6.1010	, 23.928	, 24.642	, 0.026
6.2010	, 23.244	, 23.552	, 0.024
6.3010	, 22.769	, 22.705	, 0.023
6.4010	, 22.583	, 22.167	, 0.022
6.5010	, 23.003	, 22.233	, 0.022
6.6010	, 23.537	, 22.403	, 0.022
6.7010	, 24.132	, 22.627	, 0.022
6.8010	, 24.755	, 22.870	, 0.022
6.9010	, 25.402	, 23.128	, 0.021
7.0010	, 26.056	, 23.384	, 0.021
7.1010	, 26.673	, 23.602	, 0.021
7.2010	, 27.721	, 24.188	, 0.022
7.3010	, 28.933	, 24.900	, 0.022
7.4010	, 30.162	, 25.607	, 0.022
7.5010	, 31.387	, 26.291	, 0.022
7.6010	, 32.590	, 26.939	, 0.023
7.7010	, 33.754	, 27.539	, 0.023
7.8010	, 34.864	, 28.081	, 0.023
7.9010	, 35.914	, 28.560	, 0.023
8.0010	, 36.898	, 28.976	, 0.023
8.1010	, 37.804	, 29.321	, 0.023
8.2010	, 38.617	, 29.586	, 0.023
8.3010	, 39.322	, 29.764	, 0.023
8.4010	, 39.912	, 29.851	, 0.023
8.5010	, 40.382	, 29.847	, 0.022
8.6010	, 40.731	, 29.754	, 0.022
8.7010	, 40.961	, 29.579	, 0.022
8.8010	, 41.081	, 29.328	, 0.021
8.9010	, 41.105	, 29.016	, 0.021
9.0010	, 41.044	, 28.651	, 0.020
9.1010	, 40.895	, 28.233	, 0.020
9.2010	, 40.662	, 27.767	, 0.019
