 
PGA:,  0.11 g
PGV:,  7.13 cm/s
PGD:,  1.22 cm
Arias Intensity:,  27.93 cm/s
Significant duration:,  26.71 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.017	, 0.108
0.1010	, 0.032	, 2.017	, 0.128
0.2010	, 0.406	, 12.678	, 0.404
0.3010	, 0.725	, 15.128	, 0.322
0.4010	, 0.829	, 12.994	, 0.208
0.5010	, 0.937	, 11.746	, 0.150
0.6010	, 1.682	, 17.584	, 0.187
0.7010	, 3.321	, 29.764	, 0.272
0.8010	, 3.349	, 26.267	, 0.210
0.9010	, 4.391	, 30.618	, 0.218
1.0010	, 3.477	, 21.825	, 0.140
1.1010	, 3.358	, 19.162	, 0.111
1.2010	, 2.810	, 14.703	, 0.078
1.3010	, 2.807	, 13.558	, 0.067
1.4010	, 2.789	, 12.510	, 0.057
1.5010	, 2.461	, 10.301	, 0.044
1.6010	, 2.164	, 8.492	, 0.034
1.7010	, 2.466	, 9.110	, 0.034
1.8010	, 2.898	, 10.110	, 0.036
1.9010	, 3.400	, 11.238	, 0.038
2.0010	, 3.438	, 10.795	, 0.035
2.1010	, 3.272	, 9.786	, 0.030
2.2010	, 3.155	, 9.006	, 0.026
2.3010	, 3.317	, 9.059	, 0.025
2.4010	, 3.506	, 9.176	, 0.024
2.5010	, 3.552	, 8.924	, 0.023
2.6010	, 3.688	, 8.909	, 0.022
2.7010	, 3.610	, 8.398	, 0.020
2.8010	, 3.364	, 7.547	, 0.017
2.9010	, 3.089	, 6.689	, 0.015
3.0010	, 2.634	, 5.514	, 0.012
3.1010	, 2.515	, 5.095	, 0.011
3.2010	, 2.577	, 5.057	, 0.010
3.3010	, 2.553	, 4.860	, 0.009
3.4010	, 2.462	, 4.548	, 0.009
3.5010	, 2.319	, 4.162	, 0.008
3.6010	, 2.241	, 3.909	, 0.007
3.7010	, 2.231	, 3.788	, 0.007
3.8010	, 2.192	, 3.623	, 0.006
3.9010	, 2.128	, 3.427	, 0.006
4.0010	, 2.046	, 3.213	, 0.005
4.1010	, 1.987	, 3.044	, 0.005
4.2010	, 1.972	, 2.950	, 0.004
4.3010	, 1.947	, 2.844	, 0.004
4.4010	, 1.914	, 2.732	, 0.004
4.5010	, 1.874	, 2.616	, 0.004
4.6010	, 1.830	, 2.499	, 0.003
4.7010	, 1.783	, 2.384	, 0.003
4.8010	, 1.736	, 2.272	, 0.003
4.9010	, 1.689	, 2.166	, 0.003
5.0010	, 1.644	, 2.065	, 0.003
5.1010	, 1.601	, 1.972	, 0.002
5.2010	, 1.560	, 1.885	, 0.002
5.3010	, 1.523	, 1.806	, 0.002
5.4010	, 1.490	, 1.733	, 0.002
5.5010	, 1.460	, 1.667	, 0.002
5.6010	, 1.433	, 1.607	, 0.002
5.7010	, 1.410	, 1.554	, 0.002
5.8010	, 1.393	, 1.509	, 0.002
5.9010	, 1.393	, 1.483	, 0.002
6.0010	, 1.395	, 1.460	, 0.002
6.1010	, 1.398	, 1.440	, 0.002
6.2010	, 1.402	, 1.421	, 0.001
6.3010	, 1.406	, 1.402	, 0.001
6.4010	, 1.410	, 1.384	, 0.001
6.5010	, 1.412	, 1.365	, 0.001
6.6010	, 1.414	, 1.346	, 0.001
6.7010	, 1.414	, 1.326	, 0.001
6.8010	, 1.413	, 1.306	, 0.001
6.9010	, 1.411	, 1.284	, 0.001
7.0010	, 1.407	, 1.263	, 0.001
7.1010	, 1.402	, 1.241	, 0.001
7.2010	, 1.396	, 1.218	, 0.001
7.3010	, 1.390	, 1.196	, 0.001
7.4010	, 1.382	, 1.173	, 0.001
7.5010	, 1.374	, 1.151	, 0.001
7.6010	, 1.366	, 1.129	, 0.001
7.7010	, 1.357	, 1.107	, 0.001
7.8010	, 1.348	, 1.086	, 0.001
7.9010	, 1.339	, 1.065	, 0.001
8.0010	, 1.334	, 1.048	, 0.001
8.1010	, 1.335	, 1.036	, 0.001
8.2010	, 1.337	, 1.024	, 0.001
8.3010	, 1.338	, 1.012	, 0.001
8.4010	, 1.338	, 1.001	, 0.001
8.5010	, 1.339	, 0.990	, 0.001
8.6010	, 1.339	, 0.978	, 0.001
8.7010	, 1.339	, 0.967	, 0.001
8.8010	, 1.339	, 0.956	, 0.001
8.9010	, 1.339	, 0.945	, 0.001
9.0010	, 1.338	, 0.934	, 0.001
9.1010	, 1.337	, 0.923	, 0.001
