 
PGA:,  0.10 g
PGV:,  8.20 cm/s
PGD:,  1.85 cm
Arias Intensity:,  35.00 cm/s
Significant duration:,  24.56 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.015	, 0.096
0.1010	, 0.060	, 3.732	, 0.237
0.2010	, 0.382	, 11.943	, 0.381
0.3010	, 0.586	, 12.229	, 0.260
0.4010	, 0.859	, 13.458	, 0.215
0.5010	, 1.610	, 20.190	, 0.258
0.6010	, 1.681	, 17.572	, 0.187
0.7010	, 2.206	, 19.776	, 0.181
0.8010	, 2.847	, 22.329	, 0.179
0.9010	, 2.973	, 20.733	, 0.147
1.0010	, 2.759	, 17.320	, 0.111
1.1010	, 2.577	, 14.709	, 0.086
1.2010	, 2.479	, 12.971	, 0.069
1.3010	, 2.174	, 10.501	, 0.052
1.4010	, 2.828	, 12.683	, 0.058
1.5010	, 2.703	, 11.317	, 0.048
1.6010	, 2.535	, 9.947	, 0.040
1.7010	, 2.613	, 9.652	, 0.036
1.8010	, 2.387	, 8.326	, 0.030
1.9010	, 2.421	, 8.000	, 0.027
2.0010	, 3.076	, 9.659	, 0.031
2.1010	, 3.777	, 11.297	, 0.034
2.2010	, 4.417	, 12.609	, 0.037
2.3010	, 5.112	, 13.960	, 0.039
2.4010	, 5.361	, 14.030	, 0.037
2.5010	, 5.089	, 12.785	, 0.033
2.6010	, 5.462	, 13.194	, 0.032
2.7010	, 5.409	, 12.583	, 0.030
2.8010	, 5.485	, 12.304	, 0.028
2.9010	, 6.145	, 13.309	, 0.029
3.0010	, 6.445	, 13.493	, 0.029
3.1010	, 6.019	, 12.196	, 0.025
3.2010	, 5.643	, 11.077	, 0.022
3.3010	, 5.352	, 10.187	, 0.020
3.4010	, 5.063	, 9.354	, 0.018
3.5010	, 4.584	, 8.227	, 0.015
3.6010	, 4.097	, 7.149	, 0.013
3.7010	, 4.167	, 7.075	, 0.012
3.8010	, 4.105	, 6.785	, 0.011
3.9010	, 3.929	, 6.328	, 0.010
4.0010	, 3.749	, 5.887	, 0.009
4.1010	, 3.821	, 5.854	, 0.009
4.2010	, 3.820	, 5.713	, 0.009
4.3010	, 3.749	, 5.476	, 0.008
4.4010	, 3.613	, 5.158	, 0.008
4.5010	, 3.437	, 4.797	, 0.007
4.6010	, 3.306	, 4.515	, 0.006
4.7010	, 3.130	, 4.183	, 0.006
4.8010	, 2.960	, 3.873	, 0.005
4.9010	, 2.787	, 3.573	, 0.005
5.0010	, 2.608	, 3.277	, 0.004
5.1010	, 2.438	, 3.003	, 0.004
5.2010	, 2.288	, 2.765	, 0.003
5.3010	, 2.164	, 2.565	, 0.003
5.4010	, 2.065	, 2.403	, 0.003
5.5010	, 1.990	, 2.273	, 0.003
5.6010	, 1.934	, 2.170	, 0.002
5.7010	, 1.892	, 2.085	, 0.002
5.8010	, 1.857	, 2.011	, 0.002
5.9010	, 1.827	, 1.945	, 0.002
6.0010	, 1.798	, 1.882	, 0.002
6.1010	, 1.768	, 1.821	, 0.002
6.2010	, 1.739	, 1.762	, 0.002
6.3010	, 1.709	, 1.704	, 0.002
6.4010	, 1.680	, 1.649	, 0.002
6.5010	, 1.657	, 1.601	, 0.002
6.6010	, 1.650	, 1.571	, 0.002
6.7010	, 1.643	, 1.540	, 0.001
6.8010	, 1.632	, 1.507	, 0.001
6.9010	, 1.615	, 1.470	, 0.001
7.0010	, 1.596	, 1.432	, 0.001
7.1010	, 1.602	, 1.418	, 0.001
7.2010	, 1.614	, 1.408	, 0.001
7.3010	, 1.629	, 1.402	, 0.001
7.4010	, 1.648	, 1.399	, 0.001
7.5010	, 1.669	, 1.398	, 0.001
7.6010	, 1.691	, 1.398	, 0.001
7.7010	, 1.713	, 1.398	, 0.001
7.8010	, 1.734	, 1.397	, 0.001
7.9010	, 1.753	, 1.394	, 0.001
8.0010	, 1.769	, 1.390	, 0.001
8.1010	, 1.783	, 1.383	, 0.001
8.2010	, 1.793	, 1.374	, 0.001
8.3010	, 1.799	, 1.362	, 0.001
8.4010	, 1.802	, 1.348	, 0.001
8.5010	, 1.801	, 1.331	, 0.001
8.6010	, 1.797	, 1.313	, 0.001
8.7010	, 1.790	, 1.292	, 0.001
8.8010	, 1.779	, 1.270	, 0.001
8.9010	, 1.767	, 1.247	, 0.001
9.0010	, 1.752	, 1.223	, 0.001
9.1010	, 1.735	, 1.198	, 0.001
9.2010	, 1.718	, 1.173	, 0.001
9.3010	, 1.699	, 1.148	, 0.001
9.4010	, 1.680	, 1.123	, 0.001
9.5010	, 1.662	, 1.099	, 0.001
9.6010	, 1.643	, 1.075	, 0.001
9.7010	, 1.625	, 1.052	, 0.001
9.8010	, 1.608	, 1.031	, 0.001
9.9010	, 1.592	, 1.010	, 0.001
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	-0.0003177	0.0000000	0.0000000	0.0000000
0.003	-0.0003205	-0.0009079	-0.0000013	0.0000000
0.006	-0.0003236	-0.0018241	-0.0000053	0.0000000
0.009	-0.0003274	-0.0027501	-0.0000119	0.0000000
0.012	-0.0003317	-0.0036876	-0.0000212	0.0000001
0.014	-0.0003359	-0.0046372	-0.0000333	0.0000001
0.017	-0.0003401	-0.0055989	-0.0000482	0.0000001
0.020	-0.0003447	-0.0065730	-0.0000658	0.0000001
0.023	-0.0003500	-0.0075612	-0.0000863	0.0000001
0.026	-0.0003554	-0.0085646	-0.0001097	0.0000001
0.029	-0.0003608	-0.0095833	-0.0001360	0.0000001
0.032	-0.0003654	-0.0106164	-0.0001653	0.0000002
0.035	-0.0003689	-0.0116609	-0.0001976	0.0000002
0.038	-0.0003716	-0.0127142	-0.0002329	0.0000002
0.041	-0.0003730	-0.0137734	-0.0002713	0.0000002
0.043	-0.0003742	-0.0148363	-0.0003128	0.0000002
0.046	-0.0003752	-0.0159022	-0.0003574	0.0000003
0.049	-0.0003745	-0.0169686	-0.0004051	0.0000003
0.052	-0.0003716	-0.0180298	-0.0004558	0.0000003
0.055	-0.0003669	-0.0190803	-0.0005096	0.0000003
0.058	-0.0003615	-0.0201165	-0.0005665	0.0000003
0.061	-0.0003553	-0.0211361	-0.0006263	0.0000003
0.064	-0.0003498	-0.0221390	-0.0006890	0.0000004
0.067	-0.0003436	-0.0231253	-0.0007547	0.0000004
0.070	-0.0003382	-0.0240950	-0.0008231	0.0000004
0.072	-0.0003342	-0.0250515	-0.0008944	0.0000004
0.075	-0.0003315	-0.0259984	-0.0009684	0.0000004
0.078	-0.0003319	-0.0269420	-0.0010452	0.0000004
0.081	-0.0003351	-0.0278908	-0.0011247	0.0000004
0.084	-0.0003414	-0.0288529	-0.0012070	0.0000005
0.087	-0.0003478	-0.0298333	-0.0012920	0.0000005
0.090	-0.0003521	-0.0308289	-0.0013800	0.0000005
0.093	-0.0003560	-0.0318362	-0.0014709	0.0000005
0.096	-0.0003619	-0.0328574	-0.0015647	0.0000005
0.099	-0.0003692	-0.0338974	-0.0016615	0.0000005
0.101	-0.0003761	-0.0349576	-0.0017613	0.0000006
0.104	-0.0003798	-0.0360328	-0.0018642	0.0000006
0.107	-0.0003821	-0.0371165	-0.0019703	0.0000006
0.110	-0.0003862	-0.0382094	-0.0020795	0.0000006
0.113	-0.0003927	-0.0393173	-0.0021920	0.0000006
0.116	-0.0004009	-0.0404460	-0.0023076	0.0000006
0.119	-0.0004093	-0.0415984	-0.0024266	0.0000007
0.122	-0.0004163	-0.0427728	-0.0025489	0.0000007
0.125	-0.0004251	-0.0439697	-0.0026747	0.0000007
0.128	-0.0004346	-0.0451925	-0.0028040	0.0000007
0.131	-0.0004433	-0.0464412	-0.0029368	0.0000008
0.133	-0.0004535	-0.0477169	-0.0030734	0.0000008
0.136	-0.0004653	-0.0490239	-0.0032136	0.0000008
0.139	-0.0004819	-0.0503712	-0.0033578	0.0000008
0.142	-0.0004953	-0.0517611	-0.0035059	0.0000009
0.145	-0.0005063	-0.0531858	-0.0036580	0.0000009
0.148	-0.0005169	-0.0546412	-0.0038144	0.0000009
0.151	-0.0005257	-0.0561243	-0.0039750	0.0000010
0.154	-0.0005348	-0.0576328	-0.0041399	0.0000010
0.157	-0.0005355	-0.0591552	-0.0043093	0.0000010
