 
PGA:,  0.23 g
PGV:,  36.93 cm/s
PGD:,  13.65 cm
Arias Intensity:,  118.37 cm/s
Significant duration:,  15.02 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.035	, 0.227
0.1010	, 0.100	, 6.195	, 0.393
0.2010	, 0.693	, 21.676	, 0.691
0.3010	, 1.401	, 29.246	, 0.622
0.4010	, 3.158	, 49.477	, 0.790
0.5010	, 3.862	, 48.437	, 0.619
0.6010	, 5.155	, 53.898	, 0.574
0.7010	, 4.845	, 43.428	, 0.397
0.8010	, 4.986	, 39.113	, 0.313
0.9010	, 5.255	, 36.648	, 0.261
1.0010	, 6.144	, 38.563	, 0.247
1.1010	, 7.401	, 42.234	, 0.246
1.2010	, 10.702	, 55.988	, 0.299
1.3010	, 13.337	, 64.410	, 0.317
1.4010	, 15.178	, 68.069	, 0.311
1.5010	, 17.357	, 72.656	, 0.310
1.6010	, 18.087	, 70.981	, 0.284
1.7010	, 19.418	, 71.726	, 0.270
1.8010	, 21.981	, 76.685	, 0.273
1.9010	, 21.248	, 70.229	, 0.237
2.0010	, 21.845	, 68.593	, 0.220
2.1010	, 22.182	, 66.336	, 0.202
2.2010	, 22.292	, 63.638	, 0.185
2.3010	, 22.234	, 60.713	, 0.169
2.4010	, 22.070	, 57.754	, 0.154
2.5010	, 26.945	, 67.692	, 0.173
2.6010	, 31.853	, 76.947	, 0.189
2.7010	, 36.254	, 84.335	, 0.200
2.8010	, 39.503	, 88.612	, 0.203
2.9010	, 42.153	, 91.298	, 0.202
3.0010	, 43.073	, 90.183	, 0.192
3.1010	, 42.292	, 85.692	, 0.177
3.2010	, 40.120	, 78.752	, 0.158
3.3010	, 37.875	, 72.092	, 0.140
3.4010	, 34.796	, 64.284	, 0.121
3.5010	, 31.244	, 56.074	, 0.103
3.6010	, 29.735	, 51.882	, 0.092
3.7010	, 28.112	, 47.726	, 0.083
3.8010	, 25.983	, 42.950	, 0.072
3.9010	, 23.474	, 37.808	, 0.062
4.0010	, 22.467	, 35.282	, 0.056
4.1010	, 21.348	, 32.707	, 0.051
4.2010	, 21.073	, 31.518	, 0.048
4.3010	, 21.493	, 31.398	, 0.047
4.4010	, 21.876	, 31.232	, 0.045
4.5010	, 22.224	, 31.024	, 0.044
4.6010	, 22.537	, 30.777	, 0.043
4.7010	, 22.816	, 30.496	, 0.042
4.8010	, 23.063	, 30.183	, 0.040
4.9010	, 23.278	, 29.843	, 0.039
5.0010	, 23.464	, 29.480	, 0.038
5.1010	, 23.622	, 29.096	, 0.037
5.2010	, 23.753	, 28.696	, 0.035
5.3010	, 23.860	, 28.281	, 0.034
5.4010	, 23.944	, 27.855	, 0.033
5.5010	, 24.007	, 27.421	, 0.032
5.6010	, 24.328	, 27.292	, 0.031
5.7010	, 25.249	, 27.827	, 0.031
5.8010	, 25.971	, 28.129	, 0.031
5.9010	, 26.499	, 28.216	, 0.031
6.0010	, 26.843	, 28.105	, 0.030
6.1010	, 27.009	, 27.816	, 0.029
6.2010	, 27.010	, 27.368	, 0.028
6.3010	, 26.858	, 26.782	, 0.027
6.4010	, 26.564	, 26.075	, 0.026
6.5010	, 26.264	, 25.384	, 0.025
6.6010	, 26.025	, 24.772	, 0.024
6.7010	, 25.666	, 24.066	, 0.023
6.8010	, 25.199	, 23.281	, 0.022
6.9010	, 24.637	, 22.432	, 0.021
7.0010	, 23.992	, 21.532	, 0.020
7.1010	, 23.276	, 20.595	, 0.019
7.2010	, 23.209	, 20.251	, 0.018
7.3010	, 23.775	, 20.460	, 0.018
7.4010	, 24.281	, 20.614	, 0.018
7.5010	, 24.731	, 20.715	, 0.018
7.6010	, 25.126	, 20.769	, 0.018
7.7010	, 25.469	, 20.780	, 0.017
7.8010	, 25.762	, 20.750	, 0.017
7.9010	, 26.009	, 20.684	, 0.017
8.0010	, 26.213	, 20.585	, 0.016
8.1010	, 26.375	, 20.456	, 0.016
8.2010	, 26.498	, 20.301	, 0.016
8.3010	, 26.585	, 20.123	, 0.016
8.4010	, 26.639	, 19.924	, 0.015
8.5010	, 26.663	, 19.707	, 0.015
8.6010	, 26.657	, 19.473	, 0.015
8.7010	, 26.625	, 19.227	, 0.014
8.8010	, 26.569	, 18.968	, 0.014
8.9010	, 26.491	, 18.700	, 0.013
9.0010	, 26.393	, 18.424	, 0.013
9.1010	, 26.277	, 18.141	, 0.013
9.2010	, 26.144	, 17.853	, 0.012
9.3010	, 25.996	, 17.561	, 0.012
9.4010	, 25.835	, 17.267	, 0.012
9.5010	, 25.662	, 16.970	, 0.011
9.6010	, 25.478	, 16.674	, 0.011
9.7010	, 25.285	, 16.377	, 0.011
9.8010	, 25.084	, 16.081	, 0.011
9.9010	, 24.876	, 15.786	, 0.010
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	-0.0011341	0.0000000	0.0000000	0.0000000
0.002	-0.0011340	-0.0026700	-0.0000032	0.0000000
0.005	-0.0011338	-0.0053396	-0.0000128	0.0000001
0.007	-0.0011331	-0.0080082	-0.0000288	0.0000001
0.010	-0.0011323	-0.0106749	-0.0000513	0.0000002
0.012	-0.0011313	-0.0133395	-0.0000801	0.0000002
0.014	-0.0011302	-0.0160017	-0.0001153	0.0000002
0.017	-0.0011288	-0.0186610	-0.0001569	0.0000003
0.019	-0.0011271	-0.0213167	-0.0002048	0.0000003
0.022	-0.0011253	-0.0239682	-0.0002592	0.0000004
0.024	-0.0011235	-0.0266155	-0.0003199	0.0000004
0.026	-0.0011215	-0.0292582	-0.0003869	0.0000004
0.029	-0.0011197	-0.0318965	-0.0004603	0.0000005
0.031	-0.0011181	-0.0345308	-0.0005400	0.0000005
0.034	-0.0011167	-0.0371616	-0.0006261	0.0000006
0.036	-0.0011155	-0.0397893	-0.0007184	0.0000006
0.038	-0.0011142	-0.0424141	-0.0008171	0.0000006
0.041	-0.0011125	-0.0450353	-0.0009220	0.0000007
0.043	-0.0011106	-0.0476523	-0.0010332	0.0000007
0.046	-0.0011082	-0.0502642	-0.0011507	0.0000007
0.048	-0.0011057	-0.0528704	-0.0012745	0.0000008
0.050	-0.0011029	-0.0554702	-0.0014045	0.0000008
0.053	-0.0011002	-0.0580636	-0.0015407	0.0000009
0.055	-0.0010979	-0.0606512	-0.0016832	0.0000009
0.058	-0.0010964	-0.0632343	-0.0018318	0.0000009
0.060	-0.0010949	-0.0658139	-0.0019867	0.0000010
0.062	-0.0010936	-0.0683902	-0.0021478	0.0000010
0.065	-0.0010922	-0.0709634	-0.0023150	0.0000011
0.067	-0.0010909	-0.0735333	-0.0024884	0.0000011
0.070	-0.0010892	-0.0760996	-0.0026679	0.0000011
0.072	-0.0010875	-0.0786619	-0.0028536	0.0000012
0.074	-0.0010866	-0.0812213	-0.0030455	0.0000012
0.077	-0.0010859	-0.0837788	-0.0032435	0.0000012
0.079	-0.0010850	-0.0863344	-0.0034476	0.0000013
