 
PGA:,  0.06 g
PGV:,  2.82 cm/s
PGD:,  0.58 cm
Arias Intensity:,   4.38 cm/s
Significant duration:,  18.45 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.009	, 0.059
0.1010	, 0.032	, 1.964	, 0.125
0.2010	, 0.217	, 6.779	, 0.216
0.3010	, 0.274	, 5.709	, 0.121
0.4010	, 0.346	, 5.417	, 0.087
0.5010	, 0.831	, 10.416	, 0.133
0.6010	, 0.672	, 7.030	, 0.075
0.7010	, 0.627	, 5.624	, 0.051
0.8010	, 0.900	, 7.058	, 0.056
0.9010	, 0.669	, 4.669	, 0.033
1.0010	, 0.642	, 4.028	, 0.026
1.1010	, 0.665	, 3.796	, 0.022
1.2010	, 0.804	, 4.206	, 0.022
1.3010	, 1.143	, 5.522	, 0.027
1.4010	, 1.055	, 4.730	, 0.022
1.5010	, 1.296	, 5.424	, 0.023
1.6010	, 1.193	, 4.681	, 0.019
1.7010	, 1.016	, 3.752	, 0.014
1.8010	, 1.391	, 4.854	, 0.017
1.9010	, 1.868	, 6.173	, 0.021
2.0010	, 1.815	, 5.700	, 0.018
2.1010	, 2.157	, 6.452	, 0.020
2.2010	, 2.111	, 6.025	, 0.018
2.3010	, 2.092	, 5.713	, 0.016
2.4010	, 1.911	, 5.002	, 0.013
2.5010	, 1.784	, 4.481	, 0.011
2.6010	, 1.614	, 3.900	, 0.010
2.7010	, 1.479	, 3.440	, 0.008
2.8010	, 1.564	, 3.508	, 0.008
2.9010	, 1.752	, 3.795	, 0.008
3.0010	, 1.759	, 3.682	, 0.008
3.1010	, 1.807	, 3.660	, 0.008
3.2010	, 1.668	, 3.275	, 0.007
3.3010	, 1.505	, 2.864	, 0.006
3.4010	, 1.451	, 2.681	, 0.005
3.5010	, 1.534	, 2.754	, 0.005
3.6010	, 1.650	, 2.879	, 0.005
3.7010	, 1.660	, 2.818	, 0.005
3.8010	, 1.498	, 2.476	, 0.004
3.9010	, 1.307	, 2.106	, 0.003
4.0010	, 1.299	, 2.041	, 0.003
4.1010	, 1.338	, 2.049	, 0.003
4.2010	, 1.357	, 2.030	, 0.003
4.3010	, 1.387	, 2.027	, 0.003
4.4010	, 1.399	, 1.997	, 0.003
4.5010	, 1.392	, 1.944	, 0.003
4.6010	, 1.370	, 1.871	, 0.003
4.7010	, 1.335	, 1.785	, 0.002
4.8010	, 1.291	, 1.689	, 0.002
4.9010	, 1.239	, 1.588	, 0.002
5.0010	, 1.183	, 1.486	, 0.002
5.1010	, 1.124	, 1.384	, 0.002
5.2010	, 1.064	, 1.286	, 0.002
5.3010	, 1.005	, 1.191	, 0.001
5.4010	, 1.006	, 1.171	, 0.001
5.5010	, 1.006	, 1.149	, 0.001
5.6010	, 1.002	, 1.124	, 0.001
5.7010	, 0.995	, 1.097	, 0.001
5.8010	, 0.987	, 1.069	, 0.001
5.9010	, 0.977	, 1.040	, 0.001
6.0010	, 0.966	, 1.011	, 0.001
6.1010	, 0.954	, 0.982	, 0.001
6.2010	, 0.941	, 0.954	, 0.001
6.3010	, 0.928	, 0.925	, 0.001
6.4010	, 0.914	, 0.897	, 0.001
6.5010	, 0.900	, 0.870	, 0.001
6.6010	, 0.886	, 0.843	, 0.001
6.7010	, 0.871	, 0.817	, 0.001
6.8010	, 0.857	, 0.792	, 0.001
6.9010	, 0.843	, 0.767	, 0.001
7.0010	, 0.828	, 0.744	, 0.001
7.1010	, 0.814	, 0.721	, 0.001
7.2010	, 0.801	, 0.698	, 0.001
7.3010	, 0.787	, 0.677	, 0.001
7.4010	, 0.773	, 0.657	, 0.001
7.5010	, 0.760	, 0.637	, 0.001
7.6010	, 0.747	, 0.618	, 0.001
7.7010	, 0.735	, 0.599	, 0.000
7.8010	, 0.723	, 0.582	, 0.000
7.9010	, 0.711	, 0.565	, 0.000
8.0010	, 0.699	, 0.549	, 0.000
8.1010	, 0.688	, 0.534	, 0.000
8.2010	, 0.677	, 0.519	, 0.000
8.3010	, 0.675	, 0.511	, 0.000
8.4010	, 0.672	, 0.503	, 0.000
8.5010	, 0.669	, 0.495	, 0.000
8.6010	, 0.666	, 0.486	, 0.000
8.7010	, 0.661	, 0.477	, 0.000
8.8010	, 0.655	, 0.467	, 0.000
8.9010	, 0.648	, 0.457	, 0.000
9.0010	, 0.639	, 0.446	, 0.000
9.1010	, 0.630	, 0.435	, 0.000
9.2010	, 0.620	, 0.423	, 0.000
9.3010	, 0.608	, 0.411	, 0.000
9.4010	, 0.601	, 0.402	, 0.000
9.5010	, 0.605	, 0.400	, 0.000
9.6010	, 0.609	, 0.399	, 0.000
9.7010	, 0.613	, 0.397	, 0.000
9.8010	, 0.616	, 0.395	, 0.000
9.9010	, 0.619	, 0.393	, 0.000
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	-0.0000161	0.0000000	0.0000000	0.0000000
0.005	-0.0000256	-0.0001024	-0.0000003	0.0000000
0.010	-0.0000400	-0.0002633	-0.0000012	0.0000000
0.015	-0.0000470	-0.0004767	-0.0000030	0.0000000
0.020	-0.0000408	-0.0006919	-0.0000059	0.0000000
0.025	-0.0000256	-0.0008547	-0.0000098	0.0000000
0.030	-0.0000084	-0.0009382	-0.0000143	0.0000000
0.035	-0.0000064	-0.0009744	-0.0000191	0.0000000
0.040	-0.0000099	-0.0010144	-0.0000240	0.0000000
0.045	-0.0000213	-0.0010910	-0.0000293	0.0000000
0.050	-0.0000439	-0.0012511	-0.0000352	0.0000000
0.055	-0.0000664	-0.0015218	-0.0000421	0.0000000
0.060	-0.0000622	-0.0018373	-0.0000505	0.0000000
0.065	-0.0000456	-0.0021017	-0.0000603	0.0000000
0.070	-0.0000236	-0.0022713	-0.0000713	0.0000000
0.075	-0.0000128	-0.0023605	-0.0000829	0.0000000
0.080	-0.0000438	-0.0024995	-0.0000950	0.0000000
0.085	-0.0000793	-0.0028014	-0.0001083	0.0000000
0.090	-0.0000810	-0.0031946	-0.0001232	0.0000001
0.095	-0.0000767	-0.0035814	-0.0001402	0.0000001
0.100	-0.0000709	-0.0039434	-0.0001590	0.0000001
0.105	-0.0000611	-0.0042671	-0.0001795	0.0000001
0.110	-0.0000522	-0.0045449	-0.0002016	0.0000001
0.115	-0.0000550	-0.0048080	-0.0002249	0.0000001
0.120	-0.0000383	-0.0050368	-0.0002495	0.0000001
0.125	0.0000040	-0.0051210	-0.0002749	0.0000001
0.130	0.0000069	-0.0050945	-0.0003005	0.0000001
0.135	0.0000022	-0.0050723	-0.0003259	0.0000001
