 
PGA:,  0.13 g
PGV:,  9.97 cm/s
PGD:,  3.09 cm
Arias Intensity:,  12.30 cm/s
Significant duration:,  20.55 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.020	, 0.126
0.1010	, 0.052	, 3.238	, 0.205
0.2010	, 0.259	, 8.096	, 0.258
0.3010	, 0.511	, 10.664	, 0.227
0.4010	, 0.654	, 10.248	, 0.164
0.5010	, 1.128	, 14.152	, 0.181
0.6010	, 1.480	, 15.469	, 0.165
0.7010	, 1.758	, 15.753	, 0.144
0.8010	, 2.728	, 21.398	, 0.171
0.9010	, 3.446	, 24.029	, 0.171
1.0010	, 3.760	, 23.598	, 0.151
1.1010	, 5.511	, 31.450	, 0.183
1.2010	, 5.596	, 29.274	, 0.156
1.3010	, 4.797	, 23.167	, 0.114
1.4010	, 4.904	, 21.992	, 0.101
1.5010	, 5.281	, 22.104	, 0.094
1.6010	, 4.775	, 18.741	, 0.075
1.7010	, 4.137	, 15.281	, 0.058
1.8010	, 3.864	, 13.481	, 0.048
1.9010	, 3.552	, 11.739	, 0.040
2.0010	, 3.962	, 12.441	, 0.040
2.1010	, 5.443	, 16.277	, 0.050
2.2010	, 7.672	, 21.903	, 0.064
2.3010	, 9.102	, 24.854	, 0.069
2.4010	, 8.931	, 23.372	, 0.062
2.5010	, 7.781	, 19.548	, 0.050
2.6010	, 6.885	, 16.633	, 0.041
2.7010	, 6.914	, 16.083	, 0.038
2.8010	, 7.830	, 17.563	, 0.040
2.9010	, 8.948	, 19.380	, 0.043
3.0010	, 9.656	, 20.216	, 0.043
3.1010	, 9.861	, 19.980	, 0.041
3.2010	, 9.711	, 19.062	, 0.038
3.3010	, 9.306	, 17.714	, 0.034
3.4010	, 8.701	, 16.075	, 0.030
3.5010	, 7.976	, 14.314	, 0.026
3.6010	, 7.418	, 12.943	, 0.023
3.7010	, 7.110	, 12.070	, 0.021
3.8010	, 6.714	, 11.098	, 0.019
3.9010	, 6.212	, 10.006	, 0.016
4.0010	, 5.651	, 8.875	, 0.014
4.1010	, 5.499	, 8.426	, 0.013
4.2010	, 5.474	, 8.187	, 0.012
4.3010	, 5.337	, 7.797	, 0.012
4.4010	, 5.083	, 7.257	, 0.011
4.5010	, 4.723	, 6.593	, 0.009
4.6010	, 4.283	, 5.849	, 0.008
4.7010	, 3.825	, 5.113	, 0.007
4.8010	, 4.082	, 5.342	, 0.007
4.9010	, 4.275	, 5.480	, 0.007
5.0010	, 4.353	, 5.470	, 0.007
5.1010	, 4.634	, 5.708	, 0.007
5.2010	, 4.796	, 5.794	, 0.007
5.3010	, 4.708	, 5.580	, 0.007
5.4010	, 4.451	, 5.178	, 0.006
5.5010	, 4.304	, 4.916	, 0.006
5.6010	, 4.416	, 4.954	, 0.006
5.7010	, 4.493	, 4.952	, 0.006
5.8010	, 4.490	, 4.863	, 0.005
5.9010	, 4.409	, 4.695	, 0.005
6.0010	, 4.261	, 4.461	, 0.005
6.1010	, 4.089	, 4.211	, 0.004
6.2010	, 4.327	, 4.384	, 0.005
6.3010	, 4.522	, 4.509	, 0.005
