 
PGA:,  0.05 g
PGV:,  2.22 cm/s
PGD:,  0.79 cm
Arias Intensity:,   1.90 cm/s
Significant duration:,  14.60 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.008	, 0.051
0.1010	, 0.026	, 1.620	, 0.103
0.2010	, 0.175	, 5.484	, 0.175
0.3010	, 0.206	, 4.299	, 0.091
0.4010	, 0.192	, 3.002	, 0.048
0.5010	, 0.353	, 4.433	, 0.057
0.6010	, 0.584	, 6.105	, 0.065
0.7010	, 0.470	, 4.215	, 0.039
0.8010	, 0.435	, 3.410	, 0.027
0.9010	, 0.397	, 2.771	, 0.020
1.0010	, 0.368	, 2.307	, 0.015
1.1010	, 0.444	, 2.532	, 0.015
1.2010	, 0.473	, 2.473	, 0.013
1.3010	, 0.553	, 2.670	, 0.013
1.4010	, 0.540	, 2.424	, 0.011
1.5010	, 0.511	, 2.140	, 0.009
1.6010	, 0.584	, 2.294	, 0.009
1.7010	, 0.578	, 2.134	, 0.008
1.8010	, 0.654	, 2.283	, 0.008
1.9010	, 0.895	, 2.957	, 0.010
2.0010	, 1.095	, 3.439	, 0.011
2.1010	, 1.187	, 3.551	, 0.011
2.2010	, 1.363	, 3.891	, 0.011
2.3010	, 1.520	, 4.150	, 0.012
2.4010	, 1.479	, 3.871	, 0.010
2.5010	, 1.242	, 3.120	, 0.008
2.6010	, 0.972	, 2.348	, 0.006
2.7010	, 0.901	, 2.095	, 0.005
2.8010	, 0.906	, 2.032	, 0.005
2.9010	, 0.887	, 1.921	, 0.004
3.0010	, 0.981	, 2.055	, 0.004
3.1010	, 1.179	, 2.389	, 0.005
3.2010	, 1.243	, 2.440	, 0.005
3.3010	, 1.179	, 2.244	, 0.004
3.4010	, 1.100	, 2.032	, 0.004
3.5010	, 1.133	, 2.033	, 0.004
3.6010	, 1.287	, 2.245	, 0.004
3.7010	, 1.463	, 2.483	, 0.004
3.8010	, 1.581	, 2.614	, 0.004
3.9010	, 1.639	, 2.640	, 0.004
4.0010	, 1.646	, 2.584	, 0.004
4.1010	, 1.563	, 2.394	, 0.004
4.2010	, 1.418	, 2.121	, 0.003
4.3010	, 1.281	, 1.872	, 0.003
4.4010	, 1.184	, 1.690	, 0.002
4.5010	, 1.159	, 1.618	, 0.002
4.6010	, 1.208	, 1.649	, 0.002
4.7010	, 1.349	, 1.803	, 0.002
4.8010	, 1.453	, 1.901	, 0.003
4.9010	, 1.485	, 1.904	, 0.002
5.0010	, 1.501	, 1.886	, 0.002
5.1010	, 1.480	, 1.823	, 0.002
5.2010	, 1.417	, 1.711	, 0.002
5.3010	, 1.384	, 1.640	, 0.002
5.4010	, 1.346	, 1.565	, 0.002
5.5010	, 1.288	, 1.471	, 0.002
5.6010	, 1.210	, 1.357	, 0.002
5.7010	, 1.109	, 1.222	, 0.001
5.8010	, 0.993	, 1.075	, 0.001
5.9010	, 0.956	, 1.018	, 0.001
6.0010	, 0.966	, 1.011	, 0.001
6.1010	, 0.955	, 0.983	, 0.001
6.2010	, 0.930	, 0.942	, 0.001
6.3010	, 0.930	, 0.928	, 0.001
6.4010	, 0.930	, 0.912	, 0.001
6.5010	, 0.928	, 0.897	, 0.001
6.6010	, 0.926	, 0.881	, 0.001
6.7010	, 0.923	, 0.865	, 0.001
6.8010	, 0.919	, 0.849	, 0.001
6.9010	, 0.915	, 0.833	, 0.001
7.0010	, 0.911	, 0.817	, 0.001
7.1010	, 0.906	, 0.801	, 0.001
7.2010	, 0.900	, 0.785	, 0.001
7.3010	, 0.894	, 0.770	, 0.001
7.4010	, 0.888	, 0.754	, 0.001
7.5010	, 0.882	, 0.739	, 0.001
7.6010	, 0.875	, 0.723	, 0.001
7.7010	, 0.868	, 0.708	, 0.001
7.8010	, 0.861	, 0.693	, 0.001
7.9010	, 0.854	, 0.679	, 0.001
8.0010	, 0.846	, 0.665	, 0.001
8.1010	, 0.839	, 0.650	, 0.001
8.2010	, 0.831	, 0.637	, 0.000
8.3010	, 0.823	, 0.623	, 0.000
8.4010	, 0.815	, 0.610	, 0.000
8.5010	, 0.810	, 0.599	, 0.000
8.6010	, 0.806	, 0.589	, 0.000
8.7010	, 0.802	, 0.579	, 0.000
8.8010	, 0.799	, 0.570	, 0.000
8.9010	, 0.800	, 0.565	, 0.000
9.0010	, 0.796	, 0.556	, 0.000
