 
PGA:,  0.27 g
PGV:,  23.57 cm/s
PGD:,  4.42 cm
Arias Intensity:,  52.54 cm/s
Significant duration:,   8.47 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.042	, 0.272
0.1010	, 0.159	, 9.911	, 0.628
0.2010	, 0.525	, 16.400	, 0.523
0.3010	, 1.490	, 31.103	, 0.662
0.4010	, 2.527	, 39.591	, 0.632
0.5010	, 3.531	, 44.289	, 0.566
0.6010	, 3.787	, 39.596	, 0.422
0.7010	, 3.314	, 29.701	, 0.271
0.8010	, 3.741	, 29.341	, 0.235
0.9010	, 3.456	, 24.104	, 0.171
1.0010	, 4.250	, 26.675	, 0.171
1.1010	, 4.704	, 26.844	, 0.156
1.2010	, 4.710	, 24.643	, 0.131
1.3010	, 4.926	, 23.791	, 0.117
1.4010	, 5.520	, 24.756	, 0.113
1.5010	, 5.272	, 22.067	, 0.094
1.6010	, 4.787	, 18.787	, 0.075
1.7010	, 4.572	, 16.889	, 0.064
1.8010	, 4.429	, 15.451	, 0.055
1.9010	, 4.166	, 13.771	, 0.046
2.0010	, 3.841	, 12.062	, 0.039
2.1010	, 3.686	, 11.022	, 0.034
2.2010	, 3.794	, 10.831	, 0.032
2.3010	, 4.027	, 10.997	, 0.031
2.4010	, 4.429	, 11.590	, 0.031
2.5010	, 4.636	, 11.646	, 0.030
2.6010	, 5.085	, 12.284	, 0.030
2.7010	, 4.971	, 11.563	, 0.027
2.8010	, 4.752	, 10.660	, 0.024
2.9010	, 4.485	, 9.713	, 0.021
3.0010	, 4.278	, 8.957	, 0.019
3.1010	, 4.273	, 8.658	, 0.018
3.2010	, 4.390	, 8.617	, 0.017
3.3010	, 4.502	, 8.570	, 0.017
3.4010	, 5.024	, 9.282	, 0.017
3.5010	, 5.501	, 9.873	, 0.018
3.6010	, 6.034	, 10.528	, 0.019
3.7010	, 6.805	, 11.552	, 0.020
3.8010	, 7.588	, 12.543	, 0.021
3.9010	, 8.303	, 13.373	, 0.022
4.0010	, 8.912	, 13.995	, 0.022
