 
PGA:,  0.31 g
PGV:,  11.42 cm/s
PGD:,  1.44 cm
Arias Intensity:,  39.89 cm/s
Significant duration:,   4.50 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.048	, 0.307
0.1010	, 0.153	, 9.510	, 0.603
0.2010	, 0.639	, 19.983	, 0.637
0.3010	, 1.479	, 30.870	, 0.657
0.4010	, 1.380	, 21.629	, 0.345
0.5010	, 2.902	, 36.397	, 0.465
0.6010	, 1.988	, 20.783	, 0.221
0.7010	, 3.445	, 30.879	, 0.282
0.8010	, 4.052	, 31.781	, 0.254
0.9010	, 3.907	, 27.245	, 0.194
1.0010	, 3.056	, 19.184	, 0.123
1.1010	, 2.893	, 16.513	, 0.096
1.2010	, 2.926	, 15.309	, 0.082
1.3010	, 2.841	, 13.719	, 0.068
1.4010	, 2.673	, 11.986	, 0.055
1.5010	, 2.460	, 10.297	, 0.044
1.6010	, 2.599	, 10.199	, 0.041
1.7010	, 2.775	, 10.249	, 0.039
1.8010	, 3.153	, 11.000	, 0.039
1.9010	, 3.404	, 11.250	, 0.038
2.0010	, 3.512	, 11.027	, 0.035
2.1010	, 3.462	, 10.353	, 0.032
2.2010	, 3.285	, 9.377	, 0.027
2.3010	, 3.319	, 9.063	, 0.025
2.4010	, 3.394	, 8.883	, 0.024
2.5010	, 3.428	, 8.612	, 0.022
2.6010	, 3.427	, 8.277	, 0.020
2.7010	, 3.395	, 7.898	, 0.019
2.8010	, 3.340	, 7.493	, 0.017
2.9010	, 3.266	, 7.073	, 0.016
3.0010	, 3.177	, 6.651	, 0.014
3.1010	, 3.076	, 6.232	, 0.013
3.2010	, 2.968	, 5.825	, 0.012
3.3010	, 2.855	, 5.434	, 0.011
3.4010	, 2.739	, 5.060	, 0.010
3.5010	, 2.622	, 4.706	, 0.009
3.6010	, 2.507	, 4.375	, 0.008
3.7010	, 2.394	, 4.065	, 0.007
3.8010	, 2.360	, 3.901	, 0.007
3.9010	, 2.342	, 3.773	, 0.006
4.0010	, 2.324	, 3.650	, 0.006
4.1010	, 2.306	, 3.533	, 0.006
4.2010	, 2.287	, 3.421	, 0.005
4.3010	, 2.269	, 3.314	, 0.005
4.4010	, 2.250	, 3.212	, 0.005
4.5010	, 2.231	, 3.114	, 0.004
4.6010	, 2.212	, 3.020	, 0.004
4.7010	, 2.193	, 2.931	, 0.004
4.8010	, 2.174	, 2.846	, 0.004
4.9010	, 2.156	, 2.764	, 0.004
5.0010	, 2.138	, 2.686	, 0.003
5.1010	, 2.120	, 2.611	, 0.003
5.2010	, 2.102	, 2.540	, 0.003
5.3010	, 2.085	, 2.471	, 0.003
5.4010	, 2.068	, 2.406	, 0.003
5.5010	, 2.052	, 2.343	, 0.003
5.6010	, 2.036	, 2.283	, 0.003
5.7010	, 2.020	, 2.226	, 0.003
5.8010	, 2.004	, 2.171	, 0.002
5.9010	, 1.989	, 2.118	, 0.002
6.0010	, 1.975	, 2.067	, 0.002
6.1010	, 1.960	, 2.019	, 0.002
6.2010	, 1.946	, 1.972	, 0.002
6.3010	, 1.933	, 1.927	, 0.002
6.4010	, 1.919	, 1.884	, 0.002
6.5010	, 1.907	, 1.843	, 0.002
6.6010	, 1.894	, 1.803	, 0.002
6.7010	, 1.882	, 1.764	, 0.002
6.8010	, 1.870	, 1.727	, 0.002
6.9010	, 1.858	, 1.692	, 0.002
7.0010	, 1.847	, 1.658	, 0.002
7.1010	, 1.836	, 1.624	, 0.001
7.2010	, 1.825	, 1.593	, 0.001
7.3010	, 1.817	, 1.564	, 0.001
7.4010	, 1.816	, 1.542	, 0.001
7.5010	, 1.815	, 1.520	, 0.001
7.6010	, 1.813	, 1.499	, 0.001
7.7010	, 1.812	, 1.478	, 0.001
7.8010	, 1.810	, 1.457	, 0.001
7.9010	, 1.807	, 1.437	, 0.001
8.0010	, 1.805	, 1.417	, 0.001
8.1010	, 1.802	, 1.398	, 0.001
8.2010	, 1.800	, 1.379	, 0.001
8.3010	, 1.797	, 1.360	, 0.001
8.4010	, 1.794	, 1.342	, 0.001
8.5010	, 1.791	, 1.324	, 0.001
8.6010	, 1.788	, 1.306	, 0.001
8.7010	, 1.784	, 1.289	, 0.001
8.8010	, 1.781	, 1.272	, 0.001
