 
PGA:,  0.29 g
PGV:,  17.58 cm/s
PGD:,  2.72 cm
Arias Intensity:,  86.52 cm/s
Significant duration:,   3.08 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.046	, 0.293
0.1010	, 0.153	, 9.502	, 0.603
0.2010	, 0.777	, 24.298	, 0.774
0.3010	, 2.813	, 58.720	, 1.249
0.4010	, 3.276	, 51.323	, 0.820
0.5010	, 3.491	, 43.779	, 0.560
0.6010	, 2.823	, 29.510	, 0.314
0.7010	, 3.751	, 33.619	, 0.307
0.8010	, 4.237	, 33.233	, 0.266
0.9010	, 4.638	, 32.346	, 0.230
1.0010	, 4.931	, 30.952	, 0.198
1.1010	, 5.212	, 29.746	, 0.173
1.2010	, 5.556	, 29.065	, 0.155
1.3010	, 5.709	, 27.573	, 0.136
1.4010	, 5.705	, 25.584	, 0.117
1.5010	, 5.560	, 23.274	, 0.099
1.6010	, 5.298	, 20.793	, 0.083
1.7010	, 4.941	, 18.251	, 0.069
1.8010	, 4.516	, 15.754	, 0.056
1.9010	, 4.238	, 14.008	, 0.047
2.0010	, 4.449	, 13.971	, 0.045
2.1010	, 4.636	, 13.866	, 0.042
2.2010	, 4.799	, 13.699	, 0.040
2.3010	, 4.937	, 13.481	, 0.038
2.4010	, 5.052	, 13.221	, 0.035
2.5010	, 5.146	, 12.927	, 0.033
2.6010	, 5.220	, 12.610	, 0.031
2.7010	, 5.276	, 12.274	, 0.029
2.8010	, 5.316	, 11.925	, 0.027
2.9010	, 5.404	, 11.705	, 0.026
3.0010	, 5.809	, 12.161	, 0.026
3.1010	, 6.148	, 12.457	, 0.026
3.2010	, 6.252	, 12.272	, 0.025
3.3010	, 6.123	, 11.655	, 0.023
3.4010	, 6.009	, 11.101	, 0.021
3.5010	, 6.097	, 10.943	, 0.020
3.6010	, 6.079	, 10.607	, 0.019
3.7010	, 5.974	, 10.143	, 0.018
3.8010	, 5.898	, 9.750	, 0.016
3.9010	, 5.830	, 9.390	, 0.015
4.0010	, 5.733	, 9.003	, 0.014
4.1010	, 5.613	, 8.599	, 0.013
4.2010	, 5.620	, 8.405	, 0.013
4.3010	, 5.642	, 8.242	, 0.012
4.4010	, 5.637	, 8.048	, 0.012
4.5010	, 5.609	, 7.831	, 0.011
4.6010	, 5.562	, 7.596	, 0.011
4.7010	, 5.498	, 7.349	, 0.010
4.8010	, 5.421	, 7.094	, 0.009
4.9010	, 5.332	, 6.836	, 0.009
5.0010	, 5.234	, 6.576	, 0.008
5.1010	, 5.129	, 6.318	, 0.008
5.2010	, 5.018	, 6.062	, 0.007
5.3010	, 4.903	, 5.812	, 0.007
5.4010	, 4.786	, 5.567	, 0.007
5.5010	, 4.666	, 5.330	, 0.006
5.6010	, 4.546	, 5.100	, 0.006
5.7010	, 4.428	, 4.880	, 0.005
5.8010	, 4.321	, 4.680	, 0.005
5.9010	, 4.248	, 4.523	, 0.005
6.0010	, 4.211	, 4.409	, 0.005
6.1010	, 4.175	, 4.300	, 0.005
6.2010	, 4.140	, 4.195	, 0.004
6.3010	, 4.106	, 4.094	, 0.004
6.4010	, 4.073	, 3.998	, 0.004
6.5010	, 4.041	, 3.905	, 0.004
6.6010	, 4.009	, 3.816	, 0.004
6.7010	, 3.979	, 3.731	, 0.004
6.8010	, 3.949	, 3.649	, 0.003
6.9010	, 3.921	, 3.570	, 0.003
7.0010	, 3.893	, 3.493	, 0.003
7.1010	, 3.865	, 3.420	, 0.003
7.2010	, 3.839	, 3.349	, 0.003
7.3010	, 3.813	, 3.281	, 0.003
7.4010	, 3.788	, 3.216	, 0.003
7.5010	, 3.764	, 3.153	, 0.003
7.6010	, 3.825	, 3.162	, 0.003
7.7010	, 3.975	, 3.243	, 0.003
7.8010	, 4.069	, 3.277	, 0.003
7.9010	, 4.105	, 3.265	, 0.003
8.0010	, 4.087	, 3.210	, 0.003
8.1010	, 4.132	, 3.205	, 0.003
8.2010	, 4.155	, 3.184	, 0.002
8.3010	, 4.151	, 3.142	, 0.002
8.4010	, 4.122	, 3.083	, 0.002
8.5010	, 4.141	, 3.060	, 0.002
8.6010	, 4.147	, 3.030	, 0.002
8.7010	, 4.213	, 3.042	, 0.002
8.8010	, 4.480	, 3.198	, 0.002
8.9010	, 4.741	, 3.347	, 0.002
9.0010	, 4.960	, 3.462	, 0.002
9.1010	, 5.136	, 3.546	, 0.002
9.2010	, 5.281	, 3.606	, 0.003
9.3010	, 5.506	, 3.719	, 0.003
9.4010	, 5.687	, 3.801	, 0.003
9.5010	, 5.826	, 3.853	, 0.003
9.6010	, 5.923	, 3.876	, 0.003
9.7010	, 5.978	, 3.872	, 0.003
9.8010	, 5.993	, 3.842	, 0.003
9.9010	, 5.971	, 3.789	, 0.002
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
