 
PGA:,  0.09 g
PGV:,  4.80 cm/s
PGD:,  0.67 cm
Arias Intensity:,  10.88 cm/s
Significant duration:,  13.01 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.014	, 0.092
0.1010	, 0.039	, 2.419	, 0.153
0.2010	, 0.288	, 9.010	, 0.287
0.3010	, 0.534	, 11.144	, 0.237
0.4010	, 0.839	, 13.145	, 0.210
0.5010	, 1.127	, 14.135	, 0.181
0.6010	, 1.911	, 19.974	, 0.213
0.7010	, 1.411	, 12.643	, 0.116
0.8010	, 1.537	, 12.060	, 0.096
0.9010	, 1.066	, 7.435	, 0.053
1.0010	, 1.084	, 6.806	, 0.044
1.1010	, 1.028	, 5.868	, 0.034
1.2010	, 1.395	, 7.296	, 0.039
1.3010	, 1.249	, 6.033	, 0.030
1.4010	, 1.074	, 4.816	, 0.022
1.5010	, 0.975	, 4.082	, 0.017
1.6010	, 0.876	, 3.438	, 0.014
1.7010	, 0.877	, 3.238	, 0.012
1.8010	, 1.102	, 3.845	, 0.014
1.9010	, 1.239	, 4.096	, 0.014
2.0010	, 1.002	, 3.145	, 0.010
2.1010	, 1.096	, 3.278	, 0.010
2.2010	, 1.357	, 3.873	, 0.011
2.3010	, 1.139	, 3.110	, 0.009
2.4010	, 1.248	, 3.266	, 0.009
2.5010	, 1.318	, 3.311	, 0.008
2.6010	, 1.327	, 3.204	, 0.008
2.7010	, 1.274	, 2.963	, 0.007
2.8010	, 1.174	, 2.633	, 0.006
2.9010	, 1.049	, 2.273	, 0.005
3.0010	, 0.933	, 1.953	, 0.004
3.1010	, 0.892	, 1.807	, 0.004
3.2010	, 0.839	, 1.647	, 0.003
3.3010	, 0.783	, 1.491	, 0.003
3.4010	, 0.732	, 1.352	, 0.003
3.5010	, 0.701	, 1.258	, 0.002
3.6010	, 0.701	, 1.224	, 0.002
3.7010	, 0.695	, 1.181	, 0.002
3.8010	, 0.689	, 1.139	, 0.002
3.9010	, 0.680	, 1.095	, 0.002
4.0010	, 0.677	, 1.063	, 0.002
4.1010	, 0.680	, 1.042	, 0.002
4.2010	, 0.704	, 1.054	, 0.002
4.3010	, 0.750	, 1.095	, 0.002
4.4010	, 0.806	, 1.150	, 0.002
4.5010	, 0.861	, 1.202	, 0.002
4.6010	, 0.892	, 1.218	, 0.002
4.7010	, 0.885	, 1.183	, 0.002
4.8010	, 0.842	, 1.102	, 0.001
4.9010	, 0.871	, 1.117	, 0.001
5.0010	, 0.879	, 1.104	, 0.001
5.1010	, 0.867	, 1.068	, 0.001
5.2010	, 0.840	, 1.015	, 0.001
5.3010	, 0.804	, 0.953	, 0.001
5.4010	, 0.763	, 0.888	, 0.001
5.5010	, 0.763	, 0.871	, 0.001
5.6010	, 0.765	, 0.858	, 0.001
5.7010	, 0.763	, 0.841	, 0.001
5.8010	, 0.759	, 0.822	, 0.001
5.9010	, 0.752	, 0.801	, 0.001
6.0010	, 0.743	, 0.778	, 0.001
6.1010	, 0.733	, 0.755	, 0.001
6.2010	, 0.722	, 0.732	, 0.001
6.3010	, 0.711	, 0.709	, 0.001
6.4010	, 0.699	, 0.686	, 0.001
6.5010	, 0.688	, 0.665	, 0.001
6.6010	, 0.677	, 0.644	, 0.001
6.7010	, 0.667	, 0.625	, 0.001
6.8010	, 0.658	, 0.608	, 0.001
6.9010	, 0.649	, 0.591	, 0.001
7.0010	, 0.642	, 0.577	, 0.001
7.1010	, 0.636	, 0.563	, 0.001
7.2010	, 0.632	, 0.551	, 0.000
7.3010	, 0.628	, 0.540	, 0.000
7.4010	, 0.625	, 0.531	, 0.000
7.5010	, 0.624	, 0.522	, 0.000
7.6010	, 0.623	, 0.515	, 0.000
7.7010	, 0.624	, 0.509	, 0.000
7.8010	, 0.625	, 0.503	, 0.000
7.9010	, 0.627	, 0.498	, 0.000
8.0010	, 0.629	, 0.494	, 0.000
8.1010	, 0.633	, 0.491	, 0.000
8.2010	, 0.637	, 0.488	, 0.000
8.3010	, 0.641	, 0.485	, 0.000
8.4010	, 0.646	, 0.483	, 0.000
8.5010	, 0.651	, 0.481	, 0.000
8.6010	, 0.656	, 0.479	, 0.000
8.7010	, 0.662	, 0.478	, 0.000
8.8010	, 0.667	, 0.476	, 0.000
8.9010	, 0.673	, 0.475	, 0.000
9.0010	, 0.679	, 0.474	, 0.000
9.1010	, 0.685	, 0.473	, 0.000
9.2010	, 0.690	, 0.471	, 0.000
9.3010	, 0.696	, 0.470	, 0.000
9.4010	, 0.702	, 0.469	, 0.000
9.5010	, 0.707	, 0.468	, 0.000
9.6010	, 0.712	, 0.466	, 0.000
9.7010	, 0.718	, 0.465	, 0.000
9.8010	, 0.723	, 0.463	, 0.000
9.9010	, 0.727	, 0.462	, 0.000
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	-0.0001037	0.0000000	0.0000000	0.0000000
0.005	-0.0001029	-0.0005068	-0.0000013	0.0000000
0.010	-0.0001032	-0.0010124	-0.0000051	0.0000000
0.015	-0.0001062	-0.0015261	-0.0000114	0.0000000
0.020	-0.0001001	-0.0020320	-0.0000203	0.0000000
0.025	-0.0000926	-0.0025046	-0.0000316	0.0000000
0.030	-0.0000933	-0.0029605	-0.0000453	0.0000000
0.035	-0.0000953	-0.0034230	-0.0000613	0.0000000
0.040	-0.0000959	-0.0038918	-0.0000796	0.0000001
0.045	-0.0000912	-0.0043506	-0.0001002	0.0000001
0.050	-0.0000771	-0.0047635	-0.0001229	0.0000001
0.055	-0.0000559	-0.0050897	-0.0001476	0.0000001
0.060	-0.0000443	-0.0053354	-0.0001736	0.0000001
0.065	-0.0000685	-0.0056120	-0.0002010	0.0000001
0.070	-0.0000976	-0.0060194	-0.0002301	0.0000001
0.075	-0.0000982	-0.0064996	-0.0002614	0.0000001
0.080	-0.0000901	-0.0069613	-0.0002950	0.0000001
0.085	-0.0000695	-0.0073528	-0.0003308	0.0000001
0.090	-0.0000337	-0.0076059	-0.0003682	0.0000001
0.095	-0.0000004	-0.0076896	-0.0004065	0.0000001
0.100	-0.0000098	-0.0077147	-0.0004450	0.0000001
0.105	-0.0000439	-0.0078463	-0.0004839	0.0000001
0.110	-0.0000905	-0.0081760	-0.0005239	0.0000001
0.115	-0.0001194	-0.0086909	-0.0005661	0.0000001
0.120	-0.0001066	-0.0092452	-0.0006109	0.0000001
0.125	-0.0000551	-0.0096415	-0.0006582	0.0000001
0.130	-0.0000046	-0.0097878	-0.0007067	0.0000001
0.135	0.0000334	-0.0097172	-0.0007555	0.0000001
0.140	0.0000105	-0.0096097	-0.0008038	0.0000001
0.145	-0.0000413	-0.0096852	-0.0008520	0.0000001
0.150	-0.0000918	-0.0100115	-0.0009013	0.0000001
0.155	-0.0001018	-0.0104861	-0.0009525	0.0000001
0.160	-0.0001188	-0.0110270	-0.0010063	0.0000001
0.165	-0.0001367	-0.0116537	-0.0010630	0.0000002
0.170	-0.0001114	-0.0122622	-0.0011228	0.0000002
0.175	-0.0000681	-0.0127024	-0.0011852	0.0000002
0.180	-0.0000328	-0.0129498	-0.0012493	0.0000002
0.185	0.0000157	-0.0129919	-0.0013142	0.0000002
0.190	0.0000381	-0.0128601	-0.0013788	0.0000002
0.195	-0.0000448	-0.0128766	-0.0014432	0.0000002
0.200	-0.0001162	-0.0132715	-0.0015085	0.0000002
0.205	-0.0000684	-0.0137243	-0.0015760	0.0000002
0.210	0.0000345	-0.0138075	-0.0016449	0.0000002
0.215	0.0001273	-0.0134107	-0.0017129	0.0000002
0.220	0.0001171	-0.0128112	-0.0017785	0.0000002
0.225	0.0000536	-0.0123926	-0.0018415	0.0000002
0.230	-0.0000492	-0.0123818	-0.0019034	0.0000002
0.235	-0.0001514	-0.0128738	-0.0019665	0.0000002
0.240	-0.0001406	-0.0135900	-0.0020327	0.0000002
0.245	-0.0000787	-0.0141280	-0.0021020	0.0000003
0.250	-0.0000578	-0.0144628	-0.0021735	0.0000003
0.255	-0.0000777	-0.0147951	-0.0022466	0.0000003
0.260	-0.0001388	-0.0153261	-0.0023219	0.0000003
0.265	-0.0002468	-0.0162718	-0.0024009	0.0000003
0.270	-0.0003614	-0.0177634	-0.0024860	0.0000004
0.275	-0.0004832	-0.0198348	-0.0025800	0.0000005
0.280	-0.0006060	-0.0225059	-0.0026859	0.0000007
0.285	-0.0006038	-0.0254728	-0.0028058	0.0000010
0.290	-0.0004823	-0.0281364	-0.0029398	0.0000012
0.295	-0.0002702	-0.0299819	-0.0030851	0.0000013
0.300	-0.0000607	-0.0307934	-0.0032371	0.0000013
0.305	0.0000305	-0.0308674	-0.0033912	0.0000013
0.310	0.0000992	-0.0305494	-0.0035448	0.0000013
0.315	0.0001250	-0.0299995	-0.0036961	0.0000013
0.320	0.0001894	-0.0292285	-0.0038442	0.0000013
0.325	0.0002061	-0.0282586	-0.0039879	0.0000014
0.330	0.0001420	-0.0274048	-0.0041271	0.0000014
0.335	0.0000232	-0.0269994	-0.0042631	0.0000014
0.340	-0.0000708	-0.0271161	-0.0043984	0.0000014
0.345	0.0000254	-0.0272274	-0.0045342	0.0000014
0.350	0.0001993	-0.0266763	-0.0046690	0.0000014
0.355	0.0002709	-0.0255232	-0.0047995	0.0000015
0.360	0.0001828	-0.0244106	-0.0049243	0.0000015
0.365	0.0000107	-0.0239362	-0.0050452	0.0000015
0.370	-0.0001451	-0.0242660	-0.0051657	0.0000015
0.375	-0.0002812	-0.0253117	-0.0052896	0.0000016
0.380	-0.0004247	-0.0270431	-0.0054205	0.0000016
0.385	-0.0004547	-0.0291999	-0.0055611	0.0000018
0.390	-0.0004580	-0.0314381	-0.0057127	0.0000019
0.395	-0.0004758	-0.0337281	-0.0058756	0.0000021
0.400	-0.0004553	-0.0360116	-0.0060500	0.0000022
0.405	-0.0003508	-0.0379884	-0.0062350	0.0000024
0.410	-0.0001691	-0.0392634	-0.0064281	0.0000024
0.415	-0.0000308	-0.0397538	-0.0066257	0.0000024
0.420	0.0000163	-0.0397894	-0.0068245	0.0000024
0.425	0.0000123	-0.0397193	-0.0070233	0.0000024
0.430	-0.0000547	-0.0398235	-0.0072222	0.0000024
0.435	-0.0000448	-0.0400675	-0.0074219	0.0000024
0.440	-0.0000117	-0.0402061	-0.0076226	0.0000024
0.445	-0.0000597	-0.0403813	-0.0078240	0.0000024
0.450	-0.0002284	-0.0410878	-0.0080277	0.0000024
0.455	-0.0004710	-0.0428029	-0.0082374	0.0000025
0.460	-0.0005774	-0.0453740	-0.0084579	0.0000027
0.465	-0.0004388	-0.0478662	-0.0086910	0.0000029
0.470	-0.0001376	-0.0492796	-0.0089338	0.0000030
0.475	0.0001777	-0.0491812	-0.0091800	0.0000030
0.480	0.0004398	-0.0476668	-0.0094221	0.0000031
0.485	0.0005599	-0.0452151	-0.0096543	0.0000033
0.490	0.0004372	-0.0427698	-0.0098743	0.0000035
0.495	0.0000859	-0.0414869	-0.0100849	0.0000035
0.500	-0.0003923	-0.0422383	-0.0102942	0.0000036
0.505	-0.0006599	-0.0448188	-0.0105119	0.0000038
0.510	-0.0006016	-0.0479127	-0.0107437	0.0000041
0.515	-0.0004853	-0.0505783	-0.0109899	0.0000043
0.520	-0.0004655	-0.0529101	-0.0112487	0.0000044
0.525	-0.0006392	-0.0556192	-0.0115200	0.0000047
0.530	-0.0010966	-0.0598763	-0.0118087	0.0000052
0.535	-0.0017429	-0.0668402	-0.0121255	0.0000067
0.540	-0.0021318	-0.0763430	-0.0124835	0.0000094
0.545	-0.0020260	-0.0865401	-0.0128907	0.0000125
0.550	-0.0015906	-0.0954097	-0.0133455	0.0000148
0.555	-0.0012610	-0.1024031	-0.0138401	0.0000163
0.560	-0.0012791	-0.1086327	-0.0143677	0.0000174
0.565	-0.0013869	-0.1151710	-0.0149272	0.0000187
0.570	-0.0014621	-0.1221582	-0.0155205	0.0000201
0.575	-0.0015162	-0.1294625	-0.0161496	0.0000217
0.580	-0.0015246	-0.1369201	-0.0168155	0.0000233
0.585	-0.0014141	-0.1441273	-0.0175181	0.0000249
0.590	-0.0010950	-0.1502809	-0.0182541	0.0000260
0.595	-0.0006127	-0.1544690	-0.0190160	0.0000266
0.600	-0.0002648	-0.1566210	-0.0197937	0.0000267
0.605	-0.0001081	-0.1575355	-0.0205791	0.0000268
0.610	-0.0000386	-0.1578953	-0.0213677	0.0000268
0.615	0.0001294	-0.1576726	-0.0221566	0.0000268
0.620	0.0004677	-0.1562083	-0.0229413	0.0000268
0.625	0.0007600	-0.1531974	-0.0237149	0.0000271
0.630	0.0008432	-0.1492655	-0.0244710	0.0000276
0.635	0.0007631	-0.1453258	-0.0252075	0.0000280
0.640	0.0005656	-0.1420670	-0.0259260	0.0000284
0.645	0.0002841	-0.1399831	-0.0266311	0.0000285
0.650	0.0000985	-0.1390449	-0.0273287	0.0000285
0.655	0.0000717	-0.1386276	-0.0280228	0.0000285
0.660	-0.0000158	-0.1384908	-0.0287156	0.0000285
0.665	-0.0003296	-0.1393379	-0.0294102	0.0000286
0.670	-0.0007652	-0.1420229	-0.0301136	0.0000288
0.675	-0.0009480	-0.1462245	-0.0308342	0.0000294
0.680	-0.0008824	-0.1507135	-0.0315766	0.0000299
0.685	-0.0007427	-0.1546990	-0.0323401	0.0000304
0.690	-0.0005103	-0.1577721	-0.0331213	0.0000307
0.695	-0.0002672	-0.1596790	-0.0339149	0.0000308
0.700	-0.0002983	-0.1610659	-0.0347168	0.0000309
0.705	-0.0006688	-0.1634376	-0.0355280	0.0000311
0.710	-0.0008945	-0.1672714	-0.0363548	0.0000315
0.715	-0.0006065	-0.1709527	-0.0372004	0.0000319
0.720	-0.0000025	-0.1724464	-0.0380589	0.0000321
0.725	0.0004525	-0.1713428	-0.0389183	0.0000321
0.730	0.0007731	-0.1683372	-0.0397675	0.0000324
0.735	0.0009672	-0.1640692	-0.0405986	0.0000330
0.740	0.0010531	-0.1591146	-0.0414065	0.0000337
0.745	0.0013979	-0.1531034	-0.0421871	0.0000348
0.750	0.0019183	-0.1449704	-0.0429322	0.0000368
0.755	0.0021392	-0.1350195	-0.0436322	0.0000397
0.760	0.0018374	-0.1252670	-0.0442829	0.0000425
0.765	0.0013662	-0.1174102	-0.0448896	0.0000444
0.770	0.0010693	-0.1114371	-0.0454617	0.0000454
0.775	0.0009257	-0.1065444	-0.0460067	0.0000461
0.780	0.0005595	-0.1029020	-0.0465303	0.0000465
0.785	0.0001359	-0.1011968	-0.0470406	0.0000467
0.790	0.0000082	-0.1008435	-0.0475457	0.0000467
0.795	0.0001835	-0.1003734	-0.0480487	0.0000467
0.800	0.0005691	-0.0985277	-0.0485460	0.0000468
0.805	0.0010626	-0.0945260	-0.0490286	0.0000473
0.810	0.0012976	-0.0887378	-0.0494868	0.0000483
0.815	0.0011526	-0.0827287	-0.0499154	0.0000494
0.820	0.0010792	-0.0772553	-0.0503154	0.0000503
0.825	0.0012618	-0.0715142	-0.0506873	0.0000512
0.830	0.0017562	-0.0641127	-0.0510264	0.0000529
0.835	0.0024357	-0.0538321	-0.0513212	0.0000561
0.840	0.0027266	-0.0411716	-0.0515587	0.0000608
0.845	0.0022213	-0.0290367	-0.0517343	0.0000652
0.850	0.0011726	-0.0207131	-0.0518586	0.0000674
0.855	-0.0000618	-0.0179888	-0.0519554	0.0000679
0.860	-0.0010520	-0.0207202	-0.0520522	0.0000683
0.865	-0.0017551	-0.0276044	-0.0521730	0.0000698
0.870	-0.0022664	-0.0374670	-0.0523357	0.0000727
0.875	-0.0026401	-0.0495002	-0.0525531	0.0000770
0.880	-0.0027366	-0.0626866	-0.0528335	0.0000821
0.885	-0.0026604	-0.0759228	-0.0531801	0.0000873
0.890	-0.0028653	-0.0894746	-0.0535936	0.0000927
0.895	-0.0032773	-0.1045394	-0.0540786	0.0000994
0.900	-0.0032165	-0.1204656	-0.0546411	0.0001069
0.905	-0.0026290	-0.1348017	-0.0552793	0.0001130
0.910	-0.0015392	-0.1450242	-0.0559788	0.0001163
0.915	-0.0002394	-0.1493862	-0.0567149	0.0001171
0.920	0.0008103	-0.1479859	-0.0574583	0.0001174
0.925	0.0009135	-0.1437581	-0.0581877	0.0001179
0.930	-0.0000014	-0.1415212	-0.0589009	0.0001182
0.935	-0.0012393	-0.1445640	-0.0596161	0.0001187
0.940	-0.0022083	-0.1530192	-0.0603600	0.0001210
0.945	-0.0025198	-0.1646149	-0.0611541	0.0001250
0.950	-0.0024163	-0.1767207	-0.0620074	0.0001293
0.955	-0.0024982	-0.1887735	-0.0629212	0.0001336
0.960	-0.0026106	-0.2013029	-0.0638964	0.0001382
0.965	-0.0022901	-0.2133219	-0.0649329	0.0001425
