 
PGA:,  0.13 g
PGV:,  8.92 cm/s
PGD:,  2.80 cm
Arias Intensity:,  13.66 cm/s
Significant duration:,   8.46 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.021	, 0.134
0.1010	, 0.098	, 6.125	, 0.388
0.2010	, 0.260	, 8.114	, 0.259
0.3010	, 0.711	, 14.846	, 0.316
0.4010	, 1.386	, 21.717	, 0.347
0.5010	, 0.809	, 10.147	, 0.130
0.6010	, 1.178	, 12.317	, 0.131
0.7010	, 1.543	, 13.832	, 0.126
0.8010	, 1.999	, 15.684	, 0.125
0.9010	, 2.274	, 15.861	, 0.113
1.0010	, 2.163	, 13.576	, 0.087
1.1010	, 2.424	, 13.832	, 0.080
1.2010	, 2.726	, 14.259	, 0.076
1.3010	, 3.314	, 16.003	, 0.079
1.4010	, 3.476	, 15.590	, 0.071
1.5010	, 3.399	, 14.228	, 0.061
1.6010	, 3.132	, 12.291	, 0.049
1.7010	, 2.728	, 10.077	, 0.038
1.8010	, 2.440	, 8.512	, 0.030
1.9010	, 2.403	, 7.942	, 0.027
2.0010	, 2.609	, 8.194	, 0.026
2.1010	, 2.961	, 8.855	, 0.027
2.2010	, 3.343	, 9.545	, 0.028
2.3010	, 3.672	, 10.027	, 0.028
2.4010	, 3.931	, 10.288	, 0.027
2.5010	, 4.087	, 10.267	, 0.026
2.6010	, 4.159	, 10.047	, 0.025
2.7010	, 4.259	, 9.908	, 0.023
2.8010	, 4.323	, 9.697	, 0.022
2.9010	, 4.471	, 9.683	, 0.021
3.0010	, 4.747	, 9.938	, 0.021
3.1010	, 4.975	, 10.080	, 0.021
3.2010	, 5.179	, 10.167	, 0.020
3.3010	, 5.378	, 10.236	, 0.020
3.4010	, 5.553	, 10.259	, 0.019
3.5010	, 5.677	, 10.188	, 0.019
3.6010	, 5.751	, 10.035	, 0.018
3.7010	, 5.783	, 9.818	, 0.017
3.8010	, 5.780	, 9.554	, 0.016
3.9010	, 5.743	, 9.250	, 0.015
4.0010	, 5.676	, 8.913	, 0.014
4.1010	, 5.582	, 8.552	, 0.013
4.2010	, 5.465	, 8.173	, 0.012
4.3010	, 5.330	, 7.786	, 0.012
4.4010	, 5.181	, 7.397	, 0.011
4.5010	, 5.021	, 7.009	, 0.010
4.6010	, 4.851	, 6.625	, 0.009
4.7010	, 4.684	, 6.261	, 0.009
4.8010	, 4.523	, 5.920	, 0.008
4.9010	, 4.356	, 5.585	, 0.007
5.0010	, 4.296	, 5.398	, 0.007
5.1010	, 4.365	, 5.376	, 0.007
5.2010	, 4.399	, 5.314	, 0.007
5.3010	, 4.427	, 5.247	, 0.006
5.4010	, 4.442	, 5.167	, 0.006
5.5010	, 4.426	, 5.056	, 0.006
5.6010	, 4.379	, 4.913	, 0.006
5.7010	, 4.301	, 4.740	, 0.005
5.8010	, 4.263	, 4.617	, 0.005
5.9010	, 4.330	, 4.611	, 0.005
6.0010	, 4.361	, 4.566	, 0.005
6.1010	, 4.359	, 4.489	, 0.005
6.2010	, 4.327	, 4.384	, 0.005
6.3010	, 4.268	, 4.256	, 0.004
6.4010	, 4.190	, 4.113	, 0.004
6.5010	, 4.206	, 4.065	, 0.004
6.6010	, 4.219	, 4.016	, 0.004
6.7010	, 4.230	, 3.966	, 0.004
6.8010	, 4.238	, 3.915	, 0.004
6.9010	, 4.323	, 3.936	, 0.004
7.0010	, 4.411	, 3.959	, 0.004
7.1010	, 4.426	, 3.916	, 0.004
7.2010	, 4.387	, 3.827	, 0.003
7.3010	, 4.316	, 3.714	, 0.003
7.4010	, 4.286	, 3.639	, 0.003
7.5010	, 4.245	, 3.556	, 0.003
7.6010	, 4.241	, 3.505	, 0.003
7.7010	, 4.235	, 3.456	, 0.003
7.8010	, 4.229	, 3.406	, 0.003
7.9010	, 4.222	, 3.357	, 0.003
8.0010	, 4.214	, 3.309	, 0.003
8.1010	, 4.206	, 3.262	, 0.003
8.2010	, 4.197	, 3.216	, 0.003
8.3010	, 4.188	, 3.170	, 0.002
8.4010	, 4.178	, 3.125	, 0.002
8.5010	, 4.167	, 3.080	, 0.002
8.6010	, 4.157	, 3.037	, 0.002
8.7010	, 4.146	, 2.994	, 0.002
8.8010	, 4.134	, 2.952	, 0.002
8.9010	, 4.123	, 2.910	, 0.002
9.0010	, 4.111	, 2.870	, 0.002
9.1010	, 4.099	, 2.830	, 0.002
9.2010	, 4.087	, 2.791	, 0.002
9.3010	, 4.075	, 2.753	, 0.002
9.4010	, 4.062	, 2.715	, 0.002
9.5010	, 4.050	, 2.678	, 0.002
9.6010	, 4.038	, 2.642	, 0.002
9.7010	, 4.025	, 2.607	, 0.002
9.8010	, 4.013	, 2.573	, 0.002
9.9010	, 4.001	, 2.539	, 0.002
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	-0.0002573	0.0000000	0.0000000	0.0000000
0.005	-0.0002728	-0.0013002	-0.0000033	0.0000000
0.010	-0.0003019	-0.0027098	-0.0000133	0.0000001
0.015	-0.0003382	-0.0042797	-0.0000307	0.0000001
0.020	-0.0003754	-0.0060299	-0.0000565	0.0000002
0.025	-0.0004091	-0.0079540	-0.0000915	0.0000003
0.030	-0.0004220	-0.0099923	-0.0001363	0.0000004
0.035	-0.0003983	-0.0120041	-0.0001913	0.0000005
0.040	-0.0003423	-0.0138203	-0.0002559	0.0000006
0.045	-0.0002713	-0.0153252	-0.0003288	0.0000006
0.050	-0.0002060	-0.0164958	-0.0004083	0.0000007
0.055	-0.0001670	-0.0174107	-0.0004931	0.0000007
0.060	-0.0001682	-0.0182330	-0.0005822	0.0000007
0.065	-0.0002117	-0.0191647	-0.0006757	0.0000007
0.070	-0.0002802	-0.0203711	-0.0007745	0.0000008
0.075	-0.0003501	-0.0219170	-0.0008802	0.0000008
0.080	-0.0004053	-0.0237696	-0.0009945	0.0000009
0.085	-0.0004340	-0.0258280	-0.0011185	0.0000010
0.090	-0.0004305	-0.0279482	-0.0012529	0.0000011
