 
PGA:,  0.23 g
PGV:,  15.83 cm/s
PGD:,  2.99 cm
Arias Intensity:,  37.85 cm/s
Significant duration:,   8.18 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.036	, 0.229
0.1010	, 0.140	, 8.725	, 0.553
0.2010	, 0.454	, 14.189	, 0.452
0.3010	, 0.732	, 15.286	, 0.325
0.4010	, 1.482	, 23.217	, 0.371
0.5010	, 3.519	, 44.131	, 0.564
0.6010	, 4.688	, 49.010	, 0.522
0.7010	, 5.241	, 46.973	, 0.429
0.8010	, 5.552	, 43.551	, 0.348
0.9010	, 5.401	, 37.663	, 0.268
1.0010	, 5.626	, 35.313	, 0.226
1.1010	, 5.599	, 31.951	, 0.186
1.2010	, 5.264	, 27.541	, 0.147
1.3010	, 4.651	, 22.463	, 0.111
1.4010	, 4.527	, 20.302	, 0.093
1.5010	, 4.475	, 18.733	, 0.080
1.6010	, 4.300	, 16.876	, 0.068
1.7010	, 4.054	, 14.975	, 0.056
1.8010	, 3.788	, 13.215	, 0.047
1.9010	, 3.539	, 11.697	, 0.039
2.0010	, 3.331	, 10.460	, 0.033
2.1010	, 3.174	, 9.492	, 0.029
2.2010	, 3.067	, 8.754	, 0.025
2.3010	, 3.003	, 8.200	, 0.023
2.4010	, 2.974	, 7.784	, 0.021
2.5010	, 2.972	, 7.466	, 0.019
2.6010	, 2.988	, 7.218	, 0.018
2.7010	, 3.016	, 7.017	, 0.017
2.8010	, 3.052	, 6.846	, 0.016
2.9010	, 3.091	, 6.695	, 0.015
3.0010	, 3.132	, 6.557	, 0.014
3.1010	, 3.172	, 6.426	, 0.013
3.2010	, 3.210	, 6.301	, 0.013
3.3010	, 3.246	, 6.178	, 0.012
3.4010	, 3.279	, 6.058	, 0.011
3.5010	, 3.309	, 5.939	, 0.011
3.6010	, 3.336	, 5.821	, 0.010
3.7010	, 3.360	, 5.705	, 0.010
3.8010	, 3.381	, 5.590	, 0.009
3.9010	, 3.400	, 5.476	, 0.009
4.0010	, 3.416	, 5.364	, 0.009
4.1010	, 3.429	, 5.254	, 0.008
4.2010	, 3.441	, 5.146	, 0.008
4.3010	, 3.450	, 5.040	, 0.008
4.4010	, 3.458	, 4.937	, 0.007
4.5010	, 3.464	, 4.836	, 0.007
4.6010	, 3.469	, 4.737	, 0.007
4.7010	, 3.473	, 4.641	, 0.006
4.8010	, 3.475	, 4.548	, 0.006
4.9010	, 3.477	, 4.457	, 0.006
5.0010	, 3.478	, 4.369	, 0.006
5.1010	, 3.477	, 4.283	, 0.005
5.2010	, 3.476	, 4.200	, 0.005
5.3010	, 3.475	, 4.119	, 0.005
5.4010	, 3.667	, 4.266	, 0.005
5.5010	, 3.797	, 4.336	, 0.005
5.6010	, 3.865	, 4.336	, 0.005
5.7010	, 3.852	, 4.246	, 0.005
5.8010	, 3.765	, 4.078	, 0.005
5.9010	, 3.796	, 4.042	, 0.004
6.0010	, 3.847	, 4.028	, 0.004
6.1010	, 3.844	, 3.959	, 0.004
6.2010	, 3.792	, 3.842	, 0.004
6.3010	, 3.749	, 3.738	, 0.004
6.4010	, 3.690	, 3.622	, 0.004
6.5010	, 3.602	, 3.481	, 0.003
6.6010	, 3.487	, 3.319	, 0.003
6.7010	, 3.416	, 3.203	, 0.003
6.8010	, 3.410	, 3.151	, 0.003
6.9010	, 3.405	, 3.100	, 0.003
7.0010	, 3.400	, 3.051	, 0.003
7.1010	, 3.394	, 3.003	, 0.003
7.2010	, 3.389	, 2.957	, 0.003
7.3010	, 3.383	, 2.912	, 0.003
7.4010	, 3.378	, 2.868	, 0.002
7.5010	, 3.373	, 2.825	, 0.002
7.6010	, 3.367	, 2.783	, 0.002
7.7010	, 3.362	, 2.743	, 0.002
7.8010	, 3.357	, 2.704	, 0.002
7.9010	, 3.352	, 2.665	, 0.002
8.0010	, 3.346	, 2.628	, 0.002
8.1010	, 3.341	, 2.592	, 0.002
8.2010	, 3.336	, 2.556	, 0.002
8.3010	, 3.331	, 2.522	, 0.002
8.4010	, 3.326	, 2.488	, 0.002
8.5010	, 3.322	, 2.455	, 0.002
8.6010	, 3.317	, 2.423	, 0.002
8.7010	, 3.312	, 2.392	, 0.002
8.8010	, 3.308	, 2.361	, 0.002
8.9010	, 3.303	, 2.332	, 0.002
9.0010	, 3.299	, 2.303	, 0.002
9.1010	, 3.294	, 2.274	, 0.002
9.2010	, 3.290	, 2.247	, 0.002
9.3010	, 3.286	, 2.220	, 0.002
9.4010	, 3.281	, 2.193	, 0.001
