 
PGA:,  0.13 g
PGV:,  4.65 cm/s
PGD:,  0.37 cm
Arias Intensity:,  12.14 cm/s
Significant duration:,  10.96 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.020	, 0.128
0.1010	, 0.091	, 5.675	, 0.360
0.2010	, 0.389	, 12.171	, 0.388
0.3010	, 0.395	, 8.241	, 0.175
0.4010	, 0.327	, 5.129	, 0.082
0.5010	, 0.493	, 6.178	, 0.079
0.6010	, 0.893	, 9.341	, 0.100
0.7010	, 0.889	, 7.964	, 0.073
0.8010	, 0.941	, 7.379	, 0.059
0.9010	, 0.708	, 4.939	, 0.035
1.0010	, 0.491	, 3.079	, 0.020
1.1010	, 0.550	, 3.139	, 0.018
1.2010	, 0.670	, 3.505	, 0.019
1.3010	, 0.835	, 4.034	, 0.020
1.4010	, 1.084	, 4.859	, 0.022
1.5010	, 1.131	, 4.733	, 0.020
1.6010	, 1.115	, 4.376	, 0.018
1.7010	, 1.082	, 3.996	, 0.015
1.8010	, 0.910	, 3.175	, 0.011
1.9010	, 0.696	, 2.300	, 0.008
2.0010	, 0.694	, 2.178	, 0.007
2.1010	, 0.699	, 2.091	, 0.006
2.2010	, 0.698	, 1.992	, 0.006
2.3010	, 0.692	, 1.889	, 0.005
2.4010	, 0.683	, 1.788	, 0.005
2.5010	, 0.672	, 1.688	, 0.004
2.6010	, 0.658	, 1.589	, 0.004
2.7010	, 0.641	, 1.492	, 0.004
2.8010	, 0.622	, 1.395	, 0.003
2.9010	, 0.656	, 1.422	, 0.003
3.0010	, 0.698	, 1.462	, 0.003
3.1010	, 0.727	, 1.473	, 0.003
3.2010	, 0.743	, 1.458	, 0.003
3.3010	, 0.747	, 1.423	, 0.003
3.4010	, 0.743	, 1.372	, 0.003
3.5010	, 0.730	, 1.311	, 0.002
3.6010	, 0.713	, 1.245	, 0.002
3.7010	, 0.693	, 1.177	, 0.002
3.8010	, 0.671	, 1.110	, 0.002
3.9010	, 0.649	, 1.046	, 0.002
4.0010	, 0.628	, 0.986	, 0.002
4.1010	, 0.608	, 0.931	, 0.001
4.2010	, 0.589	, 0.882	, 0.001
4.3010	, 0.573	, 0.837	, 0.001
4.4010	, 0.559	, 0.798	, 0.001
4.5010	, 0.547	, 0.764	, 0.001
4.6010	, 0.537	, 0.734	, 0.001
4.7010	, 0.529	, 0.707	, 0.001
4.8010	, 0.523	, 0.684	, 0.001
4.9010	, 0.518	, 0.664	, 0.001
5.0010	, 0.514	, 0.646	, 0.001
5.1010	, 0.511	, 0.630	, 0.001
5.2010	, 0.509	, 0.615	, 0.001
5.3010	, 0.508	, 0.602	, 0.001
5.4010	, 0.507	, 0.590	, 0.001
5.5010	, 0.507	, 0.579	, 0.001
5.6010	, 0.507	, 0.569	, 0.001
5.7010	, 0.507	, 0.559	, 0.001
5.8010	, 0.507	, 0.550	, 0.001
5.9010	, 0.508	, 0.541	, 0.001
6.0010	, 0.508	, 0.532	, 0.001
6.1010	, 0.508	, 0.523	, 0.001
6.2010	, 0.508	, 0.515	, 0.001
6.3010	, 0.508	, 0.507	, 0.001
6.4010	, 0.508	, 0.498	, 0.000
6.5010	, 0.507	, 0.490	, 0.000
6.6010	, 0.507	, 0.482	, 0.000
6.7010	, 0.506	, 0.475	, 0.000
6.8010	, 0.505	, 0.467	, 0.000
6.9010	, 0.504	, 0.459	, 0.000
7.0010	, 0.503	, 0.452	, 0.000
7.1010	, 0.502	, 0.444	, 0.000
7.2010	, 0.500	, 0.437	, 0.000
7.3010	, 0.499	, 0.429	, 0.000
7.4010	, 0.497	, 0.422	, 0.000
7.5010	, 0.495	, 0.415	, 0.000
7.6010	, 0.494	, 0.408	, 0.000
7.7010	, 0.492	, 0.401	, 0.000
7.8010	, 0.490	, 0.394	, 0.000
7.9010	, 0.488	, 0.388	, 0.000
8.0010	, 0.485	, 0.381	, 0.000
8.1010	, 0.483	, 0.375	, 0.000
8.2010	, 0.481	, 0.369	, 0.000
8.3010	, 0.479	, 0.362	, 0.000
8.4010	, 0.477	, 0.357	, 0.000
8.5010	, 0.474	, 0.351	, 0.000
8.6010	, 0.472	, 0.345	, 0.000
8.7010	, 0.470	, 0.339	, 0.000
8.8010	, 0.468	, 0.334	, 0.000
8.9010	, 0.465	, 0.329	, 0.000
9.0010	, 0.463	, 0.323	, 0.000
9.1010	, 0.461	, 0.318	, 0.000
9.2010	, 0.459	, 0.313	, 0.000
9.3010	, 0.457	, 0.308	, 0.000
9.4010	, 0.454	, 0.304	, 0.000
9.5010	, 0.452	, 0.299	, 0.000
9.6010	, 0.450	, 0.295	, 0.000
9.7010	, 0.448	, 0.290	, 0.000
9.8010	, 0.446	, 0.286	, 0.000
9.9010	, 0.444	, 0.282	, 0.000
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	0.0000928	0.0000000	0.0000000	0.0000000
0.005	0.0001053	0.0004858	0.0000012	0.0000000
0.010	0.0000997	0.0009887	0.0000049	0.0000000
0.015	0.0000784	0.0014256	0.0000109	0.0000000
0.020	0.0000589	0.0017625	0.0000189	0.0000000
0.025	0.0000547	0.0020412	0.0000284	0.0000000
0.030	0.0000611	0.0023250	0.0000393	0.0000000
0.035	0.0000681	0.0026419	0.0000517	0.0000000
0.040	0.0000693	0.0029789	0.0000658	0.0000000
0.045	0.0000506	0.0032730	0.0000814	0.0000000
0.050	-0.0000097	0.0033734	0.0000980	0.0000000
0.055	-0.0001198	0.0030557	0.0001141	0.0000000
0.060	-0.0002581	0.0021289	0.0001271	0.0000001
0.065	-0.0003937	0.0005304	0.0001337	0.0000001
0.070	-0.0004960	-0.0016515	0.0001309	0.0000003
0.075	-0.0005200	-0.0041432	0.0001164	0.0000004
0.080	-0.0004280	-0.0064681	0.0000899	0.0000006
0.085	-0.0002209	-0.0080593	0.0000536	0.0000006
0.090	0.0000604	-0.0084528	0.0000123	0.0000007
0.095	0.0003545	-0.0074353	-0.0000274	0.0000007
0.100	0.0005939	-0.0051092	-0.0000588	0.0000009
0.105	0.0007035	-0.0019274	-0.0000764	0.0000011
0.110	0.0006514	0.0013955	-0.0000777	0.0000014
0.115	0.0004872	0.0041879	-0.0000637	0.0000016
0.120	0.0002962	0.0061092	-0.0000380	0.0000017
0.125	0.0001423	0.0071847	-0.0000048	0.0000018
0.130	0.0000603	0.0076817	0.0000324	0.0000018
0.135	0.0000658	0.0079910	0.0000716	0.0000018
0.140	0.0001178	0.0084413	0.0001127	0.0000018
0.145	0.0001454	0.0090868	0.0001565	0.0000018
0.150	0.0000996	0.0096877	0.0002034	0.0000018
0.155	0.0000041	0.0099421	0.0002525	0.0000018
0.160	-0.0000569	0.0098124	0.0003019	0.0000018
0.165	-0.0000454	0.0095614	0.0003503	0.0000018
0.170	0.0000428	0.0095549	0.0003981	0.0000018
0.175	0.0002264	0.0102151	0.0004475	0.0000018
0.180	0.0004843	0.0119581	0.0005030	0.0000019
0.185	0.0007101	0.0148874	0.0005701	0.0000021
0.190	0.0007723	0.0185231	0.0006536	0.0000025
0.195	0.0006061	0.0219036	0.0007547	0.0000028
0.200	0.0002643	0.0240381	0.0008695	0.0000029
0.205	-0.0000927	0.0244590	0.0009908	0.0000030
0.210	-0.0003123	0.0234657	0.0011106	0.0000030
0.215	-0.0002999	0.0219642	0.0012242	0.0000031
0.220	-0.0000401	0.0211303	0.0013319	0.0000031
0.225	0.0003094	0.0217908	0.0014392	0.0000031
0.230	0.0005286	0.0238462	0.0015533	0.0000032
0.235	0.0005051	0.0263813	0.0016789	0.0000034
0.240	0.0002740	0.0282920	0.0018155	0.0000035
0.245	-0.0000066	0.0289476	0.0019586	0.0000035
0.250	-0.0001600	0.0285389	0.0021024	0.0000035
0.255	-0.0001065	0.0278853	0.0022434	0.0000036
0.260	0.0001662	0.0280318	0.0023832	0.0000036
0.265	0.0006537	0.0300426	0.0025284	0.0000037
0.270	0.0012689	0.0347579	0.0026904	0.0000044
0.275	0.0018684	0.0424520	0.0028834	0.0000060
0.280	0.0022495	0.0525510	0.0031209	0.0000087
0.285	0.0022731	0.0636428	0.0034114	0.0000119
0.290	0.0020332	0.0742039	0.0037560	0.0000149
0.295	0.0017463	0.0834731	0.0041502	0.0000172
0.300	0.0015716	0.0916103	0.0045879	0.0000189
0.305	0.0015169	0.0991847	0.0050649	0.0000204
0.310	0.0014605	0.1064868	0.0055791	0.0000218
0.315	0.0012192	0.1130587	0.0061280	0.0000230
0.320	0.0006364	0.1176095	0.0067046	0.0000236
0.325	-0.0003626	0.1182810	0.0072944	0.0000238
0.330	-0.0017634	0.1130668	0.0078727	0.0000248
0.335	-0.0034108	0.1003770	0.0084063	0.0000295
0.340	-0.0050105	0.0797238	0.0088566	0.0000411
0.345	-0.0061712	0.0523008	0.0091867	0.0000612
0.350	-0.0065512	0.0210991	0.0093702	0.0000869
0.355	-0.0060473	-0.0097987	0.0093984	0.0001121
0.360	-0.0048239	-0.0364602	0.0092828	0.0001311
0.365	-0.0030871	-0.0558618	0.0090520	0.0001415
0.370	-0.0010461	-0.0659985	0.0087473	0.0001448
0.375	0.0010292	-0.0660399	0.0084172	0.0001455
0.380	0.0027988	-0.0566517	0.0081105	0.0001483
0.385	0.0038258	-0.0404048	0.0078678	0.0001555
0.390	0.0036633	-0.0220378	0.0077117	0.0001644
0.395	0.0022892	-0.0074395	0.0076380	0.0001703
0.400	0.0003366	-0.0009999	0.0076169	0.0001720
0.405	-0.0013980	-0.0036032	0.0076054	0.0001726
0.410	-0.0023552	-0.0128079	0.0075644	0.0001750
0.415	-0.0023934	-0.0244538	0.0074712	0.0001786
0.420	-0.0016414	-0.0343492	0.0073242	0.0001813
0.425	-0.0001695	-0.0387905	0.0071414	0.0001821
0.430	0.0019421	-0.0344433	0.0069583	0.0001833
0.435	0.0043555	-0.0189985	0.0068247	0.0001906
0.440	0.0064974	0.0076181	0.0067963	0.0002100
0.445	0.0076503	0.0423153	0.0069211	0.0002419
0.450	0.0072130	0.0787676	0.0072238	0.0002770
0.455	0.0052161	0.1092501	0.0076938	0.0003021
0.460	0.0022271	0.1275047	0.0082857	0.0003123
0.465	-0.0012122	0.1299939	0.0089295	0.0003144
0.470	-0.0044218	0.1161766	0.0095449	0.0003211
0.475	-0.0064697	0.0894652	0.0100590	0.0003405
0.480	-0.0067217	0.0571134	0.0104254	0.0003681
0.485	-0.0052146	0.0278397	0.0106378	0.0003911
0.490	-0.0025833	0.0087152	0.0107292	0.0004019
0.495	0.0002939	0.0031004	0.0107588	0.0004040
0.500	0.0025407	0.0100523	0.0107916	0.0004061
0.505	0.0038967	0.0258402	0.0108814	0.0004129
0.510	0.0045525	0.0465617	0.0110624	0.0004243
0.515	0.0043869	0.0684854	0.0113500	0.0004370
0.520	0.0031160	0.0868862	0.0117384	0.0004462
0.525	0.0006553	0.0961354	0.0121960	0.0004494
0.530	-0.0028339	0.0907925	0.0126633	0.0004521
0.535	-0.0067379	0.0673178	0.0130586	0.0004690
0.540	-0.0099597	0.0263670	0.0132928	0.0005149
