 
PGA:,  0.12 g
PGV:,  7.13 cm/s
PGD:,  1.35 cm
Arias Intensity:,  12.90 cm/s
Significant duration:,   9.25 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.018	, 0.115
0.1010	, 0.075	, 4.691	, 0.297
0.2010	, 0.217	, 6.786	, 0.216
0.3010	, 0.776	, 16.195	, 0.345
0.4010	, 1.295	, 20.297	, 0.324
0.5010	, 2.285	, 28.651	, 0.366
0.6010	, 1.959	, 20.481	, 0.218
0.7010	, 1.745	, 15.643	, 0.143
0.8010	, 1.440	, 11.295	, 0.090
0.9010	, 1.630	, 11.368	, 0.081
1.0010	, 1.465	, 9.197	, 0.059
1.1010	, 1.168	, 6.666	, 0.039
1.2010	, 1.073	, 5.611	, 0.030
1.3010	, 0.966	, 4.667	, 0.023
1.4010	, 0.964	, 4.324	, 0.020
1.5010	, 1.051	, 4.398	, 0.019
1.6010	, 1.218	, 4.779	, 0.019
1.7010	, 1.429	, 5.279	, 0.020
1.8010	, 1.660	, 5.791	, 0.021
1.9010	, 1.887	, 6.238	, 0.021
2.0010	, 2.094	, 6.574	, 0.021
2.1010	, 2.268	, 6.782	, 0.021
2.2010	, 2.403	, 6.859	, 0.020
2.3010	, 2.497	, 6.818	, 0.019
2.4010	, 2.551	, 6.677	, 0.018
2.5010	, 2.570	, 6.457	, 0.017
2.6010	, 2.558	, 6.179	, 0.015
2.7010	, 2.547	, 5.925	, 0.014
2.8010	, 2.497	, 5.601	, 0.013
2.9010	, 2.447	, 5.300	, 0.012
3.0010	, 2.507	, 5.248	, 0.011
3.1010	, 2.494	, 5.053	, 0.010
3.2010	, 2.508	, 4.923	, 0.010
3.3010	, 2.504	, 4.766	, 0.009
3.4010	, 2.485	, 4.590	, 0.009
3.5010	, 2.453	, 4.403	, 0.008
3.6010	, 2.412	, 4.209	, 0.007
3.7010	, 2.364	, 4.013	, 0.007
3.8010	, 2.412	, 3.987	, 0.007
3.9010	, 2.443	, 3.934	, 0.006
4.0010	, 2.438	, 3.828	, 0.006
4.1010	, 2.402	, 3.681	, 0.006
4.2010	, 2.343	, 3.504	, 0.005
4.3010	, 2.264	, 3.308	, 0.005
4.4010	, 2.172	, 3.101	, 0.005
4.5010	, 2.131	, 2.974	, 0.004
4.6010	, 2.064	, 2.819	, 0.004
4.7010	, 1.933	, 2.583	, 0.004
4.8010	, 1.823	, 2.386	, 0.003
4.9010	, 1.766	, 2.264	, 0.003
5.0010	, 1.752	, 2.201	, 0.003
5.1010	, 1.755	, 2.161	, 0.003
5.2010	, 1.757	, 2.123	, 0.003
5.3010	, 1.758	, 2.084	, 0.003
5.4010	, 1.759	, 2.046	, 0.002
5.5010	, 1.758	, 2.008	, 0.002
5.6010	, 1.757	, 1.972	, 0.002
5.7010	, 1.756	, 1.935	, 0.002
5.8010	, 1.754	, 1.900	, 0.002
5.9010	, 1.751	, 1.865	, 0.002
6.0010	, 1.749	, 1.831	, 0.002
6.1010	, 1.745	, 1.797	, 0.002
6.2010	, 1.742	, 1.765	, 0.002
6.3010	, 1.738	, 1.733	, 0.002
6.4010	, 1.734	, 1.702	, 0.002
6.5010	, 1.729	, 1.671	, 0.002
6.6010	, 1.725	, 1.642	, 0.002
6.7010	, 1.720	, 1.613	, 0.002
6.8010	, 1.715	, 1.585	, 0.001
6.9010	, 1.710	, 1.557	, 0.001
7.0010	, 1.705	, 1.530	, 0.001
7.1010	, 1.700	, 1.504	, 0.001
7.2010	, 1.695	, 1.479	, 0.001
7.3010	, 1.690	, 1.454	, 0.001
7.4010	, 1.684	, 1.430	, 0.001
7.5010	, 1.679	, 1.406	, 0.001
7.6010	, 1.675	, 1.384	, 0.001
7.7010	, 1.674	, 1.366	, 0.001
7.8010	, 1.673	, 1.347	, 0.001
7.9010	, 1.671	, 1.329	, 0.001
8.0010	, 1.670	, 1.311	, 0.001
8.1010	, 1.668	, 1.294	, 0.001
8.2010	, 1.667	, 1.277	, 0.001
8.3010	, 1.665	, 1.260	, 0.001
8.4010	, 1.663	, 1.244	, 0.001
8.5010	, 1.661	, 1.227	, 0.001
8.6010	, 1.658	, 1.211	, 0.001
8.7010	, 1.656	, 1.196	, 0.001
8.8010	, 1.654	, 1.181	, 0.001
8.9010	, 1.651	, 1.166	, 0.001
9.0010	, 1.649	, 1.151	, 0.001
9.1010	, 1.647	, 1.137	, 0.001
9.2010	, 1.644	, 1.123	, 0.001
9.3010	, 1.641	, 1.109	, 0.001
9.4010	, 1.639	, 1.095	, 0.001
9.5010	, 1.636	, 1.082	, 0.001
9.6010	, 1.634	, 1.069	, 0.001
9.7010	, 1.631	, 1.056	, 0.001
9.8010	, 1.628	, 1.044	, 0.001
9.9010	, 1.625	, 1.032	, 0.001
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	-0.0000397	0.0000000	0.0000000	0.0000000
0.005	-0.0000458	-0.0002096	-0.0000005	0.0000000
0.010	-0.0000496	-0.0004435	-0.0000022	0.0000000
0.015	-0.0000480	-0.0006827	-0.0000050	0.0000000
0.020	-0.0000415	-0.0009022	-0.0000089	0.0000000
0.025	-0.0000312	-0.0010805	-0.0000139	0.0000000
0.030	-0.0000191	-0.0012040	-0.0000196	0.0000000
0.035	-0.0000096	-0.0012744	-0.0000258	0.0000000
0.040	-0.0000052	-0.0013107	-0.0000323	0.0000000
0.045	-0.0000049	-0.0013355	-0.0000389	0.0000000
0.050	-0.0000076	-0.0013663	-0.0000456	0.0000000
0.055	-0.0000134	-0.0014178	-0.0000526	0.0000000
0.060	-0.0000201	-0.0015000	-0.0000599	0.0000000
0.065	-0.0000218	-0.0016030	-0.0000676	0.0000000
0.070	-0.0000123	-0.0016867	-0.0000759	0.0000000
0.075	0.0000037	-0.0017078	-0.0000844	0.0000000
0.080	0.0000126	-0.0016677	-0.0000928	0.0000000
0.085	0.0000062	-0.0016217	-0.0001010	0.0000000
0.090	-0.0000228	-0.0016623	-0.0001092	0.0000000
0.095	-0.0000745	-0.0019008	-0.0001181	0.0000000
0.100	-0.0001317	-0.0024064	-0.0001289	0.0000000
0.105	-0.0001735	-0.0031547	-0.0001428	0.0000000
0.110	-0.0001928	-0.0040530	-0.0001608	0.0000001
0.115	-0.0001968	-0.0050085	-0.0001835	0.0000001
0.120	-0.0001920	-0.0059621	-0.0002109	0.0000001
0.125	-0.0001776	-0.0068686	-0.0002430	0.0000001
0.130	-0.0001539	-0.0076816	-0.0002794	0.0000001
0.135	-0.0001309	-0.0083800	-0.0003195	0.0000001
0.140	-0.0001215	-0.0089988	-0.0003630	0.0000002
0.145	-0.0001235	-0.0095995	-0.0004095	0.0000002
0.150	-0.0001270	-0.0102138	-0.0004590	0.0000002
0.155	-0.0001292	-0.0108423	-0.0005116	0.0000002
