 
PGA:,  0.21 g
PGV:,  14.13 cm/s
PGD:,  1.56 cm
Arias Intensity:,  34.74 cm/s
Significant duration:,   9.70 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.033	, 0.211
0.1010	, 0.093	, 5.787	, 0.367
0.2010	, 0.574	, 17.936	, 0.572
0.3010	, 1.548	, 32.320	, 0.688
0.4010	, 2.022	, 31.689	, 0.506
0.5010	, 2.291	, 28.729	, 0.367
0.6010	, 2.754	, 28.790	, 0.307
0.7010	, 3.282	, 29.413	, 0.269
0.8010	, 2.736	, 21.463	, 0.172
0.9010	, 3.682	, 25.677	, 0.183
1.0010	, 3.305	, 20.747	, 0.133
1.1010	, 3.045	, 17.374	, 0.101
1.2010	, 2.770	, 14.489	, 0.077
1.3010	, 2.807	, 13.558	, 0.067
1.4010	, 2.962	, 13.283	, 0.061
1.5010	, 2.997	, 12.547	, 0.054
1.6010	, 2.768	, 10.862	, 0.043
1.7010	, 2.667	, 9.852	, 0.037
1.8010	, 2.692	, 9.392	, 0.033
1.9010	, 2.737	, 9.046	, 0.030
2.0010	, 3.393	, 10.655	, 0.034
2.1010	, 3.483	, 10.415	, 0.032
2.2010	, 3.539	, 10.103	, 0.029
2.3010	, 3.368	, 9.196	, 0.026
2.4010	, 3.299	, 8.632	, 0.023
2.5010	, 3.188	, 8.009	, 0.021
2.6010	, 2.949	, 7.123	, 0.018
2.7010	, 2.969	, 6.907	, 0.016
2.8010	, 2.877	, 6.454	, 0.015
2.9010	, 2.690	, 5.827	, 0.013
3.0010	, 2.483	, 5.198	, 0.011
3.1010	, 2.551	, 5.169	, 0.011
3.2010	, 2.563	, 5.031	, 0.010
3.3010	, 2.528	, 4.812	, 0.009
3.4010	, 2.456	, 4.536	, 0.009
3.5010	, 2.357	, 4.229	, 0.008
3.6010	, 2.242	, 3.911	, 0.007
3.7010	, 2.190	, 3.717	, 0.006
3.8010	, 2.185	, 3.612	, 0.006
3.9010	, 2.175	, 3.503	, 0.006
4.0010	, 2.161	, 3.393	, 0.005
4.1010	, 2.143	, 3.283	, 0.005
4.2010	, 2.122	, 3.174	, 0.005
4.3010	, 2.099	, 3.066	, 0.005
4.4010	, 2.075	, 2.962	, 0.004
4.5010	, 2.049	, 2.860	, 0.004
4.6010	, 2.023	, 2.763	, 0.004
4.7010	, 1.997	, 2.668	, 0.004
4.8010	, 1.970	, 2.578	, 0.003
4.9010	, 1.944	, 2.492	, 0.003
5.0010	, 1.918	, 2.410	, 0.003
5.1010	, 1.893	, 2.332	, 0.003
5.2010	, 1.869	, 2.258	, 0.003
5.3010	, 1.845	, 2.187	, 0.003
5.4010	, 1.822	, 2.120	, 0.003
5.5010	, 1.801	, 2.057	, 0.002
5.6010	, 1.780	, 1.996	, 0.002
5.7010	, 1.760	, 1.939	, 0.002
5.8010	, 1.741	, 1.885	, 0.002
5.9010	, 1.723	, 1.834	, 0.002
6.0010	, 1.705	, 1.786	, 0.002
6.1010	, 1.689	, 1.740	, 0.002
