 
PGA:,  0.11 g
PGV:,  8.90 cm/s
PGD:,  1.66 cm
Arias Intensity:,  19.07 cm/s
Significant duration:,  15.13 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.017	, 0.110
0.1010	, 0.062	, 3.886	, 0.246
0.2010	, 0.257	, 8.046	, 0.256
0.3010	, 0.909	, 18.977	, 0.404
0.4010	, 1.100	, 17.238	, 0.275
0.5010	, 1.512	, 18.966	, 0.242
0.6010	, 2.302	, 24.070	, 0.257
0.7010	, 2.497	, 22.383	, 0.205
0.8010	, 2.622	, 20.568	, 0.164
0.9010	, 3.414	, 23.809	, 0.169
1.0010	, 3.542	, 22.235	, 0.142
1.1010	, 3.049	, 17.398	, 0.101
1.2010	, 3.815	, 19.960	, 0.106
1.3010	, 3.112	, 15.027	, 0.074
1.4010	, 3.136	, 14.062	, 0.064
1.5010	, 2.966	, 12.414	, 0.053
1.6010	, 3.282	, 12.878	, 0.052
1.7010	, 3.295	, 12.170	, 0.046
1.8010	, 2.783	, 9.709	, 0.035
1.9010	, 2.556	, 8.447	, 0.028
2.0010	, 2.650	, 8.321	, 0.027
2.1010	, 2.846	, 8.513	, 0.026
2.2010	, 3.248	, 9.273	, 0.027
2.3010	, 3.313	, 9.047	, 0.025
2.4010	, 3.511	, 9.189	, 0.025
2.5010	, 3.815	, 9.583	, 0.025
2.6010	, 3.870	, 9.349	, 0.023
2.7010	, 3.600	, 8.375	, 0.020
2.8010	, 3.168	, 7.106	, 0.016
2.9010	, 2.697	, 5.841	, 0.013
3.0010	, 2.333	, 4.884	, 0.010
3.1010	, 2.328	, 4.717	, 0.010
3.2010	, 2.336	, 4.586	, 0.009
3.3010	, 2.410	, 4.588	, 0.009
3.4010	, 2.645	, 4.886	, 0.009
3.5010	, 2.843	, 5.103	, 0.009
3.6010	, 2.950	, 5.147	, 0.009
3.7010	, 2.936	, 4.984	, 0.009
3.8010	, 2.850	, 4.711	, 0.008
3.9010	, 2.979	, 4.798	, 0.008
4.0010	, 3.021	, 4.745	, 0.008
4.1010	, 2.984	, 4.571	, 0.007
4.2010	, 3.039	, 4.545	, 0.007
4.3010	, 3.080	, 4.500	, 0.007
4.4010	, 3.059	, 4.367	, 0.006
4.5010	, 3.067	, 4.281	, 0.006
4.6010	, 3.083	, 4.211	, 0.006
4.7010	, 3.072	, 4.106	, 0.006
4.8010	, 3.038	, 3.975	, 0.005
4.9010	, 2.986	, 3.828	, 0.005
5.0010	, 2.923	, 3.672	, 0.005
