 
PGA:,  0.32 g
PGV:,  29.44 cm/s
PGD:,  4.99 cm
Arias Intensity:,  69.06 cm/s
Significant duration:,   7.98 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.050	, 0.322
0.1010	, 0.153	, 9.509	, 0.603
0.2010	, 0.533	, 16.674	, 0.531
0.3010	, 1.616	, 33.729	, 0.718
0.4010	, 2.232	, 34.966	, 0.558
0.5010	, 3.774	, 47.335	, 0.605
0.6010	, 5.839	, 61.049	, 0.651
0.7010	, 8.680	, 77.797	, 0.711
0.8010	, 9.608	, 75.366	, 0.603
0.9010	, 10.097	, 70.409	, 0.501
1.0010	, 10.262	, 64.412	, 0.412
1.1010	, 9.752	, 55.651	, 0.324
1.2010	, 9.018	, 47.177	, 0.252
1.3010	, 8.055	, 38.900	, 0.192
1.4010	, 6.930	, 31.079	, 0.142
1.5010	, 6.293	, 26.344	, 0.112
1.6010	, 5.812	, 22.811	, 0.091
1.7010	, 5.273	, 19.479	, 0.073
1.8010	, 4.747	, 16.562	, 0.059
1.9010	, 4.288	, 14.173	, 0.048
2.0010	, 4.042	, 12.692	, 0.041
2.1010	, 4.205	, 12.574	, 0.038
2.2010	, 4.386	, 12.521	, 0.036
2.3010	, 4.557	, 12.444	, 0.035
2.4010	, 4.706	, 12.315	, 0.033
2.5010	, 4.824	, 12.119	, 0.031
2.6010	, 4.908	, 11.857	, 0.029
2.7010	, 4.976	, 11.576	, 0.027
2.8010	, 5.149	, 11.550	, 0.026
2.9010	, 5.289	, 11.454	, 0.025
3.0010	, 5.390	, 11.286	, 0.024
3.1010	, 5.452	, 11.046	, 0.023
3.2010	, 5.472	, 10.740	, 0.021
3.3010	, 5.449	, 10.373	, 0.020
3.4010	, 5.643	, 10.425	, 0.020
3.5010	, 5.978	, 10.729	, 0.020
3.6010	, 6.274	, 10.948	, 0.019
3.7010	, 6.786	, 11.521	, 0.020
3.8010	, 7.005	, 11.579	, 0.020
3.9010	, 6.997	, 11.269	, 0.019
4.0010	, 6.895	, 10.828	, 0.017
4.1010	, 6.660	, 10.204	, 0.016
4.2010	, 6.626	, 9.910	, 0.015
4.3010	, 6.433	, 9.398	, 0.014
4.4010	, 6.551	, 9.353	, 0.014
4.5010	, 6.656	, 9.292	, 0.013
4.6010	, 6.749	, 9.216	, 0.013
4.7010	, 6.829	, 9.127	, 0.012
4.8010	, 6.897	, 9.027	, 0.012
4.9010	, 6.955	, 8.917	, 0.012
5.0010	, 7.004	, 8.800	, 0.011
5.1010	, 7.044	, 8.677	, 0.011
5.2010	, 7.076	, 8.549	, 0.011
5.3010	, 7.101	, 8.416	, 0.010
5.4010	, 7.118	, 8.281	, 0.010
5.5010	, 7.130	, 8.143	, 0.009
5.6010	, 7.136	, 8.005	, 0.009
5.7010	, 7.137	, 7.866	, 0.009
5.8010	, 7.134	, 7.727	, 0.009
5.9010	, 7.127	, 7.589	, 0.008
6.0010	, 7.117	, 7.452	, 0.008
6.1010	, 7.104	, 7.316	, 0.008
6.2010	, 7.089	, 7.183	, 0.007
6.3010	, 7.071	, 7.051	, 0.007
6.4010	, 7.051	, 6.921	, 0.007
6.5010	, 7.029	, 6.794	, 0.007
6.6010	, 7.006	, 6.669	, 0.006
6.7010	, 6.982	, 6.546	, 0.006
6.8010	, 6.957	, 6.427	, 0.006
6.9010	, 6.930	, 6.310	, 0.006
7.0010	, 6.904	, 6.196	, 0.006
7.1010	, 6.876	, 6.084	, 0.005
7.2010	, 6.849	, 5.976	, 0.005
7.3010	, 6.821	, 5.870	, 0.005
7.4010	, 6.793	, 5.767	, 0.005
7.5010	, 6.765	, 5.667	, 0.005
7.6010	, 6.737	, 5.569	, 0.005
7.7010	, 6.709	, 5.474	, 0.005
