 
PGA:,  0.14 g
PGV:,  10.86 cm/s
PGD:,  1.88 cm
Arias Intensity:,  15.60 cm/s
Significant duration:,  12.10 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.021	, 0.136
0.1010	, 0.046	, 2.889	, 0.183
0.2010	, 0.317	, 9.902	, 0.316
0.3010	, 0.763	, 15.927	, 0.339
0.4010	, 1.951	, 30.567	, 0.488
0.5010	, 1.368	, 17.162	, 0.219
0.6010	, 1.302	, 13.608	, 0.145
0.7010	, 1.084	, 9.720	, 0.089
0.8010	, 1.373	, 10.767	, 0.086
0.9010	, 1.977	, 13.790	, 0.098
1.0010	, 2.124	, 13.332	, 0.085
1.1010	, 2.627	, 14.992	, 0.087
1.2010	, 2.584	, 13.517	, 0.072
1.3010	, 2.555	, 12.340	, 0.061
1.4010	, 2.298	, 10.306	, 0.047
1.5010	, 2.037	, 8.529	, 0.036
1.6010	, 1.814	, 7.118	, 0.028
1.7010	, 1.603	, 5.921	, 0.022
1.8010	, 1.504	, 5.248	, 0.019
1.9010	, 1.494	, 4.937	, 0.017
2.0010	, 1.632	, 5.123	, 0.016
2.1010	, 1.738	, 5.198	, 0.016
2.2010	, 1.843	, 5.262	, 0.015
2.3010	, 1.867	, 5.099	, 0.014
2.4010	, 1.907	, 4.989	, 0.013
2.5010	, 2.021	, 5.077	, 0.013
2.6010	, 2.189	, 5.289	, 0.013
2.7010	, 2.339	, 5.442	, 0.013
2.8010	, 2.467	, 5.534	, 0.013
2.9010	, 2.571	, 5.569	, 0.012
3.0010	, 2.649	, 5.547	, 0.012
3.1010	, 2.701	, 5.473	, 0.011
3.2010	, 2.734	, 5.366	, 0.011
3.3010	, 2.781	, 5.294	, 0.010
3.4010	, 2.864	, 5.292	, 0.010
3.5010	, 2.941	, 5.278	, 0.010
3.6010	, 2.991	, 5.219	, 0.009
3.7010	, 3.017	, 5.123	, 0.009
3.8010	, 3.021	, 4.994	, 0.008
3.9010	, 3.003	, 4.837	, 0.008
4.0010	, 2.967	, 4.659	, 0.007
4.1010	, 2.945	, 4.512	, 0.007
4.2010	, 2.925	, 4.375	, 0.007
4.3010	, 2.888	, 4.220	, 0.006
4.4010	, 2.836	, 4.049	, 0.006
4.5010	, 2.771	, 3.868	, 0.006
4.6010	, 2.694	, 3.680	, 0.005
4.7010	, 2.745	, 3.669	, 0.005
4.8010	, 2.857	, 3.739	, 0.005
4.9010	, 2.923	, 3.748	, 0.005
5.0010	, 2.948	, 3.704	, 0.005
5.1010	, 2.935	, 3.616	, 0.005
5.2010	, 2.890	, 3.491	, 0.004
5.3010	, 2.846	, 3.373	, 0.004
5.4010	, 2.875	, 3.344	, 0.004
5.5010	, 2.900	, 3.313	, 0.004
5.6010	, 2.922	, 3.278	, 0.004
5.7010	, 2.941	, 3.241	, 0.004
5.8010	, 2.957	, 3.203	, 0.004
5.9010	, 2.970	, 3.163	, 0.003
6.0010	, 2.981	, 3.121	, 0.003
6.1010	, 2.990	, 3.079	, 0.003
6.2010	, 2.996	, 3.036	, 0.003
6.3010	, 3.001	, 2.993	, 0.003
6.4010	, 3.004	, 2.949	, 0.003
6.5010	, 3.005	, 2.905	, 0.003
6.6010	, 3.005	, 2.861	, 0.003
6.7010	, 3.004	, 2.817	, 0.003
6.8010	, 3.001	, 2.773	, 0.003
6.9010	, 2.997	, 2.729	, 0.003
7.0010	, 2.992	, 2.686	, 0.002
7.1010	, 2.987	, 2.643	, 0.002
7.2010	, 2.980	, 2.600	, 0.002
7.3010	, 2.973	, 2.558	, 0.002
7.4010	, 2.965	, 2.517	, 0.002
7.5010	, 2.957	, 2.477	, 0.002
7.6010	, 2.948	, 2.437	, 0.002
7.7010	, 2.944	, 2.402	, 0.002
7.8010	, 2.945	, 2.372	, 0.002
7.9010	, 2.946	, 2.343	, 0.002
8.0010	, 2.945	, 2.313	, 0.002
8.1010	, 2.944	, 2.283	, 0.002
8.2010	, 2.941	, 2.254	, 0.002
8.3010	, 2.939	, 2.224	, 0.002
8.4010	, 2.935	, 2.195	, 0.002
8.5010	, 2.931	, 2.167	, 0.002
8.6010	, 2.927	, 2.138	, 0.002
8.7010	, 2.922	, 2.110	, 0.002
8.8010	, 2.917	, 2.083	, 0.002
8.9010	, 2.912	, 2.055	, 0.001
9.0010	, 2.906	, 2.028	, 0.001
9.1010	, 2.899	, 2.002	, 0.001
9.2010	, 2.893	, 1.975	, 0.001
9.3010	, 2.886	, 1.950	, 0.001
9.4010	, 2.879	, 1.924	, 0.001
9.5010	, 2.872	, 1.899	, 0.001
9.6010	, 2.864	, 1.875	, 0.001
9.7010	, 2.857	, 1.850	, 0.001
9.8010	, 2.849	, 1.827	, 0.001
9.9010	, 2.841	, 1.803	, 0.001
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	0.0003765	0.0000000	0.0000000	0.0000000
0.005	0.0003756	0.0018447	0.0000046	0.0000001
0.010	0.0003731	0.0036810	0.0000184	0.0000001
0.015	0.0003707	0.0055052	0.0000414	0.0000002
0.020	0.0003667	0.0073135	0.0000734	0.0000003
0.025	0.0003598	0.0090951	0.0001145	0.0000003
0.030	0.0003525	0.0108420	0.0001643	0.0000004
0.035	0.0003469	0.0125573	0.0002228	0.0000005
0.040	0.0003421	0.0142471	0.0002898	0.0000005
0.045	0.0003380	0.0159149	0.0003652	0.0000006
0.050	0.0003382	0.0175731	0.0004489	0.0000006
0.055	0.0003437	0.0192455	0.0005410	0.0000007
0.060	0.0003528	0.0209537	0.0006415	0.0000008
0.065	0.0003674	0.0227199	0.0007507	0.0000008
0.070	0.0003902	0.0245780	0.0008689	0.0000009
0.075	0.0004167	0.0265569	0.0009967	0.0000010
0.080	0.0004389	0.0286553	0.0011348	0.0000011
0.085	0.0004509	0.0308376	0.0012835	0.0000012
0.090	0.0004495	0.0330459	0.0014432	0.0000013
0.095	0.0004369	0.0352199	0.0016139	0.0000014
0.100	0.0004180	0.0373167	0.0017952	0.0000014
0.105	0.0003933	0.0393065	0.0019868	0.0000015
0.110	0.0003584	0.0411499	0.0021879	0.0000016
0.115	0.0003167	0.0428056	0.0023978	0.0000017
0.120	0.0002788	0.0442661	0.0026155	0.0000017
0.125	0.0002554	0.0455764	0.0028401	0.0000017
0.130	0.0002529	0.0468232	0.0030711	0.0000018
0.135	0.0002599	0.0480807	0.0033084	0.0000018
0.140	0.0002571	0.0493486	0.0035519	0.0000018
0.145	0.0002406	0.0505693	0.0038017	0.0000019
0.150	0.0002172	0.0516920	0.0040574	0.0000019
0.155	0.0001955	0.0527042	0.0043184	0.0000019
0.160	0.0001873	0.0536431	0.0045842	0.0000019
0.165	0.0001970	0.0545854	0.0048548	0.0000019
0.170	0.0002224	0.0556141	0.0051303	0.0000020
0.175	0.0002589	0.0567946	0.0054113	0.0000020
0.180	0.0002938	0.0581502	0.0056987	0.0000020
0.185	0.0003160	0.0596457	0.0059932	0.0000021
0.190	0.0003274	0.0612236	0.0062954	0.0000021
0.195	0.0003455	0.0628740	0.0066056	0.0000022
0.200	0.0003852	0.0646661	0.0069244	0.0000022
0.205	0.0004445	0.0667010	0.0072529	0.0000023
0.210	0.0005033	0.0690255	0.0075922	0.0000024
0.215	0.0005406	0.0715858	0.0079437	0.0000026
0.220	0.0005450	0.0742482	0.0083083	0.0000027
0.225	0.0005022	0.0768166	0.0086860	0.0000029
0.230	0.0004130	0.0790613	0.0090757	0.0000030
0.235	0.0003062	0.0808252	0.0094754	0.0000030
0.240	0.0002214	0.0821191	0.0098827	0.0000031
0.245	0.0001942	0.0831382	0.0102959	0.0000031
0.250	0.0002285	0.0841748	0.0107142	0.0000031
0.255	0.0002900	0.0854463	0.0111382	0.0000031
0.260	0.0003303	0.0869676	0.0115692	0.0000032
0.265	0.0003187	0.0885593	0.0120081	0.0000032
0.270	0.0002543	0.0899645	0.0124544	0.0000033
0.275	0.0001515	0.0909597	0.0129067	0.0000033
0.280	0.0000381	0.0914247	0.0133626	0.0000033
0.285	-0.0000518	0.0913912	0.0138197	0.0000033
0.290	-0.0000893	0.0910453	0.0142758	0.0000033
0.295	-0.0000564	0.0906880	0.0147301	0.0000033
0.300	0.0000389	0.0906451	0.0151834	0.0000033
0.305	0.0001683	0.0911532	0.0156379	0.0000033
