 
PGA:,  0.23 g
PGV:,  15.59 cm/s
PGD:,  2.16 cm
Arias Intensity:,  45.43 cm/s
Significant duration:,   9.57 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.036	, 0.232
0.1010	, 0.151	, 9.376	, 0.595
0.2010	, 0.589	, 18.406	, 0.587
0.3010	, 1.079	, 22.526	, 0.479
0.4010	, 1.430	, 22.399	, 0.358
0.5010	, 2.513	, 31.519	, 0.403
0.6010	, 2.862	, 29.921	, 0.319
0.7010	, 2.932	, 26.282	, 0.240
0.8010	, 2.562	, 20.099	, 0.161
0.9010	, 2.704	, 18.853	, 0.134
1.0010	, 2.625	, 16.479	, 0.105
1.1010	, 2.136	, 12.190	, 0.071
1.2010	, 2.250	, 11.771	, 0.063
1.3010	, 2.244	, 10.835	, 0.053
1.4010	, 2.039	, 9.147	, 0.042
1.5010	, 2.065	, 8.642	, 0.037
1.6010	, 2.239	, 8.786	, 0.035
1.7010	, 2.375	, 8.773	, 0.033
1.8010	, 2.464	, 8.596	, 0.031
1.9010	, 2.504	, 8.277	, 0.028
2.0010	, 2.568	, 8.065	, 0.026
2.1010	, 2.738	, 8.187	, 0.025
2.2010	, 3.100	, 8.848	, 0.026
2.3010	, 3.412	, 9.317	, 0.026
2.4010	, 3.746	, 9.803	, 0.026
2.5010	, 3.573	, 8.976	, 0.023
2.6010	, 3.207	, 7.746	, 0.019
2.7010	, 3.092	, 7.193	, 0.017
2.8010	, 3.046	, 6.833	, 0.016
2.9010	, 3.061	, 6.631	, 0.015
3.0010	, 3.077	, 6.442	, 0.014
3.1010	, 3.067	, 6.214	, 0.013
3.2010	, 3.023	, 5.934	, 0.012
3.3010	, 3.074	, 5.852	, 0.011
3.4010	, 3.350	, 6.190	, 0.012
3.5010	, 3.580	, 6.425	, 0.012
3.6010	, 3.791	, 6.615	, 0.012
3.7010	, 3.850	, 6.536	, 0.011
3.8010	, 3.799	, 6.280	, 0.011
3.9010	, 3.689	, 5.942	, 0.010
4.0010	, 3.553	, 5.579	, 0.009
4.1010	, 3.941	, 6.039	, 0.009
4.2010	, 4.228	, 6.323	, 0.010
4.3010	, 4.284	, 6.259	, 0.009
4.4010	, 4.306	, 6.147	, 0.009
4.5010	, 4.378	, 6.111	, 0.009
4.6010	, 4.350	, 5.940	, 0.008
4.7010	, 4.241	, 5.669	, 0.008
4.8010	, 4.078	, 5.337	, 0.007
4.9010	, 3.972	, 5.092	, 0.007
5.0010	, 3.893	, 4.892	, 0.006
5.1010	, 3.812	, 4.695	, 0.006
5.2010	, 3.714	, 4.486	, 0.006
5.3010	, 3.697	, 4.382	, 0.005
5.4010	, 3.744	, 4.355	, 0.005
5.5010	, 3.775	, 4.312	, 0.005
5.6010	, 3.789	, 4.250	, 0.005
5.7010	, 3.779	, 4.165	, 0.005
5.8010	, 3.743	, 4.055	, 0.004
5.9010	, 3.682	, 3.921	, 0.004
6.0010	, 3.597	, 3.766	, 0.004
6.1010	, 3.543	, 3.648	, 0.004
6.2010	, 3.593	, 3.641	, 0.004
6.3010	, 3.640	, 3.630	, 0.004
6.4010	, 3.677	, 3.610	, 0.004
6.5010	, 3.702	, 3.578	, 0.004
6.6010	, 3.713	, 3.534	, 0.003
6.7010	, 3.711	, 3.480	, 0.003
6.8010	, 3.698	, 3.417	, 0.003
6.9010	, 3.674	, 3.345	, 0.003
7.0010	, 3.641	, 3.268	, 0.003
7.1010	, 3.599	, 3.185	, 0.003
7.2010	, 3.551	, 3.098	, 0.003
7.3010	, 3.496	, 3.009	, 0.003
7.4010	, 3.437	, 2.918	, 0.003
7.5010	, 3.375	, 2.827	, 0.002
7.6010	, 3.309	, 2.735	, 0.002
7.7010	, 3.241	, 2.645	, 0.002
7.8010	, 3.172	, 2.555	, 0.002
7.9010	, 3.103	, 2.467	, 0.002
8.0010	, 3.033	, 2.382	, 0.002
8.1010	, 2.966	, 2.300	, 0.002
8.2010	, 2.904	, 2.225	, 0.002
8.3010	, 2.842	, 2.151	, 0.002
8.4010	, 2.780	, 2.079	, 0.002
8.5010	, 2.719	, 2.010	, 0.002
8.6010	, 2.659	, 1.942	, 0.001
8.7010	, 2.600	, 1.877	, 0.001
8.8010	, 2.542	, 1.814	, 0.001
8.9010	, 2.485	, 1.754	, 0.001
9.0010	, 2.526	, 1.763	, 0.001
9.1010	, 2.572	, 1.776	, 0.001
9.2010	, 2.604	, 1.778	, 0.001
9.3010	, 2.622	, 1.772	, 0.001
9.4010	, 2.628	, 1.757	, 0.001
9.5010	, 2.624	, 1.735	, 0.001
9.6010	, 2.611	, 1.709	, 0.001
9.7010	, 2.596	, 1.681	, 0.001
9.8010	, 2.579	, 1.653	, 0.001
9.9010	, 2.553	, 1.620	, 0.001
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	0.0002207	0.0000000	0.0000000	0.0000000
0.005	0.0002251	0.0010934	0.0000027	0.0000000
0.010	0.0002183	0.0021808	0.0000109	0.0000000
0.015	0.0002105	0.0032325	0.0000245	0.0000000
0.020	0.0002061	0.0042543	0.0000432	0.0000000
0.025	0.0001967	0.0052421	0.0000669	0.0000000
0.030	0.0001783	0.0061618	0.0000954	0.0000000
0.035	0.0001538	0.0069761	0.0001283	0.0000000
0.040	0.0001270	0.0076647	0.0001649	0.0000001
0.045	0.0001053	0.0082344	0.0002046	0.0000001
0.050	0.0001025	0.0087440	0.0002471	0.0000001
0.055	0.0001297	0.0093134	0.0002922	0.0000001
0.060	0.0001782	0.0100686	0.0003407	0.0000001
0.065	0.0002305	0.0110708	0.0003935	0.0000001
0.070	0.0002831	0.0123304	0.0004520	0.0000001
0.075	0.0003387	0.0138553	0.0005175	0.0000001
0.080	0.0003748	0.0156050	0.0005911	0.0000001
0.085	0.0003590	0.0174046	0.0006736	0.0000001
0.090	0.0002957	0.0190103	0.0007647	0.0000002
0.095	0.0002175	0.0202688	0.0008629	0.0000002
0.100	0.0001406	0.0211470	0.0009664	0.0000002
0.105	0.0000652	0.0216518	0.0010734	0.0000002
0.110	0.0000025	0.0218179	0.0011821	0.0000002
0.115	-0.0000273	0.0217569	0.0012910	0.0000002
0.120	-0.0000191	0.0216430	0.0013995	0.0000002
0.125	0.0000180	0.0216401	0.0015077	0.0000002
0.130	0.0001067	0.0219459	0.0016167	0.0000002
0.135	0.0002581	0.0228408	0.0017287	0.0000002
0.140	0.0004209	0.0245061	0.0018470	0.0000002
0.145	0.0005370	0.0268554	0.0019754	0.0000002
0.150	0.0005823	0.0296006	0.0021166	0.0000003
0.155	0.0005436	0.0323619	0.0022715	0.0000004
0.160	0.0004447	0.0347856	0.0024394	0.0000004
0.165	0.0003457	0.0367241	0.0026181	0.0000004
0.170	0.0002666	0.0382257	0.0028055	0.0000004
0.175	0.0001803	0.0393217	0.0029994	0.0000004
0.180	0.0000985	0.0400055	0.0031977	0.0000005
0.185	0.0000931	0.0404754	0.0033989	0.0000005
0.190	0.0001853	0.0411582	0.0036030	0.0000005
0.195	0.0002969	0.0423407	0.0038117	0.0000005
0.200	0.0003570	0.0439442	0.0040274	0.0000005
0.205	0.0004001	0.0458009	0.0042518	0.0000005
0.210	0.0004960	0.0479987	0.0044863	0.0000005
0.215	0.0006176	0.0507299	0.0047331	0.0000006
0.220	0.0006647	0.0538746	0.0049946	0.0000007
0.225	0.0005584	0.0568741	0.0052715	0.0000007
0.230	0.0003135	0.0590124	0.0055612	0.0000008
0.235	0.0000584	0.0599246	0.0058586	0.0000008
0.240	-0.0000639	0.0599111	0.0061582	0.0000008
0.245	-0.0000159	0.0597154	0.0064572	0.0000008
0.250	0.0001345	0.0600064	0.0067565	0.0000008
0.255	0.0003166	0.0611128	0.0070593	0.0000008
0.260	0.0004381	0.0629637	0.0073695	0.0000008
0.265	0.0004453	0.0651303	0.0076897	0.0000008
0.270	0.0004071	0.0672209	0.0080206	0.0000009
0.275	0.0003852	0.0691640	0.0083616	0.0000009
0.280	0.0003709	0.0710184	0.0087120	0.0000009
0.285	0.0003593	0.0728092	0.0090716	0.0000010
0.290	0.0003818	0.0746268	0.0094402	0.0000010
0.295	0.0003972	0.0765372	0.0098181	0.0000010
0.300	0.0003164	0.0782872	0.0102052	0.0000010
0.305	0.0001843	0.0795151	0.0105997	0.0000010
0.310	0.0000713	0.0801418	0.0109988	0.0000010
0.315	-0.0000421	0.0802133	0.0113997	0.0000010
0.320	-0.0001267	0.0797994	0.0117997	0.0000010
0.325	-0.0001134	0.0792105	0.0121973	0.0000010
0.330	-0.0000193	0.0788852	0.0125925	0.0000010
0.335	0.0000823	0.0790397	0.0129873	0.0000010
0.340	0.0001047	0.0794983	0.0133837	0.0000010
0.345	0.0000449	0.0798651	0.0137821	0.0000010
0.350	0.0000355	0.0800623	0.0141819	0.0000010
0.355	0.0001151	0.0804317	0.0145831	0.0000010
0.360	0.0002027	0.0812111	0.0149872	0.0000011
0.365	0.0003240	0.0825027	0.0153965	0.0000011
0.370	0.0005293	0.0845954	0.0158143	0.0000011
0.375	0.0007105	0.0876360	0.0162448	0.0000012
0.380	0.0007188	0.0911416	0.0166918	0.0000012
0.385	0.0006257	0.0944391	0.0171557	0.0000013
0.390	0.0005673	0.0973651	0.0176352	0.0000014
0.395	0.0004684	0.0999051	0.0181284	0.0000014
0.400	0.0002119	0.1015736	0.0186321	0.0000015
0.405	-0.0001120	0.1018187	0.0191406	0.0000015
0.410	-0.0003035	0.1007998	0.0196471	0.0000015
0.415	-0.0003190	0.0992731	0.0201473	0.0000015
0.420	-0.0002276	0.0979324	0.0206403	0.0000015
0.425	-0.0000040	0.0973644	0.0211286	0.0000015
0.430	0.0003888	0.0983084	0.0216178	0.0000015
0.435	0.0007878	0.1011941	0.0221165	0.0000016
0.440	0.0010231	0.1056354	0.0226336	0.0000017
0.445	0.0011156	0.1108805	0.0231749	0.0000019
0.450	0.0011073	0.1163322	0.0237429	0.0000021
0.455	0.0010080	0.1215199	0.0243375	0.0000023
0.460	0.0008167	0.1259949	0.0249563	0.0000025
0.465	0.0005842	0.1294306	0.0255949	0.0000025
0.470	0.0003547	0.1317333	0.0262478	0.0000026
0.475	0.0001152	0.1328857	0.0269094	0.0000026
0.480	-0.0001651	0.1327633	0.0275735	0.0000026
0.485	-0.0005123	0.1311018	0.0282331	0.0000026
0.490	-0.0009180	0.1275940	0.0288799	0.0000027
0.495	-0.0013061	0.1221395	0.0295042	0.0000029
0.500	-0.0015286	0.1151875	0.0300975	0.0000033
0.505	-0.0015925	0.1075330	0.0306543	0.0000037
0.510	-0.0016414	0.0996018	0.0311722	0.0000041
0.515	-0.0016688	0.0914835	0.0316499	0.0000046
0.520	-0.0014854	0.0837478	0.0320880	0.0000050
