 
PGA:,  0.20 g
PGV:,  30.62 cm/s
PGD:,  5.12 cm
Arias Intensity:,  43.26 cm/s
Significant duration:,   9.21 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.032	, 0.205
0.1010	, 0.082	, 5.079	, 0.322
0.2010	, 0.425	, 13.293	, 0.424
0.3010	, 1.165	, 24.309	, 0.517
0.4010	, 1.738	, 27.227	, 0.435
0.5010	, 3.073	, 38.543	, 0.493
0.6010	, 5.294	, 55.348	, 0.590
0.7010	, 8.212	, 73.607	, 0.673
0.8010	, 9.044	, 70.946	, 0.567
0.9010	, 9.732	, 67.865	, 0.482
1.0010	, 9.967	, 62.563	, 0.400
1.1010	, 9.731	, 55.535	, 0.323
1.2010	, 8.850	, 46.299	, 0.247
1.3010	, 7.617	, 36.784	, 0.181
1.4010	, 6.840	, 30.674	, 0.140
1.5010	, 6.401	, 26.796	, 0.114
1.6010	, 5.904	, 23.172	, 0.093
1.7010	, 5.382	, 19.880	, 0.075
1.8010	, 4.886	, 17.044	, 0.061
1.9010	, 4.454	, 14.721	, 0.050
2.0010	, 4.162	, 13.070	, 0.042
2.1010	, 4.288	, 12.823	, 0.039
2.2010	, 4.438	, 12.668	, 0.037
2.3010	, 4.672	, 12.757	, 0.036
2.4010	, 4.902	, 12.829	, 0.034
2.5010	, 5.075	, 12.749	, 0.033
2.6010	, 5.207	, 12.578	, 0.031
2.7010	, 5.416	, 12.598	, 0.030
2.8010	, 5.757	, 12.915	, 0.030
2.9010	, 6.048	, 13.098	, 0.029
3.0010	, 6.307	, 13.204	, 0.028
3.1010	, 6.766	, 13.710	, 0.028
3.2010	, 6.986	, 13.712	, 0.027
3.3010	, 6.974	, 13.274	, 0.026
3.4010	, 7.094	, 13.105	, 0.025
3.5010	, 6.817	, 12.234	, 0.022
3.6010	, 6.748	, 11.775	, 0.021
3.7010	, 6.800	, 11.544	, 0.020
3.8010	, 6.685	, 11.051	, 0.019
3.9010	, 6.540	, 10.533	, 0.017
4.0010	, 6.697	, 10.517	, 0.017
4.1010	, 6.874	, 10.532	, 0.016
4.2010	, 7.032	, 10.517	, 0.016
4.3010	, 7.170	, 10.475	, 0.016
4.4010	, 7.290	, 10.407	, 0.015
4.5010	, 7.393	, 10.320	, 0.015
4.6010	, 7.479	, 10.214	, 0.014
4.7010	, 7.550	, 10.091	, 0.014
4.8010	, 7.608	, 9.957	, 0.013
4.9010	, 7.654	, 9.812	, 0.013
5.0010	, 7.687	, 9.658	, 0.012
5.1010	, 7.711	, 9.498	, 0.012
5.2010	, 7.725	, 9.333	, 0.011
5.3010	, 7.732	, 9.164	, 0.011
5.4010	, 7.731	, 8.994	, 0.011
5.5010	, 7.723	, 8.821	, 0.010
5.6010	, 7.710	, 8.650	, 0.010
5.7010	, 7.693	, 8.479	, 0.010
