 
PGA:,  0.14 g
PGV:,  6.34 cm/s
PGD:,  1.57 cm
Arias Intensity:,  17.76 cm/s
Significant duration:,  11.42 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.021	, 0.136
0.1010	, 0.098	, 6.122	, 0.388
0.2010	, 0.285	, 8.910	, 0.284
0.3010	, 0.685	, 14.292	, 0.304
0.4010	, 1.104	, 17.300	, 0.276
0.5010	, 0.920	, 11.536	, 0.147
0.6010	, 1.240	, 12.960	, 0.138
0.7010	, 1.599	, 14.328	, 0.131
0.8010	, 1.825	, 14.315	, 0.114
0.9010	, 1.782	, 12.424	, 0.088
1.0010	, 1.824	, 11.450	, 0.073
1.1010	, 2.524	, 14.407	, 0.084
1.2010	, 2.686	, 14.050	, 0.075
1.3010	, 2.254	, 10.885	, 0.054
1.4010	, 1.803	, 8.084	, 0.037
1.5010	, 1.673	, 7.004	, 0.030
1.6010	, 1.682	, 6.601	, 0.026
1.7010	, 1.783	, 6.585	, 0.025
1.8010	, 2.617	, 9.130	, 0.032
1.9010	, 2.946	, 9.738	, 0.033
2.0010	, 3.021	, 9.485	, 0.030
2.1010	, 2.921	, 8.737	, 0.027
2.2010	, 2.418	, 6.903	, 0.020
2.3010	, 2.077	, 5.671	, 0.016
2.4010	, 1.751	, 4.582	, 0.012
2.5010	, 1.813	, 4.555	, 0.012
2.6010	, 1.882	, 4.546	, 0.011
2.7010	, 1.964	, 4.568	, 0.011
2.8010	, 2.079	, 4.663	, 0.011
2.9010	, 2.203	, 4.772	, 0.011
3.0010	, 2.328	, 4.875	, 0.010
3.1010	, 2.442	, 4.948	, 0.010
3.2010	, 2.534	, 4.974	, 0.010
3.3010	, 2.595	, 4.940	, 0.010
3.4010	, 2.619	, 4.839	, 0.009
3.5010	, 2.602	, 4.670	, 0.009
3.6010	, 2.830	, 4.939	, 0.009
3.7010	, 2.937	, 4.986	, 0.009
3.8010	, 3.015	, 4.983	, 0.008
3.9010	, 3.231	, 5.203	, 0.009
4.0010	, 3.426	, 5.380	, 0.009
4.1010	, 3.562	, 5.457	, 0.009
4.2010	, 3.639	, 5.443	, 0.008
4.3010	, 3.689	, 5.390	, 0.008
4.4010	, 3.691	, 5.269	, 0.008
4.5010	, 3.649	, 5.093	, 0.007
4.6010	, 3.654	, 4.990	, 0.007
4.7010	, 3.542	, 4.735	, 0.006
4.8010	, 3.333	, 4.362	, 0.006
4.9010	, 3.061	, 3.924	, 0.005
5.0010	, 3.159	, 3.968	, 0.005
5.1010	, 3.266	, 4.022	, 0.005
5.2010	, 3.337	, 4.031	, 0.005
5.3010	, 3.375	, 4.000	, 0.005
5.4010	, 3.382	, 3.935	, 0.005
5.5010	, 3.362	, 3.841	, 0.004
5.6010	, 3.318	, 3.722	, 0.004
5.7010	, 3.252	, 3.584	, 0.004
5.8010	, 3.168	, 3.432	, 0.004
5.9010	, 3.069	, 3.268	, 0.004
6.0010	, 3.021	, 3.163	, 0.003
6.1010	, 2.979	, 3.068	, 0.003
6.2010	, 2.933	, 2.972	, 0.003
6.3010	, 2.882	, 2.874	, 0.003
6.4010	, 2.829	, 2.776	, 0.003
6.5010	, 2.772	, 2.679	, 0.003
6.6010	, 2.713	, 2.582	, 0.003
6.7010	, 2.652	, 2.487	, 0.002
6.8010	, 2.591	, 2.393	, 0.002
6.9010	, 2.528	, 2.301	, 0.002
7.0010	, 2.464	, 2.212	, 0.002
