 
PGA:,  0.19 g
PGV:,  8.34 cm/s
PGD:,  2.19 cm
Arias Intensity:,  23.00 cm/s
Significant duration:,  11.38 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.029	, 0.187
0.1010	, 0.114	, 7.115	, 0.451
0.2010	, 0.388	, 12.123	, 0.386
0.3010	, 1.247	, 26.030	, 0.554
0.4010	, 1.441	, 22.571	, 0.361
0.5010	, 1.229	, 15.412	, 0.197
0.6010	, 1.367	, 14.296	, 0.152
0.7010	, 1.383	, 12.396	, 0.113
0.8010	, 1.186	, 9.303	, 0.074
0.9010	, 0.901	, 6.280	, 0.045
1.0010	, 1.174	, 7.368	, 0.047
1.1010	, 1.353	, 7.723	, 0.045
1.2010	, 1.349	, 7.056	, 0.038
1.3010	, 1.116	, 5.389	, 0.027
1.4010	, 1.020	, 4.574	, 0.021
1.5010	, 1.045	, 4.376	, 0.019
1.6010	, 1.075	, 4.218	, 0.017
1.7010	, 1.290	, 4.766	, 0.018
1.8010	, 1.179	, 4.114	, 0.015
1.9010	, 1.446	, 4.779	, 0.016
2.0010	, 1.652	, 5.189	, 0.017
2.1010	, 1.531	, 4.578	, 0.014
2.2010	, 1.568	, 4.477	, 0.013
2.3010	, 1.811	, 4.945	, 0.014
2.4010	, 2.000	, 5.234	, 0.014
2.5010	, 2.128	, 5.346	, 0.014
2.6010	, 2.203	, 5.323	, 0.013
2.7010	, 2.228	, 5.182	, 0.012
2.8010	, 2.266	, 5.083	, 0.012
2.9010	, 2.288	, 4.955	, 0.011
3.0010	, 2.279	, 4.771	, 0.010
3.1010	, 2.254	, 4.568	, 0.009
3.2010	, 2.247	, 4.412	, 0.009
3.3010	, 2.302	, 4.381	, 0.009
3.4010	, 2.310	, 4.268	, 0.008
3.5010	, 2.275	, 4.083	, 0.007
3.6010	, 2.203	, 3.844	, 0.007
3.7010	, 2.210	, 3.751	, 0.006
3.8010	, 2.287	, 3.780	, 0.006
3.9010	, 2.348	, 3.782	, 0.006
4.0010	, 2.396	, 3.763	, 0.006
4.1010	, 2.432	, 3.726	, 0.006
4.2010	, 2.455	, 3.672	, 0.006
4.3010	, 2.470	, 3.608	, 0.005
4.4010	, 2.476	, 3.535	, 0.005
4.5010	, 2.526	, 3.526	, 0.005
4.6010	, 2.568	, 3.507	, 0.005
4.7010	, 2.602	, 3.477	, 0.005
4.8010	, 2.627	, 3.438	, 0.005
4.9010	, 2.645	, 3.390	, 0.004
5.0010	, 2.655	, 3.336	, 0.004
5.1010	, 2.660	, 3.277	, 0.004
5.2010	, 2.660	, 3.213	, 0.004
5.3010	, 2.655	, 3.147	, 0.004
5.4010	, 2.647	, 3.079	, 0.004
5.5010	, 2.634	, 3.009	, 0.004
5.6010	, 2.619	, 2.938	, 0.003
5.7010	, 2.601	, 2.867	, 0.003
5.8010	, 2.581	, 2.795	, 0.003
5.9010	, 2.559	, 2.724	, 0.003
6.0010	, 2.535	, 2.654	, 0.003
6.1010	, 2.510	, 2.585	, 0.003
6.2010	, 2.484	, 2.517	, 0.003
6.3010	, 2.457	, 2.450	, 0.002
6.4010	, 2.429	, 2.385	, 0.002
6.5010	, 2.401	, 2.321	, 0.002
6.6010	, 2.373	, 2.259	, 0.002
6.7010	, 2.344	, 2.198	, 0.002
6.8010	, 2.315	, 2.139	, 0.002
6.9010	, 2.286	, 2.081	, 0.002
7.0010	, 2.257	, 2.026	, 0.002
7.1010	, 2.228	, 1.972	, 0.002
7.2010	, 2.199	, 1.919	, 0.002
7.3010	, 2.171	, 1.868	, 0.002
7.4010	, 2.143	, 1.819	, 0.002
7.5010	, 2.115	, 1.771	, 0.002
7.6010	, 2.087	, 1.725	, 0.001
7.7010	, 2.060	, 1.680	, 0.001
7.8010	, 2.033	, 1.637	, 0.001
7.9010	, 2.006	, 1.595	, 0.001
8.0010	, 1.980	, 1.555	, 0.001
8.1010	, 1.954	, 1.516	, 0.001
8.2010	, 1.929	, 1.478	, 0.001
8.3010	, 1.904	, 1.441	, 0.001
8.4010	, 1.880	, 1.406	, 0.001
8.5010	, 1.856	, 1.372	, 0.001
8.6010	, 1.832	, 1.339	, 0.001
8.7010	, 1.809	, 1.307	, 0.001
8.8010	, 1.787	, 1.276	, 0.001
8.9010	, 1.790	, 1.264	, 0.001
9.0010	, 1.793	, 1.252	, 0.001
9.1010	, 1.796	, 1.240	, 0.001
9.2010	, 1.798	, 1.228	, 0.001
9.3010	, 1.801	, 1.216	, 0.001
9.4010	, 1.803	, 1.205	, 0.001
9.5010	, 1.805	, 1.194	, 0.001
9.6010	, 1.807	, 1.183	, 0.001
9.7010	, 1.809	, 1.172	, 0.001
9.8010	, 1.811	, 1.161	, 0.001
9.9010	, 1.813	, 1.151	, 0.001
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	-0.0006088	0.0000000	0.0000000	0.0000000
0.005	-0.0006036	-0.0029735	-0.0000074	0.0000001
0.010	-0.0006030	-0.0059327	-0.0000297	0.0000002
0.015	-0.0006048	-0.0088949	-0.0000668	0.0000004
0.020	-0.0006118	-0.0118787	-0.0001187	0.0000005
0.025	-0.0006249	-0.0149118	-0.0001857	0.0000006
0.030	-0.0006407	-0.0180156	-0.0002680	0.0000008
0.035	-0.0006578	-0.0212002	-0.0003660	0.0000009
0.040	-0.0006756	-0.0244705	-0.0004802	0.0000010
0.045	-0.0006838	-0.0278044	-0.0006109	0.0000012
0.050	-0.0006740	-0.0311344	-0.0007582	0.0000014
0.055	-0.0006516	-0.0343855	-0.0009220	0.0000015
0.060	-0.0006255	-0.0375176	-0.0011018	0.0000016
0.065	-0.0005937	-0.0405076	-0.0012969	0.0000018
0.070	-0.0005548	-0.0433242	-0.0015064	0.0000019
0.075	-0.0005227	-0.0459669	-0.0017297	0.0000020
0.080	-0.0005094	-0.0484982	-0.0019658	0.0000021
0.085	-0.0005100	-0.0509983	-0.0022146	0.0000021
0.090	-0.0004952	-0.0534636	-0.0024757	0.0000022
0.095	-0.0004448	-0.0557690	-0.0027488	0.0000023
0.100	-0.0003767	-0.0577836	-0.0030327	0.0000024
0.105	-0.0003260	-0.0595070	-0.0033259	0.0000024
0.110	-0.0003092	-0.0610648	-0.0036274	0.0000024
0.115	-0.0003334	-0.0626407	-0.0039366	0.0000025
0.120	-0.0003972	-0.0644324	-0.0042543	0.0000025
0.125	-0.0004768	-0.0665758	-0.0045818	0.0000026
0.130	-0.0005483	-0.0690899	-0.0049210	0.0000027
0.135	-0.0006127	-0.0719374	-0.0052736	0.0000028
0.140	-0.0006692	-0.0750813	-0.0056411	0.0000029
0.145	-0.0006957	-0.0784287	-0.0060249	0.0000031
0.150	-0.0006952	-0.0818401	-0.0064255	0.0000032
0.155	-0.0006942	-0.0852477	-0.0068433	0.0000034
0.160	-0.0007040	-0.0886768	-0.0072781	0.0000036
0.165	-0.0007182	-0.0921646	-0.0077302	0.0000037
0.170	-0.0007297	-0.0957155	-0.0081999	0.0000039
0.175	-0.0007296	-0.0992945	-0.0086874	0.0000041
0.180	-0.0007039	-0.1028104	-0.0091927	0.0000043
0.185	-0.0006420	-0.1061113	-0.0097150	0.0000044
0.190	-0.0005639	-0.1090687	-0.0102529	0.0000045
0.195	-0.0005186	-0.1117234	-0.0108049	0.0000046
