 
PGA:,  0.25 g
PGV:,  9.28 cm/s
PGD:,  2.54 cm
Arias Intensity:,  50.17 cm/s
Significant duration:,   7.88 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.040	, 0.254
0.1010	, 0.224	, 13.953	, 0.885
0.2010	, 0.574	, 17.931	, 0.571
0.3010	, 0.923	, 19.263	, 0.410
0.4010	, 0.778	, 12.193	, 0.195
0.5010	, 1.766	, 22.152	, 0.283
0.6010	, 1.727	, 18.052	, 0.192
0.7010	, 1.805	, 16.178	, 0.148
0.8010	, 1.730	, 13.570	, 0.109
0.9010	, 1.536	, 10.709	, 0.076
1.0010	, 1.487	, 9.336	, 0.060
1.1010	, 1.580	, 9.017	, 0.052
1.2010	, 1.573	, 8.227	, 0.044
1.3010	, 1.948	, 9.409	, 0.046
1.4010	, 2.039	, 9.145	, 0.042
1.5010	, 1.917	, 8.024	, 0.034
1.6010	, 1.624	, 6.373	, 0.025
1.7010	, 1.457	, 5.381	, 0.020
1.8010	, 1.631	, 5.689	, 0.020
1.9010	, 1.448	, 4.786	, 0.016
2.0010	, 1.452	, 4.559	, 0.015
2.1010	, 1.734	, 5.186	, 0.016
2.2010	, 2.013	, 5.747	, 0.017
2.3010	, 2.348	, 6.411	, 0.018
2.4010	, 2.369	, 6.199	, 0.017
2.5010	, 2.411	, 6.057	, 0.016
2.6010	, 2.540	, 6.136	, 0.015
2.7010	, 2.626	, 6.108	, 0.014
2.8010	, 2.954	, 6.626	, 0.015
2.9010	, 3.271	, 7.085	, 0.016
3.0010	, 3.911	, 8.189	, 0.017
3.1010	, 4.042	, 8.189	, 0.017
3.2010	, 3.858	, 7.573	, 0.015
3.3010	, 3.495	, 6.652	, 0.013
3.4010	, 3.606	, 6.662	, 0.013
3.5010	, 3.841	, 6.894	, 0.013
3.6010	, 4.206	, 7.339	, 0.013
3.7010	, 4.639	, 7.876	, 0.014
3.8010	, 5.054	, 8.354	, 0.014
3.9010	, 5.378	, 8.662	, 0.014
4.0010	, 5.521	, 8.671	, 0.014
4.1010	, 5.525	, 8.465	, 0.013
4.2010	, 5.717	, 8.550	, 0.013
4.3010	, 5.733	, 8.376	, 0.012
4.4010	, 5.571	, 7.954	, 0.012
4.5010	, 6.477	, 9.041	, 0.013
4.6010	, 6.817	, 9.309	, 0.013
4.7010	, 6.655	, 8.895	, 0.012
4.8010	, 6.154	, 8.054	, 0.011
4.9010	, 6.141	, 7.873	, 0.010
5.0010	, 6.078	, 7.637	, 0.010
5.1010	, 6.050	, 7.452	, 0.009
5.2010	, 5.959	, 7.199	, 0.009
5.3010	, 6.436	, 7.628	, 0.009
5.4010	, 7.006	, 8.150	, 0.010
5.5010	, 7.434	, 8.491	, 0.010
5.6010	, 7.625	, 8.554	, 0.010
5.7010	, 7.560	, 8.332	, 0.009
5.8010	, 7.254	, 7.857	, 0.009
5.9010	, 6.799	, 7.240	, 0.008
6.0010	, 6.338	, 6.637	, 0.007
6.1010	, 6.284	, 6.472	, 0.007
6.2010	, 6.238	, 6.320	, 0.007
6.3010	, 6.167	, 6.150	, 0.006
6.4010	, 6.076	, 5.964	, 0.006
6.5010	, 6.025	, 5.823	, 0.006
6.6010	, 6.421	, 6.111	, 0.006
6.7010	, 6.849	, 6.422	, 0.006
6.8010	, 7.236	, 6.685	, 0.006
6.9010	, 7.525	, 6.851	, 0.006
7.0010	, 7.659	, 6.873	, 0.006
7.1010	, 7.603	, 6.727	, 0.006
7.2010	, 7.617	, 6.646	, 0.006
7.3010	, 8.002	, 6.887	, 0.006
7.4010	, 8.246	, 7.000	, 0.006
7.5010	, 8.340	, 6.986	, 0.006
7.6010	, 8.292	, 6.854	, 0.006
7.7010	, 8.117	, 6.622	, 0.006
7.8010	, 7.984	, 6.430	, 0.005
7.9010	, 7.837	, 6.232	, 0.005
8.0010	, 7.599	, 5.968	, 0.005
8.1010	, 7.276	, 5.643	, 0.004
8.2010	, 7.266	, 5.567	, 0.004
8.3010	, 7.182	, 5.436	, 0.004
8.4010	, 7.032	, 5.259	, 0.004
8.5010	, 6.836	, 5.053	, 0.004
8.6010	, 6.615	, 4.832	, 0.004
8.7010	, 6.361	, 4.594	, 0.003
8.8010	, 6.086	, 4.345	, 0.003
8.9010	, 5.797	, 4.092	, 0.003
9.0010	, 5.501	, 3.840	, 0.003
9.1010	, 5.208	, 3.595	, 0.003
9.2010	, 4.924	, 3.363	, 0.002
9.3010	, 4.658	, 3.146	, 0.002
9.4010	, 4.413	, 2.949	, 0.002
9.5010	, 4.345	, 2.873	, 0.002
9.6010	, 4.318	, 2.826	, 0.002
9.7010	, 4.291	, 2.779	, 0.002
9.8010	, 4.262	, 2.732	, 0.002
9.9010	, 4.232	, 2.686	, 0.002
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	0.0001575	0.0000000	0.0000000	0.0000000
0.005	0.0001524	0.0007599	0.0000019	0.0000000
0.010	0.0001433	0.0014850	0.0000075	0.0000000
0.015	0.0001333	0.0021633	0.0000166	0.0000000
0.020	0.0001291	0.0028067	0.0000291	0.0000000
0.025	0.0001091	0.0033908	0.0000446	0.0000000
0.030	0.0000960	0.0038936	0.0000628	0.0000000
0.035	0.0000904	0.0043508	0.0000834	0.0000000
0.040	0.0000903	0.0047941	0.0001062	0.0000000
0.045	0.0000973	0.0052542	0.0001314	0.0000000
0.050	0.0001281	0.0058070	0.0001590	0.0000000
0.055	0.0001478	0.0064835	0.0001897	0.0000000
0.060	0.0001628	0.0072454	0.0002241	0.0000000
0.065	0.0001505	0.0080138	0.0002622	0.0000000
0.070	0.0001445	0.0087372	0.0003041	0.0000000
0.075	0.0001483	0.0094552	0.0003496	0.0000000
0.080	0.0001399	0.0101621	0.0003986	0.0000000
0.085	0.0001129	0.0107821	0.0004510	0.0000000
0.090	0.0001073	0.0113221	0.0005062	0.0000000
0.095	0.0001100	0.0118552	0.0005642	0.0000000
0.100	0.0001108	0.0123966	0.0006248	0.0000001
0.105	0.0001051	0.0129260	0.0006881	0.0000001
0.110	0.0001034	0.0134375	0.0007540	0.0000001
0.115	0.0000989	0.0139338	0.0008224	0.0000001
0.120	0.0001001	0.0144218	0.0008933	0.0000001
0.125	0.0000956	0.0149017	0.0009666	0.0000001
0.130	0.0000924	0.0153627	0.0010423	0.0000001
0.135	0.0000880	0.0158050	0.0011202	0.0000001
