 
PGA:,  0.27 g
PGV:,  19.22 cm/s
PGD:,  2.68 cm
Arias Intensity:,  46.31 cm/s
Significant duration:,   9.53 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.043	, 0.272
0.1010	, 0.129	, 8.049	, 0.510
0.2010	, 0.695	, 21.712	, 0.692
0.3010	, 1.105	, 23.057	, 0.491
0.4010	, 1.435	, 22.480	, 0.359
0.5010	, 2.664	, 33.413	, 0.427
0.6010	, 3.798	, 39.706	, 0.423
0.7010	, 6.036	, 54.102	, 0.494
0.8010	, 6.556	, 51.425	, 0.411
0.9010	, 6.270	, 43.725	, 0.311
1.0010	, 5.887	, 36.953	, 0.236
1.1010	, 4.990	, 28.477	, 0.166
1.2010	, 4.217	, 22.060	, 0.118
1.3010	, 3.758	, 18.151	, 0.089
1.4010	, 3.382	, 15.166	, 0.069
1.5010	, 3.009	, 12.597	, 0.054
1.6010	, 2.673	, 10.491	, 0.042
1.7010	, 2.737	, 10.109	, 0.038
1.8010	, 3.176	, 11.080	, 0.039
1.9010	, 2.874	, 9.500	, 0.032
2.0010	, 2.331	, 7.318	, 0.023
2.1010	, 2.204	, 6.592	, 0.020
2.2010	, 2.271	, 6.483	, 0.019
2.3010	, 2.269	, 6.197	, 0.017
2.4010	, 2.223	, 5.817	, 0.016
2.5010	, 2.206	, 5.542	, 0.014
2.6010	, 2.363	, 5.708	, 0.014
2.7010	, 2.483	, 5.775	, 0.014
2.8010	, 2.606	, 5.846	, 0.013
2.9010	, 2.657	, 5.754	, 0.013
3.0010	, 2.700	, 5.653	, 0.012
3.1010	, 2.790	, 5.653	, 0.012
3.2010	, 3.193	, 6.267	, 0.013
3.3010	, 3.410	, 6.490	, 0.013
3.4010	, 3.872	, 7.153	, 0.013
3.5010	, 4.226	, 7.585	, 0.014
3.6010	, 4.448	, 7.761	, 0.014
3.7010	, 4.574	, 7.766	, 0.013
3.8010	, 4.779	, 7.900	, 0.013
3.9010	, 4.767	, 7.677	, 0.013
4.0010	, 4.587	, 7.203	, 0.012
4.1010	, 4.595	, 7.040	, 0.011
4.2010	, 4.449	, 6.654	, 0.010
4.3010	, 4.318	, 6.308	, 0.009
4.4010	, 4.222	, 6.028	, 0.009
4.5010	, 4.116	, 5.745	, 0.008
4.6010	, 3.952	, 5.397	, 0.008
4.7010	, 3.744	, 5.004	, 0.007
4.8010	, 3.506	, 4.589	, 0.006
4.9010	, 3.511	, 4.501	, 0.006
5.0010	, 3.513	, 4.414	, 0.006
5.1010	, 3.514	, 4.328	, 0.005
5.2010	, 3.512	, 4.242	, 0.005
5.3010	, 3.508	, 4.158	, 0.005
5.4010	, 3.503	, 4.076	, 0.005
5.5010	, 3.497	, 3.995	, 0.005
5.6010	, 3.490	, 3.915	, 0.004
5.7010	, 3.482	, 3.838	, 0.004
5.8010	, 3.473	, 3.762	, 0.004
5.9010	, 3.464	, 3.688	, 0.004
6.0010	, 3.454	, 3.617	, 0.004
6.1010	, 3.444	, 3.547	, 0.004
6.2010	, 3.433	, 3.479	, 0.004
6.3010	, 3.423	, 3.413	, 0.003
6.4010	, 3.411	, 3.349	, 0.003
6.5010	, 3.400	, 3.286	, 0.003
6.6010	, 3.389	, 3.226	, 0.003
6.7010	, 3.378	, 3.167	, 0.003
6.8010	, 3.366	, 3.110	, 0.003
6.9010	, 3.355	, 3.055	, 0.003
7.0010	, 3.344	, 3.001	, 0.003
7.1010	, 3.333	, 2.949	, 0.003
7.2010	, 3.322	, 2.898	, 0.003
7.3010	, 3.311	, 2.849	, 0.002
7.4010	, 3.300	, 2.802	, 0.002
7.5010	, 3.290	, 2.755	, 0.002
7.6010	, 3.279	, 2.711	, 0.002
7.7010	, 3.269	, 2.667	, 0.002
7.8010	, 3.259	, 2.625	, 0.002
7.9010	, 3.249	, 2.584	, 0.002
8.0010	, 3.239	, 2.544	, 0.002
8.1010	, 3.230	, 2.505	, 0.002
8.2010	, 3.220	, 2.467	, 0.002
8.3010	, 3.211	, 2.430	, 0.002
8.4010	, 3.202	, 2.395	, 0.002
8.5010	, 3.193	, 2.360	, 0.002
8.6010	, 3.184	, 2.326	, 0.002
8.7010	, 3.176	, 2.293	, 0.002
8.8010	, 3.168	, 2.261	, 0.002
8.9010	, 3.159	, 2.230	, 0.002
9.0010	, 3.152	, 2.200	, 0.002
9.1010	, 3.144	, 2.170	, 0.002
9.2010	, 3.136	, 2.142	, 0.001
9.3010	, 3.129	, 2.114	, 0.001
9.4010	, 3.121	, 2.086	, 0.001
9.5010	, 3.114	, 2.059	, 0.001
9.6010	, 3.107	, 2.033	, 0.001
9.7010	, 3.100	, 2.008	, 0.001
9.8010	, 3.094	, 1.983	, 0.001
9.9010	, 3.087	, 1.959	, 0.001
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	0.0002151	0.0000000	0.0000000	0.0000000
0.005	0.0002123	0.0010482	0.0000026	0.0000000
0.010	0.0002046	0.0020707	0.0000104	0.0000000
0.015	0.0001926	0.0030449	0.0000232	0.0000000
0.020	0.0001858	0.0039729	0.0000408	0.0000000
0.025	0.0001844	0.0048808	0.0000629	0.0000000
0.030	0.0001840	0.0057843	0.0000895	0.0000000
0.035	0.0001850	0.0066892	0.0001207	0.0000000
0.040	0.0001910	0.0076113	0.0001565	0.0000001
0.045	0.0001983	0.0085661	0.0001969	0.0000001
0.050	0.0002000	0.0095428	0.0002422	0.0000001
0.055	0.0002061	0.0105386	0.0002924	0.0000001
0.060	0.0002126	0.0115654	0.0003477	0.0000001
0.065	0.0001898	0.0125522	0.0004080	0.0000001
0.070	0.0001949	0.0134956	0.0004731	0.0000001
0.075	0.0001889	0.0144370	0.0005429	0.0000001
0.080	0.0001772	0.0153351	0.0006173	0.0000001
0.085	0.0001762	0.0162019	0.0006962	0.0000001
0.090	0.0001679	0.0170457	0.0007793	0.0000001
0.095	0.0001763	0.0178897	0.0008666	0.0000001
0.100	0.0001907	0.0187897	0.0009583	0.0000001
0.105	0.0001933	0.0197315	0.0010546	0.0000001
0.110	0.0001724	0.0206283	0.0011555	0.0000001
0.115	0.0001526	0.0214254	0.0012607	0.0000001
0.120	0.0001532	0.0221754	0.0013697	0.0000001
0.125	0.0001589	0.0229408	0.0014825	0.0000001
0.130	0.0001635	0.0237315	0.0015991	0.0000002
0.135	0.0001600	0.0245247	0.0017198	0.0000002
0.140	0.0001396	0.0252594	0.0018442	0.0000002
0.145	0.0000959	0.0258369	0.0019720	0.0000002
0.150	0.0000429	0.0261773	0.0021020	0.0000002
0.155	0.0000137	0.0263160	0.0022333	0.0000002
0.160	0.0000138	0.0263834	0.0023650	0.0000002
0.165	0.0000316	0.0264948	0.0024972	0.0000002
0.170	0.0000732	0.0267517	0.0026303	0.0000002
0.175	0.0001225	0.0272316	0.0027653	0.0000002
0.180	0.0001406	0.0278771	0.0029030	0.0000002
0.185	0.0001305	0.0285421	0.0030441	0.0000002
0.190	0.0001204	0.0291574	0.0031883	0.0000002
0.195	0.0001067	0.0297143	0.0033355	0.0000002
0.200	0.0000912	0.0301998	0.0034853	0.0000002
0.205	0.0000950	0.0306564	0.0036374	0.0000002
0.210	0.0001278	0.0312027	0.0037921	0.0000002
0.215	0.0001429	0.0318665	0.0039498	0.0000002
0.220	0.0001718	0.0326381	0.0041110	0.0000002
0.225	0.0002086	0.0335708	0.0042766	0.0000002
0.230	0.0002289	0.0346437	0.0044471	0.0000002
0.235	0.0002310	0.0357716	0.0046231	0.0000002
0.240	0.0001484	0.0367023	0.0048043	0.0000002
0.245	0.0000898	0.0372866	0.0049893	0.0000002
0.250	0.0000679	0.0376732	0.0051767	0.0000002
0.255	0.0000543	0.0379727	0.0053658	0.0000002
0.260	0.0000990	0.0383487	0.0055566	0.0000002
0.265	0.0002193	0.0391294	0.0057503	0.0000002
0.270	0.0003166	0.0404437	0.0059492	0.0000002
0.275	0.0003573	0.0420965	0.0061556	0.0000003
0.280	0.0003542	0.0438415	0.0063704	0.0000003
0.285	0.0003404	0.0455450	0.0065939	0.0000003
0.290	0.0003057	0.0471296	0.0068256	0.0000003
0.295	0.0002390	0.0484655	0.0070646	0.0000003
0.300	0.0001752	0.0494814	0.0073094	0.0000003
0.305	0.0001402	0.0502549	0.0075588	0.0000003
0.310	0.0001380	0.0509371	0.0078118	0.0000003
0.315	0.0001543	0.0516540	0.0080682	0.0000003
0.320	0.0001128	0.0523090	0.0083281	0.0000004
0.325	0.0000427	0.0526903	0.0085906	0.0000004
