 
PGA:,  0.15 g
PGV:,  7.01 cm/s
PGD:,  1.39 cm
Arias Intensity:,  22.71 cm/s
Significant duration:,  13.59 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.023	, 0.150
0.1010	, 0.079	, 4.928	, 0.312
0.2010	, 0.273	, 8.528	, 0.272
0.3010	, 0.867	, 18.097	, 0.385
0.4010	, 1.068	, 16.741	, 0.267
0.5010	, 1.377	, 17.266	, 0.221
0.6010	, 1.539	, 16.085	, 0.171
0.7010	, 2.084	, 18.683	, 0.171
0.8010	, 2.032	, 15.943	, 0.127
0.9010	, 1.970	, 13.737	, 0.098
1.0010	, 2.090	, 13.120	, 0.084
1.1010	, 2.699	, 15.401	, 0.090
1.2010	, 2.871	, 15.022	, 0.080
1.3010	, 3.168	, 15.302	, 0.075
1.4010	, 3.250	, 14.574	, 0.067
1.5010	, 3.172	, 13.279	, 0.057
1.6010	, 2.987	, 11.721	, 0.047
1.7010	, 2.718	, 10.040	, 0.038
1.8010	, 2.530	, 8.827	, 0.031
1.9010	, 2.577	, 8.518	, 0.029
2.0010	, 2.597	, 8.153	, 0.026
2.1010	, 2.594	, 7.759	, 0.024
2.2010	, 2.575	, 7.352	, 0.021
2.3010	, 2.553	, 6.971	, 0.019
2.4010	, 2.536	, 6.637	, 0.018
2.5010	, 2.527	, 6.347	, 0.016
2.6010	, 2.523	, 6.095	, 0.015
2.7010	, 2.523	, 5.869	, 0.014
2.8010	, 2.522	, 5.657	, 0.013
2.9010	, 2.516	, 5.449	, 0.012
3.0010	, 2.504	, 5.242	, 0.011
3.1010	, 2.482	, 5.030	, 0.010
3.2010	, 2.452	, 4.813	, 0.010
3.3010	, 2.493	, 4.746	, 0.009
3.4010	, 2.557	, 4.723	, 0.009
3.5010	, 2.549	, 4.575	, 0.008
3.6010	, 2.483	, 4.332	, 0.008
3.7010	, 2.371	, 4.026	, 0.007
3.8010	, 2.227	, 3.681	, 0.006
3.9010	, 2.061	, 3.320	, 0.005
4.0010	, 1.984	, 3.115	, 0.005
4.1010	, 1.914	, 2.933	, 0.005
4.2010	, 1.846	, 2.761	, 0.004
4.3010	, 1.794	, 2.620	, 0.004
4.4010	, 1.774	, 2.532	, 0.004
4.5010	, 1.782	, 2.487	, 0.004
4.6010	, 1.803	, 2.462	, 0.003
4.7010	, 1.821	, 2.434	, 0.003
4.8010	, 1.837	, 2.404	, 0.003
4.9010	, 1.851	, 2.372	, 0.003
5.0010	, 1.862	, 2.339	, 0.003
5.1010	, 1.871	, 2.305	, 0.003
5.2010	, 1.879	, 2.270	, 0.003
5.3010	, 1.885	, 2.235	, 0.003
5.4010	, 1.890	, 2.199	, 0.003
5.5010	, 1.893	, 2.162	, 0.003
5.6010	, 1.895	, 2.126	, 0.002
5.7010	, 1.896	, 2.090	, 0.002
5.8010	, 1.896	, 2.054	, 0.002
5.9010	, 1.896	, 2.018	, 0.002
6.0010	, 1.894	, 1.983	, 0.002
6.1010	, 1.892	, 1.948	, 0.002
6.2010	, 1.889	, 1.914	, 0.002
6.3010	, 1.886	, 1.881	, 0.002
6.4010	, 1.882	, 1.847	, 0.002
6.5010	, 1.878	, 1.815	, 0.002
6.6010	, 1.873	, 1.783	, 0.002
6.7010	, 1.869	, 1.752	, 0.002
6.8010	, 1.864	, 1.722	, 0.002
6.9010	, 1.859	, 1.692	, 0.002
7.0010	, 1.853	, 1.663	, 0.002
7.1010	, 1.848	, 1.635	, 0.001
7.2010	, 1.842	, 1.607	, 0.001
7.3010	, 1.836	, 1.580	, 0.001
7.4010	, 1.830	, 1.554	, 0.001
7.5010	, 1.824	, 1.528	, 0.001
7.6010	, 1.819	, 1.503	, 0.001
7.7010	, 1.813	, 1.479	, 0.001
7.8010	, 1.807	, 1.455	, 0.001
7.9010	, 1.801	, 1.432	, 0.001
8.0010	, 1.795	, 1.410	, 0.001
8.1010	, 1.789	, 1.388	, 0.001
8.2010	, 1.783	, 1.366	, 0.001
8.3010	, 1.778	, 1.345	, 0.001
8.4010	, 1.772	, 1.325	, 0.001
8.5010	, 1.766	, 1.305	, 0.001
8.6010	, 1.761	, 1.286	, 0.001
8.7010	, 1.755	, 1.267	, 0.001
8.8010	, 1.750	, 1.249	, 0.001
8.9010	, 1.744	, 1.231	, 0.001
9.0010	, 1.739	, 1.214	, 0.001
9.1010	, 1.734	, 1.197	, 0.001
9.2010	, 1.729	, 1.180	, 0.001
9.3010	, 1.724	, 1.164	, 0.001
9.4010	, 1.719	, 1.149	, 0.001
9.5010	, 1.714	, 1.133	, 0.001
9.6010	, 1.709	, 1.118	, 0.001
9.7010	, 1.704	, 1.104	, 0.001
9.8010	, 1.699	, 1.089	, 0.001
9.9010	, 1.695	, 1.076	, 0.001
 
acceleration, velocity, displacement and normalized Arias intensity time histories:
 
time [s]	accel. [g]	vel. [cm/s]	displ. [cm]	AI
0.000	0.0001869	0.0000000	0.0000000	0.0000000
0.005	0.0001991	0.0009467	0.0000024	0.0000000
0.010	0.0002140	0.0019599	0.0000096	0.0000000
0.015	0.0002426	0.0030798	0.0000222	0.0000000
0.020	0.0002833	0.0043697	0.0000409	0.0000001
0.025	0.0003297	0.0058731	0.0000665	0.0000001
0.030	0.0003499	0.0075399	0.0001000	0.0000001
0.035	0.0003232	0.0091907	0.0001418	0.0000002
0.040	0.0002633	0.0106292	0.0001914	0.0000002
0.045	0.0001917	0.0117452	0.0002473	0.0000002
0.050	0.0001193	0.0125080	0.0003079	0.0000002
0.055	0.0000548	0.0129352	0.0003715	0.0000002
0.060	0.0000118	0.0130987	0.0004366	0.0000002
0.065	-0.0000051	0.0131151	0.0005022	0.0000002
0.070	-0.0000049	0.0130905	0.0005677	0.0000002
0.075	0.0000231	0.0131351	0.0006332	0.0000002
0.080	0.0000861	0.0134030	0.0006996	0.0000002
0.085	0.0001750	0.0140434	0.0007682	0.0000002
0.090	0.0002626	0.0151166	0.0008411	0.0000003
0.095	0.0003413	0.0165976	0.0009204	0.0000003
0.100	0.0003893	0.0183894	0.0010079	0.0000003
0.105	0.0003884	0.0202969	0.0011046	0.0000004
0.110	0.0003472	0.0221009	0.0012106	0.0000004
0.115	0.0002850	0.0236513	0.0013250	0.0000005
0.120	0.0002106	0.0248666	0.0014462	0.0000005
0.125	0.0001305	0.0257030	0.0015727	0.0000005
0.130	0.0000758	0.0262089	0.0017025	0.0000005
0.135	0.0000631	0.0265495	0.0018343	0.0000005
0.140	0.0000909	0.0269272	0.0019680	0.0000005
0.145	0.0001586	0.0275393	0.0021042	0.0000005
0.150	0.0002490	0.0285391	0.0022444	0.0000005
0.155	0.0003509	0.0300102	0.0023908	0.0000006
0.160	0.0004409	0.0319520	0.0025457	0.0000006
0.165	0.0005122	0.0342894	0.0027113	0.0000007
0.170	0.0005373	0.0368631	0.0028892	0.0000008
0.175	0.0004972	0.0394000	0.0030798	0.0000009
0.180	0.0004082	0.0416205	0.0032824	0.0000009
0.185	0.0002637	0.0432685	0.0034946	0.0000010
0.190	0.0000640	0.0440722	0.0037129	0.0000010
0.195	-0.0001389	0.0438887	0.0039328	0.0000010
0.200	-0.0003295	0.0427399	0.0041494	0.0000010
0.205	-0.0005119	0.0406762	0.0043580	0.0000011
0.210	-0.0006078	0.0379301	0.0045545	0.0000012
0.215	-0.0005513	0.0350873	0.0047370	0.0000013
0.220	-0.0003686	0.0328311	0.0049068	0.0000014
0.225	-0.0000948	0.0316947	0.0050681	0.0000014
