 
PGA:,  0.07 g
PGV:,  3.83 cm/s
PGD:,  0.91 cm
Arias Intensity:,   6.56 cm/s
Significant duration:,  16.99 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.011	, 0.071
0.1010	, 0.044	, 2.747	, 0.174
0.2010	, 0.180	, 5.628	, 0.179
0.3010	, 0.339	, 7.071	, 0.150
0.4010	, 0.486	, 7.611	, 0.122
0.5010	, 0.675	, 8.471	, 0.108
0.6010	, 0.579	, 6.055	, 0.065
0.7010	, 0.924	, 8.283	, 0.076
0.8010	, 0.851	, 6.676	, 0.053
0.9010	, 1.223	, 8.527	, 0.061
1.0010	, 1.031	, 6.475	, 0.041
1.1010	, 1.105	, 6.305	, 0.037
1.2010	, 1.122	, 5.869	, 0.031
1.3010	, 0.844	, 4.076	, 0.020
1.4010	, 0.916	, 4.108	, 0.019
1.5010	, 1.112	, 4.657	, 0.020
1.6010	, 1.057	, 4.149	, 0.017
1.7010	, 1.036	, 3.827	, 0.014
1.8010	, 0.967	, 3.373	, 0.012
1.9010	, 0.982	, 3.244	, 0.011
2.0010	, 1.156	, 3.631	, 0.012
2.1010	, 1.214	, 3.630	, 0.011
2.2010	, 1.341	, 3.827	, 0.011
2.3010	, 1.436	, 3.921	, 0.011
2.4010	, 1.509	, 3.948	, 0.011
2.5010	, 1.460	, 3.667	, 0.009
2.6010	, 1.328	, 3.209	, 0.008
2.7010	, 1.163	, 2.706	, 0.006
2.8010	, 1.008	, 2.261	, 0.005
2.9010	, 0.892	, 1.933	, 0.004
3.0010	, 0.830	, 1.737	, 0.004
3.1010	, 0.819	, 1.660	, 0.003
3.2010	, 0.851	, 1.671	, 0.003
3.3010	, 0.944	, 1.798	, 0.003
3.4010	, 1.063	, 1.964	, 0.004
3.5010	, 1.173	, 2.105	, 0.004
3.6010	, 1.253	, 2.186	, 0.004
3.7010	, 1.289	, 2.188	, 0.004
3.8010	, 1.372	, 2.268	, 0.004
3.9010	, 1.369	, 2.205	, 0.004
4.0010	, 1.466	, 2.302	, 0.004
4.1010	, 1.394	, 2.135	, 0.003
4.2010	, 1.180	, 1.766	, 0.003
4.3010	, 1.097	, 1.603	, 0.002
4.4010	, 1.068	, 1.524	, 0.002
4.5010	, 1.076	, 1.502	, 0.002
4.6010	, 1.050	, 1.434	, 0.002
4.7010	, 0.999	, 1.335	, 0.002
4.8010	, 0.930	, 1.218	, 0.002
4.9010	, 0.873	, 1.119	, 0.001
5.0010	, 0.905	, 1.137	, 0.001
5.1010	, 0.931	, 1.147	, 0.001
5.2010	, 0.951	, 1.149	, 0.001
5.3010	, 0.966	, 1.145	, 0.001
5.4010	, 0.975	, 1.135	, 0.001
5.5010	, 0.980	, 1.119	, 0.001
5.6010	, 0.980	, 1.100	, 0.001
5.7010	, 0.977	, 1.077	, 0.001
5.8010	, 0.970	, 1.051	, 0.001
5.9010	, 0.961	, 1.023	, 0.001
6.0010	, 0.949	, 0.994	, 0.001
6.1010	, 0.935	, 0.963	, 0.001
6.2010	, 0.920	, 0.932	, 0.001
6.3010	, 0.903	, 0.900	, 0.001
6.4010	, 0.884	, 0.868	, 0.001
6.5010	, 0.866	, 0.837	, 0.001
6.6010	, 0.846	, 0.805	, 0.001
6.7010	, 0.826	, 0.775	, 0.001
6.8010	, 0.806	, 0.744	, 0.001
6.9010	, 0.786	, 0.715	, 0.001
7.0010	, 0.765	, 0.687	, 0.001
7.1010	, 0.745	, 0.659	, 0.001
